smiles,label,set
C[C@H](C(=O)Nc1nc2ccccc2[nH]1)N1Cc2ccccc2C1=O,0.2211,known
C=Cc1ccc(CNc2nc(N[C@H](CC)CO)nc3c2ncn3C(C)C)cc1,-0.044,known
CC(=O)N1CCN(c2nc(NCc3nc4cc(Cl)c(Cl)cc4[nH]3)c3ncn(C(C)C)c3n2)CC1,0.208,known
CC(=O)N1CCN(c2nc(NCc3nc4cc(Cl)c(Cl)cc4[nH]3)c3ncn(C)c3n2)CC1,0.2786,known
CC(=O)N1CCN(c2nc(NCc3nc4cc(Cl)c(Cl)cc4[nH]3)c3ncn(-c4cnn(C)c4)c3n2)CC1,0.3158,known
CC(C)c1nn(-c2c(Cl)cccc2Cl)c2nc(Cc3ccc(OCCO)cc3)[nH]c(=O)c12,0.0202,known
CC(C)n1cnc2c(NCc3ccc(-c4ccccn4)cc3)nc(N3CCOCC3)nc21,0.2107,known
CC(C)n1cnc2c(NCc3nc4cc(Cl)c(Cl)cc4[nH]3)nc(N3CCOCC3)nc21,0.1924,known
CC(C)S(=O)(=O)c1ccccc1Nc1nc(N[C@@H]2CCCN(C(=O)c3ccccc3)C2)ncc1Cl,0.255,known
CC(C)S(=O)(=O)c1ccccc1Nc1nc(N[C@@H]2CCCN(C(=O)c3ccccn3)C2)ncc1Cl,0.2506,known
CC(C)S(=O)(=O)c1ccccc1Nc1nc(N[C@@H]2CCCN(C(=O)c3cccc4ccccc34)C2)ncc1Cl,0.2793,known
CC(C)S(=O)(=O)c1ccccc1Nc1nc(N[C@@H]2CCCN(C(=O)c3ccc4ccccc4c3)C2)ncc1Cl,-0.0597,known
CC[C@H](CO)Nc1nc(NCc2ccc(Br)cc2)c2ncn(C(C)C)c2n1,-0.0515,known
CC[C@H](CO)Nc1nc(NCc2ccc(C)cc2)c2ncn(C(C)C)c2n1,-0.0277,known
CC[C@H](CO)Nc1nc(NCc2ccc(-c3ncccc3C)cc2)c2ncn(C(C)C)c2n1,0.3099,known
CC[C@H](CO)Nc1nc(NCc2ccc(-c3ncccc3F)cc2)c2ncn(C(C)C)c2n1,0.2856,known
CC[C@H](CO)Nc1nc(NCc2ccc(-c3ncccc3O)cc2)c2ncn(C(C)C)c2n1,0.2544,known
CC[C@H](CO)Nc1nc(NCc2ccc(-c3cc(=O)cc[nH]3)cc2)c2ncn(C(C)C)c2n1,0.1906,known
CC[C@H](CO)Nc1nc(NCc2ccc(-c3cc(C#N)ccn3)cc2)c2ncn(C(C)C)c2n1,0.5781,known
CC[C@H](CO)Nc1nc(NCc2ccc(-c3cc(C)ccn3)cc2)c2ncn(C(C)C)c2n1,0.4913,known
CC[C@H](CO)Nc1nc(NCc2ccc(-c3cc(F)ccn3)cc2)c2ncn(C(C)C)c2n1,0.318,known
CC[C@H](CO)Nc1nc(NCc2ccc(-c3ccc(CC(C)C)cc3)cc2)c2ncn(C(C)C)c2n1,0.2309,known
CC[C@H](CO)Nc1nc(NCc2ccc(-c3cccc(C)n3)cc2)c2ncn(C(C)C)c2n1,0.2989,known
CC[C@H](CO)Nc1nc(NCc2ccc(-c3ccccc3)cc2)c2ncn(C(C)C)c2n1,0.2255,known
CC[C@H](CO)Nc1nc(NCc2ccc(-c3ccccn3)cc2)c2ncn(C(C)C)c2n1,0.2548,known
CC[C@H](CO)Nc1nc(NCc2ccc(-c3ccccn3)cc2)c2ncn(-c3cnn(C)c3)c2n1,0.3098,known
CC[C@H](CO)Nc1nc(NCc2ccc(-c3cccnc3)cc2)c2ncn(C(C)C)c2n1,0.3035,known
CC[C@H](CO)Nc1nc(NCc2ccc(-c3ccco3)cc2)c2ncn(C(C)C)c2n1,0.1382,known
CC[C@H](CO)Nc1nc(NCc2ccc(-c3ccncc3)cc2)c2ncn(C(C)C)c2n1,0.289,known
CC[C@H](CO)Nc1nc(NCc2ccc(C3=CCCC3)cc2)c2ncn(C(C)C)c2n1,0.2089,known
CC[C@H](CO)Nc1nc(NCc2ccc(C3=CCCCC3)cc2)c2ncn(C(C)C)c2n1,0.2009,known
CC[C@H](CO)Nc1nc(NCc2ccc(C3=CCOCC3)cc2)c2ncn(C(C)C)c2n1,0.1558,known
CC[C@H](CO)Nc1nc(NCc2ccc(-c3cn(C)cn3)cc2)c2ncn(C(C)C)c2n1,0.1604,known
CC[C@H](CO)Nc1nc(NCc2ccc(-c3cn[nH]c3)cc2)c2ncn(C(C)C)c2n1,0.3883,known
CC[C@H](CO)Nc1nc(NCc2ccc(-c3ccoc3)cc2)c2ncn(C(C)C)c2n1,0.2302,known
CC[C@H](CO)Nc1nc(NCc2ccc(-c3cccc(F)n3)cc2)c2ncn(C(C)C)c2n1,0.3439,known
CC[C@H](CO)Nc1nc(NCc2ccc(-c3ccc(C)cn3)cc2)c2ncn(C(C)C)c2n1,0.3929,known
CC[C@H](CO)Nc1nc(NCc2ccc(-c3ccc(F)cn3)cc2)c2ncn(C(C)C)c2n1,0.3299,known
CC[C@H](CO)Nc1nc(NCc2ccc(-c3ccc(O)cn3)cc2)c2ncn(C(C)C)c2n1,0.3807,known
CC[C@H](CO)Nc1nc(NCc2ccc(C3CCCC3)cc2)c2ncn(C(C)C)c2n1,-0.0318,known
