method,n_molecules,block,rank,tanimoto,mcs_shared_atoms,mcs_shared_frac,smiles_a,smiles_b
"hub-batching (ours)",82,closest,1,0.5000,16,0.6957,"O=C(NCc1ccccc1)c1ccc2oc(C3CNC3)nc2c1","O=C(Nc1cccc2cc[nH]c12)c1ccc2oc(C3CNC3)nc2c1"
"hub-batching (ours)",82,closest,2,0.5000,17,0.8095,"c1cc(-c2cn(CC3CC3)cn2)ccc1NCC1CCN1","NC(C(=O)Nc1ccc(-c2cn(CC3CC3)cn2)cc1)c1ccccc1"
"hub-batching (ours)",82,closest,3,0.5000,14,0.7368,"c1cc2oc(C3CNC3)nc2cc1NC12CC(C1)C2","CC(Nc1ccc2oc(C3CNC3)nc2c1)c1ccccc1"
"hub-batching (ours)",82,distant,1,0.0446,6,0.2727,"Brc1ccc2[nH]c(-c3ccc4nc(C5CNC5)oc4c3)nc2c1","O=C(NC1CC1)c1ccc(COC2CN3CCC2CC3)cc1"
"hub-batching (ours)",82,distant,2,0.0473,6,0.2609,"Brc1ccc2oc(-c3ccc4nc(C5CNC5)[nH]c4c3)nc2c1","N#Cc1ccc(Cn2cc(CNCc3ccc(-c4nnn(CC5CC5)n4)nc3)c3ccccc32)cc1"
"hub-batching (ours)",82,distant,3,0.0500,6,0.2609,"Fc1ccc2oc(-c3ccc4oc(C5CNC5)nc4c3)nc2c1","O=C(Nc1ccc(NCc2c[nH]c3ccccc23)cc1)C1CN(C(=O)C2Cc3ccccc3CN2)C1"
"BC-Enum-SB (λ=1)",96,closest,1,0.8654,34,0.8293,"O=C(NCc1c[nH]c2ccccc12)c1ccc2oc(C3CN(C(=O)c4ccc5nc(C6CNC6)oc5c4)C3)nc2c1","O=C(NCc1c[nH]c2ccccc12)c1ccc2oc(C3CN(C(=O)c4ccc5oc(C6CNC6)nc5c4)C3)nc2c1"
"BC-Enum-SB (λ=1)",96,closest,2,0.8636,18,0.8571,"O=C(NCc1cn(CC2CC2)c2ccccc12)C1CCCN1","O=C(NCc1cn(CC2CC2)c2ccccc12)C1CCN1"
"BC-Enum-SB (λ=1)",96,closest,3,0.8269,34,0.8293,"O=C(c1ccc2nc(C3CNC3)oc2c1)N(CCc1c[nH]c2ccccc12)Cc1ccc2oc(C3CNC3)nc2c1","O=C(c1ccc2oc(C3CNC3)nc2c1)N(CCc1c[nH]c2ccccc12)Cc1ccc2oc(C3CNC3)nc2c1"
"BC-Enum-SB (λ=1)",96,distant,1,0.0584,6,0.1667,"Brc1ccc(N(Cc2ccc3oc(C4CNC4)nc3c2)Cc2ccc3oc(C4CNC4)nc3c2)cc1","O=C(NCc1cn(CC2CC2)c2ccccc12)C1CCCN(C(=O)c2ccc(-c3nnn(CC4CC4)n3)nc2)C1"
"BC-Enum-SB (λ=1)",96,distant,2,0.0588,6,0.2727,"Brc1ccc(NCc2ccc3nc(C4CNC4)oc3c2)cc1","c1ccc2c(c1)CCN=C2c1ccc(-c2nnn(CC3CC3)n2)nc1"
"BC-Enum-SB (λ=1)",96,distant,3,0.0630,9,0.3750,"Brc1ccc(NCc2ccc(-c3nnn(CC4CC4)n3)nc2)cc1","O=C(Nc1cccc2cc[nH]c12)c1ccc2nc(C3CNC3)oc2c1"
"BC-SB (λ=1)",91,closest,1,0.9032,30,0.9091,"O=C(NCc1cn(Cc2ccc(-c3nnn(CC4CC4)n3)cc2)c2ccccc12)C1CCCN1","O=C(NCc1cn(Cc2ccc(-c3nnn(CC4CC4)n3)cc2)c2ccccc12)C1CCN1"
"BC-SB (λ=1)",91,closest,2,0.8889,30,0.6977,"O=C(NCc1cn(Cc2ccc(-c3nnn(CC4CC4)n3)cc2)c2ccccc12)C1CCCN1c1ccc2ccccc2n1","O=C(NCc1cn(Cc2ccc(-c3nnn(CC4CC4)n3)cc2)c2ccccc12)C1CCN1c1ccc2ccccc2n1"
"BC-SB (λ=1)",91,closest,3,0.8829,37,0.9250,"O=C(NCc1cn(Cc2ccc(-c3nnn(CC4CC4)n3)cc2)c2ccccc12)C1CCCN1C(=O)C1CCCNC1","O=C(NCc1cn(Cc2ccc(-c3nnn(CC4CC4)n3)cc2)c2ccccc12)C1CCCN1C(=O)C1CNC1"
"BC-SB (λ=1)",91,distant,1,0.0822,6,0.2400,"O=C(NCc1ccc(C(F)(F)F)cc1)c1ccc2nc(-c3ccc(COC4CN5CCC4CC5)cc3)oc2c1","c1ccc2c(c1)CCN=C2c1ccc(-c2nnn(CC3CC3)n2)nc1"
"BC-SB (λ=1)",91,distant,2,0.0839,8,0.2963,"CC(NC(=O)c1ccc(COC2CN3CCC2CC3)cc1)c1ccccc1","c1ccc2c(c1)CNC(CN(Cc1ccc(-c3nnn(CC4CC4)n3)nc1)c1cccc3ccn(CC4CC4)c13)C2"
"BC-SB (λ=1)",91,distant,3,0.0844,6,0.1935,"CC(NCc1ccc2nc(-c3ccc(COC4CN5CCC4CC5)cc3)oc2c1)c1ccccc1","O=C(Nc1cccc2ccn(CC3CC3)c12)c1ccc(-c2nnn(CC3CC3)n2)nc1"
