cell,arm,min_modes,modes_at100,arrays,largest,frac_ge4,frac_ge10,rxns_full,groups_gated_in,groups_gated_out,closed_groups,held_ge10,delivered,local_capacity,retained
scent_drd2_seed43,baseline,0,78,14,16,0.769,0.359,336,,,,,,,
scent_drd2_seed43,reward,10,76,8,17,0.987,0.605,351,28,702,27,15,290,362,0.801
scent_drd2_seed43,group,10,76,8,17,0.987,0.684,351,28,702,27,17,296,362,0.818
scent_drd2_seed44,baseline,0,78,15,21,0.885,0.423,338,,,,,,,
scent_drd2_seed44,reward,10,75,5,24,1.0,1.0,362,33,779,31,14,294,482,0.61
scent_drd2_seed44,group,10,75,5,24,1.0,1.0,362,33,779,31,14,294,482,0.61
scent_seh_seed43,baseline,0,79,14,26,0.772,0.519,326,,,,,,,
scent_seh_seed43,reward,10,79,4,28,1.0,0.937,331,17,173,16,14,294,339,0.867
scent_seh_seed43,group,10,79,3,32,1.0,1.0,331,17,173,16,13,293,339,0.864
scent_seh_seed44,baseline,0,80,10,27,0.887,0.675,328,,,,,,,
scent_seh_seed44,reward,10,79,4,31,1.0,0.886,330,18,136,16,14,287,317,0.905
scent_seh_seed44,group,10,79,4,33,1.0,0.911,330,18,136,16,14,289,317,0.912
