assigned_hub,cum_reactions,n_reagents,named_reaction,parent,reactions_added,reagents,reward,smiles,step,template_id
Brc1ccc2c(CN(CCc3ccccc3Br)C3CCC3)c[nH]c2c1,3,1,Buchwald-Hartwig amination,Brc1ccc2c(CN(CCc3ccccc3Br)C3CCC3)c[nH]c2c1,3,NCCN1CCNCC1,1.0,NCCN1CCN(c2ccccc2CCN(Cc2c[nH]c3cc(Br)ccc23)C2CCC2)CC1,1,115
O=CCCN(CCc1ccc(O)cc1)C1CNC1,6,1,Pictet-Spengler cyclisation,O=CCCN(CCc1ccc(O)cc1)C1CNC1,3,COc1ccccc1CCN,1.0,COc1cccc2c1CCNC2CCN(CCc1ccc(O)cc1)C1CNC1,2,145
Oc1ccc(CCNCCCN(Cc2c[nH]c3cc(Br)ccc23)C2CC2)cc1,10,1,Reductive amination (ketone),Oc1ccc(CCNCCCN(Cc2c[nH]c3cc(Br)ccc23)C2CC2)cc1,4,O=C1CNC1,1.0,Oc1ccc(CCN(CCCN(Cc2c[nH]c3cc(Br)ccc23)C2CC2)C2CNC2)cc1,3,74
CCCN(CC1NCCc2ccc(O)cc21)C1CC1,14,1,Reductive amination (aldehyde),CCCN(CC1NCCc2ccc(O)cc21)C1CC1,4,O=Cc1c[nH]c2cc(Br)ccc12,1.0,CCCN(CC1c2cc(O)ccc2CCN1Cc1c[nH]c2cc(Br)ccc12)C1CC1,4,70
NCCN1CCc2ccccc2C1CNC1CCC1,18,1,Reductive amination (aldehyde),NCCN1CCc2ccccc2C1CNC1CCC1,4,O=Cc1c[nH]c2cc(Br)ccc12,1.0,NCCN1CCc2ccccc2C1CN(Cc1c[nH]c2cc(Br)ccc12)C1CCC1,5,70
CCC1NCCc2c1cccc2N1CCN(CCC=O)CC1,22,1,Reductive amination (aldehyde),CCC1NCCc2c1cccc2N1CCN(CCC=O)CC1,4,O=Cc1c[nH]c2cc(Br)ccc12,1.0,CCC1c2cccc(N3CCN(CCC=O)CC3)c2CCN1Cc1c[nH]c2cc(Br)ccc12,6,70
COc1ccccc1CCN(CC1CCN1Cc1c[nH]c2ccc(Br)cc12)C1CNC1,26,0,Functional-group interconversion (Br -> Cl),COc1ccccc1CCN(CC1CCN1Cc1c[nH]c2ccc(Br)cc12)C1CNC1,4,,1.0,COc1ccccc1CCN(CC1CCN1Cc1c[nH]c2ccc(Cl)cc12)C1CNC1,7,165
COc1cccc2c1CCN(CCN)C2CCNC1CC1,30,1,Reductive amination (aldehyde),COc1cccc2c1CCN(CCN)C2CCNC1CC1,4,O=Cc1c[nH]c2ccc(Br)cc12,1.0,COc1cccc2c1CCN(CCN)C2CCN(Cc1c[nH]c2ccc(Br)cc12)C1CC1,8,70
CCC1c2cccc(OC)c2CCN1CCCNCc1c[nH]c2cc(Br)ccc12,34,0,Functional-group interconversion (Br -> Cl),CCC1c2cccc(OC)c2CCN1CCCNCc1c[nH]c2cc(Br)ccc12,4,,1.0,CCC1c2cccc(OC)c2CCN1CCCNCc1c[nH]c2cc(Cl)ccc12,9,165
CCCN1CCCC1CNCCc1ccccc1OC,37,1,Pictet-Spengler cyclisation,CCCN1CCC[C@@H]1CNCCc1ccccc1OC,3,O=Cc1c[nH]c2cc(Br)ccc12,1.0,CCCN1CCCC1CN1CCc2c(OC)cccc2C1c1c[nH]c2cc(Br)ccc12,10,144
