class,n_modes,n_wells,mols_per_well,n_groups,n_singletons,largest_group,largest_group_wells,median_group,mean_group,gini_group,largest_group_share,n_groups_ge2,mols_in_groups_ge2,frac_in_groups_ge2,n_wellgroups_ge2,frac_wells_in_groups_ge2,n_groups_ge4,mols_in_groups_ge4,frac_in_groups_ge4,n_wellgroups_ge4,frac_wells_in_groups_ge4,n_groups_ge8,mols_in_groups_ge8,frac_in_groups_ge8,n_wellgroups_ge8,frac_wells_in_groups_ge8,n_groups_ge10,mols_in_groups_ge10,frac_in_groups_ge10,n_wellgroups_ge10,frac_wells_in_groups_ge10,n_groups_ge24,mols_in_groups_ge24,frac_in_groups_ge24,n_wellgroups_ge24,frac_wells_in_groups_ge24,n_groups_ge96,mols_in_groups_ge96,frac_in_groups_ge96,n_wellgroups_ge96,frac_wells_in_groups_ge96,cell,arm,slice,n_parents,batch_median,batch_max,batch_gini,reactions_used
A,78,69,1.13,14,1,16,15,3.0,5.571,0.416,0.205,13,77,0.987,13,0.986,6,60,0.769,6,0.754,4,46,0.59,2,0.391,2,28,0.359,2,0.391,0,0,0.0,0,0.0,0,0,0.0,0,0.0,scent_drd2_seed43_m10,hub_batching,at100rxn,2,39.0,59,0.256,100
B,78,69,1.13,10,1,28,27,6.0,7.8,0.446,0.359,9,77,0.987,9,0.986,7,73,0.936,7,0.928,4,56,0.718,2,0.536,2,38,0.487,2,0.536,1,28,0.359,1,0.391,0,0,0.0,0,0.0,scent_drd2_seed43_m10,hub_batching,at100rxn,2,39.0,59,0.256,100
A,300,273,1.099,83,27,17,16,2,3.614,0.456,0.057,56,273,0.91,53,0.89,30,212,0.707,27,0.659,9,106,0.353,6,0.271,5,71,0.237,4,0.205,0,0,0.0,0,0.0,0,0,0.0,0,0.0,scent_drd2_seed43_m10,hub_batching,full,13,19,84,0.422,336
B,300,273,1.099,14,2,79,77,15.5,21.429,0.521,0.263,12,298,0.993,12,0.993,10,293,0.977,10,0.974,10,293,0.977,10,0.974,10,293,0.977,9,0.945,5,225,0.75,3,0.586,0,0,0.0,0,0.0,scent_drd2_seed43_m10,hub_batching,full,13,19,84,0.422,336
A,26,26,1.0,26,26,1,1,1.0,1.0,0.0,0.038,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,scent_drd2_seed43_m10,best_candidate,at100rxn,26,1.0,1,0.0,97
B,26,26,1.0,7,2,12,12,2,3.714,0.451,0.462,5,24,0.923,5,0.923,3,20,0.769,3,0.769,1,12,0.462,1,0.462,1,12,0.462,1,0.462,0,0,0.0,0,0.0,0,0,0.0,0,0.0,scent_drd2_seed43_m10,best_candidate,at100rxn,26,1.0,1,0.0,97
A,300,300,1.0,299,298,2,2,1,1.003,0.003,0.007,1,2,0.007,1,0.007,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,scent_drd2_seed43_m10,best_candidate,full,299,1,2,0.003,1137
B,300,300,1.0,12,2,114,114,12.0,25.0,0.608,0.38,10,298,0.993,10,0.993,8,293,0.977,8,0.977,6,282,0.94,6,0.94,6,282,0.94,6,0.94,5,264,0.88,5,0.88,1,114,0.38,1,0.38,scent_drd2_seed43_m10,best_candidate,full,299,1,2,0.003,1137
A,76,65,1.169,8,1,17,16,8.5,9.5,0.309,0.224,7,75,0.987,7,0.985,7,75,0.987,7,0.985,5,63,0.829,3,0.646,3,46,0.605,3,0.646,0,0,0.0,0,0.0,0,0,0.0,0,0.0,scent_drd2_seed43_m10,hub_batching_modes10_reward,at100rxn,4,8.5,58,0.586,100
B,76,65,1.169,5,0,35,34,9,15.2,0.342,0.461,5,76,1.0,5,1.0,5,76,1.0,5,1.0,4,69,0.908,2,0.738,2,52,0.684,2,0.738,1,35,0.461,1,0.523,0,0,0.0,0,0.0,scent_drd2_seed43_m10,hub_batching_modes10_reward,at100rxn,4,8.5,58,0.586,100
