cum_reactions,n_reagents,named_reaction,parent,parent_input,reactions_added,reagents,reward,smiles,step,template_id
22,1,Direct acid -> amine (reductive),CN(CC(=O)O)C1CCC1,CN(CC(=O)O)C1CCC1,2,Oc1ccc2[nH]cc(CCNCc3ccc(F)cc3)c2c1,1.0,CN(CCN(CCc1c[nH]c2ccc(O)cc12)Cc1ccc(F)cc1)C1CCC1,1,138
23,1,Direct acid -> amine (reductive),CN(CC(=O)O)C1CCC1,CN(CC(=O)O)C1CCC1,1,Oc1ccc2c(c1)C(c1c[nH]c3ccc(F)cc13)NCC2,1.0,CN(CCN1CCc2ccc(O)cc2C1c1c[nH]c2ccc(F)cc12)C1CCC1,2,138
24,1,Direct acid -> amine (reductive),CN(CC(=O)O)C1CCC1,CN(CC(=O)O)C1CCC1,1,N#Cc1cccc(C(CBr)Nc2ccc(Br)cc2O)c1,0.9812,CN(CCN(c1ccc(Br)cc1O)C(CBr)c1cccc(C#N)c1)C1CCC1,3,138
25,1,Direct acid -> amine (reductive),CN(CC(=O)O)C1CCC1,CN(CC(=O)O)C1CCC1,1,COc1ccccc1CCNc1cc(F)ccc1C(=O)CCl,0.972,COc1ccccc1CCN(CCN(C)C1CCC1)c1cc(F)ccc1C(=O)CCl,4,138
26,1,Direct acid -> amine (reductive),CN(CC(=O)O)C1CCC1,CN(CC(=O)O)C1CCC1,1,NCCc1ccc(O)cc1,0.9418,CN(CCNCCc1ccc(O)cc1)C1CCC1,5,136
27,1,Direct acid -> amine (reductive),CN(CC(=O)O)C1CCC1,CN(CC(=O)O)C1CCC1,1,NCCc1c[nH]c2ccccc12,0.9366,CN(CCNCCc1c[nH]c2ccccc12)C1CCC1,6,136
28,1,Direct acid -> amine (reductive),CN(CC(=O)O)C1CCC1,CN(CC(=O)O)C1CCC1,1,CCCN[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,0.7886,CCCN(CCN(C)C1CCC1)C(Cc1c[nH]c2ccccc12)C(=O)O,7,138
29,1,Direct acid -> amine (reductive),CN(CC(=O)O)C1CCC1,CN(CC(=O)O)C1CCC1,1,NCc1cccc(O)c1,0.7658,CN(CCNCc1cccc(O)c1)C1CCC1,8,136
30,1,Direct acid -> amine (reductive),CN(CC(=O)O)C1CCC1,CN(CC(=O)O)C1CCC1,1,O=C(O)[C@H]1Cc2ccc(O)cc2C([C@@H]2CCCN2)=N1,0.759,CN(CCN1CCCC1C1=NC(C(=O)O)Cc2ccc(O)cc21)C1CCC1,9,138
31,1,Direct acid -> amine (reductive),CN(CC(=O)O)C1CCC1,CN(CC(=O)O)C1CCC1,1,COc1ccccc1CCN,0.7187,COc1ccccc1CCNCCN(C)C1CCC1,10,136
32,1,Direct acid -> amine (reductive),CN(CC(=O)O)C1CCC1,CN(CC(=O)O)C1CCC1,1,COc1ccccc1CCNCC[C@H](N)C(=O)O,0.6627,COc1ccccc1CCN(CCC(N)C(=O)O)CCN(C)C1CCC1,11,138
33,1,Direct acid -> amine (reductive),CN(CC(=O)O)C1CCC1,CN(CC(=O)O)C1CCC1,1,NCc1ccccc1O,0.5951,CN(CCNCc1ccccc1O)C1CCC1,12,136
35,1,Reductive amination (aldehyde),Oc1ccc(CCNCC2CCN2)cc1,Oc1ccc(CCNCC2CCN2)cc1,2,O=Cc1c[nH]c2ccc(Br)cc12,1.0,Oc1ccc(CCNCC2CCN2Cc2c[nH]c3ccc(Br)cc23)cc1,13,70
36,1,Reductive amination (aldehyde),Oc1ccc(CCNCC2CCN2)cc1,Oc1ccc(CCNCC2CCN2)cc1,1,O=Cc1c[nH]c2ccc(Br)cc12,1.0,Oc1ccc(CCN(Cc2c[nH]c3ccc(Br)cc23)CC2CCN2)cc1,14,70
37,1,Reductive amination (aldehyde),Oc1ccc(CCNCC2CCN2)cc1,Oc1ccc(CCNCC2CCN2)cc1,1,CCC=O,1.0,CCCN1CCC1CNCCc1ccc(O)cc1,15,70
38,1,Reductive amination (aldehyde),Oc1ccc(CCNCC2CCN2)cc1,Oc1ccc(CCNCC2CCN2)cc1,1,O=Cc1ccnc(Br)c1,0.9865,Oc1ccc(CCN(Cc2ccnc(Br)c2)CC2CCN2)cc1,16,70
39,1,Reductive amination (aldehyde),Oc1ccc(CCNCC2CCN2)cc1,Oc1ccc(CCNCC2CCN2)cc1,1,COc1cc(C(F)(F)F)ccc1C=O,0.9488,COc1cc(C(F)(F)F)ccc1CN1CCC1CNCCc1ccc(O)cc1,17,70
40,1,Reductive amination (aldehyde),Oc1ccc(CCNCC2CCN2)cc1,Oc1ccc(CCNCC2CCN2)cc1,1,O=Cc1nc2ccccc2[nH]1,0.9329,Oc1ccc(CCNCC2CCN2Cc2nc3ccccc3[nH]2)cc1,18,70
41,1,Reductive amination (aldehyde),Oc1ccc(CCNCC2CCN2)cc1,Oc1ccc(CCNCC2CCN2)cc1,1,O=Cc1ccccc1C(=O)O,0.9117,O=C(O)c1ccccc1CN(CCc1ccc(O)cc1)CC1CCN1,19,70
42,1,Reductive amination (aldehyde),Oc1ccc(CCNCC2CCN2)cc1,Oc1ccc(CCNCC2CCN2)cc1,1,COc1cc(C(F)(F)F)ccc1C=O,0.894,COc1cc(C(F)(F)F)ccc1CN(CCc1ccc(O)cc1)CC1CCN1,20,70
