cell,arm,slice,named_reaction,parent_input,local_modes,local_capped,delivered_modes,retained_frac,delivered_ge_min,hub_truncated,n_wells,first_step,last_step
scent_drd2_seed44_m10,hub_batching_modes10_reward,at100rxn,Direct acid -> amine (reductive),COc1ccc(O)c(NC2CNC2)c1,24,False,24,1.0,True,False,16,16,39
scent_drd2_seed44_m10,hub_batching_modes10_reward,at100rxn,Direct acid -> amine (reductive),O=C(O)[C@@H]1CCCN1,15,False,15,1.0,True,False,12,1,15
scent_drd2_seed44_m10,hub_batching_modes10_reward,at100rxn,Reductive amination (ketone),C[C@H](N)CN1CCCC(=O)C1,15,False,14,0.933,True,False,13,50,63
scent_drd2_seed44_m10,hub_batching_modes10_reward,at100rxn,Direct acid -> amine (reductive),COc1ccccc1CCNCCNC1CC1,15,False,12,0.8,True,True,12,64,75
scent_drd2_seed44_m10,hub_batching_modes10_reward,at100rxn,Direct acid -> amine (reductive),O=CCCN1CCC[C@@H]1C(=O)O,14,False,10,0.714,True,False,9,40,49
scent_drd2_seed44_m10,hub_batching_modes10_reward,full,Direct acid -> amine (reductive),COc1ccc(O)c(NC2CNC2)c1,24,False,24,1.0,True,False,16,16,39
scent_drd2_seed44_m10,hub_batching_modes10_reward,full,Buchwald-Hartwig amination,NCCCN1CCC(NCCc2ccccc2Br)CC1,19,False,16,0.842,True,False,15,193,208
scent_drd2_seed44_m10,hub_batching_modes10_reward,full,Direct acid -> amine (reductive),O=C(O)[C@@H]1CCCN1,15,False,15,1.0,True,False,12,1,15
scent_drd2_seed44_m10,hub_batching_modes10_reward,full,Direct acid -> amine (reductive),COc1ccccc1CCNCCNC1CC1,15,False,15,1.0,True,False,15,64,78
scent_drd2_seed44_m10,hub_batching_modes10_reward,full,Direct acid -> amine (reductive),N[C@@H](CCNC1CC1)CNCCc1ccc(O)cc1,15,False,15,1.0,True,False,12,257,271
scent_drd2_seed44_m10,hub_batching_modes10_reward,full,Reductive amination (ketone),C[C@H](N)CN1CCCC(=O)C1,15,False,14,0.933,True,False,13,50,63
