assigned_hub,cum_reactions,n_reagents,named_reaction,parent,reactions_added,reagents,reward,smiles,step,template_id
Oc1ccccc1N(CCN1CCCCC1)C1CNC1,4,1,Reductive amination (aldehyde),Oc1ccccc1N(CCN1CCCCC1)C1CNC1,4,O=Cc1c[nH]c2cc(Br)ccc12,1.0,Oc1ccccc1N(CCN1CCCCC1)C1CN(Cc2c[nH]c3cc(Br)ccc23)C1,1,70
O=CCCN(CCC(=O)O)Cc1cccc(Br)c1,7,1,Direct acid -> amine (reductive),O=CCCN(CCC(=O)O)Cc1cccc(Br)c1,3,NCCc1c[nH]c2ccc(O)cc12,1.0,O=CCCN(CCCNCCc1c[nH]c2ccc(O)cc12)Cc1cccc(Br)c1,2,136
C=CCN(CCC1NCCc2ccccc21)C1CC1,11,1,Reductive amination (aldehyde),C=CCN(CCC1NCCc2ccccc21)C1CC1,4,O=Cc1c[nH]c2cc(Br)ccc12,1.0,C=CCN(CCC1c2ccccc2CCN1Cc1c[nH]c2cc(Br)ccc12)C1CC1,3,70
O=C(O)C1CCCN1C1CNC1,15,1,Direct acid -> amine (reductive),O=C(O)[C@H]1CCCN1C1CNC1,4,COc1cccc2c1CCNC2c1c[nH]c2cc(I)ccc12,1.0,COc1cccc2c1CCN(CC1CCCN1C1CNC1)C2c1c[nH]c2cc(I)ccc12,4,138
COc1ccccc1CCN(CCCN)C1CNC1,18,1,Reductive amination (aldehyde),COc1ccccc1CCN(CCCN)C1CNC1,3,O=Cc1c[nH]c2ccc(Br)cc12,1.0,COc1ccccc1CCN(CCCNCc1c[nH]c2ccc(Br)cc12)C1CNC1,5,68
COc1ccccc1CCNCCNC1CC1,21,1,Reductive amination (aldehyde),COc1ccccc1CCNCCNC1CC1,3,O=Cc1c[nH]c2ccc(F)cc12,1.0,COc1ccccc1CCNCCN(Cc1c[nH]c2ccc(F)cc12)C1CC1,6,70
COc1cccc2c1CCN(CC1CCCN1)C2c1c[nH]c2ccc(Br)cc12,24,1,Reductive amination (aldehyde),COc1cccc2c1CCN(C[C@@H]1CCCN1)C2c1c[nH]c2ccc(Br)cc12,3,CCC=O,1.0,CCCN1CCCC1CN1CCc2c(OC)cccc2C1c1c[nH]c2ccc(Br)cc12,7,70
COc1cccc2c1CCN(C1CN(C3CCC3)C1)C2c1c[nH]c2ccc(Br)cc12,28,0,Functional-group interconversion (Br -> Cl),COc1cccc2c1CCN(C1CN(C3CCC3)C1)C2c1c[nH]c2ccc(Br)cc12,4,,1.0,COc1cccc2c1CCN(C1CN(C3CCC3)C1)C2c1c[nH]c2ccc(Cl)cc12,8,165
CNCCN(c1ccccc1S)C1CN(Cc2c[nH]c3ccc(F)cc23)C1,32,1,Reductive amination (ketone),CNCCN(c1ccccc1S)C1CN(Cc2c[nH]c3ccc(F)cc23)C1,4,O=C1CCC1,1.0,CN(CCN(c1ccccc1S)C1CN(Cc2c[nH]c3ccc(F)cc23)C1)C1CCC1,9,74
COc1ccccc1CCN(Cc1c[nH]c2cc(Br)ccc12)C1CCCNC1,35,1,Reductive amination (ketone),COc1ccccc1CCN(Cc1c[nH]c2cc(Br)ccc12)C1CCCNC1,3,O=C1CNC1,1.0,COc1ccccc1CCN(Cc1c[nH]c2cc(Br)ccc12)C1CCCN(C2CNC2)C1,10,74
CCC1c2cccc(OC)c2CCN1C1CCNCC1,38,1,Reductive amination (aldehyde),CCC1c2cccc(OC)c2CCN1C1CCNCC1,3,O=Cc1c[nH]c2cc(Br)ccc12,1.0,CCC1c2cccc(OC)c2CCN1C1CCN(Cc2c[nH]c3cc(Br)ccc23)CC1,11,70
Fc1ccc(CNCCCN2CCCC(Nc3cccc4cc[nH]c34)C2)cc1,42,1,Reductive amination (aldehyde),Fc1ccc(CNCCCN2CCCC(Nc3cccc4cc[nH]c34)C2)cc1,4,CCC=O,1.0,CCCN(c1cccc2cc[nH]c12)C1CCCN(CCCNCc2ccc(F)cc2)C1,12,70
COc1ccccc1CCN(CC1CCCN1Cc1c[nH]c2ccc(Br)cc12)C1CNC1,46,0,Functional-group interconversion (Br -> I),COc1ccccc1CCN(C[C@H]1CCCN1Cc1c[nH]c2ccc(Br)cc12)C1CNC1,4,,1.0,COc1ccccc1CCN(CC1CCCN1Cc1c[nH]c2ccc(I)cc12)C1CNC1,13,166
