assigned_hub,cum_reactions,n_reagents,named_reaction,parent,reactions_added,reagents,reward,smiles,step,template_id
c1nc(-c2ccc(NCc3ccc4oc(C5CNC5)nc4c3)cc2)c[nH]1,4,1,N-alkylation (azole N-H + alkyl halide),c1nc(-c2ccc(NCc3ccc4oc(C5CNC5)nc4c3)cc2)c[nH]1,4,ClCC1CC1,8.4038,c1cc2oc(C3CNC3)nc2cc1CNc1ccc(-c2cn(CC3CC3)cn2)cc1,1,200
O=C(O)c1ccc2[nH]c(C3CNC3)nc2c1,8,1,Direct acid -> amine (reductive),O=C(O)c1ccc2[nH]c(C3CNC3)nc2c1,4,Nc1ccc(-c2cn(CC3CC3)nn2)cc1,8.3961,c1cc2[nH]c(C3CNC3)nc2cc1CNc1ccc(-c2cn(CC3CC3)nn2)cc1,2,136
O=C(NC1CC1)c1ccc2nc(-c3ccc(CCl)cc3)oc2c1,12,1,N-alkylation (azole N-H + alkyl halide),O=C(NC1CC1)c1ccc2nc(-c3ccc(CCl)cc3)oc2c1,4,O=C(NCc1c[nH]c2ccccc12)C1CNC1,8.3772,O=C(NC1CC1)c1ccc2nc(-c3ccc(Cn4cc(CNC(=O)C5CNC5)c5ccccc54)cc3)oc2c1,3,201
NCc1cn(CC2CC2)c2ccccc12,16,1,Amide coupling,O=C(O)c1ccc2nc(-c3ccc(CO[C@H]4CN5CCC4CC5)cc3)oc2c1,4,NCc1cn(CC2CC2)c2ccccc12,8.3541,O=C(NCc1cn(CC2CC2)c2ccccc12)c1ccc2nc(-c3ccc(COC4CN5CCC4CC5)cc3)oc2c1,4,76
NCc1cn(CC2CC2)c2ccccc12,20,1,Amide coupling,NCc1cn(CC2CC2)c2ccccc12,4,O=C(O)c1ccc2oc(-c3cccc(C(=O)NC4CC4)c3)nc2c1,8.343,O=C(NCc1cn(CC2CC2)c2ccccc12)c1ccc2oc(-c3cccc(C(=O)NC4CC4)c3)nc2c1,5,77
,24,1,Buchwald-Hartwig amination,Brc1ccc2[nH]c(C3CNC3)nc2c1,4,NCc1cn(Cc2ccc(-c3nnn(CC4CC4)n3)cc2)c2ccccc12,8.3425,c1ccc2c(c1)c(CNc1ccc3[nH]c(C4CNC4)nc3c1)cn2Cc1ccc(-c2nnn(CC3CC3)n2)cc1,6,113
O=Cc1ccc(C(=O)NC2CC2)cc1,28,1,Reductive amination (aldehyde),O=Cc1ccc(C(=O)NC2CC2)cc1,4,Nc1ccc(NCc2cn(CC3CC3)c3ccccc23)cc1,8.3402,O=C(NC1CC1)c1ccc(CNc2ccc(NCc3cn(CC4CC4)c4ccccc34)cc2)cc1,7,69
O=C(O)c1ccc2nc(C3CNC3)oc2c1,30,1,Amide coupling,O=C(O)c1ccc2nc(C3CNC3)oc2c1,2,Nc1ccc(NCc2cn(CC3CC3)c3ccccc23)cc1,8.329,O=C(Nc1ccc(NCc2cn(CC3CC3)c3ccccc23)cc1)c1ccc2nc(C3CNC3)oc2c1,8,76
OB(O)c1cccc(-c2nnn(CC3CC3)n2)c1,34,1,Suzuki coupling,OB(O)c1cccc(-c2nnn(CC3CC3)n2)c1,4,Brc1ccc(NCc2cn(CC3CC3)c3ccccc23)cc1,8.3164,c1cc(-c2ccc(NCc3cn(CC4CC4)c4ccccc34)cc2)cc(-c2nnn(CC3CC3)n2)c1,9,86
Ic1cn(CC2CC2)cn1,38,1,Suzuki coupling,Ic1cn(CC2CC2)cn1,4,OB(O)c1ccc(NCc2ccc(-c3nnn(CC4CC4)n3)nc2)cc1,8.3116,c1cc(-c2nnn(CC3CC3)n2)ncc1CNc1ccc(-c2cn(CC3CC3)cn2)cc1,10,85
OB(O)c1cccc(NCc2cccc(-c3cnc(F)nc3)c2)c1,42,1,Suzuki coupling,OB(O)c1cccc(NCc2cccc(-c3cnc(F)nc3)c2)c1,4,O=C(Nc1cc(Br)n[nH]1)C1CNC1,8.3109,O=C(Nc1cc(-c2cccc(NCc3cccc(-c4cnc(F)nc4)c3)c2)n[nH]1)C1CNC1,11,86
C#Cc1cc(NCc2ccc(-c3nnn(CC4CC4)n3)nc2)[nH]n1,46,1,Triazole formation (alkyne + alkyl halide),C#Cc1cc(NCc2ccc(-c3nnn(CC4CC4)n3)nc2)[nH]n1,4,ClCC1CC1,8.306,c1cc(-c2nnn(CC3CC3)n2)ncc1CNc1cc(-c2cn(CC3CC3)nn2)n[nH]1,12,100
O=Cc1ccc(C2=NCCc3ccccc32)cc1,48,1,Reductive amination (aldehyde),O=Cc1ccc(C2=NCCc3ccccc32)cc1,2,Nc1ccc(-c2cn(CC3CC3)nn2)cc1,8.3047,c1ccc2c(c1)CCN=C2c1ccc(CNc2ccc(-c3cn(CC4CC4)nn3)cc2)cc1,13,69
O=C(O)c1ccc2[nH]c(C3CNC3)nc2c1,52,1,Direct acid -> amine (reductive),O=C(O)c1ccc2[nH]c(C3CNC3)nc2c1,4,Nc1cc(-c2cccc(-c3nnn(CC4CC4)n3)c2)n[nH]1,8.3042,c1cc(-c2cc(NCc3ccc4[nH]c(C5CNC5)nc4c3)[nH]n2)cc(-c2nnn(CC3CC3)n2)c1,14,136
BrCc1ccc(-c2nnn(CC3CC3)n2)cc1,56,1,N-alkylation (azole N-H + alkyl halide),BrCc1ccc(-c2nnn(CC3CC3)n2)cc1,4,O=C(Nc1cc(-c2ccc3[nH]ccc3c2)n[nH]1)C1CNC1,8.3032,O=C(Nc1cc(-c2ccc3c(ccn3Cc3ccc(-c4nnn(CC5CC5)n4)cc3)c2)n[nH]1)C1CNC1,15,203
Nc1cccc(-c2cc(NCC3Cc4ccccc4CN3)[nH]n2)c1,60,1,Suzuki coupling,Brc1cc(NC[C@@H]2Cc3ccccc3CN2)[nH]n1,4,OB(O)c1cccc(NCc2ccc(-c3nnn(CC4CC4)n3)nc2)c1,8.303,c1cc(NCc2ccc(-c3nnn(CC4CC4)n3)nc2)cc(-c2cc(NCC3Cc4ccccc4CN3)[nH]n2)c1,16,87
,64,1,Direct acid -> amine (reductive),Nc1cccc(-c2ccc3oc(C4CNC4)nc3c2)c1,4,O=C(O)c1ccc(-c2nnn(CC3CC3)n2)nc1,8.2913,c1cc(NCc2ccc(-c3nnn(CC4CC4)n3)nc2)cc(-c2ccc3oc(C4CNC4)nc3c2)c1,17,137
Brc1ccc2[nH]c(-c3ccc(COC4CN5CCC4CC5)cc3)nc2c1,68,1,Buchwald-Hartwig amination,Brc1ccc2[nH]c(-c3ccc(CO[C@H]4CN5CCC4CC5)cc3)nc2c1,4,NCCc1cn(CC2CC2)c2ccccc12,8.289,c1ccc2c(c1)c(CCNc1ccc3[nH]c(-c4ccc(COC5CN6CCC5CC6)cc4)nc3c1)cn2CC1CC1,18,113
O=C(O)c1ccc(-c2nc3ccc(-c4nc5cc(CNC67CC(C6)C7)ccc5o4)cc3o2)cc1,72,1,Amide coupling,O=C(O)c1ccc(-c2nc3ccc(-c4nc5cc(CNC67CC(C6)C7)ccc5o4)cc3o2)cc1,4,NC1CC1,8.2829,O=C(NC1CC1)c1ccc(-c2nc3ccc(-c4nc5cc(CNC67CC(C6)C7)ccc5o4)cc3o2)cc1,19,76
Brc1ccc2nc(-c3ccc4nc(C5CNC5)[nH]c4c3)oc2c1,75,1,Buchwald-Hartwig amination,Brc1ccc2nc(-c3ccc4nc(C5CNC5)[nH]c4c3)oc2c1,3,NCc1cn(CC2CC2)c2ccccc12,8.2766,c1ccc2c(c1)c(CNc1ccc3nc(-c4ccc5nc(C6CNC6)[nH]c5c4)oc3c1)cn2CC1CC1,20,113
,78,1,Amide coupling,Nc1cccc2ccn(Cc3ccc(-c4nnn(CC5CC5)n4)cc3)c12,3,O=C(O)c1ccc(CO[C@H]2CN3CCC2CC3)cc1,8.2763,O=C(Nc1cccc2ccn(Cc3ccc(-c4nnn(CC5CC5)n4)cc3)c12)c1ccc(COC2CN3CCC2CC3)cc1,21,77
OB(O)c1cccc(NCc2c[nH]c3ccc(-c4nnn(CC5CC5)n4)cc23)c1,81,1,Reductive amination (aldehyde),O=Cc1c[nH]c2ccc(-c3nnn(CC4CC4)n3)cc12,3,Nc1cccc(-c2cc(NC(=O)C3CNC3)[nH]n2)c1,8.2749,O=C(Nc1cc(-c2cccc(NCc3c[nH]c4ccc(-c5nnn(CC6CC6)n5)cc34)c2)n[nH]1)C1CNC1,22,69
