class,n_modes,n_wells,mols_per_well,n_groups,n_singletons,largest_group,largest_group_wells,median_group,mean_group,gini_group,largest_group_share,n_groups_ge2,mols_in_groups_ge2,frac_in_groups_ge2,n_wellgroups_ge2,frac_wells_in_groups_ge2,n_groups_ge4,mols_in_groups_ge4,frac_in_groups_ge4,n_wellgroups_ge4,frac_wells_in_groups_ge4,n_groups_ge8,mols_in_groups_ge8,frac_in_groups_ge8,n_wellgroups_ge8,frac_wells_in_groups_ge8,n_groups_ge10,mols_in_groups_ge10,frac_in_groups_ge10,n_wellgroups_ge10,frac_wells_in_groups_ge10,n_groups_ge24,mols_in_groups_ge24,frac_in_groups_ge24,n_wellgroups_ge24,frac_wells_in_groups_ge24,n_groups_ge96,mols_in_groups_ge96,frac_in_groups_ge96,n_wellgroups_ge96,frac_wells_in_groups_ge96,cell,arm,slice,n_parents,batch_median,batch_max,batch_gini,reactions_used
A,79,74,1.068,14,2,26,22,2.5,5.643,0.533,0.329,12,77,0.975,12,0.973,5,61,0.772,5,0.757,3,50,0.633,3,0.608,2,41,0.519,2,0.486,1,26,0.329,0,0.0,0,0,0.0,0,0.0,scent_seh_seed43_par50,hub_batching,at100rxn,2,39.5,53,0.171,100
B,79,74,1.068,11,2,28,24,3,7.182,0.55,0.354,9,77,0.975,9,0.973,5,68,0.861,5,0.851,4,63,0.797,4,0.784,2,46,0.582,2,0.554,1,28,0.354,1,0.324,0,0,0.0,0,0.0,scent_seh_seed43_par50,hub_batching,at100rxn,2,39.5,53,0.171,100
A,300,284,1.056,54,14,31,29,3.0,5.556,0.558,0.103,40,286,0.953,39,0.947,22,242,0.807,21,0.789,11,187,0.623,11,0.616,5,136,0.453,5,0.44,4,114,0.38,3,0.292,0,0,0.0,0,0.0,scent_seh_seed43_par50,hub_batching,full,6,49.0,79,0.178,326
B,300,284,1.056,17,4,99,90,5,17.647,0.671,0.33,13,296,0.987,13,0.986,9,286,0.953,9,0.951,8,281,0.937,8,0.933,7,273,0.91,6,0.873,4,237,0.79,4,0.789,1,99,0.33,0,0.0,scent_seh_seed43_par50,hub_batching,full,6,49.0,79,0.178,326
A,27,27,1.0,26,25,2,2,1.0,1.038,0.036,0.074,1,2,0.074,1,0.074,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,scent_seh_seed43_par50,best_candidate,at100rxn,26,1.0,2,0.036,97
B,27,27,1.0,8,2,8,8,3.0,3.375,0.319,0.296,6,25,0.926,6,0.926,2,13,0.481,2,0.481,1,8,0.296,1,0.296,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,scent_seh_seed43_par50,best_candidate,at100rxn,26,1.0,2,0.036,97
A,300,300,1.0,279,263,5,5,1,1.075,0.067,0.017,16,37,0.123,16,0.123,1,5,0.017,1,0.017,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,scent_seh_seed43_par50,best_candidate,full,269,1,6,0.098,955
B,300,300,1.0,16,1,73,73,9.5,18.75,0.559,0.243,15,299,0.997,15,0.997,13,294,0.98,13,0.98,9,273,0.91,9,0.91,8,265,0.883,8,0.883,4,205,0.683,4,0.683,0,0,0.0,0,0.0,scent_seh_seed43_par50,best_candidate,full,269,1,6,0.098,955
A,79,74,1.068,13,3,26,22,3,6.077,0.541,0.329,10,76,0.962,10,0.959,5,63,0.797,5,0.784,3,51,0.646,3,0.622,2,42,0.532,2,0.5,1,26,0.329,0,0.0,0,0,0.0,0,0.0,scent_seh_seed43_par50,hub_batching_par50,at100rxn,2,39.5,51,0.146,100
B,79,74,1.068,10,3,29,25,4.0,7.9,0.558,0.367,7,76,0.962,7,0.959,5,71,0.899,5,0.892,4,66,0.835,4,0.824,2,48,0.608,2,0.581,1,29,0.367,1,0.338,0,0,0.0,0,0.0,scent_seh_seed43_par50,hub_batching_par50,at100rxn,2,39.5,51,0.146,100
A,300,280,1.071,44,10,31,29,3.5,6.818,0.553,0.103,34,290,0.967,32,0.957,22,262,0.873,21,0.861,12,207,0.69,11,0.664,6,155,0.517,6,0.511,4,114,0.38,3,0.296,0,0,0.0,0,0.0,scent_seh_seed43_par50,hub_batching_par50,full,7,42,73,0.209,327
B,300,280,1.071,14,2,101,91,5.0,21.429,0.643,0.337,12,298,0.993,11,0.989,8,288,0.96,7,0.95,6,278,0.927,6,0.932,5,270,0.9,5,0.904,5,270,0.9,5,0.904,1,101,0.337,0,0.0,scent_seh_seed43_par50,hub_batching_par50,full,7,42,73,0.209,327
