assigned_hub,cum_reactions,n_reagents,named_reaction,parent,reactions_added,reagents,reward,smiles,step,template_id
c1nc(-c2ccc(NCc3ccc4oc(C5CNC5)nc4c3)cc2)c[nH]1,4,1,N-alkylation (azole N-H + alkyl halide),c1nc(-c2ccc(NCc3ccc4oc(C5CNC5)nc4c3)cc2)c[nH]1,4,ClCC1CC1,8.4038,c1cc2oc(C3CNC3)nc2cc1CNc1ccc(-c2cn(CC3CC3)cn2)cc1,1,200
C#Cc1ccc(NCc2ccc3[nH]c(C4CNC4)nc3c2)cc1,8,1,Triazole formation (alkyne + alkyl halide),C#Cc1ccc(NCc2ccc3[nH]c(C4CNC4)nc3c2)cc1,4,ClCC1CC1,8.3961,c1cc2[nH]c(C3CNC3)nc2cc1CNc1ccc(-c2cn(CC3CC3)nn2)cc1,2,100
c1ccc2c(CNc3ccc4[nH]c(-c5ccc(COC6CN7CCC6CC7)cc5)nc4c3)c[nH]c2c1,12,1,N-alkylation (azole N-H + alkyl halide),c1ccc2c(CNc3ccc4[nH]c(-c5ccc(CO[C@H]6CN7CCC6CC7)cc5)nc4c3)c[nH]c2c1,4,ClCC1CC1,8.3934,c1ccc2c(c1)c(CNc1ccc3[nH]c(-c4ccc(COC5CN6CCC5CC6)cc4)nc3c1)cn2CC1CC1,3,200
O=C(O)c1ccc2nc(-c3ccc(C(=O)NCc4cn(CC5CC5)c5ccccc45)cc3)oc2c1,16,1,Amide coupling,O=C(O)c1ccc2nc(-c3ccc(C(=O)NCc4cn(CC5CC5)c5ccccc45)cc3)oc2c1,4,NC1CC1,8.3563,O=C(NCc1cn(CC2CC2)c2ccccc12)c1ccc(-c2nc3ccc(C(=O)NC4CC4)cc3o2)cc1,4,76
O=C(Nc1ccc(Br)cc1)C1CNC1,20,1,Buchwald-Hartwig amination,O=C(Nc1ccc(Br)cc1)C1CNC1,4,NCc1cn(Cc2ccc(-c3nnn(CC4CC4)n3)cc2)c2ccccc12,8.3515,O=C(Nc1ccc(NCc2cn(Cc3ccc(-c4nnn(CC5CC5)n4)cc3)c3ccccc23)cc1)C1CNC1,5,113
NCc1cn(CC2CC2)c2ccccc12,24,1,N-alkylation (azole N-H + alkyl halide),O=C(NCc1c[nH]c2ccccc12)c1cccc(-c2ccc3oc(C4CNC4)nc3c2)c1,4,ClCC1CC1,8.333,O=C(NCc1cn(CC2CC2)c2ccccc12)c1cccc(-c2ccc3oc(C4CNC4)nc3c2)c1,6,200
c1ccc2c(CNc3ccc(-c4cn(CC5CC5)nn4)cc3)c[nH]c2c1,28,1,N-alkylation (azole N-H + alkyl halide),c1ccc2c(CNc3ccc(-c4cn(CC5CC5)nn4)cc3)c[nH]c2c1,4,ClCC1CC1,8.3276,c1ccc2c(c1)c(CNc1ccc(-c3cn(CC4CC4)nn3)cc1)cn2CC1CC1,7,200
OC1CN2CCC1CC2,31,1,Williamson ether synthesis,O[C@H]1CN2CCC1CC2,3,O=C(NC1CC1)c1ccc2nc(-c3ccc(CCl)cc3)oc2c1,8.3265,O=C(NC1CC1)c1ccc2nc(-c3ccc(COC4CN5CCC4CC5)cc3)oc2c1,8,177
c1cc(NCc2ccc3nc(C4CNC4)[nH]c3c2)cc(-c2c[nH]cn2)c1,35,1,N-alkylation (azole N-H + alkyl halide),c1cc(NCc2ccc3nc(C4CNC4)[nH]c3c2)cc(-c2c[nH]cn2)c1,4,ClCC1CC1,8.3189,c1cc(NCc2ccc3nc(C4CNC4)[nH]c3c2)cc(-c2cn(CC3CC3)cn2)c1,9,200
Brc1cn(CC2CC2)cn1,39,1,Suzuki coupling (pinacol boronate),Brc1cn(CC2CC2)cn1,4,CC1(C)OB(c2ccc(NCc3ccc(-c4nnn(CC5CC5)n4)nc3)nc2)OC1(C)C,8.3151,c1cc(-c2nnn(CC3CC3)n2)ncc1CNc1ccc(-c2cn(CC3CC3)cn2)cn1,10,91
O=C(O)c1ccc2nc(C3CNC3)oc2c1,43,1,Triazole formation (alkyne + alkyl halide),C#Cc1cc(NCc2ccc3nc(C4CNC4)oc3c2)[nH]n1,4,ClCC1CC1,8.3127,c1cc2nc(C3CNC3)oc2cc1CNc1cc(-c2cn(CC3CC3)nn2)n[nH]1,11,100
,47,1,N-alkylation (azole N-H + alkyl halide),O=C(NC1CC1)c1ccc2oc(-c3ccc(CCl)cc3)nc2c1,4,O=C(NCc1c[nH]c2ccccc12)C1CNC1,8.3103,O=C(NC1CC1)c1ccc2oc(-c3ccc(Cn4cc(CNC(=O)C5CNC5)c5ccccc54)cc3)nc2c1,12,201
,51,1,Suzuki coupling,OB(O)c1cccc(NCc2ccc(-c3nnn(CC4CC4)n3)nc2)c1,4,O=C(Nc1cc(Br)n[nH]1)C1CNC1,8.3087,O=C(Nc1cc(-c2cccc(NCc3ccc(-c4nnn(CC5CC5)n4)nc3)c2)n[nH]1)C1CNC1,13,86
NCc1cn(CC2CC2)c2ccccc12,53,1,Direct acid -> amine (reductive),O=C(O)c1ccc2nc(C3CNC3)oc2c1,2,Nc1ccc(NCc2cn(CC3CC3)c3ccccc23)cc1,8.3047,c1ccc2c(c1)c(CNc1ccc(NCc3ccc4nc(C5CNC5)oc4c3)cc1)cn2CC1CC1,14,136
C#Cc1ccc(NCc2ccc(C3=NCCc4ccccc43)cc2)cc1,57,1,Triazole formation (alkyne + alkyl halide),C#Cc1ccc(NCc2ccc(C3=NCCc4ccccc43)cc2)cc1,4,ClCC1CC1,8.3045,c1ccc2c(c1)CCN=C2c1ccc(CNc2ccc(-c3cn(CC4CC4)nn3)cc2)cc1,15,100
O=C(Nc1cc(-c2ccc3[nH]ccc3c2)n[nH]1)C1CNC1,60,1,N-alkylation (azole N-H + alkyl halide),O=C(Nc1cc(-c2ccc3[nH]ccc3c2)n[nH]1)C1CNC1,3,BrCc1ccc(-c2nnn(CC3CC3)n2)cc1,8.3032,O=C(Nc1cc(-c2ccc3c(ccn3Cc3ccc(-c4nnn(CC5CC5)n4)cc3)c2)n[nH]1)C1CNC1,16,202
,63,1,Suzuki coupling,OB(O)c1cccc(NCc2ccc3oc(C4CNC4)nc3c2)c1,3,O=C(Nc1cc(Br)n[nH]1)C1CNC1,8.2981,O=C(Nc1cc(-c2cccc(NCc3ccc4oc(C5CNC5)nc4c3)c2)n[nH]1)C1CNC1,17,86
c1nc(-c2ccc(NCc3ccc4[nH]c(C5CCN5)nc4c3)nc2)c[nH]1,67,1,N-alkylation (azole N-H + alkyl halide),c1nc(-c2ccc(NCc3ccc4[nH]c(C5CCN5)nc4c3)nc2)c[nH]1,4,ClCC1CC1,8.2931,c1cc2[nH]c(C3CCN3)nc2cc1CNc1ccc(-c2cn(CC3CC3)cn2)cn1,18,200
O=C(O)c1ccc(-c2nc3ccc(-c4nnn(CC5CC5)n4)cc3[nH]2)cc1,70,1,Amide coupling,O=C(O)c1ccc(-c2nc3ccc(-c4nnn(CC5CC5)n4)cc3[nH]2)cc1,3,NCc1cn(CC2CC2)c2ccccc12,8.2869,O=C(NCc1cn(CC2CC2)c2ccccc12)c1ccc(-c2nc3ccc(-c4nnn(CC5CC5)n4)cc3[nH]2)cc1,19,76
OB(O)c1ccc2c(ccn2CC2CC2)c1,74,1,Suzuki coupling,OB(O)c1ccc2c(ccn2CC2CC2)c1,4,Brc1cc(NCc2ccc(-c3nnn(CC4CC4)n3)nc2)[nH]n1,8.2825,c1cc(-c2nnn(CC3CC3)n2)ncc1CNc1cc(-c2ccc3c(ccn3CC3CC3)c2)n[nH]1,20,86
,78,1,Direct acid -> amine (reductive),O=C(O)c1ccc2nc(C3CNC3)[nH]c2c1,4,Nc1ccc(-c2cccc(-c3nnn(CC4CC4)n3)c2)cc1,8.28,c1cc(-c2ccc(NCc3ccc4nc(C5CNC5)[nH]c4c3)cc2)cc(-c2nnn(CC3CC3)n2)c1,21,136
c1nc(-c2ccc(NCc3ccc(COC4CN5CCC4CC5)cc3)cc2)c[nH]1,82,1,N-alkylation (azole N-H + alkyl halide),c1nc(-c2ccc(NCc3ccc(CO[C@H]4CN5CCC4CC5)cc3)cc2)c[nH]1,4,ClCC1CC1,8.2772,c1cc(COC2CN3CCC2CC3)ccc1CNc1ccc(-c2cn(CC3CC3)cn2)cc1,22,200
O=C(NC1CC1)c1cccc(-c2nc3cc(Br)ccc3[nH]2)c1,86,1,Buchwald-Hartwig amination,O=C(NC1CC1)c1cccc(-c2nc3cc(Br)ccc3[nH]2)c1,4,NCCc1cn(CC2CC2)c2ccccc12,8.2765,O=C(NC1CC1)c1cccc(-c2nc3cc(NCCc4cn(CC5CC5)c5ccccc45)ccc3[nH]2)c1,23,113
Nc1cccc2ccn(Cc3ccc(-c4nnn(CC5CC5)n4)cc3)c12,90,1,Amide coupling,Nc1cccc2ccn(Cc3ccc(-c4nnn(CC5CC5)n4)cc3)c12,4,O=C(O)c1ccc(CO[C@H]2CN3CCC2CC3)cc1,8.2763,O=C(Nc1cccc2ccn(Cc3ccc(-c4nnn(CC5CC5)n4)cc3)c12)c1ccc(COC2CN3CCC2CC3)cc1,24,77
Nc1cc(CNc2cccc(-c3cncc(-c4nnn(CC5CC5)n4)c3)c2)ccc1O,93,1,Direct acid -> amine (reductive),Nc1cccc(-c2cncc(-c3nnn(CC4CC4)n3)c2)c1,3,O=C(O)c1ccc2oc(C3CNC3)nc2c1,8.2753,c1cc(NCc2ccc3oc(C4CNC4)nc3c2)cc(-c2cncc(-c3nnn(CC4CC4)n3)c2)c1,25,137
Nc1ccc(-c2cc(NCC3Cc4ccccc4CN3)[nH]n2)cc1,96,1,Direct acid -> amine (reductive),Nc1ccc(-c2cc(NC[C@@H]3Cc4ccccc4CN3)[nH]n2)cc1,3,O=C(O)c1ccc(-c2nnn(CC3CC3)n2)nc1,8.2715,c1ccc2c(c1)CNC(CNc1cc(-c3ccc(NCc4ccc(-c5nnn(CC6CC6)n5)nc4)cc3)n[nH]1)C2,26,137
NCCc1cn(CC2CC2)c2ccccc12,99,1,Amide coupling,O=C(O)c1ccc2oc(-c3ccc(CO[C@H]4CN5CCC4CC5)cc3)nc2c1,3,NCCc1cn(CC2CC2)c2ccccc12,8.2656,O=C(NCCc1cn(CC2CC2)c2ccccc12)c1ccc2oc(-c3ccc(COC4CN5CCC4CC5)cc3)nc2c1,27,76
O=Cc1cn(CC2CC2)c2ccccc12,103,1,Reductive amination (aldehyde),O=Cc1cn(CC2CC2)c2ccccc12,4,Nc1cccc(-c2cc(NC(=O)NC3CC3)[nH]n2)c1,8.2651,O=C(Nc1cc(-c2cccc(NCc3cn(CC4CC4)c4ccccc34)c2)n[nH]1)NC1CC1,28,69
Nc1cc(-c2nnnn2Cc2ccc(-c3nnn(CC4CC4)n3)cc2)ccc1O,105,1,Benzoxazole formation,Nc1cc(-c2nnnn2Cc2ccc(-c3nnn(CC4CC4)n3)cc2)ccc1O,2,O=C(O)c1ccc(CO[C@H]2CN3CCC2CC3)cc1,8.2595,c1cc(-c2nc3cc(-c4nnnn4Cc4ccc(-c5nnn(CC6CC6)n5)cc4)ccc3o2)ccc1COC1CN2CCC1CC2,29,180
C#Cc1ccc(NCc2c[nH]c3ccc(-c4nnn(CC5CC5)n4)cc23)cc1,109,1,Triazole formation (alkyne + alkyl halide),C#Cc1ccc(NCc2c[nH]c3ccc(-c4nnn(CC5CC5)n4)cc23)cc1,4,ClCC1CC1,8.2536,c1cc(-c2cn(CC3CC3)nn2)ccc1NCc1c[nH]c2ccc(-c3nnn(CC4CC4)n3)cc12,30,100
,113,1,Suzuki coupling,OB(O)c1cccc(NCc2ccc3[nH]c(C4CNC4)nc3c2)c1,4,Brc1ccc2oc(C3CNC3)nc2c1,8.2528,c1cc(NCc2ccc3[nH]c(C4CNC4)nc3c2)cc(-c2ccc3oc(C4CNC4)nc3c2)c1,31,86
