cell,arm,slice,class,named_reaction,parent,n_molecules,n_wells,n_multi_product_wells,n_distinct_reagent_sets,n_distinct_parents,n_distinct_templates,reward_min,reward_median,reward_max,first_step,last_step
scent_seh_seed44_par10,hub_batching,at100rxn,A,Amide coupling,O=C(O)C1Cc2ccccc2CN1,27,27,0,27,1,3,5.288,6.182,7.154,1,74
scent_seh_seed44_par10,hub_batching,at100rxn,A,Direct acid -> amine (reductive),O=C(O)C1Cc2ccccc2CN1,27,27,0,27,1,3,5.146,6.21,6.906,7,79
scent_seh_seed44_par10,hub_batching,at100rxn,A,Urea formation (amine + amine),O=C(O)C1Cc2ccccc2CN1,9,9,0,9,1,2,5.129,5.345,5.852,52,80
scent_seh_seed44_par10,hub_batching,at100rxn,A,Buchwald-Hartwig amination,O=C(O)C1Cc2ccccc2CN1,8,8,0,8,1,1,5.982,6.327,6.969,4,49
scent_seh_seed44_par10,hub_batching,at100rxn,A,Pictet-Spengler cyclisation,O=C(O)C1Cc2ccccc2CN1,3,3,0,3,1,2,5.462,6.646,6.936,6,64
scent_seh_seed44_par10,hub_batching,at100rxn,A,Benzimidazole formation,O=C(O)C1Cc2ccccc2CN1,2,2,0,2,1,1,6.069,6.102,6.134,41,45
scent_seh_seed44_par10,hub_batching,at100rxn,A,Benzoxazole formation,O=C(O)C1Cc2ccccc2CN1,1,1,0,1,1,1,6.519,6.519,6.519,18,18
scent_seh_seed44_par10,hub_batching,at100rxn,A,Esterification,O=C(O)C1Cc2ccccc2CN1,1,1,0,1,1,1,6.287,6.287,6.287,28,28
scent_seh_seed44_par10,hub_batching,at100rxn,A,SNAr (halo-heteroarene + amine),O=C(O)C1Cc2ccccc2CN1,1,1,0,1,1,1,5.458,5.458,5.458,65,65
scent_seh_seed44_par10,hub_batching,at100rxn,A,Williamson ether synthesis,O=C(O)C1Cc2ccccc2CN1,1,1,0,1,1,1,5.241,5.241,5.241,76,76
scent_seh_seed44_par10,hub_batching,at100rxn,B,Amide coupling,,27,27,0,27,1,3,5.288,6.182,7.154,1,74
scent_seh_seed44_par10,hub_batching,at100rxn,B,Direct acid -> amine (reductive),,27,27,0,27,1,3,5.146,6.21,6.906,7,79
scent_seh_seed44_par10,hub_batching,at100rxn,B,Urea formation (amine + amine),,9,9,0,9,1,2,5.129,5.345,5.852,52,80
scent_seh_seed44_par10,hub_batching,at100rxn,B,Buchwald-Hartwig amination,,8,8,0,8,1,1,5.982,6.327,6.969,4,49
scent_seh_seed44_par10,hub_batching,at100rxn,B,Pictet-Spengler cyclisation,,3,3,0,3,1,2,5.462,6.646,6.936,6,64
scent_seh_seed44_par10,hub_batching,at100rxn,B,Benzimidazole formation,,2,2,0,2,1,1,6.069,6.102,6.134,41,45
scent_seh_seed44_par10,hub_batching,at100rxn,B,Benzoxazole formation,,1,1,0,1,1,1,6.519,6.519,6.519,18,18
scent_seh_seed44_par10,hub_batching,at100rxn,B,Esterification,,1,1,0,1,1,1,6.287,6.287,6.287,28,28
scent_seh_seed44_par10,hub_batching,at100rxn,B,SNAr (halo-heteroarene + amine),,1,1,0,1,1,1,5.458,5.458,5.458,65,65
scent_seh_seed44_par10,hub_batching,at100rxn,B,Williamson ether synthesis,,1,1,0,1,1,1,5.241,5.241,5.241,76,76
scent_seh_seed44_par10,hub_batching,full,A,Amide coupling,O=C(O)C1Cc2ccccc2CN1,31,31,0,31,1,3,5.02,6.146,7.154,1,88
scent_seh_seed44_par10,hub_batching,full,A,Direct acid -> amine (reductive),O=C(O)C1Cc2ccccc2CN1,29,29,0,29,1,3,5.038,6.106,6.906,7,87
scent_seh_seed44_par10,hub_batching,full,A,Urea formation (amine + amine),NC12CC(C1)C2,14,14,0,14,1,2,5.557,6.079,6.502,279,300
scent_seh_seed44_par10,hub_batching,full,A,Urea formation (amine + amine),Nc1ccc(-c2nnn(CC3CC3)n2)cc1N,13,13,0,13,1,2,5.308,6.721,7.406,99,133
scent_seh_seed44_par10,hub_batching,full,A,Urea formation (amine + amine),Nc1cccc2ccn(CC3CC3)c12,13,12,1,12,1,2,5.25,6.717,7.335,168,198
scent_seh_seed44_par10,hub_batching,full,A,N-alkylation (azole N-H + alkyl halide),O=C(NC1CC1)c1ccc(CCl)cc1,13,13,0,13,1,1,5.053,5.955,7.289,242,262
scent_seh_seed44_par10,hub_batching,full,A,Buchwald-Hartwig amination,Nc1ccc(-c2cn(CC3CC3)nn2)cc1,11,11,0,11,1,1,5.958,7.762,8.2,201,232
scent_seh_seed44_par10,hub_batching,full,A,Buchwald-Hartwig amination,NC12CC(C1)C2,11,11,0,11,1,1,6.601,7.153,7.646,266,278
scent_seh_seed44_par10,hub_batching,full,A,Buchwald-Hartwig amination,Nc1ccc(-c2nnn(CC3CC3)n2)cc1N,10,10,0,10,1,1,5.521,7.422,7.784,91,131
scent_seh_seed44_par10,hub_batching,full,A,Urea formation (amine + amine),O=C(O)C1Cc2ccccc2CN1,9,9,0,9,1,2,5.129,5.345,5.852,52,80
scent_seh_seed44_par10,hub_batching,full,A,Buchwald-Hartwig amination,O=C(O)C1Cc2ccccc2CN1,8,8,0,8,1,1,5.982,6.327,6.969,4,49
scent_seh_seed44_par10,hub_batching,full,A,Buchwald-Hartwig amination,NCCc1cn(CC2CC2)c2ccccc12,8,8,0,8,1,1,5.702,7.699,8.197,136,159
scent_seh_seed44_par10,hub_batching,full,A,Urea formation (amine + amine),NCCc1cn(CC2CC2)c2ccccc12,8,8,0,8,1,2,6.832,7.174,7.623,141,150
scent_seh_seed44_par10,hub_batching,full,A,Urea formation (amine + amine),Nc1ccc(-c2cn(CC3CC3)nn2)cc1,8,8,0,8,1,2,6.229,7.12,8.001,205,230
scent_seh_seed44_par10,hub_batching,full,A,Benzimidazole formation,Nc1ccc(-c2nnn(CC3CC3)n2)cc1N,7,7,0,7,1,2,6.784,7.016,8.083,89,113
scent_seh_seed44_par10,hub_batching,full,A,Buchwald-Hartwig amination,Nc1cccc2ccn(CC3CC3)c12,7,7,0,7,1,1,5.35,7.259,7.623,166,196
scent_seh_seed44_par10,hub_batching,full,A,Williamson ether synthesis,O=C(NC1CC1)c1ccc(CCl)cc1,6,6,0,6,1,1,5.073,6.058,7.958,240,261
scent_seh_seed44_par10,hub_batching,full,A,Pictet-Spengler cyclisation,NCCc1cn(CC2CC2)c2ccccc12,5,5,0,5,1,2,5.466,5.644,6.284,153,162
scent_seh_seed44_par10,hub_batching,full,A,Reductive amination (ketone),Nc1ccc(-c2nnn(CC3CC3)n2)cc1N,4,4,0,4,1,1,6.417,6.458,6.948,106,121
scent_seh_seed44_par10,hub_batching,full,A,SNAr (activated aryl fluoride + amine),Nc1ccc(-c2nnn(CC3CC3)n2)cc1N,4,4,0,4,1,4,5.102,5.532,6.361,125,135
scent_seh_seed44_par10,hub_batching,full,A,Reductive amination (aldehyde),Nc1ccc(-c2cn(CC3CC3)nn2)cc1,4,4,0,4,1,1,5.787,7.27,7.574,209,235
scent_seh_seed44_par10,hub_batching,full,A,SNAr (halo-heteroarene + amine),Nc1ccc(-c2cn(CC3CC3)nn2)cc1,4,4,0,4,1,3,5.862,6.461,7.467,210,234
scent_seh_seed44_par10,hub_batching,full,A,Reductive amination (ketone),Nc1ccc(-c2cn(CC3CC3)nn2)cc1,4,4,0,4,1,1,6.438,6.882,7.406,213,226
scent_seh_seed44_par10,hub_batching,full,A,Pictet-Spengler cyclisation,O=C(O)C1Cc2ccccc2CN1,3,3,0,3,1,2,5.462,6.646,6.936,6,64
scent_seh_seed44_par10,hub_batching,full,A,Amide coupling,Nc1ccc(-c2nnn(CC3CC3)n2)cc1N,3,3,0,3,1,1,5.771,6.584,7.327,100,129
scent_seh_seed44_par10,hub_batching,full,A,Reductive amination (aldehyde),Nc1ccc(-c2nnn(CC3CC3)n2)cc1N,3,3,0,3,1,1,6.569,6.836,7.012,104,117
scent_seh_seed44_par10,hub_batching,full,A,Reductive amination (ketone),NCCc1cn(CC2CC2)c2ccccc12,3,3,0,3,1,1,5.398,5.997,7.071,146,163
scent_seh_seed44_par10,hub_batching,full,A,Amide coupling,Nc1cccc2ccn(CC3CC3)c12,3,3,0,3,1,1,6.301,6.422,8.061,165,182
scent_seh_seed44_par10,hub_batching,full,A,Reductive amination (ketone),Nc1cccc2ccn(CC3CC3)c12,3,3,0,3,1,1,5.638,5.679,6.899,176,190
scent_seh_seed44_par10,hub_batching,full,A,Direct acid -> amine (reductive),Nc1cccc2ccn(CC3CC3)c12,3,3,0,3,1,1,5.373,5.406,5.946,187,195
scent_seh_seed44_par10,hub_batching,full,A,SNAr (halo-heteroarene + amine),Nc1cccc2ccn(CC3CC3)c12,3,3,0,3,1,2,5.167,5.272,5.744,188,199
scent_seh_seed44_par10,hub_batching,full,A,Amide coupling,NC12CC(C1)C2,3,3,0,3,1,1,5.896,6.872,6.917,275,291
scent_seh_seed44_par10,hub_batching,full,A,Urea formation (isocyanate + amine),NC12CC(C1)C2,3,3,0,3,1,1,5.658,5.662,6.134,286,298
scent_seh_seed44_par10,hub_batching,full,A,Benzimidazole formation,O=C(O)C1Cc2ccccc2CN1,2,2,0,2,1,1,6.069,6.102,6.134,41,45
scent_seh_seed44_par10,hub_batching,full,A,SNAr (halo-heteroarene + amine),O=C(O)C1Cc2ccccc2CN1,2,2,0,2,1,2,5.113,5.285,5.458,65,82
scent_seh_seed44_par10,hub_batching,full,A,Direct acid -> amine (reductive),Nc1ccc(-c2nnn(CC3CC3)n2)cc1N,2,2,0,2,1,1,5.141,6.45,7.76,92,134
scent_seh_seed44_par10,hub_batching,full,A,SNAr (halo-heteroarene + amine),NCCc1cn(CC2CC2)c2ccccc12,2,2,0,2,1,2,6.15,6.501,6.853,149,155
scent_seh_seed44_par10,hub_batching,full,A,Reductive amination (aldehyde),NCCc1cn(CC2CC2)c2ccccc12,2,2,0,2,1,1,5.157,5.866,6.575,151,164
scent_seh_seed44_par10,hub_batching,full,A,Reductive amination (aldehyde),Nc1cccc2ccn(CC3CC3)c12,2,2,0,2,1,1,6.075,6.081,6.086,184,185
scent_seh_seed44_par10,hub_batching,full,A,SNAr (activated aryl fluoride + amine),Nc1cccc2ccn(CC3CC3)c12,2,2,0,2,1,2,5.026,5.292,5.559,192,200
scent_seh_seed44_par10,hub_batching,full,A,Amide coupling,Nc1ccc(-c2cn(CC3CC3)nn2)cc1,2,2,0,2,1,1,6.182,6.794,7.407,212,231
scent_seh_seed44_par10,hub_batching,full,A,Direct acid -> amine (reductive),Nc1ccc(-c2cn(CC3CC3)nn2)cc1,2,2,0,2,1,1,5.322,6.171,7.02,217,237
scent_seh_seed44_par10,hub_batching,full,A,SNAr (activated aryl fluoride + amine),Nc1ccc(-c2cn(CC3CC3)nn2)cc1,2,2,0,2,1,2,5.347,5.956,6.564,224,236
scent_seh_seed44_par10,hub_batching,full,A,Sulfonamide formation (sulfonyl fluoride),Nc1ccc(-c2cn(CC3CC3)nn2)cc1,2,2,0,2,1,1,5.224,5.236,5.249,238,239
scent_seh_seed44_par10,hub_batching,full,A,Tetrazole formation (nitrile + alkyl halide),O=C(NC1CC1)c1ccc(CCl)cc1,2,2,0,2,1,2,6.252,6.518,6.784,245,247
scent_seh_seed44_par10,hub_batching,full,A,Triazole formation (alkyne + alkyl halide),O=C(NC1CC1)c1ccc(CCl)cc1,2,2,0,2,1,2,5.311,5.399,5.486,256,257
scent_seh_seed44_par10,hub_batching,full,A,Pictet-Spengler cyclisation,NCCc1cn(Cc2ccc(-c3nnn(CC4CC4)n3)cc2)c2ccccc12,2,2,0,2,1,2,6.883,7.239,7.595,264,265
scent_seh_seed44_par10,hub_batching,full,A,Benzoxazole formation,O=C(O)C1Cc2ccccc2CN1,1,1,0,1,1,1,6.519,6.519,6.519,18,18
scent_seh_seed44_par10,hub_batching,full,A,Esterification,O=C(O)C1Cc2ccccc2CN1,1,1,0,1,1,1,6.287,6.287,6.287,28,28
scent_seh_seed44_par10,hub_batching,full,A,Williamson ether synthesis,O=C(O)C1Cc2ccccc2CN1,1,1,0,1,1,1,5.241,5.241,5.241,76,76
scent_seh_seed44_par10,hub_batching,full,A,Reductive amination (ketone),O=C(O)C1Cc2ccccc2CN1,1,1,0,1,1,1,5.051,5.051,5.051,86,86
scent_seh_seed44_par10,hub_batching,full,A,SNAr (halo-heteroarene + amine),Nc1ccc(-c2nnn(CC3CC3)n2)cc1N,1,1,0,1,1,1,6.926,6.926,6.926,107,107
scent_seh_seed44_par10,hub_batching,full,A,SNAr (activated aryl fluoride + amine),NCCc1cn(CC2CC2)c2ccccc12,1,1,0,1,1,1,6.153,6.153,6.153,154,154
scent_seh_seed44_par10,hub_batching,full,A,Buchwald-Hartwig amination,NCCc1cn(Cc2ccc(-c3nnn(CC4CC4)n3)cc2)c2ccccc12,1,1,0,1,1,1,8.244,8.244,8.244,263,263
scent_seh_seed44_par10,hub_batching,full,A,Direct acid -> amine (reductive),NC12CC(C1)C2,1,1,0,1,1,1,6.168,6.168,6.168,285,285
scent_seh_seed44_par10,hub_batching,full,A,Reductive amination (ketone),NC12CC(C1)C2,1,1,0,1,1,1,5.971,5.971,5.971,289,289
scent_seh_seed44_par10,hub_batching,full,A,Reductive amination (aldehyde),NC12CC(C1)C2,1,1,0,1,1,1,5.668,5.668,5.668,294,294
scent_seh_seed44_par10,hub_batching,full,A,SNAr (halo-heteroarene + amine),NC12CC(C1)C2,1,1,0,1,1,1,5.627,5.627,5.627,299,299
scent_seh_seed44_par10,hub_batching,full,B,Urea formation (amine + amine),,65,64,1,37,6,4,5.129,6.395,8.001,52,300
scent_seh_seed44_par10,hub_batching,full,B,Buchwald-Hartwig amination,,56,56,0,24,7,2,5.35,7.146,8.244,4,278
scent_seh_seed44_par10,hub_batching,full,B,Amide coupling,,42,42,0,36,5,4,5.02,6.194,8.061,1,291
scent_seh_seed44_par10,hub_batching,full,B,Direct acid -> amine (reductive),,37,37,0,35,5,4,5.038,6.019,7.76,7,285
scent_seh_seed44_par10,hub_batching,full,B,Reductive amination (ketone),,16,16,0,8,6,2,5.051,6.441,7.406,86,289
scent_seh_seed44_par10,hub_batching,full,B,SNAr (halo-heteroarene + amine),,13,13,0,7,6,5,5.113,5.862,7.467,65,299
scent_seh_seed44_par10,hub_batching,full,B,N-alkylation (azole N-H + alkyl halide),,13,13,0,13,1,1,5.053,5.955,7.289,242,262
scent_seh_seed44_par10,hub_batching,full,B,Reductive amination (aldehyde),,12,12,0,9,5,1,5.157,6.572,7.574,104,294
scent_seh_seed44_par10,hub_batching,full,B,Pictet-Spengler cyclisation,,10,10,0,10,3,4,5.462,5.998,7.595,6,265
scent_seh_seed44_par10,hub_batching,full,B,Benzimidazole formation,,9,9,0,9,2,3,6.069,6.994,8.083,41,113
scent_seh_seed44_par10,hub_batching,full,B,SNAr (activated aryl fluoride + amine),,9,9,0,6,4,5,5.026,5.559,6.564,125,236
scent_seh_seed44_par10,hub_batching,full,B,Williamson ether synthesis,,7,7,0,7,2,2,5.073,5.64,7.958,76,261
scent_seh_seed44_par10,hub_batching,full,B,Urea formation (isocyanate + amine),,3,3,0,3,1,1,5.658,5.662,6.134,286,298
scent_seh_seed44_par10,hub_batching,full,B,Sulfonamide formation (sulfonyl fluoride),,2,2,0,2,1,1,5.224,5.236,5.249,238,239
scent_seh_seed44_par10,hub_batching,full,B,Tetrazole formation (nitrile + alkyl halide),,2,2,0,2,1,2,6.252,6.518,6.784,245,247
scent_seh_seed44_par10,hub_batching,full,B,Triazole formation (alkyne + alkyl halide),,2,2,0,2,1,2,5.311,5.399,5.486,256,257
scent_seh_seed44_par10,hub_batching,full,B,Benzoxazole formation,,1,1,0,1,1,1,6.519,6.519,6.519,18,18
scent_seh_seed44_par10,hub_batching,full,B,Esterification,,1,1,0,1,1,1,6.287,6.287,6.287,28,28
scent_seh_seed44_par10,best_candidate,at100rxn,A,N-alkylation (azole N-H + alkyl halide),c1nc(-c2ccc(NCc3ccc4oc(C5CNC5)nc4c3)cc2)c[nH]1,1,1,0,1,1,1,8.404,8.404,8.404,1,1
scent_seh_seed44_par10,best_candidate,at100rxn,A,Triazole formation (alkyne + alkyl halide),C#Cc1ccc(NCc2ccc3[nH]c(C4CNC4)nc3c2)cc1,1,1,0,1,1,1,8.396,8.396,8.396,2,2
scent_seh_seed44_par10,best_candidate,at100rxn,A,N-alkylation (azole N-H + alkyl halide),c1ccc2c(CNc3ccc4[nH]c(-c5ccc(CO[C@H]6CN7CCC6CC7)cc5)nc4c3)c[nH]c2c1,1,1,0,1,1,1,8.393,8.393,8.393,3,3
scent_seh_seed44_par10,best_candidate,at100rxn,A,Amide coupling,O=C(O)c1ccc2nc(-c3ccc(C(=O)NCc4cn(CC5CC5)c5ccccc45)cc3)oc2c1,1,1,0,1,1,1,8.356,8.356,8.356,4,4
scent_seh_seed44_par10,best_candidate,at100rxn,A,Buchwald-Hartwig amination,O=C(Nc1ccc(Br)cc1)C1CNC1,1,1,0,1,1,1,8.351,8.351,8.351,5,5
scent_seh_seed44_par10,best_candidate,at100rxn,A,N-alkylation (azole N-H + alkyl halide),O=C(NCc1c[nH]c2ccccc12)c1cccc(-c2ccc3oc(C4CNC4)nc3c2)c1,1,1,0,1,1,1,8.333,8.333,8.333,6,6
scent_seh_seed44_par10,best_candidate,at100rxn,A,N-alkylation (azole N-H + alkyl halide),c1ccc2c(CNc3ccc(-c4cn(CC5CC5)nn4)cc3)c[nH]c2c1,1,1,0,1,1,1,8.328,8.328,8.328,7,7
scent_seh_seed44_par10,best_candidate,at100rxn,A,Williamson ether synthesis,O[C@H]1CN2CCC1CC2,1,1,0,1,1,1,8.326,8.326,8.326,8,8
scent_seh_seed44_par10,best_candidate,at100rxn,A,N-alkylation (azole N-H + alkyl halide),c1cc(NCc2ccc3nc(C4CNC4)[nH]c3c2)cc(-c2c[nH]cn2)c1,1,1,0,1,1,1,8.319,8.319,8.319,9,9
scent_seh_seed44_par10,best_candidate,at100rxn,A,Suzuki coupling (pinacol boronate),Brc1cn(CC2CC2)cn1,1,1,0,1,1,1,8.315,8.315,8.315,10,10
scent_seh_seed44_par10,best_candidate,at100rxn,A,Triazole formation (alkyne + alkyl halide),C#Cc1cc(NCc2ccc3nc(C4CNC4)oc3c2)[nH]n1,1,1,0,1,1,1,8.313,8.313,8.313,11,11
scent_seh_seed44_par10,best_candidate,at100rxn,A,N-alkylation (azole N-H + alkyl halide),O=C(NC1CC1)c1ccc2oc(-c3ccc(CCl)cc3)nc2c1,1,1,0,1,1,1,8.31,8.31,8.31,12,12
scent_seh_seed44_par10,best_candidate,at100rxn,A,Suzuki coupling,OB(O)c1cccc(NCc2ccc(-c3nnn(CC4CC4)n3)nc2)c1,1,1,0,1,1,1,8.309,8.309,8.309,13,13
