n_modes,used_rxns,n_selected,mode_rate,rxn_per_mode,milp_status,n_targets_priced
26,73,26,1.0,2.8077,Optimal,26
27,75,27,1.0,2.7778,Optimal,27
28,77,28,1.0,2.75,Optimal,28
29,78,29,1.0,2.6897,Optimal,29
30,81,30,1.0,2.7,Optimal,30
31,83,31,1.0,2.6774,Optimal,31
32,85,32,1.0,2.6562,Optimal,32
33,87,33,1.0,2.6364,Optimal,33
34,89,34,1.0,2.6176,Optimal,34
35,91,35,1.0,2.6,Optimal,35
36,93,36,1.0,2.5833,Optimal,36
37,96,37,1.0,2.5946,Optimal,37
38,98,38,1.0,2.5789,Optimal,38
39,101,39,1.0,2.5897,Optimal,39
40,103,40,1.0,2.575,Optimal,40
41,105,41,1.0,2.561,Optimal,41
42,107,42,1.0,2.5476,Optimal,42
43,109,43,1.0,2.5349,Optimal,43
44,111,44,1.0,2.5227,Optimal,44
45,113,45,1.0,2.5111,Optimal,45
46,116,46,1.0,2.5217,Optimal,46
47,118,47,1.0,2.5106,Optimal,47
48,120,48,1.0,2.5,Optimal,48
49,125,49,1.0,2.551,Optimal,49
50,128,50,1.0,2.56,Optimal,50
