n_modes,used_rxns,n_selected,mode_rate,rxn_per_mode,milp_status,n_targets_priced
5,7,5,1.0,1.4,Optimal,5
10,18,10,1.0,1.8,Optimal,10
15,30,15,1.0,2.0,Optimal,15
20,36,20,1.0,1.8,Optimal,20
25,42,25,1.0,1.68,Optimal,25
30,50,30,1.0,1.6667,Optimal,30
35,57,35,1.0,1.6286,Optimal,35
40,67,40,1.0,1.675,Optimal,40
45,74,45,1.0,1.6444,Optimal,45
50,85,50,1.0,1.7,Optimal,50
55,99,55,1.0,1.8,Optimal,55
60,107,60,1.0,1.7833,Optimal,60
65,117,65,1.0,1.8,Optimal,65
70,125,70,1.0,1.7857,Optimal,70
75,130,75,1.0,1.7333,Optimal,75
80,141,80,1.0,1.7625,Optimal,80
85,147,85,1.0,1.7294,Optimal,85
90,155,90,1.0,1.7222,Optimal,90
95,163,95,1.0,1.7158,Optimal,95
100,171,100,1.0,1.71,Optimal,100
110,185,110,1.0,1.6818,Optimal,110
125,210,125,1.0,1.68,Optimal,125
150,264,150,1.0,1.76,Optimal,150
