lambda_div,budget_rxns,used_rxns,n_selected,clusters_touched,n_modes_kept,cost_kept_rxns,rxn_per_mode_kept,mode_rate,rxn_per_selected,mean_pairwise_sim,mean_pairwise_sim_kept,scaffolds_all,scaffolds_kept,scaffold_rate,total_reward,milp_status,time_capped,solve_s
0.0,50,50,50,,30,31,1.0333,0.6,1.0,0.3196,0.296,47,29,0.94,390.9329,Optimal,False,2.28
0.0,100,100,100,,46,49,1.0652,0.46,1.0,0.2981,0.2786,85,45,0.85,769.1238,Optimal,False,1.55
0.0,150,150,150,,61,64,1.0492,0.4067,1.0,0.2916,0.2631,119,60,0.7933,1140.6043,Optimal,False,1.58
0.0,200,200,200,,78,81,1.0385,0.39,1.0,0.288,0.2373,150,77,0.75,1505.9965,Optimal,False,1.6
0.0,300,300,298,,113,118,1.0442,0.3792,1.0067,0.2528,0.1992,214,112,0.7181,2209.8762,Optimal,False,3.51
0.0,400,400,364,,142,173,1.2183,0.3901,1.0989,0.227,0.1816,270,140,0.7418,2697.6025,TimeLimit,True,1801.63
0.0,500,500,409,,166,242,1.4578,0.4059,1.2225,0.2175,0.1758,304,163,0.7433,3027.0583,TimeLimit,True,1801.5
0.0,600,600,434,,180,299,1.6611,0.4147,1.3825,0.211,0.1718,324,177,0.7465,3209.9016,Optimal,False,11.41
0.0,800,800,436,,181,305,1.6851,0.4151,1.8349,0.2104,0.1715,324,178,0.7431,3224.1975,Optimal,False,2.33
0.0,1000,953,436,,181,305,1.6851,0.4151,2.1858,0.2104,0.1715,324,178,0.7431,3224.1975,Optimal,False,1.66
