budget_rxns,used_rxns,n_selected,n_modes,mode_rate,rxn_per_selected,rxn_per_mode,total_reward,milp_status,solve_s
50,50,47,16,0.3404,1.0638,3.125,387.7242,Optimal,13.5
100,100,89,24,0.2697,1.1236,4.1667,733.8656,Optimal,49.4
150,150,128,37,0.2891,1.1719,4.0541,1054.2082,Optimal,602.57
200,200,164,51,0.311,1.2195,3.9216,1350.6286,Optimal,602.65
300,300,227,70,0.3084,1.3216,4.2857,1868.1401,Optimal,602.79
400,400,278,98,0.3525,1.4388,4.0816,2288.9669,Optimal,225.66
500,500,328,117,0.3567,1.5244,4.2735,2699.0633,Optimal,205.4
600,600,378,140,0.3704,1.5873,4.2857,3106.7501,Optimal,224.7
800,800,454,176,0.3877,1.7621,4.5455,3731.0237,Optimal,452.83
1000,1000,478,192,0.4017,2.0921,5.2083,3927.1535,Optimal,6.59
