rank,hub,depth,n_children,n_effective,U_h,mean_Fhat,max_reward,median_reward,n_hits
1,O=C(O)c1ccc2nc(C3CNC3)oc2c1,1,9428,9428,36.208,67.237,8.379,6.521,2665
2,O=C(O)c1ccc2oc(C3CNC3)nc2c1,1,9428,9428,37.247,67.099,8.404,6.504,2618
3,NCc1cn(Cc2ccc(-c3nnn(CC4CC4)n3)cc2)c2ccccc12,2,1117,1117,46.011,65.93,8.351,6.975,543
4,Brc1cn(CC2CC2)cn1,1,2308,2308,40.408,64.783,8.404,6.456,625
5,Nc1ccc(-c2cn(CC3CC3)cn2)cc1,2,1117,1117,46.228,63.738,8.404,6.594,375
6,Ic1cn(CC2CC2)cn1,1,2308,2308,35.333,64.243,8.404,6.456,625
7,O=C(NC1CC1)c1ccc(CCl)cc1,1,2549,2549,26.684,65.936,8.31,7.14,1524
8,OB(O)c1cccc(-c2nnn(CC3CC3)n2)c1,1,218,218,18.288,67.704,8.317,7.926,157
9,Brc1ccc2oc(C3CNC3)nc2c1,1,7139,7139,44.275,66.212,8.327,6.367,1697
10,BrCc1ccc(-c2nnn(CC3CC3)n2)cc1,1,2549,2549,15.779,67.183,8.351,7.356,1926
11,O=C(O)c1ccc2oc(C3CCN3)nc2c1,1,9428,9428,37.814,65.768,8.312,6.282,2152
12,O=C(Nc1ccc(NCc2c[nH]c3ccccc23)cc1)C1CNC1,2,2237,2237,43.895,67.532,8.351,6.228,367
13,O=C(O)c1ccc2[nH]c(C3CNC3)nc2c1,1,9487,9487,35.723,66.37,8.396,6.441,2425
14,O=C(O)c1ccc2nc(C3CNC3)[nH]c2c1,1,9487,9487,32.704,66.3,8.385,6.422,2485
15,OB(O)c1cccc(NCc2ccc(-c3nnn(CC4CC4)n3)nc2)c1,2,1209,1209,52.354,66.888,8.309,5.505,107
16,O=C(O)c1ccc(-c2nnn(CC3CC3)n2)nc1,1,4597,4597,25.744,66.494,8.346,7.031,2362
17,NCc1cn(Cc2ccc(-c3nc4ccc(C(=O)NC5CC5)cc4o3)cc2)c2ccccc12,3,728,728,36.704,65.73,8.377,7.055,391
18,Brc1ccc2nc(C3CNC3)[nH]c2c1,1,7198,7198,43.768,64.792,8.315,6.249,1456
19,O=C(NCCc1cn(CC2CC2)c2ccccc12)c1cccc(B(O)O)c1,2,166,166,98.524,60.034,8.265,6.894,73
20,O=Cc1ccc(C2=NCCc3ccccc32)cc1,1,2478,2478,139.928,65.198,8.305,6.818,1010
21,O=C(Nc1cc(Br)n[nH]1)C1CNC1,1,7139,7139,37.5,63.977,8.311,6.3,1521
22,Brc1cncc(-c2nnn(CC3CC3)n2)c1,1,2308,2308,33.692,69.65,8.275,6.796,869
23,O=C(O)c1ccc2nc(-c3ccc(C(=O)NC4CC4)cc3)oc2c1,2,896,896,43.65,68.067,8.347,6.798,355
24,O=C(O)c1ccc2nc(-c3cccc(C(=O)NC4CC4)c3)oc2c1,2,896,896,43.891,68.42,8.334,6.789,365
25,O=C(O)c1ccc2oc(-c3cccc(C(=O)NC4CC4)c3)nc2c1,2,896,896,32.166,70.308,8.343,6.757,333
26,CC1(C)OB(c2ccc(NCc3ccc(-c4nnn(CC5CC5)n4)nc3)nc2)OC1(C)C,2,1209,1209,41.887,67.938,8.283,5.552,105
27,O=Cc1cn(CC2CC2)c2ccccc12,1,2478,2478,100.831,62.775,8.328,6.67,805
28,O=Cc1cccc(C2=NCCc3ccccc32)c1,1,2478,2478,131.451,65.775,8.281,6.791,935
29,O=C(O)c1ccc2[nH]c(-c3cccc(C(=O)NC4CC4)c3)nc2c1,2,947,947,31.13,70.524,8.322,6.669,311
30,O=C(NCc1c[nH]c2ccccc12)c1ccc2nc(C3CNC3)oc2c1,2,1144,1144,53.386,69.136,8.333,6.6,309
31,OB(O)c1cccc(NC[C@@H]2Cc3ccccc3CN2)c1,1,9878,9878,48.715,66.39,8.27,5.435,156
32,O=C(O)c1cccc(-c2cn(CC3CC3)cn2)c1,2,896,896,40.143,61.163,8.27,6.38,243
33,OB(O)c1cccc(NCc2ccc3oc(C4CNC4)nc3c2)c1,2,2302,2302,46.163,66.027,8.298,5.256,101
34,NCc1cn(CC2CC2)c2ccccc12,1,3975,3975,28.487,62.944,8.356,7.132,2233
35,O=C(O)c1cccc(-c2nc3cc(C(=O)NC4CC4)ccc3o2)c1,2,896,896,34.145,69.621,8.278,6.669,294
36,Brc1ccc2[nH]c(C3CNC3)nc2c1,1,7198,7198,47.935,64.933,8.343,6.273,1509
37,NCc1cn(Cc2ccc(-c3nc4cc(-c5nnn(CC6CC6)n5)ccc4o3)cc2)c2ccccc12,3,728,728,28.689,67.525,8.266,7.131,418
38,OB(O)c1ccc(NCc2ccc(-c3nnn(CC4CC4)n3)nc2)cc1,2,1209,1209,49.007,67.816,8.271,5.626,119
39,c1ccc2c(CNc3ccc4nc(C5CNC5)oc4c3)c[nH]c2c1,2,2237,2237,53.854,63.763,8.291,6.075,282
40,c1ccc2c(CNc3ccc4oc(C5CNC5)nc4c3)c[nH]c2c1,2,2237,2237,46.933,67.552,8.327,6.114,337
41,OB(O)c1cccc(NCc2ccc3[nH]c(C4CNC4)nc3c2)c1,2,2353,2353,46.471,64.983,8.297,5.155,99
42,OB(O)c1cccc(NCc2cccc(-c3cnc(F)nc3)c2)c1,2,1549,1549,40.468,62.406,8.311,4.778,49
43,OB(O)c1ccc2c(ccn2Cc2ccc(-c3nnn(CC4CC4)n3)cc2)c1,2,116,116,12.583,65.616,8.303,7.189,73
44,OB(O)c1cccc(NCc2cccc(C3=NCCc4ccccc43)c2)c1,2,1209,1209,47.057,68.82,8.281,5.319,71
45,O=C(NCc1c[nH]c2ccccc12)c1ccc2nc(-c3ccc4nc(C5CNC5)[nH]c4c3)oc2c1,3,720,720,46.192,66.913,8.271,6.784,246
46,O=C(O)c1cccc(-c2cncc(-c3nnn(CC4CC4)n3)c2)c1,2,896,896,27.366,64.754,8.276,6.737,317
47,OB(O)c1cccc(NCc2ccc3oc(-c4ccccc4)nc3c2)c1,2,1209,1209,50.149,65.009,8.288,4.848,49
48,O=C(O)c1ccc(-c2nc3ccc(-c4nnn(CC5CC5)n4)cc3[nH]2)cc1,2,947,947,30.48,71.492,8.287,6.905,424
49,OB(O)c1ccc2c(ccn2Cc2cccc(-c3nnn(CC4CC4)n3)c2)c1,2,116,116,9.179,65.279,8.267,7.164,73
50,c1ccc2c(CNc3ccc(NCc4ccc5oc(C6CNC6)nc5c4)cc3)c[nH]c2c1,3,1915,1915,44.205,66.401,8.282,6.59,394
