cutoff,strategy,setup_s,hub_pick_s,enumeration_s,reward_gen_s,flow_extract_s,mode_selection_s,total_s,extra_compute_s
0.3,hub_batching,26.689,0.159,10688.7317,657.5222,2069.1151,42.581,13484.798,13478.1698
0.3,best_candidate,0.0,0.0,0.0,0.0,0.0,6.6283,6.6283,13478.1698
0.35,hub_batching,26.689,0.159,1708.001,109.2724,322.909,2.4791,2169.5095,2168.8748
0.35,best_candidate,0.0,0.0,0.0,0.0,0.0,0.6347,0.6347,2168.8748
0.4,hub_batching,26.689,0.159,707.1243,47.4057,137.1835,1.5557,920.1172,919.5806
0.4,best_candidate,0.0,0.0,0.0,0.0,0.0,0.5366,0.5366,919.5806
0.45,hub_batching,26.689,0.159,345.0795,24.2025,66.9981,1.1979,464.3261,463.8693
0.45,best_candidate,0.0,0.0,0.0,0.0,0.0,0.4568,0.4568,463.8693
0.5,hub_batching,26.689,0.159,108.7665,9.1983,23.4524,0.6613,168.9264,168.5548
0.5,best_candidate,0.0,0.0,0.0,0.0,0.0,0.3716,0.3716,168.5548
0.55,hub_batching,26.689,0.159,108.7665,9.1983,23.4524,0.3691,168.6342,168.3184
0.55,best_candidate,0.0,0.0,0.0,0.0,0.0,0.3159,0.3159,168.3184
0.6,hub_batching,26.689,0.159,35.6224,3.2528,7.4976,0.273,73.4937,73.2174
0.6,best_candidate,0.0,0.0,0.0,0.0,0.0,0.2763,0.2763,73.2174
0.65,hub_batching,26.689,0.159,35.6224,3.2528,7.4976,0.2241,73.4448,73.183
0.65,best_candidate,0.0,0.0,0.0,0.0,0.0,0.2618,0.2618,73.183
0.7,hub_batching,26.689,0.159,35.6224,3.2528,7.4976,0.2081,73.4287,73.1868
0.7,best_candidate,0.0,0.0,0.0,0.0,0.0,0.2419,0.2419,73.1868
0.75,hub_batching,26.689,0.159,35.6224,3.2528,7.4976,0.196,73.4167,73.1877
0.75,best_candidate,0.0,0.0,0.0,0.0,0.0,0.2289,0.2289,73.1877
0.8,hub_batching,26.689,0.159,35.6224,3.2528,7.4976,0.1836,73.4042,73.1934
0.8,best_candidate,0.0,0.0,0.0,0.0,0.0,0.2108,0.2108,73.1934
0.85,hub_batching,26.689,0.159,35.6224,3.2528,7.4976,0.1775,73.3982,73.192
0.85,best_candidate,0.0,0.0,0.0,0.0,0.0,0.2062,0.2062,73.192
0.9,hub_batching,26.689,0.159,35.6224,3.2528,7.4976,0.1787,73.3994,73.1927
0.9,best_candidate,0.0,0.0,0.0,0.0,0.0,0.2067,0.2067,73.1927
