strategy,step,cum_reactions,cum_modes,cum_reward_gen_calls,reactions_added,reward,source_hub
hub_batching,1,3,1,2549,3,8.3251,ClCC1CC1
hub_batching,2,6,2,2549,3,8.3016,ClCC1CC1
hub_batching,3,9,3,2549,3,8.2715,ClCC1CC1
hub_batching,4,11,4,2549,2,8.1783,ClCC1CC1
hub_batching,5,14,5,2549,3,8.1752,ClCC1CC1
hub_batching,6,17,6,2549,3,8.1561,ClCC1CC1
hub_batching,7,20,7,2549,3,8.1519,ClCC1CC1
hub_batching,8,23,8,2549,3,8.1362,ClCC1CC1
hub_batching,9,26,9,2549,3,8.1352,ClCC1CC1
hub_batching,10,29,10,2549,3,8.1268,ClCC1CC1
hub_batching,11,32,11,2549,3,8.1211,ClCC1CC1
hub_batching,12,35,12,2549,3,8.082,ClCC1CC1
hub_batching,13,38,13,2549,3,8.0596,ClCC1CC1
hub_batching,14,41,14,2549,3,8.0364,ClCC1CC1
hub_batching,15,44,15,2549,3,8.0268,ClCC1CC1
hub_batching,16,47,16,2549,3,8.0261,ClCC1CC1
hub_batching,17,50,17,2549,3,8.0101,ClCC1CC1
hub_batching,18,53,18,2549,3,7.9972,ClCC1CC1
hub_batching,19,55,19,2549,2,7.9809,ClCC1CC1
hub_batching,20,58,20,2549,3,7.9622,ClCC1CC1
hub_batching,21,61,21,2549,3,7.9562,ClCC1CC1
hub_batching,22,64,22,2549,3,7.9503,ClCC1CC1
hub_batching,23,67,23,2549,3,7.9486,ClCC1CC1
hub_batching,24,70,24,2549,3,7.9346,ClCC1CC1
hub_batching,25,73,25,2549,3,7.918,ClCC1CC1
hub_batching,26,76,26,2549,3,7.9154,ClCC1CC1
hub_batching,27,79,27,2549,3,7.9125,ClCC1CC1
hub_batching,28,82,28,2549,3,7.8807,ClCC1CC1
hub_batching,29,85,29,2549,3,7.8686,ClCC1CC1
hub_batching,30,88,30,2549,3,7.8653,ClCC1CC1
hub_batching,31,91,31,2549,3,7.862,ClCC1CC1
hub_batching,32,94,32,2549,3,7.857,ClCC1CC1
hub_batching,33,97,33,2549,3,7.853,ClCC1CC1
hub_batching,34,99,34,2549,2,7.8432,ClCC1CC1
hub_batching,35,102,35,2549,3,7.8298,ClCC1CC1
hub_batching,36,105,36,2549,3,7.8238,ClCC1CC1
hub_batching,37,108,37,2549,3,7.8218,ClCC1CC1
hub_batching,38,111,38,2549,3,7.8163,ClCC1CC1
hub_batching,39,114,39,2549,3,7.8109,ClCC1CC1
hub_batching,40,117,40,2549,3,7.8077,ClCC1CC1
hub_batching,41,120,41,2549,3,7.8042,ClCC1CC1
hub_batching,42,123,42,2549,3,7.8039,ClCC1CC1
hub_batching,43,126,43,2549,3,7.7912,ClCC1CC1
hub_batching,44,128,44,2549,2,7.7782,ClCC1CC1
hub_batching,45,131,45,2549,3,7.7746,ClCC1CC1
hub_batching,46,134,46,2549,3,7.7704,ClCC1CC1
hub_batching,47,137,47,2549,3,7.7666,ClCC1CC1
hub_batching,48,140,48,2549,3,7.7611,ClCC1CC1
hub_batching,49,143,49,2549,3,7.7576,ClCC1CC1
hub_batching,50,146,50,2549,3,7.7571,ClCC1CC1
hub_batching,51,149,51,2549,3,7.7518,ClCC1CC1
hub_batching,52,152,52,2549,3,7.7443,ClCC1CC1
hub_batching,53,155,53,2549,3,7.7415,ClCC1CC1
hub_batching,54,158,54,2549,3,7.7323,ClCC1CC1
hub_batching,55,161,55,2549,3,7.7309,ClCC1CC1
hub_batching,56,164,56,2549,3,7.7202,ClCC1CC1
hub_batching,57,167,57,2549,3,7.7188,ClCC1CC1
hub_batching,58,170,58,2549,3,7.7173,ClCC1CC1
hub_batching,59,173,59,2549,3,7.7118,ClCC1CC1
hub_batching,60,176,60,2549,3,7.6985,ClCC1CC1
hub_batching,61,179,61,2549,3,7.6677,ClCC1CC1
hub_batching,62,182,62,2549,3,7.6673,ClCC1CC1
hub_batching,63,185,63,2549,3,7.6626,ClCC1CC1
hub_batching,64,188,64,2549,3,7.6561,ClCC1CC1
hub_batching,65,191,65,2549,3,7.6535,ClCC1CC1
hub_batching,66,194,66,2549,3,7.6528,ClCC1CC1
hub_batching,67,197,67,2549,3,7.6319,ClCC1CC1
hub_batching,68,200,68,2549,3,7.6317,ClCC1CC1
hub_batching,69,203,69,2549,3,7.6252,ClCC1CC1
hub_batching,70,206,70,2549,3,7.6159,ClCC1CC1
hub_batching,71,207,71,2549,1,7.6016,ClCC1CC1
hub_batching,72,210,72,2549,3,7.5917,ClCC1CC1
hub_batching,73,213,73,2549,3,7.5738,ClCC1CC1
hub_batching,74,216,74,2549,3,7.5667,ClCC1CC1
hub_batching,75,219,75,2549,3,7.5529,ClCC1CC1
hub_batching,76,222,76,2549,3,7.5438,ClCC1CC1
hub_batching,77,225,77,2549,3,7.543,ClCC1CC1
hub_batching,78,227,78,2549,2,7.5423,ClCC1CC1
hub_batching,79,230,79,2549,3,7.532,ClCC1CC1
hub_batching,80,233,80,2549,3,7.532,ClCC1CC1
hub_batching,81,236,81,2549,3,7.5305,ClCC1CC1
hub_batching,82,239,82,2549,3,7.5279,ClCC1CC1
hub_batching,83,241,83,2549,2,7.5135,ClCC1CC1
hub_batching,84,244,84,2549,3,7.5077,ClCC1CC1
hub_batching,85,247,85,2549,3,7.4918,ClCC1CC1
hub_batching,86,250,86,2549,3,7.4907,ClCC1CC1
hub_batching,87,253,87,2549,3,7.4805,ClCC1CC1
hub_batching,88,256,88,2549,3,7.4799,ClCC1CC1
hub_batching,89,259,89,2549,3,7.4729,ClCC1CC1
hub_batching,90,260,90,2549,1,7.4719,ClCC1CC1
hub_batching,91,263,91,2549,3,7.4652,ClCC1CC1
hub_batching,92,266,92,2549,3,7.464,ClCC1CC1
hub_batching,93,269,93,2549,3,7.4518,ClCC1CC1
hub_batching,94,272,94,2549,3,7.4517,ClCC1CC1
hub_batching,95,275,95,2549,3,7.4498,ClCC1CC1
hub_batching,96,278,96,2549,3,7.4496,ClCC1CC1
hub_batching,97,281,97,2549,3,7.4439,ClCC1CC1
hub_batching,98,284,98,2549,3,7.4409,ClCC1CC1
hub_batching,99,287,99,2549,3,7.4283,ClCC1CC1
hub_batching,100,290,100,2549,3,7.4251,ClCC1CC1
hub_batching,101,293,101,2549,3,7.4225,ClCC1CC1
hub_batching,102,296,102,2549,3,7.4192,ClCC1CC1
hub_batching,103,298,103,2549,2,7.413,ClCC1CC1
hub_batching,104,301,104,2549,3,7.4096,ClCC1CC1
hub_batching,105,304,105,2549,3,7.4037,ClCC1CC1
hub_batching,106,307,106,2549,3,7.401,ClCC1CC1
hub_batching,107,310,107,2549,3,7.3962,ClCC1CC1
hub_batching,108,313,108,2549,3,7.3732,ClCC1CC1
hub_batching,109,316,109,2549,3,7.3694,ClCC1CC1
hub_batching,110,318,110,2549,2,7.3601,ClCC1CC1
hub_batching,111,319,111,2549,1,7.3493,ClCC1CC1
hub_batching,112,322,112,2549,3,7.346,ClCC1CC1
hub_batching,113,325,113,2549,3,7.3272,ClCC1CC1
hub_batching,114,326,114,2549,1,7.3131,ClCC1CC1
hub_batching,115,329,115,2549,3,7.3065,ClCC1CC1
hub_batching,116,332,116,2549,3,7.3063,ClCC1CC1
hub_batching,117,335,117,2549,3,7.2951,ClCC1CC1
hub_batching,118,338,118,2549,3,7.2945,ClCC1CC1
hub_batching,119,341,119,2549,3,7.2934,ClCC1CC1
hub_batching,120,342,120,2549,1,7.2916,ClCC1CC1
hub_batching,121,345,121,2549,3,7.2858,ClCC1CC1
hub_batching,122,348,122,2549,3,7.278,ClCC1CC1
hub_batching,123,351,123,2549,3,7.2733,ClCC1CC1
hub_batching,124,354,124,2549,3,7.2693,ClCC1CC1
hub_batching,125,357,125,2549,3,7.2639,ClCC1CC1
hub_batching,126,358,126,2549,1,7.2608,ClCC1CC1
hub_batching,127,361,127,2549,3,7.2601,ClCC1CC1
hub_batching,128,364,128,2549,3,7.2573,ClCC1CC1
hub_batching,129,367,129,2549,3,7.2564,ClCC1CC1
hub_batching,130,369,130,2549,2,7.2559,ClCC1CC1
hub_batching,131,372,131,2549,3,7.2493,ClCC1CC1
hub_batching,132,375,132,2549,3,7.2492,ClCC1CC1
hub_batching,133,376,133,2549,1,7.2455,ClCC1CC1
hub_batching,134,379,134,2549,3,7.2444,ClCC1CC1
hub_batching,135,382,135,2549,3,7.237,ClCC1CC1
hub_batching,136,385,136,2549,3,7.2353,ClCC1CC1
hub_batching,137,388,137,2549,3,7.2329,ClCC1CC1
hub_batching,138,391,138,2549,3,7.224,ClCC1CC1
hub_batching,139,394,139,2549,3,7.2232,ClCC1CC1
hub_batching,140,397,140,2549,3,7.2165,ClCC1CC1
hub_batching,141,400,141,2549,3,7.2161,ClCC1CC1
hub_batching,142,403,142,2549,3,7.2138,ClCC1CC1
hub_batching,143,406,143,2549,3,7.2052,ClCC1CC1
hub_batching,144,409,144,2549,3,7.2023,ClCC1CC1
hub_batching,145,412,145,2549,3,7.1968,ClCC1CC1
hub_batching,146,415,146,2549,3,7.1776,ClCC1CC1
hub_batching,147,418,147,2549,3,7.1711,ClCC1CC1
hub_batching,148,419,148,2549,1,7.1668,ClCC1CC1
hub_batching,149,422,149,2549,3,7.1639,ClCC1CC1
hub_batching,150,425,150,2549,3,7.1558,ClCC1CC1
hub_batching,151,427,151,2549,2,7.1504,ClCC1CC1
hub_batching,152,430,152,2549,3,7.1504,ClCC1CC1
hub_batching,153,433,153,2549,3,7.1451,ClCC1CC1
hub_batching,154,436,154,2549,3,7.1433,ClCC1CC1
hub_batching,155,439,155,2549,3,7.1395,ClCC1CC1
hub_batching,156,442,156,2549,3,7.1324,ClCC1CC1
hub_batching,157,445,157,2549,3,7.1305,ClCC1CC1
hub_batching,158,446,158,2549,1,7.1269,ClCC1CC1
hub_batching,159,449,159,2549,3,7.1135,ClCC1CC1
hub_batching,160,452,160,2549,3,7.104,ClCC1CC1
hub_batching,161,455,161,2549,3,7.1017,ClCC1CC1
hub_batching,162,456,162,2549,1,7.1002,ClCC1CC1
hub_batching,163,459,163,2549,3,7.096,ClCC1CC1
hub_batching,164,461,164,2549,2,7.0925,ClCC1CC1
hub_batching,165,464,165,2549,3,7.0874,ClCC1CC1
hub_batching,166,467,166,2549,3,7.075,ClCC1CC1
hub_batching,167,470,167,2549,3,7.0735,ClCC1CC1
hub_batching,168,473,168,2549,3,7.0729,ClCC1CC1
hub_batching,169,476,169,2549,3,7.0708,ClCC1CC1
hub_batching,170,479,170,2549,3,7.0667,ClCC1CC1
hub_batching,171,482,171,2549,3,7.0627,ClCC1CC1
hub_batching,172,485,172,2549,3,7.0624,ClCC1CC1
