cutoff,molecule,step,reaction,input,reactants,product
0.30,Molecule A (sEH 8.325),1,Benzimidazole formation (o-diamine + acid) [t183],O=C(O)C1CNC1,Nc1ccc(Br)cc1N,Brc1ccc2[nH]c(C3CNC3)nc2c1
0.30,Molecule A (sEH 8.325),2,Buchwald–Hartwig amination (aryl halide + amine) [t113],Brc1ccc2[nH]c(C3CNC3)nc2c1,NCc1c[nH]c2ccccc12,c1ccc2c(CNc3ccc4[nH]c(C5CNC5)nc4c3)c[nH]c2c1
0.30,Molecule A (sEH 8.325),3,N-alkylation (ring N–H + hub alkyl halide),c1ccc2c(CNc3ccc4[nH]c(C5CNC5)nc4c3)c[nH]c2c1,ClCC1CC1,c1ccc2c(c1)c(CNc1ccc3[nH]c(C4CNC4)nc3c1)cn2CC1CC1
0.30,Molecule B (sEH 8.121),1,Benzimidazole formation (o-diamine + acid) [t183],O=C(O)C1CNC1,Nc1ccc(Br)cc1N,Brc1ccc2nc(C3CNC3)[nH]c2c1
0.30,Molecule B (sEH 8.121),2,Sonogashira coupling (aryl halide + alkyne) [t120],C#C,Brc1ccc2nc(C3CNC3)[nH]c2c1,C#Cc1ccc2nc(C3CNC3)[nH]c2c1
0.30,Molecule B (sEH 8.121),3,N-alkylation (ring N–H + hub alkyl halide),C#Cc1ccc2nc(C3CNC3)[nH]c2c1,ClCC1CC1,c1cc2nc(C3CNC3)[nH]c2cc1-c1cn(CC2CC2)nn1
0.35,Molecule A (sEH 8.136),1,Suzuki coupling (biaryl bond) [t87],Brc1c[nH]cn1,Nc1ccc(B(O)O)cc1,Nc1ccc(-c2c[nH]cn2)cc1
0.35,Molecule A (sEH 8.136),2,Amide coupling (acid + amine) [t137],Nc1ccc(-c2c[nH]cn2)cc1,O=C(O)C1CCN1,c1nc(-c2ccc(NCC3CCN3)cc2)c[nH]1
0.35,Molecule A (sEH 8.136),3,N-alkylation (ring N–H + hub alkyl halide),c1nc(-c2ccc(NCC3CCN3)cc2)c[nH]1,ClCC1CC1,c1cc(-c2cn(CC3CC3)cn2)ccc1NCC1CCN1
0.35,Molecule B (sEH 8.029),1,Suzuki coupling (biaryl bond) [t84],Nc1cccc(B(O)O)c1,Ic1c[nH]cn1,Nc1cccc(-c2c[nH]cn2)c1
0.35,Molecule B (sEH 8.029),2,N-alkylation (ring N–H + alkyl halide) [t200],Nc1cccc(-c2c[nH]cn2)c1,ClCC1CC1,Nc1cccc(-c2cn(CC3CC3)cn2)c1
0.35,Molecule B (sEH 8.029),3,Amide coupling (amine + hub carboxylic acid),Nc1cccc(-c2cn(CC3CC3)cn2)c1,O=C(O)C1Cc2ccccc2CN1,O=C(Nc1cccc(-c2cn(CC3CC3)cn2)c1)C1Cc2ccccc2CN1
0.40,Molecule A (sEH 7.744),1,Amide coupling (acid + secondary amine → tertiary amide) [t139],C1CNCCN1,O=C(O)[C@@H]1Cc2ccccc2CN1,c1ccc2c(c1)CN[C@H](CN1CCNCC1)C2
0.40,Molecule A (sEH 7.744),2,Amide coupling (acid + secondary amine → tertiary amide) [t126],c1ccc2c(c1)CN[C@H](CN1CCNCC1)C2,NCc1c[nH]c2ccccc12,O=C(NCc1c[nH]c2ccccc12)N1CCN(C[C@@H]2Cc3ccccc3CN2)CC1
0.40,Molecule A (sEH 7.744),3,N-alkylation (ring N–H + hub alkyl halide),O=C(NCc1c[nH]c2ccccc12)N1CCN(C[C@@H]2Cc3ccccc3CN2)CC1,ClCC1CC1,O=C(NCc1cn(CC2CC2)c2ccccc12)N1CCN(CC2Cc3ccccc3CN2)CC1
0.40,Molecule B (sEH 7.118),1,Amide coupling (acid + secondary amine → tertiary amide) [t127],Nc1cc(Br)n[nH]1,O=C(O)[C@H]1CCCNC1,O=C(O)[C@H]1CCCN(C(=O)Nc2cc(Br)n[nH]2)C1
0.40,Molecule B (sEH 7.118),2,Amide coupling (acid + amine) [t76],O=C(O)[C@H]1CCCN(C(=O)Nc2cc(Br)n[nH]2)C1,NCc1c[nH]c2ccccc12,O=C(NCc1c[nH]c2ccccc12)[C@H]1CCCN(C(=O)Nc2cc(Br)n[nH]2)C1
0.40,Molecule B (sEH 7.118),3,N-alkylation (ring N–H + hub alkyl halide),O=C(NCc1c[nH]c2ccccc12)[C@H]1CCCN(C(=O)Nc2cc(Br)n[nH]2)C1,ClCC1CC1,O=C(NCc1cn(CC2CC2)c2ccccc12)C1CCCN(C(=O)Nc2cc(Br)n[nH]2)C1
0.45,Molecule A (sEH 7.986),1,Amide coupling (acid + amine) [t77],NC1CC1,O=Cc1ccc(C(=O)O)cc1,O=Cc1ccc(C(=O)NC2CC2)cc1
0.45,Molecule A (sEH 7.986),2,Reductive amination (aldehyde + amine) [t68],NCCc1c[nH]c2ccccc12,O=Cc1ccc(C(=O)NC2CC2)cc1,O=C(NC1CC1)c1ccc(CNCCc2c[nH]c3ccccc23)cc1
0.45,Molecule A (sEH 7.986),3,N-alkylation (ring N–H + hub alkyl halide),O=C(NC1CC1)c1ccc(CNCCc2c[nH]c3ccccc23)cc1,ClCC1CC1,O=C(NC1CC1)c1ccc(CNCCc2cn(CC3CC3)c3ccccc23)cc1
0.45,Molecule B (sEH 7.713),1,N-alkylation (ring N–H + alkyl halide) [t200],NCCc1c[nH]c2ccccc12,ClCC1CC1,NCCc1cn(CC2CC2)c2ccccc12
0.45,Molecule B (sEH 7.713),2,reaction (RGFN template 80) [t80],Nc1ccc(Br)cc1,O=C=Nc1cccc2ccccc12,O=C(Nc1ccc(Br)cc1)Nc1cccc2ccccc12
0.45,Molecule B (sEH 7.713),3,Suzuki coupling (biaryl bond) [t87],O=C(Nc1ccc(Br)cc1)Nc1cccc2ccccc12,O=C(O)c1cccc(B(O)O)c1,O=C(Nc1ccc(-c2cccc(C(=O)O)c2)cc1)Nc1cccc2ccccc12
0.45,Molecule B (sEH 7.713),4,Final assembly (attach hub building block),O=C(Nc1ccc(-c2cccc(C(=O)O)c2)cc1)Nc1cccc2ccccc12,NCCc1cn(CC2CC2)c2ccccc12,O=C(Nc1ccc(-c2cccc(CNCCc3cn(CC4CC4)c4ccccc34)c2)cc1)Nc1cccc2ccccc12
0.50,Molecule A (sEH 8.302),1,N-alkylation (ring N–H + alkyl halide) [t202],NCc1c[nH]c2ccccc12,N#Cc1ccc(CBr)cc1,N#Cc1ccc(Cn2cc(CN)c3ccccc32)cc1
0.50,Molecule A (sEH 8.302),2,Amide coupling (acid + amine) [t77],N#Cc1ccc(Cn2cc(CN)c3ccccc32)cc1,O=C(O)C1CNC1,N#Cc1ccc(Cn2cc(CNC(=O)C3CNC3)c3ccccc32)cc1
0.50,Molecule A (sEH 8.302),3,Tetrazole formation + N-alkylation (nitrile + hub),N#Cc1ccc(Cn2cc(CNC(=O)C3CNC3)c3ccccc32)cc1,ClCC1CC1,O=C(NCc1cn(Cc2ccc(-c3nnn(CC4CC4)n3)cc2)c2ccccc12)C1CNC1
0.50,Molecule B (sEH 7.761),1,N-alkylation (ring N–H + alkyl halide) [t203],N#Cc1ccc(CBr)cc1,NCCc1c[nH]c2ccccc12,N#Cc1ccc(Cn2cc(CCN)c3ccccc32)cc1
0.50,Molecule B (sEH 7.761),2,Amide coupling (acid + amine) [t77],N#Cc1ccc(Cn2cc(CCN)c3ccccc32)cc1,O=C(O)C1CNC1,N#Cc1ccc(Cn2cc(CCNC(=O)C3CNC3)c3ccccc32)cc1
