rank,hub,depth,n_children,n_effective,U_h,mean_Fhat,max_reward,median_reward,n_hits
1,ClCC1CC1,0,2549,2549,96.073,65.394,8.325,6.773,941
2,NCCc1cn(CC2CC2)c2ccccc12,1,4537,4537,96.767,65.108,8.265,6.969,2212
3,BrCc1cccc(-c2nnn(CC3CC3)n2)c1,1,2549,2549,18.892,68.141,8.199,7.198,1675
4,O=C(O)c1ccc2nc(C3CNC3)oc2c1,1,9428,9428,36.208,67.237,8.379,6.521,2665
5,O=C(O)[C@@H]1Cc2ccccc2CN1,0,9428,9428,46.37,69.259,8.198,6.067,1519
6,NCCc1cn(Cc2ccc(-c3nnn(CC4CC4)n3)cc2)c2ccccc12,2,1325,1325,58.381,66.192,8.276,6.877,556
7,O=C(O)c1ccc2oc(C3CNC3)nc2c1,1,9428,9428,37.247,67.099,8.404,6.504,2618
8,Nc1cccc2ccn(CC3CC3)c12,1,3975,3975,52.515,66.919,8.218,6.88,1760
9,OB(O)c1cccc(-c2nnn(CC3CC3)n2)c1,1,218,218,18.288,67.704,8.317,7.926,157
10,O=C(O)c1cccc2oc(C3CNC3)nc12,1,9428,9428,30.087,66.908,8.324,6.352,2142
11,O=Cc1ccc(C(=O)NC2CC2)cc1,1,2478,2478,108.926,64.633,8.34,6.927,1146
12,NCc1cn(Cc2ccc(-c3nnn(CC4CC4)n3)cc2)c2ccccc12,2,1117,1117,46.01,65.93,8.351,6.975,543
13,Brc1cn(CC2CC2)cn1,1,2308,2308,40.408,64.783,8.404,6.456,625
14,O=C(NC1CC1)c1ccc(CCl)cc1,1,2549,2549,26.685,65.936,8.31,7.14,1524
15,Nc1ccc(-c2cn(CC3CC3)cn2)cc1,2,1117,1117,46.228,63.738,8.404,6.594,375
16,Brc1cncc(-c2nnn(CC3CC3)n2)c1,1,2308,2308,33.692,69.65,8.275,6.796,869
17,OB(O)c1cccc(NC[C@@H]2Cc3ccccc3CN2)c1,1,9878,9878,48.714,66.39,8.27,5.435,156
18,O=C(O)c1ccc2nc(C3CCN3)oc2c1,1,9428,9428,37.831,66.174,8.252,6.277,2169
19,Nc1ccc(-c2cccc(-c3nnn(CC4CC4)n3)c2)cc1,2,1117,1117,37.991,66.105,8.317,6.947,522
20,O=C(Nc1ccc(Br)cc1)C1CCN1,1,7139,7139,34.243,66.91,8.29,6.424,1823
21,Ic1cn(CC2CC2)cn1,1,2308,2308,35.333,64.243,8.404,6.456,625
22,O=Cc1cn(CC2CC2)c2ccccc12,1,2478,2478,100.834,62.774,8.328,6.67,805
23,Brc1ccc(NCC2CCN2)cc1,1,11968,11968,41.216,64.82,8.249,6.218,2452
24,O=Cc1ccc(C2=NCCc3ccccc32)cc1,1,2478,2478,139.929,65.198,8.305,6.818,1010
25,O=C(O)c1cccc(-c2cnc(F)nc2)c1,1,6593,6593,42.15,64.112,8.311,6.111,999
26,O=C(O)c1ccc2nc([C@H]3CCCN3)oc2c1,1,9428,9428,32.496,65.141,8.223,6.311,2113
