strategy,step,cum_reactions,cum_modes,cum_reward_gen_calls,reactions_added,reward,source_hub
best_candidate,1,4,1,0,4,8.4038,Brc1cn(CC2CC2)cn1
best_candidate,2,8,2,0,4,8.3772,NCc1cn(Cc2ccc(-c3nc4ccc(C(=O)NC5CC5)cc4o3)cc2)c2ccccc12
best_candidate,3,12,3,0,4,8.3664,Nc1ccc(-c2cn(CC3CC3)nn2)cc1
best_candidate,4,16,4,0,4,8.3585,Nc1cc(-c2cn(CC3CC3)nn2)n[nH]1
best_candidate,5,20,5,0,4,8.3514,O=C(Nc1ccc(NCc2c[nH]c3ccccc23)cc1)C1CNC1
best_candidate,6,24,6,0,4,8.343,
best_candidate,7,27,7,0,3,8.3381,Brc1cn(CC2CC2)cn1
best_candidate,8,30,8,0,3,8.329,
best_candidate,9,34,9,0,4,8.3278,c1ccc2c(CNc3ccc(-c4cn(CC5CC5)nn4)cc3)c[nH]c2c1
best_candidate,10,38,10,0,4,8.3169,OB(O)c1cccc(-c2nnn(CC3CC3)n2)c1
best_candidate,11,41,11,0,3,8.3123,Brc1cn(CC2CC2)cn1
best_candidate,12,45,12,0,4,8.3109,OB(O)c1cccc(NCc2cccc(-c3cnc(F)nc3)c2)c1
best_candidate,13,47,13,0,2,8.306,Nc1cc(-c2cn(CC3CC3)nn2)n[nH]1
best_candidate,14,51,14,0,4,8.3047,O=Cc1ccc(C2=NCCc3ccccc32)cc1
best_candidate,15,55,15,0,4,8.3041,C#Cc1ccc(NCc2cccc3oc(C4CNC4)nc23)cc1
best_candidate,16,57,16,0,2,8.3032,OB(O)c1ccc2c(ccn2Cc2ccc(-c3nnn(CC4CC4)n3)cc2)c1
best_candidate,17,61,17,0,4,8.303,OB(O)c1cccc(NCc2ccc(-c3nnn(CC4CC4)n3)nc2)c1
best_candidate,18,63,18,0,2,8.2913,OB(O)c1cccc(NCc2ccc(-c3nnn(CC4CC4)n3)nc2)c1
best_candidate,19,66,19,0,3,8.2868,O=C(O)c1ccc(-c2nc3ccc(-c4nnn(CC5CC5)n4)cc3[nH]2)cc1
best_candidate,20,69,20,0,3,8.2749,O=Cc1c[nH]c2ccc(-c3nnn(CC4CC4)n3)cc12
best_candidate,21,73,21,0,4,8.2727,Brc1ccc2nc(C3CNC3)[nH]c2c1
best_candidate,22,75,22,0,2,8.2689,OB(O)c1cccc(-c2nnn(CC3CC3)n2)c1
best_candidate,23,79,23,0,4,8.2646,O=C(NCCc1cn(CC2CC2)c2ccccc12)c1cccc(B(O)O)c1
best_candidate,24,82,24,0,3,8.263,Nc1ccc(NCc2cn(CC3CC3)c3ccccc23)cc1N
best_candidate,25,86,25,0,4,8.2622,Nc1ccc(-c2ccc3c(ccn3CC3CC3)c2)cc1
best_candidate,26,90,26,0,4,8.2619,O=C(Nc1ccc(Br)cc1)C1CCN1
best_candidate,27,91,27,0,1,8.2573,OB(O)c1ccc(NCc2ccc3oc(C4CNC4)nc3c2)cc1
best_candidate,28,94,28,0,3,8.2564,OB(O)c1ccc(NCc2ccc3oc(-c4ccccc4)nc3c2)cc1
best_candidate,29,97,29,0,3,8.2461,OB(O)c1cccc(-c2nnn(CC3CC3)n2)c1
best_candidate,30,101,30,0,4,8.2437,Nc1ccc(-c2cccc(NCc3ccc4oc(C5CNC5)nc4c3)c2)cc1N
best_candidate,31,104,31,0,3,8.2436,NCc1cn(CC2CC2)c2ccccc12
best_candidate,32,105,32,0,1,8.2432,
best_candidate,33,107,33,0,2,8.2416,OB(O)c1cccc(NCc2ccc3oc(C4Cc5ccccc5CN4)nc3c2)c1
best_candidate,34,110,34,0,3,8.2404,O=Cc1ccc(-c2cn(CC3CC3)cn2)cc1
best_candidate,35,114,35,0,4,8.236,NCc1cn(Cc2ccc(-c3nc4cc(-c5nnn(CC6CC6)n5)ccc4o3)cc2)c2ccccc12
best_candidate,36,117,36,0,3,8.2331,O=C(NC1CC1)c1ccc(-c2nc3ccc(Br)cc3o2)cc1
best_candidate,37,119,37,0,2,8.2327,O=C(O)c1ccc2nc(-c3ccc4[nH]c(C5CNC5)nc4c3)oc2c1
best_candidate,38,123,38,0,4,8.2279,N#Cc1ccc2[nH]cc(CNc3ccc(-c4cn(CC5CC5)cn4)cc3)c2c1
best_candidate,39,126,39,0,3,8.2276,Nc1ccc(-c2cc(NCC3Cc4ccccc4CN3)[nH]n2)cn1
best_candidate,40,128,40,0,2,8.2206,O=C(O)c1ccc(-c2nnnn2CC2CC2)nc1
best_candidate,41,131,41,0,3,8.2167,O=C(O)c1cccc2oc(C3CCN3)nc12
best_candidate,42,135,42,0,4,8.2149,C#Cc1ccc(NCc2ccc3oc(C4Cc5ccccc5CN4)nc3c2)cc1
best_candidate,43,139,43,0,4,8.2084,Brc1cccc(-c2nc3cc(-c4nnn(CC5CC5)n4)ccc3o2)c1
best_candidate,44,142,44,0,3,8.2051,c1ccc2c(CNc3ccc(NCc4ccc5oc(C6CCN6)nc5c4)cc3)c[nH]c2c1
best_candidate,45,143,45,0,1,8.2042,
best_candidate,46,146,46,0,3,8.2024,Brc1cn(CC2CC2)cn1
best_candidate,47,149,47,0,3,8.2022,O=C(O)c1cccc(CNc2ccc(-c3cc(NC(=O)C4CNC4)[nH]n3)cc2)c1
best_candidate,48,151,48,0,2,8.1995,NCc1cn(CC2CC2)c2ccccc12
best_candidate,49,154,49,0,3,8.1982,OB(O)c1ccc2c(ccn2CC2CC2)c1
best_candidate,50,156,50,0,2,8.1971,O=C(O)C1CC(OCc2ccc(-c3nnn(CC4CC4)n3)cc2)CN1
best_candidate,51,160,51,0,4,8.1945,O=Cc1ccc(C(=O)Nc2cc(-c3cccc(NCC4Cc5ccccc5CN4)c3)n[nH]2)cc1
best_candidate,52,164,52,0,4,8.1929,O=C(Nc1ccc2oc(-c3c[nH]c4ccccc34)nc2c1)C1CNC1
best_candidate,53,167,53,0,3,8.1924,O=C(O)C1CCCN(C(=O)NCc2cn(CC3CC3)c3ccccc23)C1
best_candidate,54,171,54,0,4,8.1895,Nc1cccc2ccn(CC3CC3)c12
best_candidate,55,174,55,0,3,8.1886,Fc1cc(-c2cccc(NCC3CNC3)c2)ccn1
best_candidate,56,178,56,0,4,8.1874,
