strategy,cutoff,reactions_for_300modes
hub_batching,0.3,
hub_batching,0.35,
hub_batching,0.4,489
hub_batching,0.45,416
hub_batching,0.5,367
hub_batching,0.55,356
hub_batching,0.6,332
hub_batching,0.65,322
hub_batching,0.7,319
hub_batching,0.75,312
hub_batching,0.8,309
hub_batching,0.85,307
hub_batching,0.9,306
best_candidate,0.3,1123
best_candidate,0.35,1080
best_candidate,0.4,1018
best_candidate,0.45,955
best_candidate,0.5,929
best_candidate,0.55,866
best_candidate,0.6,835
best_candidate,0.65,823
best_candidate,0.7,793
best_candidate,0.75,751
best_candidate,0.8,722
best_candidate,0.85,730
best_candidate,0.9,728
