strategy,cutoff,modes_at_100rxn
hub_batching,0.3,47
hub_batching,0.35,56
hub_batching,0.4,66
hub_batching,0.45,72
hub_batching,0.5,80
hub_batching,0.55,84
hub_batching,0.6,88
hub_batching,0.65,92
hub_batching,0.7,95
hub_batching,0.75,95
hub_batching,0.8,95
hub_batching,0.85,95
hub_batching,0.9,95
best_candidate,0.3,25
best_candidate,0.35,26
best_candidate,0.4,26
best_candidate,0.45,28
best_candidate,0.5,29
best_candidate,0.55,30
best_candidate,0.6,32
best_candidate,0.65,32
best_candidate,0.7,33
best_candidate,0.75,34
best_candidate,0.8,34
best_candidate,0.85,34
best_candidate,0.9,34
