label,k,modes,reactions,reactions_per_mode,hubs_used,distinct_fragments,reward_gen_calls,median_reward,best_reward,stop_reason
naive (reward),,300,816,2.72,2,321,7086,7.491,8.325,modes
best_candidate,,300,929,3.097,254,205,0,8.103,8.404,modes
pre-select K=0,0,300,367,1.223,57,26,315539,7.302,8.404,modes
pre-select K=1,1,300,366,1.22,56,25,307639,7.283,8.404,modes
pre-select K=2,2,300,365,1.217,55,25,307421,7.283,8.404,modes
pre-select K=3,3,300,366,1.22,54,28,288860,7.283,8.404,modes
pre-select K=4,4,300,368,1.227,55,29,288860,7.301,8.404,modes
pre-select K=5,5,300,368,1.227,55,29,288860,7.289,8.404,modes
pre-select K=6,6,300,369,1.23,56,29,297934,7.294,8.404,modes
pre-select K=7,7,300,369,1.23,55,29,297934,7.304,8.404,modes
pre-select K=8,8,300,369,1.23,55,30,288860,7.304,8.404,modes
pre-select K=9,9,300,367,1.223,52,30,276886,7.288,8.404,modes
pre-select K=10,10,300,367,1.223,51,30,274271,7.29,8.404,modes
pre-select K=11,11,300,367,1.223,50,31,274271,7.294,8.404,modes
pre-select K=12,12,300,365,1.217,48,32,262323,7.29,8.404,modes
pre-select K=13,13,300,366,1.22,48,33,262323,7.299,8.404,modes
pre-select K=14,14,300,367,1.223,48,34,262323,7.299,8.404,modes
pre-select K=15,15,300,367,1.223,47,35,252895,7.298,8.404,modes
pre-select K=16,16,300,364,1.213,45,34,248356,7.29,8.404,modes
pre-select K=17,17,300,365,1.217,45,35,248356,7.291,8.404,modes
pre-select K=18,18,300,364,1.213,43,36,241158,7.295,8.404,modes
pre-select K=19,19,300,364,1.213,43,36,241158,7.294,8.404,modes
pre-select K=20,20,300,365,1.217,43,37,241158,7.3,8.404,modes
pre-select K=21,21,300,365,1.217,42,38,238948,7.29,8.404,modes
pre-select K=22,22,300,365,1.217,42,38,238948,7.29,8.404,modes
pre-select K=23,23,300,364,1.213,41,37,237739,7.294,8.404,modes
pre-select K=24,24,300,367,1.223,42,40,238948,7.298,8.404,modes
pre-select K=25,25,300,366,1.22,41,39,237739,7.294,8.404,modes
pre-select K=26,26,300,366,1.22,41,40,227861,7.302,8.404,modes
pre-select K=27,27,300,367,1.223,41,41,227861,7.302,8.404,modes
pre-select K=28,28,300,366,1.22,40,41,227437,7.297,8.404,modes
pre-select K=29,29,300,365,1.217,38,41,212510,7.297,8.404,modes
pre-select K=30,30,300,365,1.217,37,42,208215,7.3,8.404,modes
pre-select K=31,31,300,365,1.217,35,43,189108,7.317,8.404,modes
pre-select K=32,32,300,366,1.22,35,44,189108,7.316,8.404,modes
pre-select K=33,33,300,367,1.223,35,45,189108,7.316,8.404,modes
pre-select K=34,34,300,368,1.227,35,46,189108,7.316,8.404,modes
pre-select K=35,35,300,369,1.23,35,47,189108,7.316,8.404,modes
pre-select K=36,36,300,369,1.23,35,47,189108,7.326,8.404,modes
pre-select K=37,37,300,370,1.233,35,48,189108,7.314,8.404,modes
pre-select K=38,38,300,370,1.233,34,49,179680,7.32,8.404,modes
pre-select K=39,39,300,372,1.24,35,50,189108,7.326,8.404,modes
pre-select K=40,40,300,372,1.24,34,51,179680,7.331,8.404,modes
pre-select K=41,41,300,372,1.24,33,52,172541,7.335,8.404,modes
pre-select K=42,42,300,373,1.243,33,53,172541,7.326,8.404,modes
pre-select K=43,43,300,373,1.243,32,54,172323,7.335,8.404,modes
pre-select K=44,44,300,374,1.247,32,55,172323,7.338,8.404,modes
pre-select K=45,45,300,375,1.25,32,56,172323,7.341,8.404,modes
pre-select K=46,46,300,376,1.253,32,57,172323,7.341,8.404,modes
pre-select K=47,47,300,376,1.253,30,58,162635,7.335,8.404,modes
pre-select K=48,48,300,377,1.257,30,59,162635,7.338,8.404,modes
pre-select K=49,49,300,377,1.257,29,60,158660,7.335,8.404,modes
pre-select K=50,50,300,378,1.26,29,61,158660,7.343,8.404,modes
