strategy,cutoff,reactions_for_300modes
hub_batching,0.3,847
hub_batching,0.35,815
hub_batching,0.4,815
hub_batching,0.45,829
hub_batching,0.5,819
hub_batching,0.55,815
hub_batching,0.6,789
hub_batching,0.65,796
hub_batching,0.7,770
hub_batching,0.75,798
hub_batching,0.8,828
hub_batching,0.85,826
hub_batching,0.9,822
best_candidate,0.3,1123
best_candidate,0.35,1080
best_candidate,0.4,1018
best_candidate,0.45,955
best_candidate,0.5,929
best_candidate,0.55,866
best_candidate,0.6,835
best_candidate,0.65,823
best_candidate,0.7,793
best_candidate,0.75,751
best_candidate,0.8,722
best_candidate,0.85,730
best_candidate,0.9,728
