k,rank,hub_key,depth,batch_size,raw_children
0,1,Nc1ccc(-c2nnn(CC3CC3)n2)cc1N,1,17,9074
0,2,Nc1ccc(-c2cn(CC3CC3)cn2)cc1,2,14,1117
0,3,Nc1ccc2oc(C3CCN3)nc2c1,2,14,2210
0,4,O=C(O)c1ccc(-c2nnn(CC3CC3)n2)nc1,1,14,4597
0,5,O=C(Nc1ccc(Br)cc1)C1CNC1,1,13,7139
0,6,O=C(O)c1ccc2[nH]c(C3CNC3)nc2c1,1,13,9487
0,7,O=C(Nc1ccc(Br)cc1)C1CCN1,1,11,7139
0,8,Brc1cc(NCc2ccc3oc(C4CNC4)nc3c2)[nH]n1,2,11,2615
0,9,O=C(O)c1ccc2nc(C3CNC3)oc2c1,1,10,9428
0,10,Brc1ccc2oc(C3CNC3)nc2c1,1,10,7139
0,11,O=Cc1ccc(-c2cn(CC3CC3)cn2)cc1,2,10,424
0,12,O=C(O)c1ccc2oc(C3CNC3)nc2c1,1,9,9428
0,13,NCc1cn(CC2CC2)c2ccccc12,1,8,3975
0,14,O=C(Nc1ccc(NCc2c[nH]c3ccccc23)cc1)C1CNC1,2,8,2237
0,15,Nc1ccc(-c2cccc(-c3nnn(CC4CC4)n3)c2)cc1,2,7,1117
0,16,Brc1ccc(NCC2CCN2)cc1,1,7,11968
0,17,O=C(O)c1ccc(CNC23CC(C2)C3)cc1,1,7,9428
0,18,O=C(Nc1cc(Br)n[nH]1)C1CCCNC1,1,7,7139
0,19,O=C(O)c1ccc2nc(C3Cc4ccccc4CN3)oc2c1,1,7,9428
0,20,O=C(O)c1ccc2nc(C3CNC3)[nH]c2c1,1,7,9487
0,21,O=Cc1ccc(C(=O)NC2CC2)cc1,1,6,2478
0,22,O=C(O)c1ccc2[nH]c(C3CCN3)nc2c1,1,6,9487
0,23,O=C(O)c1cccc2oc(C3CCN3)nc12,1,6,9428
0,24,Nc1cccc(-c2ccc3oc(C4CNC4)nc3c2)c1,2,6,2210
0,25,Nc1cccc2ccn(CC3CC3)c12,1,5,3975
0,26,Brc1cncc(-c2nnn(CC3CC3)n2)c1,1,5,2308
0,27,O=C(O)c1ccc2nc(C3CCN3)oc2c1,1,5,9428
0,28,O=C(O)c1cccc2oc(C3CNC3)nc12,1,4,9428
0,29,O=Cc1ccc(C2=NCCc3ccccc32)cc1,1,4,2478
0,30,O=C(Nc1cccc(B(O)O)c1)C1CCN1,1,4,5049
0,31,O=C(Nc1cccc2cc[nH]c12)C1CNC1,1,4,4890
0,32,NCCc1cn(CC2CC2)c2ccccc12,1,3,4537
0,33,NCCc1cn(Cc2ccc(-c3nnn(CC4CC4)n3)cc2)c2ccccc12,2,3,1325
0,34,O=C(O)c1cccc(-c2cnc(F)nc2)c1,1,3,6593
0,35,O=C(O)c1ccc2oc(C3CCN3)nc2c1,1,3,9428
0,36,O=C(NC1CC1)c1ccc(CCl)cc1,1,2,2549
0,37,O=Cc1cn(CC2CC2)c2ccccc12,1,2,2478
0,38,O=C(O)c1ccc2nc(C3CCCN3)oc2c1,1,2,9428
0,39,BrCc1ccc(-c2nnn(CC3CC3)n2)cc1,1,2,2549
0,40,O=C(Nc1ccc(Br)cc1)C1Cc2ccccc2CN1,1,2,7139
0,41,Brc1ccc(NCC2Cc3ccccc3CN2)cc1,1,2,11968
0,42,O=C(Nc1ccc(Br)cc1)NC1CC1,1,2,2308
0,43,BrCc1cccc(-c2nnn(CC3CC3)n2)c1,1,1,2549
0,44,O=C(O)C1Cc2ccccc2CN1,0,1,9428
0,45,OB(O)c1cccc(-c2nnn(CC3CC3)n2)c1,1,1,218
0,46,Brc1cn(CC2CC2)cn1,1,1,2308
0,47,OB(O)c1cccc(NCC2Cc3ccccc3CN2)c1,1,1,9878
0,48,OB(O)c1ccc(-c2nnn(CC3CC3)n2)s1,1,1,218
0,49,NC(C(=O)Nc1ccc(B(O)O)cc1)c1ccccc1,1,1,4295
0,50,O=C(Nc1cccc(B(O)O)c1)C1CNC1,1,1,5049
0,51,OB(O)c1cccc(NCC2CCN2)c1,1,1,9878
0,52,OB(O)c1cccc(NCc2ccc(-c3nnn(CC4CC4)n3)nc2)c1,2,1,1209
0,53,OB(O)c1cccc(NCc2ccc3oc(C4CCN4)nc3c2)c1,2,1,2302
0,54,CC1(C)OB(c2ccc(NCc3ccc4oc(C5CNC5)nc4c3)nc2)OC1(C)C,2,1,2302
0,55,O=C(NCc1c[nH]c2ccccc12)c1cccc(B(O)O)c1,1,1,277
0,56,OB(O)c1cccc(C2=NCCc3ccccc32)c1,1,1,218
0,57,Nc1cccc(-c2cc(NCC3Cc4ccccc4CN3)[nH]n2)c1,2,1,3303
16,1,O=C(O)c1ccc2nc(C3CNC3)oc2c1,1,21,9428
16,2,Nc1ccc(-c2cn(CC3CC3)cn2)cc1,2,19,1117
16,3,O=C(Nc1ccc(Br)cc1)C1CCN1,1,15,7139
16,4,Nc1ccc2oc(C3CCN3)nc2c1,2,15,2210
16,5,O=Cc1ccc(-c2cn(CC3CC3)cn2)cc1,2,14,424
16,6,O=C(O)c1ccc(CNC23CC(C2)C3)cc1,1,12,9428
16,7,O=C(O)c1ccc2oc(C3CNC3)nc2c1,1,11,9428
16,8,O=Cc1ccc(C(=O)NC2CC2)cc1,1,11,2478
16,9,Brc1ccc(NCC2CCN2)cc1,1,11,11968
16,10,O=C(Nc1ccc(Br)cc1)C1CNC1,1,11,7139
16,11,NCCc1cn(CC2CC2)c2ccccc12,1,10,4537
16,12,Nc1cccc2ccn(CC3CC3)c12,1,10,3975
16,13,O=C(O)c1ccc2[nH]c(C3CCN3)nc2c1,1,10,9487
16,14,O=C(O)c1cccc2oc(C3CNC3)nc12,1,9,9428
16,15,Brc1cncc(-c2nnn(CC3CC3)n2)c1,1,9,2308
16,16,OB(O)c1cccc(-c2nnn(CC3CC3)n2)c1,1,7,218
16,17,O=C(O)c1ccc2nc(C3CCN3)oc2c1,1,7,9428
16,18,O=C(Nc1cccc(B(O)O)c1)C1CCN1,1,6,5049
16,19,O=C(O)c1ccc2oc(C3CCN3)nc2c1,1,6,9428
16,20,Brc1ccc2oc(C3CNC3)nc2c1,1,6,7139
16,21,Nc1ccc(-c2cccc(-c3nnn(CC4CC4)n3)c2)cc1,2,5,1117
16,22,O=Cc1ccc(C2=NCCc3ccccc32)cc1,1,5,2478
16,23,O=C(Nc1cc(Br)n[nH]1)C1CCCNC1,1,5,7139
16,24,O=C(Nc1cccc2cc[nH]c12)C1CNC1,1,5,4890
16,25,O=C(O)C1Cc2ccccc2CN1,0,4,9428
16,26,NCCc1cn(Cc2ccc(-c3nnn(CC4CC4)n3)cc2)c2ccccc12,2,4,1325
16,27,OB(O)c1cccc(NCC2Cc3ccccc3CN2)c1,1,4,9878
16,28,O=C(O)c1cccc(-c2cnc(F)nc2)c1,1,4,6593
16,29,OB(O)c1ccc(-c2nnn(CC3CC3)n2)s1,1,4,218
16,30,NC(C(=O)Nc1ccc(B(O)O)cc1)c1ccccc1,1,4,4295
16,31,O=C(Nc1ccc(Br)cc1)NC1CC1,1,4,2308
16,32,NCc1cn(Cc2ccc(-c3nnn(CC4CC4)n3)cc2)c2ccccc12,2,3,1117
16,33,O=C(NC1CC1)c1ccc(CCl)cc1,1,3,2549
16,34,BrCc1ccc(-c2nnn(CC3CC3)n2)cc1,1,3,2549
16,35,O=C(Nc1ccc(Br)cc1)C1Cc2ccccc2CN1,1,3,7139
16,36,Brc1ccc(NCC2Cc3ccccc3CN2)cc1,1,3,11968
16,37,O=C(Nc1cccc(B(O)O)c1)C1CNC1,1,3,5049
16,38,OB(O)c1cccc(NCc2ccc(-c3nnn(CC4CC4)n3)nc2)c1,2,3,1209
16,39,BrCc1cccc(-c2nnn(CC3CC3)n2)c1,1,2,2549
16,40,Brc1cn(CC2CC2)cn1,1,2,2308
16,41,O=C(O)c1ccc2nc(C3CCCN3)oc2c1,1,2,9428
16,42,OB(O)c1cccc(NCC2CNC2)c1,1,2,9878
16,43,O=Cc1cn(CC2CC2)c2ccccc12,1,1,2478
16,44,NCc1cn(CC2CC2)c2ccccc12,1,1,3975
16,45,OB(O)c1cccc(NCC2CCN2)c1,1,1,9878
50,1,Nc1ccc(-c2cn(CC3CC3)cn2)cc1,2,28,1117
50,2,O=C(O)c1ccc2nc(C3CNC3)oc2c1,1,25,9428
50,3,O=C(Nc1ccc(Br)cc1)C1CCN1,1,24,7139
50,4,Brc1ccc(NCC2CCN2)cc1,1,19,11968
50,5,O=C(O)c1ccc2oc(C3CNC3)nc2c1,1,18,9428
50,6,Nc1cccc2ccn(CC3CC3)c12,1,18,3975
50,7,NCCc1cn(CC2CC2)c2ccccc12,1,15,4537
50,8,O=C(O)c1ccc2nc(C3CCN3)oc2c1,1,13,9428
50,9,O=Cc1ccc(C(=O)NC2CC2)cc1,1,12,2478
50,10,O=C(O)c1cccc2oc(C3CNC3)nc12,1,11,9428
50,11,O=C(Nc1cccc(B(O)O)c1)C1CCN1,1,11,5049
50,12,O=C(O)c1ccc2[nH]c(C3CCN3)nc2c1,1,11,9487
50,13,OB(O)c1cccc(-c2nnn(CC3CC3)n2)c1,1,10,218
50,14,Brc1cncc(-c2nnn(CC3CC3)n2)c1,1,10,2308
50,15,O=Cc1ccc(C2=NCCc3ccccc32)cc1,1,10,2478
50,16,O=C(O)C1Cc2ccccc2CN1,0,7,9428
50,17,Nc1ccc(-c2cccc(-c3nnn(CC4CC4)n3)c2)cc1,2,7,1117
50,18,NCCc1cn(Cc2ccc(-c3nnn(CC4CC4)n3)cc2)c2ccccc12,2,6,1325
50,19,OB(O)c1cccc(NCC2Cc3ccccc3CN2)c1,1,6,9878
50,20,O=C(O)c1cccc(-c2cnc(F)nc2)c1,1,6,6593
50,21,O=C(O)c1ccc2nc(C3CCCN3)oc2c1,1,6,9428
50,22,O=C(NC1CC1)c1ccc(CCl)cc1,1,5,2549
50,23,BrCc1cccc(-c2nnn(CC3CC3)n2)c1,1,4,2549
50,24,O=Cc1cn(CC2CC2)c2ccccc12,1,4,2478
50,25,O=C(O)c1ccc2oc(C3CCN3)nc2c1,1,4,9428
50,26,NCc1cn(Cc2ccc(-c3nnn(CC4CC4)n3)cc2)c2ccccc12,2,3,1117
50,27,Brc1cn(CC2CC2)cn1,1,3,2308
50,28,Brc1ccc2oc(C3CNC3)nc2c1,1,3,7139
50,29,ClCC1CC1,0,1,2549
100,1,O=C(O)c1ccc2nc(C3CNC3)oc2c1,1,37,9428
100,2,Nc1ccc(-c2cn(CC3CC3)cn2)cc1,2,33,1117
100,3,Nc1cccc2ccn(CC3CC3)c12,1,29,3975
100,4,NCCc1cn(CC2CC2)c2ccccc12,1,28,4537
100,5,O=C(O)c1cccc2oc(C3CNC3)nc12,1,24,9428
100,6,O=C(O)c1ccc2oc(C3CNC3)nc2c1,1,21,9428
100,7,O=Cc1ccc(C(=O)NC2CC2)cc1,1,19,2478
100,8,O=C(O)c1ccc2nc(C3CCN3)oc2c1,1,18,9428
100,9,O=C(O)C1Cc2ccccc2CN1,0,17,9428
100,10,Brc1cncc(-c2nnn(CC3CC3)n2)c1,1,13,2308
100,11,OB(O)c1cccc(-c2nnn(CC3CC3)n2)c1,1,12,218
100,12,OB(O)c1cccc(NCC2Cc3ccccc3CN2)c1,1,11,9878
100,13,NCCc1cn(Cc2ccc(-c3nnn(CC4CC4)n3)cc2)c2ccccc12,2,8,1325
100,14,O=C(NC1CC1)c1ccc(CCl)cc1,1,7,2549
100,15,ClCC1CC1,0,6,2549
100,16,BrCc1cccc(-c2nnn(CC3CC3)n2)c1,1,5,2549
100,17,Brc1cn(CC2CC2)cn1,1,5,2308
100,18,Nc1ccc(-c2cccc(-c3nnn(CC4CC4)n3)c2)cc1,2,5,1117
100,19,NCc1cn(Cc2ccc(-c3nnn(CC4CC4)n3)cc2)c2ccccc12,2,2,1117
200,1,O=C(O)c1ccc2nc(C3CNC3)oc2c1,1,65,9428
200,2,O=C(O)C1Cc2ccccc2CN1,0,55,9428
200,3,O=C(O)c1ccc2oc(C3CNC3)nc2c1,1,44,9428
200,4,NCCc1cn(CC2CC2)c2ccccc12,1,42,4537
200,5,Nc1cccc2ccn(CC3CC3)c12,1,38,3975
200,6,ClCC1CC1,0,15,2549
200,7,OB(O)c1cccc(-c2nnn(CC3CC3)n2)c1,1,15,218
200,8,BrCc1cccc(-c2nnn(CC3CC3)n2)c1,1,11,2549
200,9,NCCc1cn(Cc2ccc(-c3nnn(CC4CC4)n3)cc2)c2ccccc12,2,8,1325
200,10,O=C(O)c1cccc2oc(C3CNC3)nc12,1,7,9428
