strategy,cutoff,modes_at_100rxn
hub_batching,0.3,28
hub_batching,0.35,50
hub_batching,0.4,61
hub_batching,0.45,73
hub_batching,0.5,82
hub_batching,0.55,86
hub_batching,0.6,91
hub_batching,0.65,94
hub_batching,0.7,96
hub_batching,0.75,96
hub_batching,0.8,96
hub_batching,0.85,96
hub_batching,0.9,96
best_candidate,0.3,25
best_candidate,0.35,26
best_candidate,0.4,26
best_candidate,0.45,28
best_candidate,0.5,29
best_candidate,0.55,30
best_candidate,0.6,32
best_candidate,0.65,32
best_candidate,0.7,33
best_candidate,0.75,34
best_candidate,0.8,34
best_candidate,0.85,34
best_candidate,0.9,34
