strategy,cutoff,cum_reactions,cum_modes
hub_batching,0.5,2,1
hub_batching,0.5,5,2
hub_batching,0.5,9,3
hub_batching,0.5,14,5
hub_batching,0.5,27,8
hub_batching,0.5,34,10
hub_batching,0.5,48,13
hub_batching,0.5,66,19
hub_batching,0.5,94,27
hub_batching,0.5,149,41
hub_batching,0.5,175,52
hub_batching,0.5,256,80
hub_batching,0.5,376,129
hub_batching,0.5,502,183
best_candidate,0.5,3,1
best_candidate,0.5,8,2
best_candidate,0.5,11,3
best_candidate,0.5,18,4
best_candidate,0.5,32,7
best_candidate,0.5,42,11
best_candidate,0.5,55,14
best_candidate,0.5,70,18
best_candidate,0.5,94,26
best_candidate,0.5,129,35
best_candidate,0.5,188,48
best_candidate,0.5,284,75
best_candidate,0.5,405,112
best_candidate,0.5,564,154
