cutoff,strategy,setup_s,hub_pick_s,enumeration_s,reward_gen_s,flow_extract_s,mode_selection_s,total_s,extra_compute_s
0.3,hub_batching,26.689,0.159,15612.231,960.3214,2997.7061,11.0951,19608.2017,19600.6647
0.3,best_candidate,0.0,0.0,0.0,0.0,0.0,7.5371,7.5371,19600.6647
0.35,hub_batching,26.689,0.159,15612.231,960.3214,2997.7061,4.397,19601.5036,19600.7999
0.35,best_candidate,0.0,0.0,0.0,0.0,0.0,0.7037,0.7037,19600.7999
0.4,hub_batching,26.689,0.159,7933.3108,493.7905,1531.2366,2.878,9988.0639,9987.4715
0.4,best_candidate,0.0,0.0,0.0,0.0,0.0,0.5924,0.5924,9987.4715
0.45,hub_batching,26.689,0.159,3546.7334,221.6329,678.323,1.155,4474.6922,4474.1872
0.45,best_candidate,0.0,0.0,0.0,0.0,0.0,0.505,0.505,4474.1872
0.5,hub_batching,26.689,0.159,1578.5404,101.5897,296.4384,0.8858,2004.3023,2003.9004
0.5,best_candidate,0.0,0.0,0.0,0.0,0.0,0.4019,0.4019,2003.9004
0.55,hub_batching,26.689,0.159,1045.2485,70.8467,202.9195,0.7201,1346.5828,1346.2352
0.55,best_candidate,0.0,0.0,0.0,0.0,0.0,0.3476,0.3476,1346.2352
0.6,hub_batching,26.689,0.159,766.5477,52.0175,149.8563,0.5127,995.7822,995.4786
0.6,best_candidate,0.0,0.0,0.0,0.0,0.0,0.3036,0.3036,995.4786
0.65,hub_batching,26.689,0.159,707.1243,47.4057,137.1835,0.4812,919.0427,918.759
0.65,best_candidate,0.0,0.0,0.0,0.0,0.0,0.2836,0.2836,918.759
0.7,hub_batching,26.689,0.159,509.3396,34.6587,96.9787,0.28,668.1051,667.8459
0.7,best_candidate,0.0,0.0,0.0,0.0,0.0,0.2591,0.2591,667.8459
0.75,hub_batching,26.689,0.159,345.0795,24.2025,66.9981,0.2506,463.3788,463.1335
0.75,best_candidate,0.0,0.0,0.0,0.0,0.0,0.2453,0.2453,463.1335
0.8,hub_batching,26.689,0.159,345.0795,24.2025,66.9981,0.2404,463.3685,463.1395
0.8,best_candidate,0.0,0.0,0.0,0.0,0.0,0.229,0.229,463.1395
0.85,hub_batching,26.689,0.159,345.0795,24.2025,66.9981,0.235,463.3631,463.1411
0.85,best_candidate,0.0,0.0,0.0,0.0,0.0,0.2221,0.2221,463.1411
0.9,hub_batching,26.689,0.159,345.0795,24.2025,66.9981,0.2333,463.3614,463.1383
0.9,best_candidate,0.0,0.0,0.0,0.0,0.0,0.2231,0.2231,463.1383
