strategy,cutoff,reactions_for_300modes
hub_batching,0.3,
hub_batching,0.35,
hub_batching,0.4,
hub_batching,0.45,
hub_batching,0.5,
hub_batching,0.55,
hub_batching,0.6,
hub_batching,0.65,
hub_batching,0.7,
hub_batching,0.75,
hub_batching,0.8,
hub_batching,0.85,
hub_batching,0.9,
best_candidate,0.3,
best_candidate,0.35,
best_candidate,0.4,
best_candidate,0.45,
best_candidate,0.5,
best_candidate,0.55,
best_candidate,0.6,
best_candidate,0.65,
best_candidate,0.7,
best_candidate,0.75,
best_candidate,0.8,
best_candidate,0.85,
best_candidate,0.9,
