strategy,cutoff,modes_at_100rxn
hub_batching,0.3,23
hub_batching,0.35,23
hub_batching,0.4,21
hub_batching,0.45,20
hub_batching,0.5,27
hub_batching,0.55,24
hub_batching,0.6,26
hub_batching,0.65,22
hub_batching,0.7,23
hub_batching,0.75,24
hub_batching,0.8,24
hub_batching,0.85,24
hub_batching,0.9,24
best_candidate,0.3,16
best_candidate,0.35,16
best_candidate,0.4,18
best_candidate,0.45,19
best_candidate,0.5,26
best_candidate,0.55,20
best_candidate,0.6,27
best_candidate,0.65,29
best_candidate,0.7,23
best_candidate,0.75,22
best_candidate,0.8,22
best_candidate,0.85,22
best_candidate,0.9,22
