strategy,tau,similarity,modes,reactions_used,reactions_per_mode,reward_gen_calls,stop_reason,pool_limited,total_modes_run,total_reactions_run,wall_s
hub_batching,4.0,0.3,189,299,1.582,568572,reactions,False,190,301,22.1
best_candidate,4.0,0.3,81,300,3.7037,0,reactions,False,81,300,9.39
hub_batching,4.0,0.35,227,300,1.3216,279373,reactions,False,227,300,1.16
best_candidate,4.0,0.35,81,297,3.6667,0,reactions,False,82,301,1.2
hub_batching,4.0,0.4,261,300,1.1494,111536,reactions,False,261,300,0.45
best_candidate,4.0,0.4,86,299,3.4767,0,reactions,False,87,303,2.99
hub_batching,4.0,0.45,268,300,1.1194,58768,reactions,False,268,300,0.28
best_candidate,4.0,0.45,89,299,3.3596,0,reactions,False,90,301,5.84
hub_batching,4.0,0.5,277,300,1.083,28491,reactions,False,277,300,0.16
best_candidate,4.0,0.5,95,297,3.1263,0,reactions,False,96,301,5.56
hub_batching,4.0,0.55,277,300,1.083,28491,reactions,False,277,300,0.16
best_candidate,4.0,0.55,97,299,3.0825,0,reactions,False,98,302,4.41
hub_batching,4.0,0.6,277,300,1.083,19063,reactions,False,277,300,0.12
best_candidate,4.0,0.6,105,300,2.8571,0,reactions,False,105,300,3.35
hub_batching,4.0,0.65,279,300,1.0753,7086,reactions,False,279,300,0.09
best_candidate,4.0,0.65,108,300,2.7778,0,reactions,False,108,300,2.72
hub_batching,4.0,0.7,279,300,1.0753,7086,reactions,False,279,300,0.09
best_candidate,4.0,0.7,110,299,2.7182,0,reactions,False,111,302,2.25
hub_batching,4.0,0.75,279,300,1.0753,7086,reactions,False,279,300,0.09
best_candidate,4.0,0.75,118,300,2.5424,0,reactions,False,118,300,1.95
hub_batching,4.0,0.8,279,300,1.0753,7086,reactions,False,279,300,0.09
best_candidate,4.0,0.8,120,298,2.4833,0,reactions,False,121,301,1.72
hub_batching,4.0,0.85,279,300,1.0753,7086,reactions,False,279,300,0.09
best_candidate,4.0,0.85,119,299,2.5126,0,reactions,False,120,302,1.51
hub_batching,4.0,0.9,279,300,1.0753,7086,reactions,False,279,300,0.09
best_candidate,4.0,0.9,119,299,2.5126,0,reactions,False,120,302,1.44
hub_batching,4.25,0.3,192,299,1.5573,581824,reactions,False,193,302,2.47
best_candidate,4.25,0.3,81,300,3.7037,0,reactions,False,81,300,0.51
hub_batching,4.25,0.35,226,300,1.3274,279373,reactions,False,226,300,1.02
best_candidate,4.25,0.35,81,297,3.6667,0,reactions,False,82,301,1.19
hub_batching,4.25,0.4,260,300,1.1538,118129,reactions,False,260,300,0.44
best_candidate,4.25,0.4,86,299,3.4767,0,reactions,False,87,303,2.99
hub_batching,4.25,0.45,268,300,1.1194,58768,reactions,False,268,300,0.27
