strategy,step,cum_reactions,cum_modes,cum_reward_gen_calls,reactions_added,reward,source_hub
hub_batching,1,4,1,9428,4,8.3793,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,2,7,2,9428,3,8.3326,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,3,10,3,9428,3,8.3127,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,4,13,4,9428,3,8.2389,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,5,16,5,9428,3,8.1928,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,6,19,6,9428,3,8.1909,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,7,22,7,9428,3,8.1785,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,8,25,8,9428,3,8.1528,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,9,28,9,9428,3,8.1175,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,10,31,10,9428,3,8.1139,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,11,34,11,9428,3,8.0889,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,12,37,12,9428,3,8.0783,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,13,40,13,9428,3,8.0671,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,14,43,14,9428,3,8.0586,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,15,46,15,9428,3,8.0475,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,16,49,16,9428,3,8.0302,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,17,52,17,9428,3,8.02,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,18,55,18,9428,3,8.0199,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,19,58,19,9428,3,8.0167,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,20,61,20,9428,3,8.0081,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,21,64,21,9428,3,8.006,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,22,67,22,9428,3,7.9894,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,23,70,23,9428,3,7.9738,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,24,73,24,9428,3,7.9604,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,25,76,25,9428,3,7.9495,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,26,78,26,9428,2,7.9486,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,27,81,27,9428,3,7.9419,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,28,84,28,9428,3,7.9392,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,29,87,29,9428,3,7.9386,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,30,89,30,9428,2,7.9364,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,31,92,31,9428,3,7.907,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,32,95,32,9428,3,7.8959,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,33,98,33,9428,3,7.8905,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,34,101,34,9428,3,7.8889,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,35,104,35,9428,3,7.8881,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,36,107,36,9428,3,7.8842,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,37,110,37,9428,3,7.866,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,38,113,38,9428,3,7.864,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,39,116,39,9428,3,7.8588,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,40,119,40,9428,3,7.8491,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,41,122,41,9428,3,7.8337,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,42,125,42,9428,3,7.8262,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,43,128,43,9428,3,7.7988,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,44,131,44,9428,3,7.7839,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,45,134,45,9428,3,7.7831,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,46,137,46,9428,3,7.7787,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,47,140,47,9428,3,7.7577,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,48,143,48,9428,3,7.7531,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,49,146,49,9428,3,7.7462,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,50,149,50,9428,3,7.7371,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,51,152,51,9428,3,7.7303,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,52,155,52,9428,3,7.7281,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,53,158,53,9428,3,7.7187,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,54,160,54,9428,2,7.7132,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,55,161,55,9428,1,7.6975,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,56,164,56,9428,3,7.6949,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,57,167,57,9428,3,7.6947,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,58,170,58,9428,3,7.6883,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,59,172,59,9428,2,7.6763,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,60,175,60,9428,3,7.6674,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,61,178,61,9428,3,7.6673,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,62,181,62,9428,3,7.6565,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,63,184,63,9428,3,7.6534,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,64,185,64,9428,1,7.6489,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,65,188,65,9428,3,7.6429,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,66,191,66,9428,3,7.6349,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,67,192,67,9428,1,7.634,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,68,195,68,9428,3,7.6323,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,69,198,69,9428,3,7.628,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,70,201,70,9428,3,7.6269,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,71,204,71,9428,3,7.619,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,72,207,72,9428,3,7.6093,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,73,210,73,9428,3,7.594,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,74,213,74,9428,3,7.5864,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,75,216,75,9428,3,7.586,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,76,219,76,9428,3,7.5828,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,77,221,77,9428,2,7.5806,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,78,224,78,9428,3,7.5659,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,79,227,79,9428,3,7.5649,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,80,230,80,9428,3,7.5629,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,81,233,81,9428,3,7.5468,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,82,236,82,9428,3,7.5398,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,83,239,83,9428,3,7.5378,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,84,242,84,9428,3,7.5358,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,85,245,85,9428,3,7.5328,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,86,248,86,9428,3,7.5292,O=C(O)c1ccc2nc(C3CNC3)oc2c1
hub_batching,87,250,87,9428,2,7.5271,O=C(O)c1ccc2nc(C3CNC3)oc2c1
