strategy,cutoff,modes_at_100rxn
hub_batching,0.3,33
hub_batching,0.35,33
hub_batching,0.4,33
hub_batching,0.45,33
hub_batching,0.5,33
hub_batching,0.55,33
hub_batching,0.6,33
hub_batching,0.65,33
hub_batching,0.7,35
hub_batching,0.75,38
hub_batching,0.8,39
hub_batching,0.85,40
hub_batching,0.9,40
best_candidate,0.3,25
best_candidate,0.35,26
best_candidate,0.4,26
best_candidate,0.45,28
best_candidate,0.5,29
best_candidate,0.55,30
best_candidate,0.6,32
best_candidate,0.65,32
best_candidate,0.7,33
best_candidate,0.75,34
best_candidate,0.8,34
best_candidate,0.85,34
best_candidate,0.9,34
