strategy,cutoff,reactions_for_300modes
hub_batching,0.3,
hub_batching,0.35,803
hub_batching,0.4,821
hub_batching,0.45,815
hub_batching,0.5,825
hub_batching,0.55,824
hub_batching,0.6,784
hub_batching,0.65,752
hub_batching,0.7,706
hub_batching,0.75,671
hub_batching,0.8,656
hub_batching,0.85,648
hub_batching,0.9,644
best_candidate,0.3,1123
best_candidate,0.35,1080
best_candidate,0.4,1018
best_candidate,0.45,955
best_candidate,0.5,929
best_candidate,0.55,866
best_candidate,0.6,835
best_candidate,0.65,823
best_candidate,0.7,793
best_candidate,0.75,751
best_candidate,0.8,722
best_candidate,0.85,730
best_candidate,0.9,728
