method,n_molecules,rank_by_reward,reward,nearest_neighbour_sim,mean_pct_library_above_tau,smiles
"hub-batching (ours)",82,0,7.9585,0.4507,0.0000,"O=C(NC1CC1)c1ccc(COC2CN3CCC2CC3)cc1"
"hub-batching (ours)",82,1,7.5208,0.4646,0.0000,"O=C(Nc1ccc(NCc2c[nH]c3ccccc23)cc1)C1CN(C(=O)C2Cc3ccccc3CN2)C1"
"hub-batching (ours)",82,2,7.2063,0.4419,0.0000,"Fc1ccc(-c2nnn(Cc3ccc(-c4nnn(CC5CC5)n4)cc3)n2)cn1"
"hub-batching (ours)",82,3,7.4627,0.4217,0.0000,"Fc1ncc(-c2cccc(-c3nnn(CC4CC4)n3)c2)cn1"
"hub-batching (ours)",82,4,7.6378,0.4778,0.0000,"c1ccc2c(c1)CCN=C2c1ccc(-c2nnn(CC3CC3)n2)nc1"
"hub-batching (ours)",82,5,7.7256,0.4507,0.0000,"O=C(NC1CC1)c1ccc(COCC2CNC2)cc1"
"hub-batching (ours)",82,6,8.0279,0.4419,0.0000,"c1cc(-c2nnn(CC3CC3)n2)ccc1COC1CN2CCC1CC2"
"hub-batching (ours)",82,7,7.4296,0.4167,0.0000,"O=C1Cc2ccc(C(CCl)Nc3ccc(-c4cn(CC5CC5)cn4)cc3)cc2N1"
"hub-batching (ours)",82,8,7.4637,0.4783,0.0000,"O=C(Nc1ccc(N(Cc2c[nH]c3ccccc23)CC2CCN2)cc1)C1CNC1"
"hub-batching (ours)",82,9,7.1252,0.4692,0.0000,"N#Cc1ccc(Cn2cc(CNC(=O)N3CC(C(=O)Nc4ccc(NCc5c[nH]c6ccccc56)cc4)C3)c3ccccc32)cc1"
"hub-batching (ours)",82,10,7.0089,0.4884,0.0000,"COc1ccc(C(F)(F)F)cc1CNc1ccc(-c2cn(CC3CC3)cn2)cc1"
"hub-batching (ours)",82,11,7.0834,0.4894,0.0000,"O=[N+]([O-])c1ccc(NCc2cn(Cc3ccc(-c4nnn(CC5CC5)n4)cc3)c3ccccc23)c2cccnc12"
"hub-batching (ours)",82,12,7.1538,0.4688,0.0000,"O=C(C1Cc2ccccc2CN1)N1CC(c2nc3cc(Br)ccc3o2)C1"
"hub-batching (ours)",82,13,7.6323,0.4894,0.0000,"O=C1Cc2ccc(C(CCl)NCc3cn(Cc4ccc(-c5nnn(CC6CC6)n5)cc4)c4ccccc34)cc2N1"
"hub-batching (ours)",82,14,7.0005,0.4607,0.0000,"Brc1ccc2oc(-c3ccc4nc(C5CNC5)[nH]c4c3)nc2c1"
"hub-batching (ours)",82,15,7.8052,0.4821,0.0000,"COc1ccc(-c2cccc(NCc3ccc(-c4nnn(CC5CC5)n4)nc3)c2)cn1"
"hub-batching (ours)",82,16,7.8337,0.4742,0.0000,"c1cc(-c2nnn(CC3CC3)n2)ncc1CNC12CC(C1)C2"
"hub-batching (ours)",82,17,7.2578,0.4388,0.0000,"COc1ccc2[nH]c(-c3ccc(-c4nnn(CC5CC5)n4)nc3)nc2c1"
"hub-batching (ours)",82,18,7.2632,0.4949,0.0000,"O=C(NC1CC1)c1ccc(COC(=O)c2ccc(-c3nnn(CC4CC4)n3)nc2)cc1"
"hub-batching (ours)",82,19,7.2639,0.4453,0.0000,"N#Cc1ccc(Cn2cc(CNCc3ccc(-c4nnn(CC5CC5)n4)nc3)c3ccccc32)cc1"
"hub-batching (ours)",82,20,7.1236,0.4607,0.0000,"COc1ccc2oc(-c3ccc4[nH]c(C5CNC5)nc4c3)nc2c1"
"hub-batching (ours)",82,21,7.2794,0.4588,0.0000,"c1ccc2nc(Nc3ccc(-c4cn(CC5CC5)cn4)cc3)ccc2c1"
"hub-batching (ours)",82,22,7.6789,0.4556,0.0000,"c1cc2[nH]c(C3CNC3)nc2cc1CNC12CC(C1)C2"
"hub-batching (ours)",82,23,7.3410,0.4717,0.0000,"O=C(Nc1ccc(-c2cn(CC3CC3)cn2)cc1)Nc1nc(F)nc2[nH]cnc12"
