template_id,steps,cum_coverage,named_reaction,single_reactant,smarts
139,93439,0.125,Direct acid -> amine (reductive),False,"[#6&!$(C=[O,N]):4]-[Nh:2]-[#6&!$(C=[O,N]):3].[C:1](=[O])[Oh] >> [C:1]-[N:2](-[#6&!$(C=[O,N]):4])-[#6&!$(C=[O,N]):3]"
136,83401,0.2366,Direct acid -> amine (reductive),False,"[C:1](=[O])[Oh].[Nh2:2]-[#6&!$(C=[O,N]):3] >> [C:1]-[Nh:2]-[#6&!$(C=[O,N]):3]"
137,58085,0.3143,Direct acid -> amine (reductive),False,"[Nh2:2]-[#6&!$(C=[O,N]):3].[C:1](=[O])[Oh] >> [C:1]-[Nh:2]-[#6&!$(C=[O,N]):3]"
70,48122,0.3787,Reductive amination (aldehyde),False,"[#6&!$(C=[O,N]):10]-[Nh:1](-[#6&!$(C=[O,N]):20]).[Ch:2]([#6:3])=[O] >> [#6&!$(C=[O,N]):10]-[N:1](-[#6&!$(C=[O,N]):20])-[Ch:2]-[#6:3]"
74,39300,0.4312,Reductive amination (ketone),False,"[#6&!$(C=[O,N]):10][Nh:1]([#6&!$(C=[O,N]):20]).[#6:3][C:2]([#6:4])=[O] >> [#6&!$(C=[O,N]):10][N:1]([#6&!$(C=[O,N]):20])-[#6:2]([C:3])[#6:4]"
73,36454,0.48,Reductive amination (ketone),False,"[#6:3][C:2]([#6:4])=[O].[#6&!$(C=[O,N]):10][Nh2:1] >> [#6&!$(C=[O,N]):10][N:1]-[C:2]([#6:3])[#6:4]"
138,32279,0.5232,Direct acid -> amine (reductive),False,"[C:1](=[O])[Oh].[#6&!$(C=[O,N]):4]-[Nh:2]-[#6&!$(C=[O,N]):3] >> [C:1]-[N:2](-[#6&!$(C=[O,N]):4])-[#6&!$(C=[O,N]):3]"
76,30437,0.5639,Amide coupling,False,"[C:3](=[O:4])-[Oh].[Nh2:5]-[#6&!$(C=[O,N]):10] >> [C:3](=[O:4])-[Nh:5]-[#6&!$(C=[O,N]):10]"
68,23452,0.5953,Reductive amination (aldehyde),False,"[#6&!$(C=[O,N]):10][Nh2:1].[Ch:2]([#6:3])=[O] >> [#6&!$(C=[O,N]):10][Nh:1]-[Ch:2]-[#6:3]"
77,21985,0.6247,Amide coupling,False,"[Nh2:5]-[#6&!$(C=[O,N]):10].[C:3](=[O:4])-[Oh] >> [C:3](=[O:4])-[Nh:5]-[#6&!$(C=[O,N]):10]"
