recorded_amine,score_amine,counterfactual_amide,score_amide
CNCCN(Cc1cccc(F)c1NCCCN)c1ccccc1S,0.864207,CNCCN(Cc1cccc(F)c1NC(=O)CCN)c1ccccc1S,0.157969
NC1(CNCCc2ccccc2)CCC1,0.59848,NC1(C(=O)NCCc2ccccc2)CCC1,0.004091
O=C(O)c1ccc(NC[C@@H]2CCCN2)c(Br)c1,0.012091,O=C(O)c1ccc(NC(=O)[C@@H]2CCCN2)c(Br)c1,0.001347
N[C@H](CCN(CCc1ccccc1Br)C1CCNCC1)CNc1cc(F)ccc1O,0.972678,N[C@H](CCN(CCc1ccccc1Br)C1CCNCC1)C(=O)Nc1cc(F)ccc1O,0.882783
CC(C)(CN(CCCN)Cc1ccc(O)cc1)NC(CCl)c1ccc(F)cc1,0.922696,CC(C)(CN(Cc1ccc(O)cc1)C(=O)CCN)NC(CCl)c1ccc(F)cc1,0.161417
Oc1ccccc1NCC1CCNCC1,0.362984,O=C(Nc1ccccc1O)C1CCNCC1,0.017457
N[C@H](CS)CN1CCC1C(=O)O,0.008689,N[C@H](CS)C(=O)N1CCC1C(=O)O,0.004009
N[C@@H](CCNc1cccc2cc[nH]c12)CN1CCCC(=O)C1,0.317682,N[C@@H](CC(=O)Nc1cccc2cc[nH]c12)CN1CCCC(=O)C1,0.028913
C[C@@H](CNCCc1ccc(O)cc1)NCC=O,0.742377,C[C@@H](CNCCc1ccc(O)cc1)NC(=O)C=O,0.082
O=C(O)[C@H]1CCCN1CCNc1ccccc1S,0.029557,O=C(O)CN(C(=O)[C@H]1CCCN1)c1ccccc1S,0.02102
C#CCN(CC1CCN1)CC1CCN1Cc1c[nH]c2cc(Br)ccc12,0.918376,C#CCN(CC1CCN1Cc1c[nH]c2cc(Br)ccc12)C(=O)C1CCN1,0.757249
CC[C@H](N)CN(CCNC)Cc1ccc(OC)cc1,0.027787,CC[C@H](N)CN(Cc1ccc(OC)cc1)C(=O)CNC,0.003047
O=C(O)c1cccc(F)c1N1CCC1CN1CCCCC1,0.04231,O=C(O)C1CCN1c1c(F)cccc1C(=O)N1CCCCC1,0.000276
COc1ccc(O)c(N(CC=O)CCN(C)C[C@H]2CCCN2C(CCl)c2ccc(F)cc2F)c1,0.987212,COc1ccc(O)c(N(CCN(C)C[C@H]2CCCN2C(CCl)c2ccc(F)cc2F)C(=O)C=O)c1,0.936539
O=C1CCN(C[C@@H]2C[C@@H](O)CN2)CC1,0.035398,O=C1CCN(C(=O)[C@@H]2C[C@@H](O)CN2)CC1,0.003444
COc1ccccc1CCN(C[C@@H](CCSC)NCc1ccc(F)cc1)C1CNC1,0.992369,COc1ccccc1CCN(C[C@@H](CCSC)NC(=O)c1ccc(F)cc1)C1CNC1,0.970291
CSCC[C@@H](N)CN(CC1CCN1)c1ccc(Br)cc1O,0.044684,CSCC[C@@H](N)CN(C(=O)C1CCN1)c1ccc(Br)cc1O,0.075329
NCCCN(Cc1c[nH]c2cc(Br)ccc12)c1cc(Br)ccc1OC(=O)C1CCN1CCN,0.991813,NCCC(=O)N(Cc1c[nH]c2cc(Br)ccc12)c1cc(Br)ccc1OC(=O)C1CCN1CCN,0.987418
C#CCNC[C@@H](N)CCCNc1cc(F)ccc1O,0.368986,C#CCNC(=O)[C@@H](N)CCCNc1cc(F)ccc1O,0.025203
NCCCNc1c(F)cccc1C(=O)O,0.016531,NCCC(=O)Nc1c(F)cccc1C(=O)O,0.00064
C[C@@H](N)CN1CC(N(c2ccnc3ccccc23)C2CN(Cc3cccc(F)c3F)C2)C1,0.946011,C[C@@H](N)CN1CC(N(c2ccnc3ccccc23)C2CN(C(=O)c3cccc(F)c3F)C2)C1,0.930795
COc1ccccc1CCN(CCCN)C[C@H](N)CCC(=O)O,0.38416,COc1ccccc1CCN(C[C@H](N)CCC(=O)O)C(=O)CCN,0.011463
C[C@H](O)CNCCC(=O)O,0.006522,C[C@H](O)C(=O)NCCC(=O)O,0.001212
N#Cc1ccc(NCCCN)c(NCCCN2CC(Nc3ccc(Br)cc3O)C2)c1,0.55252,N#Cc1ccc(NC(=O)CCN)c(NCCCN2CC(Nc3ccc(Br)cc3O)C2)c1,0.542573
NCCCN1CCC1CNc1ccc(Br)cc1O,0.525661,NCCCN1CCC1C(=O)Nc1ccc(Br)cc1O,0.019586
C[C@@H](N)CN(CCBr)CCc1ccccc1,0.034551,C[C@@H](N)CN(CCc1ccccc1)C(=O)CBr,0.004442
Nc1ccccc1OC(=O)[C@@H](N)CCN(CCc1ccc(O)cc1)CC1CCN1,0.941211,Nc1ccccc1OC(=O)[C@@H](N)CCN(CCc1ccc(O)cc1)C(=O)C1CCN1,0.134347
CNCCNc1cc(F)c(F)cc1O,0.068623,CNCC(=O)Nc1cc(F)c(F)cc1O,0.012061
Oc1cc(Br)ccc1NCC1CCN(Cc2ccc(F)cc2)CC1,0.872303,O=C(Nc1ccc(Br)cc1O)C1CCN(Cc2ccc(F)cc2)CC1,0.045228
C[C@H](N)CN(CCc1ccc(O)cc1)C[C@@H]1CCCN1,0.849346,C[C@H](N)CN(CCc1ccc(O)cc1)C(=O)[C@@H]1CCCN1,0.187704
C[C@@H](CNc1cccc(Br)c1O)N(CC(=O)CBr)Cc1c[nH]c2ccc(Br)cc12,0.628784,C[C@@H](CN(C(=O)C(=O)CBr)c1cccc(Br)c1O)NCc1c[nH]c2ccc(Br)cc12,0.166612
C[C@@H](N)C(=O)Oc1cc(Br)ccc1N(CC1CCN1)C[C@H]1CCCN1,0.055699,C[C@@H](N)C(=O)Oc1cc(Br)ccc1N(C[C@H]1CCCN1)C(=O)C1CCN1,0.069383
CC[C@H](NCC=O)C(=O)O,0.002125,CC[C@H](NC(=O)C=O)C(=O)O,0.00075
Brc1cccc2c1CCNC2CNc1ccccn1,0.435567,O=C(Nc1ccccn1)C1NCCc2c(Br)cccc21,0.10686
C[C@@H](O)CNCC(C)(C)N,0.00984,C[C@@H](O)CNC(=O)C(C)(C)N,0.001685
CN(CCCN)CCN(C)CCNc1ccccc1O,0.228369,CN(CCNc1ccccc1O)CCN(C)C(=O)CCN,0.092878
N[C@@H](CCNc1cccc2cc[nH]c12)CNc1ccc(Br)cc1O,0.166331,N[C@H](CNc1ccc(Br)cc1O)CC(=O)Nc1cccc2cc[nH]c12,0.020863
CNCCN(CCc1ccccc1Br)CC1CCN1Cc1c[nH]c2ccc(Br)cc12,0.999981,CNCC(=O)N(CCc1ccccc1Br)CC1CCN1Cc1c[nH]c2ccc(Br)cc12,0.965877
C#CCN(CC[C@@H](N)CNc1cc(F)ccc1O)CC1CCN1,0.754771,C#CCN(CC[C@@H](N)CNc1cc(F)ccc1O)C(=O)C1CCN1,0.158655
C=CCN(CC[C@@H](N)CN1CCC(NCCc2c[nH]c3ccc(O)cc23)C1)c1ccccc1S,0.959772,C=CC(=O)N(CC[C@@H](N)CN1CCC(NCCc2c[nH]c3ccc(O)cc23)C1)c1ccccc1S,0.929252
CC(C)C[C@H](CN(CC1CCN1)c1ccc(Br)cc1)N(CCCN)Cc1cccc(Br)c1,0.91521,CC(C)C[C@H](CN(C(=O)C1CCN1)c1ccc(Br)cc1)N(CCCN)Cc1cccc(Br)c1,0.762938
C[C@@H](N)CN1CC(Nc2cccc3cc[nH]c23)C1,0.16433,C[C@@H](N)C(=O)N(c1cccc2cc[nH]c12)C1CNC1,0.262143
Nc1c(F)cccc1CNc1ccccc1S,0.012561,Nc1c(F)cccc1C(=O)Nc1ccccc1S,0.002505
CSCC[C@@H](N)CN(C[C@@H]1CCCN1Cc1ccc(F)cc1)c1cc(F)ccc1O,0.957438,CSCC[C@@H](N)CN(C[C@@H]1CCCN1C(=O)c1ccc(F)cc1)c1cc(F)ccc1O,0.176699
Nc1cccc(Br)c1NC1CCCN(CCNCc2cccc(F)c2N)C1,0.631854,NCCN1CCCC(Nc2c(Br)cccc2NC(=O)c2cccc(F)c2N)C1,0.425846
N#Cc1ccc(O)c(N(Cc2ccc(F)cc2)C[C@@H](N)CCCNCC2CNC2)c1,0.903428,N#Cc1ccc(O)c(N(Cc2ccc(F)cc2)C[C@@H](N)CCCNC(=O)C2CNC2)c1,0.487262
CC[C@H](N)CNc1ccc(CN2CCC(=O)C2)cc1Br,0.121368,CC[C@H](N)C(=O)Nc1ccc(CN2CCC(=O)C2)cc1Br,0.007954
N[C@@H](CO)CN(CCc1ccccc1Br)CC1(N)CCC1,0.246854,N[C@@H](CO)CN(CCc1ccccc1Br)C(=O)C1(N)CCC1,0.006999
COc1ccc(O)c(N(CCCN(CCN)Cc2c[nH]c3cc(Br)ccc23)C[C@H]2CCCN2)c1,0.994704,COc1ccc(O)c(N(CCCN(Cc2c[nH]c3cc(Br)ccc23)C(=O)CN)C[C@H]2CCCN2)c1,0.87065
CC[C@H](N)CNc1cc(Br)ccc1O,0.05021,CC[C@H](N)C(=O)Nc1cc(Br)ccc1O,0.001953
C#CCNCc1ccc(N(C[C@@H]2CCCN2CCCN)c2ccc(C#N)cc2)c(Br)c1,0.890605,C#CCNC(=O)c1ccc(N(C[C@@H]2CCCN2CCCN)c2ccc(C#N)cc2)c(Br)c1,0.624907
O=C(O)[C@@H]1CCCN1CCBr,0.006115,O=C(O)[C@@H]1CCCN1C(=O)CBr,0.002452
C[C@H](N)CN(CCc1c[nH]c2ccccc12)C(CCl)c1ccc(F)cc1N1CCC[C@H](O)C1,0.990736,C[C@H](N)C(=O)N(CCc1c[nH]c2ccccc12)C(CCl)c1ccc(F)cc1N1CCC[C@H](O)C1,0.677154
N[C@H](CCNc1cc(F)ccc1O)CN1CCC(C(=O)O)CC1,0.474202,N[C@H](CC(=O)Nc1cc(F)ccc1O)CN1CCC(C(=O)O)CC1,0.067858
