strategy,tau,similarity,reward_filter,diversity_filter,scans,library_size,reactions,reactions_per_mode,qualified_modes,qualified_frac,reactions_per_qualified_mode,reward_mean,reward_median,reward_p10,reward_min,reward_max,frac_over_5,frac_over_6,frac_over_7,mean_pairwise_similarity,modes_at_0.7,modes_at_0.7_per_mol,butina_clusters_at_0.7,butina_at_0.7_per_mol,modes_at_0.5,modes_at_0.5_per_mol,butina_clusters_at_0.5,butina_at_0.5_per_mol,unique_scaffolds,scaffolds_per_mol,depth_median,depth_mean,duplicates_suppressed,reward_gen_calls,distinct_hubs_used,distinct_promoted_fragments,modes_at_rxn_budget,reactions_at_rxn_budget,rxn_per_mode_at_rxn_budget,qualified_modes_at_rxn_budget,rxn_per_qualified_mode_at_rxn_budget,stop_reason,reached_mode_target,wall_s
hub_batching,,0.5,off,on,reward,300,323,1.0767,27,0.09,11.963,4.9732,5.4698,1.794,0.8161,8.1971,0.64,0.33,0.09,0.137,300,1.0,300,1.0,300,1.0,300,1.0,219,0.73,1.0,1.387,,28491,5,21,277,300,1.083,27,11.1111,modes,True,0.6
best_candidate,,0.5,off,on,reward,300,929,3.0967,300,1.0,3.0967,8.1219,8.1033,8.0338,8.0207,8.4038,1.0,1.0,1.0,0.2022,300,1.0,300,1.0,300,1.0,300,1.0,300,1.0,4.0,3.993,,0,254,205,95,297,3.1263,95,3.1263,modes,True,0.96
hub_batching,4.0,0.5,on,on,reward,300,325,1.0833,46,0.1533,7.0652,5.6962,5.5994,4.3298,4.0211,8.2439,0.67,0.4067,0.1533,0.1631,300,1.0,300,1.0,300,1.0,300,1.0,236,0.7867,1.0,1.427,,39244,7,23,277,300,1.083,33,9.0909,modes,True,0.54
best_candidate,4.0,0.5,on,on,reward,300,929,3.0967,300,1.0,3.0967,8.1219,8.1033,8.0338,8.0207,8.4038,1.0,1.0,1.0,0.2022,300,1.0,300,1.0,300,1.0,300,1.0,300,1.0,4.0,3.993,,0,254,205,95,297,3.1263,95,3.1263,modes,True,0.17
hub_batching,4.5,0.5,on,on,reward,300,326,1.0867,57,0.19,5.7193,6.0176,6.0079,4.7916,4.5051,8.2439,0.83,0.5,0.19,0.1579,300,1.0,300,1.0,300,1.0,300,1.0,253,0.8433,2.0,1.553,,43219,8,23,274,300,1.0949,50,6.0,modes,True,0.39
best_candidate,4.5,0.5,on,on,reward,300,929,3.0967,300,1.0,3.0967,8.1219,8.1033,8.0338,8.0207,8.4038,1.0,1.0,1.0,0.2022,300,1.0,300,1.0,300,1.0,300,1.0,300,1.0,4.0,3.993,,0,254,205,95,297,3.1263,95,3.1263,modes,True,0.17
hub_batching,5.0,0.5,on,on,reward,300,328,1.0933,73,0.2433,4.4932,6.3324,6.2877,5.2534,5.0203,8.247,1.0,0.6267,0.2433,0.1597,300,1.0,300,1.0,300,1.0,300,1.0,267,0.89,2.0,1.673,,52865,10,23,272,300,1.1029,67,4.4776,modes,True,0.34
best_candidate,5.0,0.5,on,on,reward,300,929,3.0967,300,1.0,3.0967,8.1219,8.1033,8.0338,8.0207,8.4038,1.0,1.0,1.0,0.2022,300,1.0,300,1.0,300,1.0,300,1.0,300,1.0,4.0,3.993,,0,254,205,95,297,3.1263,95,3.1263,modes,True,0.17
hub_batching,5.5,0.5,on,on,reward,300,333,1.11,83,0.2767,4.012,6.576,6.5335,5.7313,5.5206,8.3271,1.0,0.7733,0.2767,0.1532,300,1.0,300,1.0,300,1.0,300,1.0,269,0.8967,2.0,1.797,,61317,14,27,269,300,1.1152,82,3.6585,modes,True,0.44
best_candidate,5.5,0.5,on,on,reward,300,929,3.0967,300,1.0,3.0967,8.1219,8.1033,8.0338,8.0207,8.4038,1.0,1.0,1.0,0.2022,300,1.0,300,1.0,300,1.0,300,1.0,300,1.0,4.0,3.993,,0,254,205,95,297,3.1263,95,3.1263,modes,True,0.17
hub_batching,6.0,0.5,on,on,reward,300,337,1.1233,113,0.3767,2.9823,6.8516,6.7735,6.1531,6.0021,8.4038,1.0,1.0,0.3767,0.1557,300,1.0,300,1.0,300,1.0,300,1.0,285,0.95,2.0,1.963,,74620,17,30,265,300,1.1321,103,2.9126,modes,True,0.41
best_candidate,6.0,0.5,on,on,reward,300,929,3.0967,300,1.0,3.0967,8.1219,8.1033,8.0338,8.0207,8.4038,1.0,1.0,1.0,0.2022,300,1.0,300,1.0,300,1.0,300,1.0,300,1.0,4.0,3.993,,0,254,205,95,297,3.1263,95,3.1263,modes,True,0.17
hub_batching,6.5,0.5,on,on,reward,300,343,1.1433,166,0.5533,2.0663,7.1256,7.0521,6.5933,6.5041,8.4038,1.0,1.0,0.5533,0.1583,300,1.0,300,1.0,300,1.0,300,1.0,292,0.9733,2.0,2.073,,109058,22,32,258,300,1.1628,150,2.0,modes,True,0.51
best_candidate,6.5,0.5,on,on,reward,300,929,3.0967,300,1.0,3.0967,8.1219,8.1033,8.0338,8.0207,8.4038,1.0,1.0,1.0,0.2022,300,1.0,300,1.0,300,1.0,300,1.0,300,1.0,4.0,3.993,,0,254,205,95,297,3.1263,95,3.1263,modes,True,0.17
hub_batching,7.0,0.5,on,on,reward+diversity,300,365,1.2167,300,1.0,1.2167,7.404,7.3,7.0382,7.0053,8.4038,1.0,1.0,1.0,0.1606,300,1.0,300,1.0,300,1.0,300,1.0,296,0.9867,2.0,2.17,,241158,43,37,245,300,1.2245,245,1.2245,modes,True,0.7
best_candidate,7.0,0.5,on,on,reward+diversity,300,929,3.0967,300,1.0,3.0967,8.1219,8.1033,8.0338,8.0207,8.4038,1.0,1.0,1.0,0.2022,300,1.0,300,1.0,300,1.0,300,1.0,300,1.0,4.0,3.993,,0,254,205,95,297,3.1263,95,3.1263,modes,True,0.17
hub_batching,7.5,0.5,on,on,reward,300,453,1.51,300,1.0,1.51,7.8152,7.7614,7.5545,7.5024,8.4038,1.0,1.0,1.0,0.1742,300,1.0,300,1.0,300,1.0,300,1.0,300,1.0,2.0,2.443,,561433,105,63,197,299,1.5178,197,1.5178,modes,True,1.58
