cell,bar,bc_modes_at_budget,bc_rxn_per_mode,docking,flow_excess_pct_cost,flow_hub_rank_median,flow_hub_rank_p90,flow_hubs_in_top_decile_pct,flow_modes_at_budget,flow_modes_deficit_pct,flow_n_hubs,flow_oracle_calls,flow_rxn_per_mode,flow_select_s,flow_total_modes,greedy_hub_rank_median,greedy_hub_rank_p90,greedy_hubs_in_top_decile_pct,greedy_modes_at_budget,greedy_n_hubs,greedy_pool_calls,greedy_rxn_per_mode,greedy_select_s,greedy_total_modes,higher_is_better,hub_jaccard_flow_greedy,n_hubs_pool,oracle_overhead_x,pool_limited,recovered_frac_cost,recovered_frac_modes,regression_pass,select_overhead_x,uniform_null_median_rank
rgfn_seh,7.0,9,4.0,False,1.87,69.5,159,16.3,35,32.7,92,194016,2.993,0.639,135,74,159,14.1,52,85,194490,2.938,0.405,129,True,0.883,200,1.002,True,0.9482,0.6047,True,0.6,100
scent_seh,7.0,28,3.383,False,12.04,30,52,33.3,70,7.9,57,155764,1.303,1.004,300,56,185,32.0,76,25,438984,1.163,80.123,300,True,0.188,200,2.818,False,0.9369,0.875,True,79.8,100
rxnflow_seh,7.0,33,3.0,False,5.07,79,175,14.1,44,25.4,135,232213,2.446,0.946,186,80.5,175,13.4,59,134,232213,2.328,1.351,201,True,0.894,200,1.0,True,0.8244,0.4231,True,1.4,100
fraggfn_seh,7.0,20,4.997,False,8.64,12,21,80.0,76,9.5,25,38745,1.333,3.402,300,29,68,29.4,84,17,301770,1.227,54.182,300,True,0.167,200,7.789,False,0.9719,0.875,True,15.9,100
rgfn_drd2,0.5,25,3.843,False,9.82,11.5,20,83.3,82,10.9,24,27807,1.197,2.528,300,22,66,46.2,92,13,214804,1.09,55.955,300,True,0.276,194,7.725,False,0.9611,0.8507,True,22.1,97
scent_drd2,0.5,26,3.673,False,5.74,14.5,25,67.9,75,3.8,28,100538,1.16,1.29,300,35.5,152,40.0,78,10,344469,1.097,67.129,300,True,0.152,198,3.426,False,0.9755,0.9423,True,52.0,99
rxnflow_drd2,0.5,33,2.935,False,15.07,66.5,120,14.3,55,23.6,126,108373,1.833,5.588,300,73.5,179,14.4,72,90,162042,1.593,31.245,300,True,0.421,197,1.495,False,0.8212,0.5641,True,5.6,98
fraggfn_drd2,0.5,20,4.68,False,4.73,6,10,100.0,88,0.0,13,13755,1.173,3.023,300,79,120,11.1,88,9,198765,1.12,73.619,300,True,0.048,200,14.45,False,0.9851,1.0,True,24.4,100
scent_clpp,-8.0,27,3.42,True,20.22,16.5,32,55.9,69,13.8,34,55317,1.29,5.815,300,81.5,150,6.2,80,16,340761,1.073,144.793,300,False,0.042,194,6.16,False,0.9075,0.7925,True,24.9,97
rxnflow_clpp,-8.0,33,2.977,True,12.93,16.5,29,58.8,81,14.7,34,50371,1.223,3.142,300,100,181,26.7,95,15,284970,1.083,40.318,300,False,0.089,197,5.657,False,0.9261,0.7742,True,12.8,98
fraggfn_clpp,-8.0,20,4.84,True,3.8,3,5,100.0,96,0.0,7,11235,1.093,2.905,300,58.5,60,0.0,96,4,301560,1.053,100.943,300,False,0.0,200,26.841,False,0.9894,1.0,True,34.7,100
scent_6td3,-2.0,28,3.32,True,8.43,8,14,100.0,76,5.0,17,53620,1.157,3.997,300,115.5,172,16.7,80,6,550569,1.067,131.723,300,False,0.045,200,10.268,False,0.9601,0.9231,True,33.0,100
rxnflow_6td3,-2.0,34,2.977,True,9.75,14,25,69.0,82,10.9,29,41241,1.193,4.559,300,91,138,7.7,92,13,304267,1.087,74.153,300,False,0.05,200,7.378,False,0.9439,0.8276,True,16.3,100
fraggfn_6td3,-2.0,20,5.0,True,26.38,19.5,35,50.0,60,28.6,40,49665,1.533,12.8,300,103.5,183,6.2,84,16,240555,1.213,128.346,300,False,0.057,200,4.844,False,0.9155,0.625,True,10.0,100
