cell,arm,n,butina_clusters,butina_per_molecule,median_reward,p10_reward
fraggfn_6td3,best_candidate,300,162,0.54,-5.514,-5.3
fraggfn_6td3,hub_batching,300,46,0.1533,-4.607,-3.078
fraggfn_6td3,greedy_oracle,300,42,0.14,-4.019,-2.854
fraggfn_clpp,best_candidate,300,120,0.4,-12.3,-12.1
fraggfn_clpp,hub_batching,300,24,0.08,-11.6,-10.1
fraggfn_clpp,greedy_oracle,300,24,0.08,-11.1,-9.7
fraggfn_drd2,best_candidate,300,52,0.1733,1.0,1.0
fraggfn_drd2,hub_batching,300,38,0.1267,0.964,0.672
fraggfn_drd2,greedy_oracle,300,40,0.1333,0.961,0.715
fraggfn_seh,best_candidate,300,60,0.2,8.101,8.05
fraggfn_seh,hub_batching,300,37,0.1233,7.491,7.157
fraggfn_seh,greedy_oracle,300,26,0.0867,7.451,7.122
rgfn_drd2,best_candidate,300,138,0.46,0.96,0.93
rgfn_drd2,hub_batching,300,43,0.1433,0.915,0.631
rgfn_drd2,greedy_oracle,300,35,0.1167,0.906,0.624
rgfn_seh,best_candidate,9,6,0.6667,7.209,7.065
rgfn_seh,hub_batching,135,44,0.3259,7.264,7.058
rgfn_seh,greedy_oracle,129,45,0.3488,7.289,7.057
rxnflow_6td3,best_candidate,300,185,0.6167,-4.53,-4.266
rxnflow_6td3,hub_batching,300,50,0.1667,-3.739,-2.292
rxnflow_6td3,greedy_oracle,300,39,0.13,-3.321,-2.255
rxnflow_clpp,best_candidate,300,139,0.4633,-9.1,-8.9
rxnflow_clpp,hub_batching,300,62,0.2067,-8.9,-8.2
rxnflow_clpp,greedy_oracle,300,47,0.1567,-8.7,-8.1
rxnflow_drd2,best_candidate,277,44,0.1588,0.925,0.633
rxnflow_drd2,hub_batching,300,31,0.1033,0.858,0.579
rxnflow_drd2,greedy_oracle,300,33,0.11,0.815,0.555
rxnflow_seh,best_candidate,83,26,0.3133,7.179,7.031
rxnflow_seh,hub_batching,186,39,0.2097,7.164,7.022
rxnflow_seh,greedy_oracle,201,41,0.204,7.147,7.023
scent_6td3,best_candidate,300,79,0.2633,-6.159,-5.276
scent_6td3,hub_batching,300,44,0.1467,-3.728,-2.3
scent_6td3,greedy_oracle,300,54,0.18,-3.291,-2.511
scent_clpp,best_candidate,300,64,0.2133,-11.5,-10.5
scent_clpp,hub_batching,300,56,0.1867,-9.85,-8.5
scent_clpp,greedy_oracle,300,60,0.2,-8.6,-8.0
scent_drd2,best_candidate,300,79,0.2633,1.0,1.0
scent_drd2,hub_batching,300,55,0.1833,0.836,0.561
scent_drd2,greedy_oracle,300,39,0.13,0.892,0.581
scent_seh,best_candidate,300,40,0.1333,8.108,8.042
scent_seh,hub_batching,300,50,0.1667,7.431,7.065
scent_seh,greedy_oracle,300,37,0.1233,7.327,7.045
