tag,arm,step,cum_modes,cum_reactions,reactions_added,reward,source_hub,smiles
rgfn_seh,best_candidate,1,1,4,4,7.358580112457275,O=Cc1c[nH]c2ccc(-c3nnn(CC(=O)c4ccc(N5CCC5C5=NCCc6ccccc65)cc4)n3)cc12,O=C(Cn1nnc(-c2ccc3[nH]cc(C4Nc5ccccc5-n5cccc54)c3c2)n1)c1ccc(N2CCC2C2=NCCc3ccccc32)cc1
rgfn_seh,best_candidate,2,2,8,4,7.292937755584717,C#CCNC(=O)c1ccc2oc(-c3ccc4oc(-c5cccc(F)c5F)nc4c3)nc2c1,O=C(NCc1cn(CC2CC2)nn1)c1ccc2oc(-c3ccc4oc(-c5cccc(F)c5F)nc4c3)nc2c1
rgfn_seh,best_candidate,3,3,12,4,7.248443603515625,Nc1cc(-c2nnn(CC3CC3)n2)ccc1NC(Cn1nnc(-c2ccc3[nH]cc(C=O)c3c2)n1)c1ccc(F)cc1,Nc1cc(-c2nnn(CC3CC3)n2)ccc1NC(Cn1nnc(-c2ccc3[nH]cc(C4Nc5ccccc5-n5cccc54)c3c2)n1)c1ccc(F)cc1
rgfn_seh,best_candidate,4,4,16,4,7.212292671203613,C#CCNC(=O)c1ccc2oc(-c3ccc4nc(-c5ncccc5C(F)(F)F)oc4c3)nc2c1,O=C1Cc2ccc(C(=O)Cn3cc(CNC(=O)c4ccc5oc(-c6ccc7nc(-c8ncccc8C(F)(F)F)oc7c6)nc5c4)nn3)cc2N1
rgfn_seh,best_candidate,5,5,20,4,7.208837985992432,N#Cc1cccc(C(=O)Cn2nnc(-c3ccc(-c4cc(NC(=O)C5CCN5)[nH]n4)cc3F)n2)c1,COc1ccc(Cn2nnc(-c3cccc(C(=O)Cn4nnc(-c5ccc(-c6cc(NC(=O)C7CCN7)[nH]n6)cc5F)n4)c3)n2)cc1
rgfn_seh,best_candidate,6,6,24,4,7.08634614944458,O=C1Cc2ccc(C(=O)Cn3cc(CCNC(=O)c4ccc5oc(-c6ccccn6)nc5c4)c4ccccc43)cc2N1,COc1cccc(CNC(Cn2cc(CCNC(=O)c3ccc4oc(-c5ccccn5)nc4c3)c3ccccc32)c2ccc3c(c2)NC(=O)C3)c1
rgfn_seh,best_candidate,7,7,28,4,7.064980983734131,O=C(Nc1cc(Br)n[nH]1)c1ccc2oc(-c3ccc4oc(-c5ccncc5)nc4c3)nc2c1,O=C(Nc1cc(-c2cccnc2)n[nH]1)c1ccc2oc(-c3ccc4oc(-c5ccncc5)nc4c3)nc2c1
rgfn_seh,best_candidate,8,8,32,4,7.064636707305908,Nc1ccc(-c2cccc(-c3nc4cc(-c5cccnc5)ccc4[nH]3)c2)cc1N,c1ccc(-c2nc3ccc(-c4cccc(-c5nc6cc(-c7cccnc7)ccc6[nH]5)c4)cc3[nH]2)nc1
rgfn_seh,best_candidate,9,9,36,4,7.063704013824463,N#Cc1ccc(COCC2CCCN(C(=O)Nc3cc(-c4cccnc4)n[nH]3)C2)c(F)c1,COc1ccc(Cn2nnc(-c3ccc(COCC4CCCN(C(=O)Nc5cc(-c6cccnc6)n[nH]5)C4)c(F)c3)n2)cc1
rgfn_seh,hub_batching,1,1,4,4,7.430601596832275,C#CCNC(=O)c1ccc2oc(-c3ccc4nc(-c5ncccc5C(F)(F)F)oc4c3)nc2c1,O=C(NCc1cn(CC2CC2)nn1)c1ccc2oc(-c3ccc4nc(-c5ncccc5C(F)(F)F)oc4c3)nc2c1
