tag,arm,step,cum_modes,cum_reactions,reactions_added,reward,source_hub,smiles
rxnflow_clpp,best_candidate,1,1,3,3,-10.5,N=C(N)NCCCC(NCc1ccc(C(F)(F)F)cc1F)C1=NC(C(=O)O)Cc2ccc([N+](=O)[O-])cc21,CC(NC(=O)C1Cc2ccc([N+](=O)[O-])cc2C(C(CCCNC(=N)N)NCc2ccc(C(F)(F)F)cc2F)=N1)c1ccccc1
rxnflow_clpp,best_candidate,2,2,6,3,-10.4,Nc1nc(N(C(=O)NCCc2c[nH]c3ccc(O)cc23)C(C(=O)O)c2ccccc2)nc2[nH]cnc12,Nc1nc(N(C(=O)NCCc2c[nH]c3ccc(O)cc23)C(c2ccccc2)c2nc3cc(F)c(F)cc3o2)nc2[nH]cnc12
rxnflow_clpp,best_candidate,3,3,9,3,-10.3,N=C(N)NCCCC(CN1Cc2ccccc2CC1C(=O)O)Nc1ccc(C(F)(F)F)cc1C=O,N=C(N)NCCCC(CN1Cc2ccccc2CC1c1nc2ccc(C(F)(F)F)cc2[nH]1)Nc1ccc(C(F)(F)F)cc1C=O
rxnflow_clpp,best_candidate,4,4,12,3,-10.2,Nc1nc(N(C(=O)Nc2cccc(C(F)(F)F)c2)c2ccccc2C(=O)O)nc2[nH]cnc12,Nc1nc(N(C(=O)Nc2cccc(C(F)(F)F)c2)c2ccccc2C2=NCCc3ccc(S(N)(=O)=O)cc32)nc2[nH]cnc12
rxnflow_clpp,best_candidate,5,5,15,3,-10.2,CC(NC(=O)NCCCNC(Cc1ccc(O)cc1)C(=O)O)c1ccccc1,CC(NC(=O)NCCCNC(Cc1ccc(O)cc1)c1nc2ccc(C(F)(F)F)cc2[nH]1)c1ccccc1
rxnflow_clpp,best_candidate,6,6,18,3,-10.2,O=C(O)C(CO)N(Cc1ccc(C(F)(F)F)cc1)C(=O)Nc1cccc(C(F)(F)F)c1,O=C(Nc1cccc(C(F)(F)F)c1)N(Cc1ccc(C(F)(F)F)cc1)C(CO)c1nc2ccccc2o1
rxnflow_clpp,best_candidate,7,7,21,3,-10.1,Nc1ccc(F)nc1N(C(=O)Nc1ccc(C(F)(F)F)cc1)C(CC1CCCCC1)C(=O)O,Nc1ccc(F)nc1N(C(=O)Nc1ccc(C(F)(F)F)cc1)C(CC1CCCCC1)c1nc2ccc(C(F)(F)F)cc2[nH]1
rxnflow_clpp,best_candidate,8,8,24,3,-10.1,Nc1nc(NC(C(=O)NC(C(=O)O)c2ccccc2)c2ccccc2)cs1,CC(NC(=O)Nc1nc(NC(C(=O)NC(C(=O)O)c2ccccc2)c2ccccc2)cs1)c1ccccc1
rxnflow_clpp,best_candidate,9,9,27,3,-10.1,NC(=O)CCC(Nc1nc(NC(=O)NCc2ccc(C(F)(F)F)cc2)c2nc[nH]c2n1)C(=O)O,NC(=O)CCC(Nc1nc(NC(=O)NCc2ccc(C(F)(F)F)cc2)c2nc[nH]c2n1)c1nc2cc(F)ccc2o1
rxnflow_clpp,best_candidate,10,10,30,3,-10.0,Nc1nc(N(C(=O)NCCc2c[nH]c3ccccc23)C(Cc2cccs2)C(=O)O)nc2[nH]cnc12,Nc1nc(N(C(=O)NCCc2c[nH]c3ccccc23)C(Cc2cccs2)c2nc3ccc(C(F)(F)F)cc3[nH]2)nc2[nH]cnc12
