strategy,step,cum_reactions,cum_modes,cum_reward_gen_calls,reactions_added,reward,source_hub
best_candidate,1,5,1,0,5,-7.0124,O=c1nc2[nH]c3ccc(C4COC(c5ncncc5-c5cccnc5)C4n4cnc5c(=O)[nH]cnc54)cc3nc-2c(=O)[nH]1
best_candidate,2,10,2,0,5,-6.9793,O=c1nc2[nH]c3ccc(C4CCC(C5CCCO5)C(c5nc6[nH]cnc6c(=O)[nH]5)C4C4CCCCO4)cc3nc-2c(=O)[nH]1
best_candidate,3,15,3,0,5,-6.7951,O=C(NO)c1ccc(C2CCCCC2)c(C(=O)NC2CCCCC2)c1
best_candidate,4,20,4,0,5,-6.6366,O=c1nc2[nH]c3ccc(-c4nc(-c5cc[nH]c5)c(C5CCCCC5)cc4-c4ccccc4)cc3nc-2c(=O)[nH]1
best_candidate,5,25,5,0,5,-6.6122,O=CNC1CC(n2c3nc(=O)[nH]c(=O)c-3nc3ccccc32)CC(c2ccc3[nH]c4nc(=O)[nH]c(=O)c-4nc3c2)C1C1CCCO1
best_candidate,6,30,6,0,5,-6.5686,C1=CNC=C(c2ccccc2C2CCCC(C3CC(c4cccc5ccccc45)CCO3)O2)C1
best_candidate,7,35,7,0,5,-6.4557,O=C(NCc1cccc(C2CCCC(C3CCCCC3)C2)c1)c1cn[nH]c1
best_candidate,8,40,8,0,5,-6.3817,O=c1nc2n(-c3cnn(C4CCCCC4C4CNc5nc[nH]c(=O)c5N4)c3)c3ccc(C4CCCCC4)cc3nc-2c(=O)[nH]1
best_candidate,9,45,9,0,5,-6.364,CNC(=O)C1CC(c2ccccc2)CC(C2CCCC(c3nc4c(c(=O)[nH]3)NCCN4)C2)C1
best_candidate,10,50,10,0,5,-6.3548,O=c1nc2[nH]c3cc(-c4ccc[n+](-n5c6nc(=O)[nH]c(=O)c-6nc6ccc(-c7cccc(F)c7)cc65)c4)ccc3nc-2c(=O)[nH]1
best_candidate,11,55,11,0,5,-6.3512,O=c1nc(-c2ccncc2-c2ccc(-c3cccc(-n4c5nc(=O)[nH]c(=O)c-5nc5ccccc54)c3)cc2)cc[nH]1
best_candidate,12,60,12,0,5,-6.2613,O=c1nc2[nH]c3cc(-n4ccc(C5CC(c6ccc[nH]6)CCC5n5c6nc(=O)[nH]c(=O)c-6nc6ccccc65)n4)ccc3nc-2c(=O)[nH]1
best_candidate,13,65,13,0,5,-6.2388,O=c1nc2n(C3CCC(c4ccccn4)O3)c3cc(C4CCOC(c5ccc6ccccc6c5)C4)ccc3nc-2c(=O)[nH]1
best_candidate,14,70,14,0,5,-6.238,O=c1nc2[nH]c3ccc(C4CCC(c5c[nH]c(-c6ccccn6)c5)N4c4ccc5ccccc5c4)cc3nc-2c(=O)[nH]1
best_candidate,15,75,15,0,5,-6.2364,CNC(=O)C1CC(c2ccccc2)CC(C2CCC(c3ccc4ccccc4c3)O2)C1
best_candidate,16,80,16,0,5,-6.2142,O=c1nc2[nH]c3cc(C4CCCC(n5cccn5)C4)c(C4CCCCC4c4ccccc4)cc3nc-2c(=O)[nH]1
best_candidate,17,85,17,0,5,-6.1897,CNc1cc(-c2ccc3[nH]c4nc(=O)[nH]c(=O)c-4nc3c2)cnc1C1CCCCC1c1ccccn1
best_candidate,18,90,18,0,5,-6.1211,O=c1nc2[nH]c3cc(C4CC(n5c6nc(=O)[nH]c(=O)c-6nc6ccccc65)CCC4c4c[nH]c([PH](=O)[O-])c4)ccc3nc-2c(=O)[nH]1
best_candidate,19,95,19,0,5,-6.0998,O=c1nc2[nH]c3ccc(N4CCCC(C5CNCCC5C5CCCC(C6CCCCC6)C5)C4)cc3nc-2c(=O)[nH]1
best_candidate,20,100,20,0,5,-6.0857,O=c1nc2[nH]c3ccc(-c4cc(C5CCCCC5)cc(-n5c6nc(=O)[nH]c(=O)c-6nc6ccc(C7CCCCC7)cc65)c4)cc3nc-2c(=O)[nH]1
best_candidate,21,105,21,0,5,-6.0828,O=c1nc2[nH]c3ccc(-c4c(COc5ccc6ccccc6c5)ccnc4-c4cc[nH]n4)cc3nc-2c(=O)[nH]1
best_candidate,22,110,22,0,5,-6.0822,O=c1nc2[nH]c3cc(C4CCC(Cl)N4)c(OCc4cc[nH]n4)cc3nc-2c(=O)[nH]1
best_candidate,23,115,23,0,5,-6.0786,c1ccc(C2CCC(C3CCCCC3C3CCCC(c4ccc5ccccc5c4)O3)N2)cc1
best_candidate,24,120,24,0,5,-6.0714,O=c1nc2[nH]c3cc(-n4cnc5c(=O)[nH]c(C6COC(c7nc(-c8ccccc8)cs7)C6)nc54)ccc3nc-2c(=O)[nH]1
best_candidate,25,125,25,0,5,-6.0707,O=c1nc2[nH]c3ccc(-c4c(-c5cn[nH]c5)cc([PH](=O)O)nc4C4CCCCO4)cc3nc-2c(=O)[nH]1
best_candidate,26,130,26,0,5,-6.0536,c1cc(-c2c[nH]c3ccccc23)nc(C2CCC(c3ccnc(C4CCCCO4)c3)N2)c1
best_candidate,27,135,27,0,5,-6.0189,O=c1nc2n(C3CCNC3)c3ccc(C4CC(c5cccnc5)CCC4c4cc[nH]c4)cc3nc-2c(=O)[nH]1
best_candidate,28,140,28,0,5,-5.997,O=c1nc2[nH]c3ccc(-c4cn(-c5ccncc5)nc4-c4cccc(C(F)(F)F)c4)cc3nc-2c(=O)[nH]1
best_candidate,29,145,29,0,5,-5.9949,O=c1nc2[nH]c3ccc(C4CC(C5C=CCCC5)C(c5cc[nH]n5)CC4c4ccccc4)cc3nc-2c(=O)[nH]1
best_candidate,30,150,30,0,5,-5.9873,Fc1cnn(-c2c[nH]c3ccccc23)c1-c1ccnc(-c2ccccc2)n1
best_candidate,31,155,31,0,5,-5.9792,O=CNN1C=CCC(C2CCC(c3ccc4[nH]c5nc(=O)[nH]c(=O)c-5nc4c3)C(c3ccccn3)C2)=C1
best_candidate,32,160,32,0,5,-5.9779,O=C([O-])C1CCC(C2CCCC(c3ccc4[nH]c5nc(=O)[nH]c(=O)c-5nc4c3)C2c2ccccc2)CC1
best_candidate,33,165,33,0,5,-5.9678,O=c1nc2n(N3C=CCC(C4CC(c5ccccn5)CO4)=C3)c3ccc(C4CCOC4)cc3nc-2c(=O)[nH]1
best_candidate,34,170,34,0,5,-5.9666,O=c1nc2[nH]c3ccc(C4CCCC(c5ccnc(-n6cc(-c7nc8[nH]cnc8c(=O)[nH]7)c(=O)[nH]c6=O)c5)C4)cc3nc-2c(=O)[nH]1
best_candidate,35,175,35,0,5,-5.9618,c1ccc2cc(C3CCCC(C4C(c5cn[nH]c5)CCOC4c4c[nH]c5ccccc45)O3)ccc2c1
best_candidate,36,180,36,0,5,-5.9559,O=c1ccn(C2CC(C3CCC(c4ccc5ccccc5c4)CC3)CCC2C2CCCCO2)c(=O)[nH]1
