strategy,step,cum_reactions,cum_modes,cum_reward_gen_calls,reactions_added,reward,source_hub
hub_batching,1,5,1,1260,5,-7.0412,O=c1nc2[nH]c3ccc(C4CCC(C5CCCO5)C(c5nc6[nH]cnc6c(=O)[nH]5)C4C4CCCCO4)cc3nc-2c(=O)[nH]1
hub_batching,2,6,2,1260,1,-5.9714,O=c1nc2[nH]c3ccc(C4CCC(C5CCCO5)C(c5nc6[nH]cnc6c(=O)[nH]5)C4C4CCCCO4)cc3nc-2c(=O)[nH]1
hub_batching,3,7,3,1260,1,-4.8406,O=c1nc2[nH]c3ccc(C4CCC(C5CCCO5)C(c5nc6[nH]cnc6c(=O)[nH]5)C4C4CCCCO4)cc3nc-2c(=O)[nH]1
hub_batching,4,8,4,1260,1,-3.4767,O=c1nc2[nH]c3ccc(C4CCC(C5CCCO5)C(c5nc6[nH]cnc6c(=O)[nH]5)C4C4CCCCO4)cc3nc-2c(=O)[nH]1
hub_batching,5,9,5,1260,1,-2.313,O=c1nc2[nH]c3ccc(C4CCC(C5CCCO5)C(c5nc6[nH]cnc6c(=O)[nH]5)C4C4CCCCO4)cc3nc-2c(=O)[nH]1
hub_batching,6,14,6,2310,5,-6.355,O=c1nc2n(-c3cncnc3-c3cccc(-c4ccc(C5CCCC5)cc4)c3)c3ccccc3nc-2c(=O)[nH]1
hub_batching,7,15,7,2310,1,-6.0595,O=c1nc2n(-c3cncnc3-c3cccc(-c4ccc(C5CCCC5)cc4)c3)c3ccccc3nc-2c(=O)[nH]1
hub_batching,8,16,8,2310,1,-5.3638,O=c1nc2n(-c3cncnc3-c3cccc(-c4ccc(C5CCCC5)cc4)c3)c3ccccc3nc-2c(=O)[nH]1
hub_batching,9,17,9,2310,1,-3.0613,O=c1nc2n(-c3cncnc3-c3cccc(-c4ccc(C5CCCC5)cc4)c3)c3ccccc3nc-2c(=O)[nH]1
hub_batching,10,18,10,2310,1,-2.3259,O=c1nc2n(-c3cncnc3-c3cccc(-c4ccc(C5CCCC5)cc4)c3)c3ccccc3nc-2c(=O)[nH]1
hub_batching,11,23,11,3675,5,-6.6839,O=c1nc2n(-c3cccc(C4CC(C5CCCCO5)C(C5CCCN5)O4)n3)c3ccccc3nc-2c(=O)[nH]1
hub_batching,12,24,12,3675,1,-6.165,O=c1nc2n(-c3cccc(C4CC(C5CCCCO5)C(C5CCCN5)O4)n3)c3ccccc3nc-2c(=O)[nH]1
hub_batching,13,25,13,3675,1,-5.9534,O=c1nc2n(-c3cccc(C4CC(C5CCCCO5)C(C5CCCN5)O4)n3)c3ccccc3nc-2c(=O)[nH]1
hub_batching,14,26,14,3675,1,-4.7641,O=c1nc2n(-c3cccc(C4CC(C5CCCCO5)C(C5CCCN5)O4)n3)c3ccccc3nc-2c(=O)[nH]1
hub_batching,15,27,15,3675,1,-3.4273,O=c1nc2n(-c3cccc(C4CC(C5CCCCO5)C(C5CCCN5)O4)n3)c3ccccc3nc-2c(=O)[nH]1
hub_batching,16,32,16,4725,5,-6.1857,O=C(NN1C(c2ccncn2)CCC1n1c2nc(=O)[nH]c(=O)c-2nc2ccccc21)c1ccccn1
hub_batching,17,33,17,4725,1,-4.7369,O=C(NN1C(c2ccncn2)CCC1n1c2nc(=O)[nH]c(=O)c-2nc2ccccc21)c1ccccn1
hub_batching,18,34,18,4725,1,-4.2131,O=C(NN1C(c2ccncn2)CCC1n1c2nc(=O)[nH]c(=O)c-2nc2ccccc21)c1ccccn1
hub_batching,19,35,19,4725,1,-4.0932,O=C(NN1C(c2ccncn2)CCC1n1c2nc(=O)[nH]c(=O)c-2nc2ccccc21)c1ccccn1
hub_batching,20,36,20,4725,1,-2.2913,O=C(NN1C(c2ccncn2)CCC1n1c2nc(=O)[nH]c(=O)c-2nc2ccccc21)c1ccccn1
hub_batching,21,41,21,5775,5,-5.6728,C1=C(C2CNC(c3cccc(C4CCCCC4)n3)C2)CCCC1c1cccc2ccccc12
hub_batching,22,42,22,5775,1,-5.6142,C1=C(C2CNC(c3cccc(C4CCCCC4)n3)C2)CCCC1c1cccc2ccccc12
hub_batching,23,43,23,5775,1,-5.3993,C1=C(C2CNC(c3cccc(C4CCCCC4)n3)C2)CCCC1c1cccc2ccccc12
hub_batching,24,44,24,5775,1,-5.0926,C1=C(C2CNC(c3cccc(C4CCCCC4)n3)C2)CCCC1c1cccc2ccccc12
hub_batching,25,45,25,5775,1,-4.6582,C1=C(C2CNC(c3cccc(C4CCCCC4)n3)C2)CCCC1c1cccc2ccccc12
hub_batching,26,46,26,5775,1,-4.6305,C1=C(C2CNC(c3cccc(C4CCCCC4)n3)C2)CCCC1c1cccc2ccccc12
hub_batching,27,47,27,5775,1,-4.4971,C1=C(C2CNC(c3cccc(C4CCCCC4)n3)C2)CCCC1c1cccc2ccccc12
hub_batching,28,48,28,5775,1,-4.1954,C1=C(C2CNC(c3cccc(C4CCCCC4)n3)C2)CCCC1c1cccc2ccccc12
hub_batching,29,49,29,5775,1,-3.842,C1=C(C2CNC(c3cccc(C4CCCCC4)n3)C2)CCCC1c1cccc2ccccc12
hub_batching,30,50,30,5775,1,-2.6009,C1=C(C2CNC(c3cccc(C4CCCCC4)n3)C2)CCCC1c1cccc2ccccc12
hub_batching,31,55,31,6930,5,-5.2203,c1cc(-c2cscn2)cc(-c2cc(C3CCC(c4ccn[nH]4)OC3)cc3ccccc23)c1
hub_batching,32,56,32,6930,1,-5.1094,c1cc(-c2cscn2)cc(-c2cc(C3CCC(c4ccn[nH]4)OC3)cc3ccccc23)c1
