strategy,step,cum_reactions,cum_modes,cum_reward_gen_calls,reactions_added,reward,source_hub
best_candidate,1,5,1,0,5,1.0,CCc1ccc(F)cc1C1CCCN(c2ccncc2)C1
best_candidate,2,10,2,0,5,1.0,Clc1ccc(CCN2CCC(c3ccc[nH]3)CC2)cc1
best_candidate,3,15,3,0,5,1.0,c1ccc(C2CCN(CCc3ccccc3C3CC3)CC2)nc1
best_candidate,4,20,4,0,5,1.0,c1ccc(C2CCCN(c3ccncc3)C2)c(CCN2CCCC2)c1
best_candidate,5,25,5,0,5,1.0,Ic1ccc(C2CCNC2)c(CCN2CCCC2)c1
best_candidate,6,30,6,0,5,1.0,c1ccc(C2CC2)c(CCN2CCC(c3ccncc3)CC2)c1
best_candidate,7,35,7,0,5,1.0,c1ccc(C2CCCN(CCc3ccccc3C3CCCN3)C2)nc1
best_candidate,8,40,8,0,5,1.0,Ic1ccc(CCN2CCCCC2)c(C2CC2)c1
best_candidate,9,45,9,0,5,1.0,c1ccc(C2CCC(c3ccccc3CCN3CCCC3)CO2)nc1
best_candidate,10,50,10,0,5,1.0,c1cc(CCN2CCC(c3cc[nH]c3)C2)cc(C2CC2)c1
best_candidate,11,55,11,0,5,1.0,c1ccc(C2CCCN(CCc3ccccc3C3CC3)C2)cc1
best_candidate,12,60,12,0,5,1.0,Clc1ccc(C2CCCN2)c(CCN2CCCC2)c1
best_candidate,13,65,13,0,5,1.0,c1ccc(C2CCCN(c3cccc(CCN4CCCC4)c3)C2)nc1
best_candidate,14,70,14,0,5,1.0,CCc1cc(Cl)ccc1C1CCN(c2ccccn2)CC1
best_candidate,15,75,15,0,5,1.0,c1ccc(C2CCNC2)c(CCN2CCC(c3cc[nH]c3)C2)c1
best_candidate,16,80,16,0,5,1.0,c1ccc(C2CCCN2c2ccncc2)c(CCN2CCCC2)c1
best_candidate,17,85,17,0,5,1.0,COc1cccc(CCN2CCCC(c3cccs3)C2)c1
best_candidate,18,90,18,0,5,1.0,c1csc(C2CCCN(CCc3ccccc3C3CCCN3)C2)c1
best_candidate,19,95,19,0,5,1.0,C[SH+]c1ccccc1C1CCC(CCN2CCCC2)CC1
best_candidate,20,100,20,0,5,1.0,CCc1ccccc1C1CCC(CCN2CCCC2)CC1
best_candidate,21,105,21,0,5,1.0,c1ccc(C2CCCC(c3ccccc3CCN3CCCC3)C2)nc1
best_candidate,22,110,22,0,5,1.0,c1ccc(C2CCCC(c3cscn3)C2)c(CCN2CCCC2)c1
best_candidate,23,115,23,0,5,1.0,c1csc(C2CCCC(c3ccccc3CCN3CCCC3)C2)c1
best_candidate,24,120,24,0,5,1.0,c1ccc(C2CCN(CCc3ccccc3C3CC3)C2)cc1
best_candidate,25,125,25,0,5,1.0,c1ccc(C2CCN(CCc3ccccc3C3CCCNC3)CC2)nc1
best_candidate,26,130,26,0,5,1.0,CCc1ccc(Br)cc1C1CCN(c2cscn2)CC1
best_candidate,27,135,27,0,5,1.0,c1cc(-c2cc(CCN3CCCC3)ccc2C2CC2)ccn1
best_candidate,28,140,28,0,5,1.0,c1ccc(C2CCN(c3nccs3)CC2)c(CCN2CCCC2)c1
