cell,gate,child_policy,best_modes,best_rxn_per_mode,hub_modes,hub_rxn_per_mode,edge,hub_reward_gen_calls
fraggfn_cap9_seh,5.0,reward,300,8.0,300,1.84,4.348,86205
fraggfn_cap9_seh,6.0,reward,300,8.0,300,1.933,4.139,93765
fraggfn_seh,5.0,reward,300,4.997,300,1.187,4.21,22785
fraggfn_seh,6.0,reward,300,4.997,300,1.227,4.073,27300
fraggfn_seh,7.0,reward,300,4.997,300,1.333,3.749,38745
rgfn_seh,5.0,reward,300,3.92,300,1.687,2.324,69896
rgfn_seh,6.0,reward,300,3.92,300,2.09,1.876,108759
rgfn_seh,7.0,reward,9,4.0,135,2.993,1.336,194016
rxnflow_drd2,0.5,reward,277,2.935,300,1.833,1.601,108373
rxnflow_drd2,0.7,reward,232,2.944,300,2.08,1.415,153281
rxnflow_drd2,0.9,reward,147,2.98,190,2.516,1.184,162042
rxnflow_seh,5.0,reward,300,2.97,300,1.283,2.315,55866
rxnflow_seh,6.0,reward,300,2.97,300,1.437,2.067,84555
rxnflow_seh,7.0,reward,83,3.0,186,2.446,1.226,232213
scent_drd2,0.5,free_frag,300,3.673,300,1.16,3.166,100538
scent_drd2,0.7,free_frag,300,3.673,300,1.18,3.113,111548
scent_drd2,0.9,free_frag,300,3.673,300,1.297,2.832,136151
scent_seh,5.0,free_frag,300,3.383,300,1.093,3.095,29774
scent_seh,6.0,free_frag,300,3.383,300,1.133,2.986,54745
scent_seh,7.0,free_frag,300,3.383,300,1.303,2.596,155764
