seed,generator,target,cell,arm,gate,gate_matches_run,budget_rxns,modes_at_R,used_rxns,reward_gen_calls,status,n_modes_available,rxn_per_mode
42,fraggfn,clpp,fraggfn_clpp,hub_batching,-8.0,True,50,46,50,1050,budget-binding,300,1.087
42,fraggfn,clpp,fraggfn_clpp,hub_batching,-8.0,True,100,96,100,1050,budget-binding,300,1.042
42,fraggfn,clpp,fraggfn_clpp,hub_batching,-8.0,True,150,138,150,4830,budget-binding,300,1.087
42,fraggfn,clpp,fraggfn_clpp,hub_batching,-8.0,True,200,184,200,6195,budget-binding,300,1.087
42,fraggfn,clpp,fraggfn_clpp,best_candidate,-8.0,True,50,10,50,0,budget-binding,300,5.0
42,fraggfn,clpp,fraggfn_clpp,best_candidate,-8.0,True,100,20,100,0,budget-binding,300,5.0
42,fraggfn,clpp,fraggfn_clpp,best_candidate,-8.0,True,150,30,150,0,budget-binding,300,5.0
42,fraggfn,clpp,fraggfn_clpp,best_candidate,-8.0,True,200,40,196,0,budget-binding,300,4.9
42,fraggfn,drd2,fraggfn_drd2,hub_batching,0.5,True,50,42,50,2310,budget-binding,300,1.19
42,fraggfn,drd2,fraggfn_drd2,hub_batching,0.5,True,100,88,100,3255,budget-binding,300,1.136
42,fraggfn,drd2,fraggfn_drd2,hub_batching,0.5,True,150,126,150,6405,budget-binding,300,1.19
42,fraggfn,drd2,fraggfn_drd2,hub_batching,0.5,True,200,172,200,7560,budget-binding,300,1.163
42,fraggfn,drd2,fraggfn_drd2,best_candidate,0.5,True,50,10,50,0,budget-binding,300,5.0
42,fraggfn,drd2,fraggfn_drd2,best_candidate,0.5,True,100,20,100,0,budget-binding,300,5.0
42,fraggfn,drd2,fraggfn_drd2,best_candidate,0.5,True,150,30,150,0,budget-binding,300,5.0
42,fraggfn,drd2,fraggfn_drd2,best_candidate,0.5,True,200,40,200,0,budget-binding,300,5.0
42,fraggfn,seh,fraggfn_seh,hub_batching,5.0,True,50,38,50,4620,budget-binding,300,1.316
42,fraggfn,seh,fraggfn_seh,hub_batching,5.0,True,100,83,99,6405,budget-binding,300,1.193
42,fraggfn,seh,fraggfn_seh,hub_batching,5.0,True,150,123,147,9765,budget-binding,300,1.195
42,fraggfn,seh,fraggfn_seh,hub_batching,5.0,True,200,164,200,14490,budget-binding,300,1.22
42,fraggfn,seh,fraggfn_seh,best_candidate,5.0,True,50,10,50,0,budget-binding,300,5.0
42,fraggfn,seh,fraggfn_seh,best_candidate,5.0,True,100,20,100,0,budget-binding,300,5.0
42,fraggfn,seh,fraggfn_seh,best_candidate,5.0,True,150,30,150,0,budget-binding,300,5.0
42,fraggfn,seh,fraggfn_seh,best_candidate,5.0,True,200,40,200,0,budget-binding,300,5.0
42,rgfn,drd2,rgfn_drd2,hub_batching,0.5,True,50,40,50,5293,budget-binding,300,1.25
42,rgfn,drd2,rgfn_drd2,hub_batching,0.5,True,100,82,100,8274,budget-binding,300,1.22
42,rgfn,drd2,rgfn_drd2,hub_batching,0.5,True,150,127,150,10827,budget-binding,300,1.181
42,rgfn,drd2,rgfn_drd2,hub_batching,0.5,True,200,164,200,16272,budget-binding,300,1.22
42,rgfn,drd2,rgfn_drd2,best_candidate,0.5,True,50,12,47,0,budget-binding,300,3.917
42,rgfn,drd2,rgfn_drd2,best_candidate,0.5,True,100,25,97,0,budget-binding,300,3.88
42,rgfn,drd2,rgfn_drd2,best_candidate,0.5,True,150,39,150,0,budget-binding,300,3.846
42,rgfn,drd2,rgfn_drd2,best_candidate,0.5,True,200,52,199,0,budget-binding,300,3.827
42,rgfn,seh,rgfn_seh,hub_batching,5.0,True,50,31,47,4549,budget-binding,300,1.516
42,rgfn,seh,rgfn_seh,hub_batching,5.0,True,100,61,100,11600,budget-binding,300,1.639
42,rgfn,seh,rgfn_seh,hub_batching,5.0,True,150,91,147,18071,budget-binding,300,1.615
42,rgfn,seh,rgfn_seh,hub_batching,5.0,True,200,118,198,26915,budget-binding,300,1.678
42,rgfn,seh,rgfn_seh,best_candidate,5.0,True,50,12,47,0,budget-binding,300,3.917
42,rgfn,seh,rgfn_seh,best_candidate,5.0,True,100,25,99,0,budget-binding,300,3.96
42,rgfn,seh,rgfn_seh,best_candidate,5.0,True,150,37,147,0,budget-binding,300,3.973
42,rgfn,seh,rgfn_seh,best_candidate,5.0,True,200,50,199,0,budget-binding,300,3.98
42,rxnflow,clpp,rxnflow_clpp,hub_batching,-8.0,True,50,40,50,6057,budget-binding,300,1.25
42,rxnflow,clpp,rxnflow_clpp,hub_batching,-8.0,True,100,81,100,14293,budget-binding,300,1.235
42,rxnflow,clpp,rxnflow_clpp,hub_batching,-8.0,True,150,123,150,20946,budget-binding,300,1.22
42,rxnflow,clpp,rxnflow_clpp,hub_batching,-8.0,True,200,163,200,28308,budget-binding,300,1.227
42,rxnflow,clpp,rxnflow_clpp,best_candidate,-8.0,True,50,16,48,0,budget-binding,300,3.0
42,rxnflow,clpp,rxnflow_clpp,best_candidate,-8.0,True,100,33,99,0,budget-binding,300,3.0
42,rxnflow,clpp,rxnflow_clpp,best_candidate,-8.0,True,150,50,150,0,budget-binding,300,3.0
42,rxnflow,clpp,rxnflow_clpp,best_candidate,-8.0,True,200,66,198,0,budget-binding,300,3.0
42,rxnflow,drd2,rxnflow_drd2,hub_batching,0.5,True,50,29,49,8900,budget-binding,300,1.69
42,rxnflow,drd2,rxnflow_drd2,hub_batching,0.5,True,100,55,99,18720,budget-binding,300,1.8
42,rxnflow,drd2,rxnflow_drd2,hub_batching,0.5,True,150,87,150,27597,budget-binding,300,1.724
42,rxnflow,drd2,rxnflow_drd2,hub_batching,0.5,True,200,115,200,37888,budget-binding,300,1.739
42,rxnflow,drd2,rxnflow_drd2,best_candidate,0.5,True,50,17,50,0,budget-binding,277,2.941
42,rxnflow,drd2,rxnflow_drd2,best_candidate,0.5,True,100,33,98,0,budget-binding,277,2.97
42,rxnflow,drd2,rxnflow_drd2,best_candidate,0.5,True,150,50,149,0,budget-binding,277,2.98
42,rxnflow,drd2,rxnflow_drd2,best_candidate,0.5,True,200,67,200,0,budget-binding,277,2.985
42,rxnflow,seh,rxnflow_seh,hub_batching,5.0,True,50,39,48,6702,budget-binding,300,1.231
42,rxnflow,seh,rxnflow_seh,hub_batching,5.0,True,100,79,100,14499,budget-binding,300,1.266
42,rxnflow,seh,rxnflow_seh,hub_batching,5.0,True,150,117,150,22688,budget-binding,300,1.282
42,rxnflow,seh,rxnflow_seh,hub_batching,5.0,True,200,153,200,30987,budget-binding,300,1.307
42,rxnflow,seh,rxnflow_seh,best_candidate,5.0,True,50,16,48,0,budget-binding,300,3.0
42,rxnflow,seh,rxnflow_seh,best_candidate,5.0,True,100,33,99,0,budget-binding,300,3.0
42,rxnflow,seh,rxnflow_seh,best_candidate,5.0,True,150,50,150,0,budget-binding,300,3.0
42,rxnflow,seh,rxnflow_seh,best_candidate,5.0,True,200,66,198,0,budget-binding,300,3.0
42,scent,clpp,scent_clpp,hub_batching,-8.0,True,50,29,50,1860,budget-binding,300,1.724
