budget_rxns,generator,target,seed,hub_batching,best_candidate,ratio,hb_status,bc_status,comparable
50,fraggfn,clpp,42,46,10,4.6,budget-binding,budget-binding,True
50,fraggfn,clpp,43,42,10,4.2,budget-binding,budget-binding,True
50,fraggfn,drd2,42,42,10,4.2,budget-binding,budget-binding,True
50,fraggfn,drd2,43,38,10,3.8,budget-binding,budget-binding,True
50,fraggfn,drd2,44,38,10,3.8,budget-binding,budget-binding,True
50,fraggfn,seh,42,38,10,3.8,budget-binding,budget-binding,True
50,fraggfn,seh,43,38,10,3.8,budget-binding,budget-binding,True
50,fraggfn,seh,44,38,10,3.8,budget-binding,budget-binding,True
50,rgfn,clpp,43,36,14,2.571,budget-binding,budget-binding,True
50,rgfn,drd2,42,40,12,3.333,budget-binding,budget-binding,True
50,rgfn,drd2,43,43,13,3.308,budget-binding,budget-binding,True
50,rgfn,drd2,44,43,12,3.583,budget-binding,budget-binding,True
50,rgfn,seh,42,31,12,2.583,budget-binding,budget-binding,True
50,rgfn,seh,43,27,12,2.25,budget-binding,budget-binding,True
50,rgfn,seh,44,23,13,1.769,budget-binding,budget-binding,True
50,rxnflow,clpp,42,40,16,2.5,budget-binding,budget-binding,True
50,rxnflow,clpp,43,43,17,2.529,budget-binding,budget-binding,True
50,rxnflow,drd2,42,29,17,1.706,budget-binding,budget-binding,True
50,rxnflow,drd2,43,48,19,2.526,budget-binding,budget-binding,True
50,rxnflow,drd2,44,40,20,2.0,budget-binding,budget-binding,True
50,rxnflow,seh,42,39,16,2.438,budget-binding,budget-binding,True
50,rxnflow,seh,43,44,16,2.75,budget-binding,budget-binding,True
50,rxnflow,seh,44,35,18,1.944,budget-binding,budget-binding,True
50,scent,clpp,42,29,13,2.231,budget-binding,budget-binding,True
50,scent,clpp,43,30,13,2.308,budget-binding,budget-binding,True
50,scent,drd2,42,29,13,2.231,budget-binding,budget-binding,True
50,scent,drd2,43,28,13,2.154,budget-binding,budget-binding,True
50,scent,drd2,44,29,14,2.071,budget-binding,budget-binding,True
50,scent,seh,42,28,13,2.154,budget-binding,budget-binding,True
50,scent,seh,43,29,13,2.231,budget-binding,budget-binding,True
50,scent,seh,44,30,12,2.5,budget-binding,budget-binding,True
100,fraggfn,clpp,42,96,20,4.8,budget-binding,budget-binding,True
100,fraggfn,clpp,43,84,20,4.2,budget-binding,budget-binding,True
100,fraggfn,drd2,42,88,20,4.4,budget-binding,budget-binding,True
100,fraggfn,drd2,43,80,20,4.0,budget-binding,budget-binding,True
100,fraggfn,drd2,44,77,20,3.85,budget-binding,budget-binding,True
100,fraggfn,seh,42,83,20,4.15,budget-binding,budget-binding,True
100,fraggfn,seh,43,80,20,4.0,budget-binding,budget-binding,True
100,fraggfn,seh,44,80,20,4.0,budget-binding,budget-binding,True
100,rgfn,clpp,43,66,28,2.357,budget-binding,budget-binding,True
100,rgfn,drd2,42,82,25,3.28,budget-binding,budget-binding,True
100,rgfn,drd2,43,84,26,3.231,budget-binding,budget-binding,True
100,rgfn,drd2,44,89,25,3.56,budget-binding,budget-binding,True
100,rgfn,seh,42,61,25,2.44,budget-binding,budget-binding,True
100,rgfn,seh,43,50,26,1.923,budget-binding,budget-binding,True
100,rgfn,seh,44,49,26,1.885,budget-binding,budget-binding,True
100,rxnflow,clpp,42,81,33,2.455,budget-binding,budget-binding,True
100,rxnflow,clpp,43,83,34,2.441,budget-binding,budget-binding,True
100,rxnflow,drd2,42,55,33,1.667,budget-binding,budget-binding,True
100,rxnflow,drd2,43,89,38,2.342,budget-binding,budget-binding,True
100,rxnflow,drd2,44,80,32,2.5,budget-binding,pool-exhausted,False
100,rxnflow,seh,42,79,33,2.394,budget-binding,budget-binding,True
100,rxnflow,seh,43,90,33,2.727,budget-binding,budget-binding,True
100,rxnflow,seh,44,73,37,1.973,budget-binding,budget-binding,True
100,scent,clpp,42,79,27,2.926,budget-binding,budget-binding,True
100,scent,clpp,43,78,29,2.69,budget-binding,budget-binding,True
100,scent,drd2,42,77,26,2.962,budget-binding,budget-binding,True
100,scent,drd2,43,78,26,3.0,budget-binding,budget-binding,True
100,scent,drd2,44,78,28,2.786,budget-binding,budget-binding,True
100,scent,seh,42,77,28,2.75,budget-binding,budget-binding,True
100,scent,seh,43,79,27,2.926,budget-binding,budget-binding,True
100,scent,seh,44,80,27,2.963,budget-binding,budget-binding,True
150,fraggfn,clpp,42,138,30,4.6,budget-binding,budget-binding,True
150,fraggfn,clpp,43,134,30,4.467,budget-binding,budget-binding,True
150,fraggfn,drd2,42,126,30,4.2,budget-binding,budget-binding,True
150,fraggfn,drd2,43,123,30,4.1,budget-binding,budget-binding,True
150,fraggfn,drd2,44,114,30,3.8,budget-binding,budget-binding,True
150,fraggfn,seh,42,123,30,4.1,budget-binding,budget-binding,True
150,fraggfn,seh,43,122,30,4.067,budget-binding,budget-binding,True
150,fraggfn,seh,44,122,30,4.067,budget-binding,budget-binding,True
150,rgfn,clpp,43,93,41,2.268,budget-binding,budget-binding,True
150,rgfn,drd2,42,127,39,3.256,budget-binding,budget-binding,True
150,rgfn,drd2,43,119,39,3.051,budget-binding,budget-binding,True
150,rgfn,drd2,44,129,39,3.308,budget-binding,budget-binding,True
150,rgfn,seh,42,91,37,2.459,budget-binding,budget-binding,True
150,rgfn,seh,43,80,39,2.051,budget-binding,budget-binding,True
150,rgfn,seh,44,79,39,2.026,budget-binding,budget-binding,True
150,rxnflow,clpp,42,123,50,2.46,budget-binding,budget-binding,True
150,rxnflow,clpp,43,125,51,2.451,budget-binding,budget-binding,True
150,rxnflow,drd2,42,87,50,1.74,budget-binding,budget-binding,True
150,rxnflow,drd2,43,128,57,2.246,budget-binding,budget-binding,True
150,rxnflow,drd2,44,113,32,3.531,budget-binding,pool-exhausted,False
150,rxnflow,seh,42,117,50,2.34,budget-binding,budget-binding,True
150,rxnflow,seh,43,130,50,2.6,budget-binding,budget-binding,True
150,rxnflow,seh,44,110,54,2.037,budget-binding,budget-binding,True
150,scent,clpp,42,129,40,3.225,budget-binding,budget-binding,True
150,scent,clpp,43,123,45,2.733,budget-binding,budget-binding,True
150,scent,drd2,42,125,39,3.205,budget-binding,budget-binding,True
150,scent,drd2,43,126,40,3.15,budget-binding,budget-binding,True
150,scent,drd2,44,126,41,3.073,budget-binding,budget-binding,True
150,scent,seh,42,126,42,3.0,budget-binding,budget-binding,True
150,scent,seh,43,129,41,3.146,budget-binding,budget-binding,True
150,scent,seh,44,129,42,3.071,budget-binding,budget-binding,True
200,fraggfn,clpp,42,184,40,4.6,budget-binding,budget-binding,True
200,fraggfn,clpp,43,180,40,4.5,budget-binding,budget-binding,True
200,fraggfn,drd2,42,172,40,4.3,budget-binding,budget-binding,True
200,fraggfn,drd2,43,168,40,4.2,budget-binding,budget-binding,True
200,fraggfn,drd2,44,152,40,3.8,budget-binding,budget-binding,True
200,fraggfn,seh,42,164,40,4.1,budget-binding,budget-binding,True
200,fraggfn,seh,43,164,40,4.1,budget-binding,budget-binding,True
200,fraggfn,seh,44,164,40,4.1,budget-binding,budget-binding,True
200,rgfn,clpp,43,119,55,2.164,budget-binding,budget-binding,True
200,rgfn,drd2,42,164,52,3.154,budget-binding,budget-binding,True
200,rgfn,drd2,43,158,52,3.038,budget-binding,budget-binding,True
200,rgfn,drd2,44,168,52,3.231,budget-binding,budget-binding,True
200,rgfn,seh,42,118,50,2.36,budget-binding,budget-binding,True
200,rgfn,seh,43,124,53,2.34,budget-binding,budget-binding,True
200,rgfn,seh,44,104,51,2.039,budget-binding,budget-binding,True
200,rxnflow,clpp,42,163,66,2.47,budget-binding,budget-binding,True
200,rxnflow,clpp,43,171,69,2.478,budget-binding,budget-binding,True
