strategy,step,cum_reactions,cum_modes,cum_reward_gen_calls,reactions_added,reward,source_hub
best_candidate,1,4,1,0,4,-6.2327,Nc1cc(C(=O)N(c2cc(-c3ccccc3Cl)ccn2)c2n[nH]cc2Br)ccc1O
best_candidate,2,7,2,0,3,-5.8538,N#Cc1ccc2[nH]cc(C3c4cccn4-c4ccccc4N3C(=O)c3ccccc3N)c2c1
best_candidate,3,11,3,0,4,-5.6122,Nc1ccc(Nc2cccc(-c3cc(C(=O)NCc4ccccc4O)ccc3F)c2O)cc1
best_candidate,4,15,4,0,4,-5.6035,Nc1cccc(-c2cccc(-n3c(-c4ccc(F)c(C(F)(F)F)c4)nc4c(N)cccc43)c2)c1O
best_candidate,5,19,5,0,4,-5.5218,Cc1ccnc(Br)c1NC(=O)N1C(C(=O)Nc2cccnc2Br)Cc2c([nH]c3ccccc23)C1c1cccc(C(=O)O)c1
best_candidate,6,23,6,0,4,-5.4738,COc1ccc2c(c1)nc(-c1ncc[nH]1)n2C(=O)c1cccc(F)c1NC(=O)NCc1c[nH]c2ccccc12
best_candidate,7,27,7,0,4,-5.4593,O=C(NCc1c[nH]c2ccccc12)NC(Cc1ccc(OC(=O)c2ncccc2C(F)(F)F)cc1)C(=O)NCCc1ccccc1
best_candidate,8,31,8,0,4,-5.429,COc1ccc2[nH]c(-c3cncc(-c4ccccc4N)c3)nc2c1
best_candidate,9,35,9,0,4,-5.407,Nc1cccc(-c2ccc(Nc3ccccc3C3=NCCc4c3[nH]c3ccc(O)cc43)c(C(=O)O)c2)c1O
best_candidate,10,37,10,0,2,-5.3372,O=S(=O)(NCc1c[nH]c2ccccc12)N1CCCCC1
best_candidate,11,41,11,0,4,-5.3235,O=Cc1ccccc1CN(c1ccc(-c2cncc(O)c2)cc1)C(CCl)c1ccccc1
best_candidate,12,45,12,0,4,-5.3215,COC(=O)c1ccccc1C1c2ccccc2CC(CNc2cccc(Br)c2O)N1C(=O)NC1CCCCC1
best_candidate,13,49,13,0,4,-5.3043,Cc1cc(N(C(=O)Nc2cc(Br)n[nH]2)c2cccc(-c3ccc(S(=O)(=O)F)cc3)c2)cnc1F
best_candidate,14,53,14,0,4,-5.2997,NC(=O)CC(N)C(=O)N1c2ccccc2-n2cccc2C1c1cncc(-c2ccc(S)cc2)c1
best_candidate,15,57,15,0,4,-5.2929,COc1ccc(N)c(Nc2nccc(CNc3cccc(-c4csc(Br)n4)c3)c2F)c1
best_candidate,16,61,16,0,4,-5.2729,Cc1cc(-c2ccc(N(c3c(F)cccc3C(=O)O)c3c(F)cccc3C(=O)O)nc2)cnc1F
best_candidate,17,65,17,0,4,-5.2157,Oc1ccc(CC(Nc2ccc(C(F)(F)F)cc2C2Nc3ccccc3-n3cccc32)C2=NCCc3c(Br)cccc32)cc1
best_candidate,18,67,18,0,2,-5.1861,O=C(NCc1c[nH]c2ccccc12)Nc1ccc(C(F)(F)F)cc1
best_candidate,19,71,19,0,4,-5.1856,O=C(Nc1cccc(NCCc2ccccc2)c1O)N1CCc2ccccc2C1c1ccc(F)c(C(F)(F)F)c1
best_candidate,20,75,20,0,4,-5.1777,CN(Cc1nc2c(C(=O)OC3CCNCC3)cccc2o1)C(=O)N1CCCC(O)C1
best_candidate,21,79,21,0,4,-5.164,COc1ccc(Nc2ccnc(Nc3cccc4cc[nH]c34)c2)c(NS(=O)(=O)C2CCOCC2)c1
best_candidate,22,83,22,0,4,-5.1564,CC(NC(=O)Nc1c(F)cccc1CN(c1cc(Br)n[nH]1)c1ncccc1N)C(=O)O
best_candidate,23,87,23,0,4,-5.152,COc1cccc2c1CCN(C(=O)NCc1c[nH]c3ccccc13)C2c1nc(Nc2c(F)cccc2C(=O)O)cs1
best_candidate,24,91,24,0,4,-5.1509,N#Cc1ccc(N(C(=O)c2cccc(F)c2N)c2cc(-c3ccc(F)cc3)n[nH]2)c(C(F)(F)F)c1
best_candidate,25,95,25,0,4,-5.1398,Nc1nc(Nc2c(F)cccc2C(=O)Nc2cc(-c3ccccc3Cl)n[nH]2)nc2[nH]cnc12
best_candidate,26,99,26,0,4,-5.0618,O=Cc1ccnc(-c2cccc(-c3nc4cccc(NCc5c[nH]c6ccccc56)c4o3)c2)c1
best_candidate,27,103,27,0,4,-5.0615,Nc1cccc(-c2cccc3nc(C(Cc4ccc(O)cc4)Nc4nnnn4CCN4CCOCC4)oc23)c1
best_candidate,28,107,28,0,4,-5.0447,O=C(Nc1ccc(-c2ccccc2I)cc1)Nc1ccccc1S
best_candidate,29,111,29,0,4,-5.0367,Nc1nc(Nc2nc(Nc3cccc(-c4ccccc4Cl)c3O)nc3[nH]cnc23)nc2[nH]cnc12
best_candidate,30,115,30,0,4,-5.0311,C=CC(=O)N(c1ccc(C=O)cc1C(F)(F)F)C(Cc1ccc(O)cc1)C(=O)Nc1cccc2cc[nH]c12
best_candidate,31,119,31,0,4,-4.9993,Cc1cnc(Nc2cc(C(F)(F)F)ccc2N)cc1N(C(=O)CCN)c1ccc(Br)cc1
best_candidate,32,123,32,0,4,-4.991,Nc1c(O)cccc1C(=O)Nc1cccc(N(Cc2c[nH]c3ccccc23)C(=O)NC(C(=O)O)c2ccccc2)c1O
best_candidate,33,127,33,0,4,-4.9691,O=C(O)CNC(=O)N1CCC(C(=O)OCC2CCCN2C(=O)Nc2cccc(Br)c2O)CC1
best_candidate,34,131,34,0,4,-4.9559,C=CCOC(=O)C(CC(C)C)n1c(-c2cccc(F)c2N)nc2c(C)ccnc21
best_candidate,35,135,35,0,4,-4.9373,Cc1cc(N(c2ccc(C=O)cc2C(F)(F)F)C(C(=O)NC(C(=O)O)c2ccccc2)c2ccccc2)cnc1F
best_candidate,36,139,36,0,4,-4.9238,N#Cc1ccc2[nH]cc(C3c4[nH]c5ccccc5c4CCN3C(=O)Nc3c(N)cccc3Nc3cc(Br)n[nH]3)c2c1
best_candidate,37,143,37,0,4,-4.9001,Cc1ncc(N(C(=O)NCC(=O)O)c2cccc(Nc3cc(Br)cc(C#N)c3)c2O)[nH]1
best_candidate,38,147,38,0,4,-4.8847,O=C(Nc1cccc2cc[nH]c12)c1cccc(F)c1N(C(=O)C1CNC1)c1nc2ccccc2[nH]1
best_candidate,39,151,39,0,4,-4.8817,O=C(O)c1cccc(F)c1Nc1ncccc1N(C(=O)NC(Cc1ccc(O)cc1)C(=O)O)c1ccc([N+](=O)[O-])c2ccccc12
best_candidate,40,155,40,0,4,-4.8797,COc1ccc(NC(=O)Nc2cccc3cc[nH]c23)c(NC(=O)c2ccc(Nc3ncc4[nH]ccc4n3)c(N)c2)c1
best_candidate,41,159,41,0,4,-4.8765,Cc1cc(Br)cnc1N(c1cc(CN2CCC(S(=O)(=O)F)CC2)ccc1N)c1cccc(N)c1O
best_candidate,42,163,42,0,4,-4.841,CC(C)CC(CNc1cccc(Br)c1O)NC(=O)c1cccc(F)c1NS(=O)(=O)c1cccc(F)c1
best_candidate,43,167,43,0,4,-4.8399,Nc1ccc(C(=O)NCC(=O)N2c3ccccc3-n3cccc3C2c2ccccc2)cc1Br
best_candidate,44,170,44,0,3,-4.8235,Cc1cc(-c2ccc(NC(=O)Nc3cc(C(F)(F)F)ccc3N)cc2)ccc1F
best_candidate,45,174,45,0,4,-4.8177,Nc1ccccc1C(=O)Oc1c(NC(=O)c2ccncc2)cccc1-c1ccc(F)cc1
best_candidate,46,178,46,0,4,-4.8161,O=C(NC(Cc1c[nH]cn1)C(=O)O)c1ccccc1C1c2[nH]c3ccccc3c2CC(C(=O)O)N1C(=O)NCc1cccc(O)c1
best_candidate,47,182,47,0,4,-4.8124,COc1ccc(Nc2cncc(O)c2)c(N(Cc2cc(Br)cc(B(O)O)c2)C(=O)C(N)CCCCN)c1
best_candidate,48,186,48,0,4,-4.8065,NC(CN(C(=O)Nc1cccc2cc[nH]c12)C(Cc1ccc(O)cc1)C(=O)N1CCC(O)C1)c1ccccc1
best_candidate,49,190,49,0,4,-4.8034,COc1cccc(CN(C(=O)C(N)Cc2ccc(O)cc2)c2cc(NC(=O)c3cncs3)[nH]n2)c1
best_candidate,50,194,50,0,4,-4.7955,CCC(C)C(NC(=O)N(Cc1cncc(F)c1)C(CCC(N)=O)C(=O)OC1CCCCC1)C(=O)O
best_candidate,51,198,51,0,4,-4.782,Nc1nc(N(C(=O)c2cccnc2O)c2ccc(F)nc2-c2ccc(S)cc2)nc2[nH]cnc12
best_candidate,52,202,52,0,4,-4.7785,O=C(NCc1c[nH]c2ccccc12)c1ccc(N(C(=O)Nc2cc(F)c(F)cc2O)c2ccnc3ccccc23)c(C(F)(F)F)c1
best_candidate,53,206,53,0,4,-4.7522,COc1ccc(NC(=O)c2ccccc2Cn2cc(C=O)c3cc(C#N)ccc32)c(NC(=O)c2cccnc2)c1
best_candidate,54,210,54,0,4,-4.7499,Nc1cccc(-c2ccc3[nH]ccc3c2)c1NC(=O)C(Cc1cccs1)NC(=O)C(N)Cc1ccc([N+](=O)[O-])cc1
best_candidate,55,214,55,0,4,-4.7417,O=C(CNC(=O)Nc1cc(C(F)(F)F)ccc1NS(=O)(=O)c1cccc2ccccc12)NCCc1c[nH]c2ccc(O)cc12
best_candidate,56,218,56,0,4,-4.7391,COc1ccc(CN2C(=O)C(NC(=O)c3cccnc3)c3ccccc3C2c2cccc(C(=O)O)c2)cc1
best_candidate,57,222,57,0,4,-4.7385,Nc1cccc(-c2ccc(NC(=O)N(c3csc(C=O)n3)c3c(O)cccc3C(=O)O)cc2)c1N
best_candidate,58,226,58,0,4,-4.7296,O=C=Nc1ccc(-c2cccc(NC(=O)c3cccc(O)c3Nc3nc4ccccc4[nH]3)c2)cc1
best_candidate,59,230,59,0,4,-4.72,O=C(c1ccccc1CNc1ccc(CNc2cccc(Br)c2O)cc1Br)N1CCC(S(=O)(=O)F)CC1
best_candidate,60,234,60,0,4,-4.7194,Cc1ccnc(Br)c1NC(=O)C(NC(=O)Nc1cc(Nc2cccc(Br)c2C(=O)O)n[nH]1)c1ccccc1
best_candidate,61,238,61,0,4,-4.719,O=C(c1cccc(N=C=S)c1)n1c(-c2c[nH]c3ccc(F)cc23)nc2c(-c3ccc(S)cc3)cccc21
best_candidate,62,242,62,0,4,-4.7167,NC(=O)CC(NC(=O)C(N)CCC(=O)O)C(=O)N1c2ccccc2-n2cccc2C1c1c[nH]c2ccc(F)cc12
best_candidate,63,246,63,0,4,-4.7157,O=C(O)c1ccc(O)c(Nc2cc(NCc3ccc(-c4cncc(C(F)(F)F)c4)cc3)[nH]n2)c1
best_candidate,64,250,64,0,4,-4.7142,Nc1cc(C(=O)n2c(-c3ccnc(Br)c3)nc3c(-c4ccc(S)cc4)cccc32)ccc1O
best_candidate,65,254,65,0,4,-4.7127,O=C(O)C(Cc1c[nH]cn1)N(Cc1cccc(F)c1NC(=O)N1CCCC1C(F)(F)F)C(=O)Nc1ccc(Br)cc1
best_candidate,66,258,66,0,4,-4.7122,Nc1cc(-c2cccc(NC(=O)c3cc(Br)cc(-c4cncc(C=O)c4)c3)c2)n[nH]1
best_candidate,67,262,67,0,4,-4.7066,O=C(Nc1ccc(-c2ccc3[nH]ccc3c2)cc1)Nc1cccc(-c2cncc(F)c2)c1O
best_candidate,68,266,68,0,4,-4.68,CC(O)CN(C(=O)Nc1c(F)cccc1C(=O)O)c1cccc(Nc2cccc(C=O)c2)c1O
best_candidate,69,269,69,0,3,-4.6687,Cc1cc(F)ccc1-c1ccc(NC(=O)Nc2cc(C(F)(F)F)ccc2N)cc1
best_candidate,70,273,70,0,4,-4.6655,O=C(Nc1c(F)cccc1C1=NC(C(=O)O)Cc2c1[nH]c1ccccc21)c1cccc(F)c1Nc1cncc(O)c1
best_candidate,71,277,71,0,4,-4.6629,O=C(O)CC(CNc1cccnc1-c1cccc(Cl)c1)Nc1nnnn1-c1cc(C(F)(F)F)cc(C(F)(F)F)c1
best_candidate,72,281,72,0,4,-4.6629,Nc1ccc(C(=O)N(Cc2cccc(N=C=S)c2)C(Cc2ccc(O)cc2)C(=O)O)cc1Nc1nc2ccccc2[nH]1
best_candidate,73,285,73,0,4,-4.65,O=Cc1ccccc1C(=O)N(c1ccc(C(=O)NCc2ccccc2O)cc1)C1CCC1
best_candidate,74,289,74,0,4,-4.6398,Cc1sc(N(Cc2ccc(C(F)(F)F)cc2)c2cc(C=O)ccn2)nc1CNc1ccc(C(=O)O)cc1O
best_candidate,75,293,75,0,4,-4.6395,COc1ccc(-c2cc(C(=O)O)cc(N(c3ccnc(F)c3)c3c(O)cccc3C(=O)O)c2)cn1
best_candidate,76,297,76,0,4,-4.6385,Cc1ccc(S(=O)(=O)F)cc1NC(=O)N(Cc1ccnc(Nc2cccc(Br)c2O)c1)C(Cc1c[nH]cn1)C(=O)O
best_candidate,77,301,77,0,4,-4.6352,O=C(Oc1c(Br)cccc1Nc1nc2ccccc2[nH]1)c1cccc(F)c1Nc1ncc2[nH]ccc2n1
best_candidate,78,305,78,0,4,-4.6338,COc1ccc(NCc2ccnc(N(CCc3ccccc3OC)C(=O)Nc3ccc(B4OC(C)(C)C(C)(C)O4)cn3)c2)c(N)c1
best_candidate,79,309,79,0,4,-4.6282,CC(CNC(=O)c1cccc(Nc2ccc(F)nc2Br)n1)OCc1cccnc1
best_candidate,80,313,80,0,4,-4.6266,Cc1cc(-c2cc(C(=O)OCc3ccc(NCc4c[nH]c5ccccc45)c([N+](=O)[O-])c3)ccc2F)cnc1F
best_candidate,81,317,81,0,4,-4.625,COc1ccc(NC(=O)N(Cc2c[nH]c3ccccc23)c2cccc(NC(=O)NC3CC3)c2O)c(N)c1
best_candidate,82,321,82,0,4,-4.6208,Nc1cccc(N(C(=O)Nc2ccc(-c3ccnc(F)c3)cc2)C(Cc2ccc(O)cc2)C(=O)O)c1O
best_candidate,83,325,83,0,4,-4.6168,Cc1c[nH]c(-c2cc(Nc3c(F)cccc3C(=O)O)cc(C3=NC(C(=O)O)Cc4c3[nH]c3ccccc43)c2)n1
best_candidate,84,329,84,0,4,-4.615,Cc1cc(-c2cccc(NC(=O)C(CC(N)=O)NCc3ccnc(F)c3)c2O)ccc1F
best_candidate,85,333,85,0,4,-4.6124,NC(CO)C(=O)Oc1cccc(-c2cc(NC(=O)C3(N)CCC3)[nH]n2)c1
best_candidate,86,337,86,0,4,-4.5992,Nc1nc(Nc2ccc(C(=O)N3c4ccccc4-n4cccc4C3c3ccc(C(F)(F)F)cc3)cc2O)nc2[nH]cnc12
best_candidate,87,341,87,0,4,-4.5992,CC(O)CNc1cc(NCC2CCN(S(=O)(=O)c3cccc4ccccc34)CC2)[nH]n1
best_candidate,88,345,88,0,4,-4.599,Nc1nc(Nc2nc(Nc3c(F)cccc3CNc3ccc(Br)cc3)nc3[nH]cnc23)nc2[nH]cnc12
best_candidate,89,349,89,0,4,-4.595,Cc1cc(Nc2ccccc2S)cnc1N(C(=O)NC1CCCC1)C(Cc1ccc(O)cc1)C(=O)O
best_candidate,90,353,90,0,4,-4.5941,Cc1cc(-c2ccccc2Cl)cnc1N(C(=O)c1cccc(N=C=S)c1)c1cc(Br)ccn1
best_candidate,91,357,91,0,4,-4.5897,CC(C)CC(NC(=O)c1cccc(F)c1N)C(=O)N1CCN(c2cncc(O)c2)CC1
best_candidate,92,361,92,0,4,-4.582,CN(CC(=O)O)C(=O)Nc1c(F)cccc1C(=O)N(c1cscn1)c1ccccc1S
best_candidate,93,365,93,0,4,-4.5814,Nc1c(F)cccc1CNC(Cc1ccc(OC(=O)c2ccccc2CNC2CCCCC2O)cc1)C(=O)O
best_candidate,94,369,94,0,4,-4.5787,Cc1cc(-c2ccc(OC(=O)C3CCN(Cc4ccnc(Br)c4F)CC3)nc2)ccc1F
best_candidate,95,373,95,0,4,-4.5747,N#Cc1ccc(C(=O)OC2CCCN(C(=O)CNC(=O)N3CCCCC3)C2)cn1
best_candidate,96,375,96,0,2,-4.5738,CC(NC(=O)Nc1c(F)cccc1C(=O)O)c1ccccc1
best_candidate,97,379,97,0,4,-4.5717,N#Cc1ccc(N(Cc2cccc(-c3nc4cc(Br)ccc4o3)c2)C(=O)NCCc2c[nH]c3ccc(O)cc23)c(N)c1
best_candidate,98,383,98,0,4,-4.5626,O=C(Nc1c(F)cccc1CNc1ccc(-c2cscn2)cn1)NC1(C(=O)O)CCC1
best_candidate,99,387,99,0,4,-4.555,N#Cc1cc(Nc2ncc3[nH]ccc3n2)cc(N(Cc2c[nH]c3ccccc23)C(=O)NCCc2ccccc2Br)c1
best_candidate,100,391,100,0,4,-4.5472,Nc1ccc(Br)cc1N(C(=O)c1cc[nH]n1)c1cc(NCc2cccc(F)c2N)[nH]n1
best_candidate,101,395,101,0,4,-4.5443,CC(NC(=O)NC(Cc1cccs1)CN(CCN1CCOCC1)C(=O)C(N)CC(N)=O)c1ccccc1
best_candidate,102,399,102,0,4,-4.5433,Cc1cccc(Cn2cc(C3NC(C4=NCCc5c4[nH]c4ccccc54)Cc4c3[nH]c3ccccc43)c3cc(C#N)ccc32)c1C
best_candidate,103,403,103,0,4,-4.5427,N#Cc1ccc2[nH]cc(C3c4cccn4-c4ccccc4N3C(=O)C(CCC(N)=O)Nc3c(C(=O)O)ccc(F)c3F)c2c1
best_candidate,104,407,104,0,4,-4.5381,O=C(CCl)c1ccc(F)cc1N(CC1(NC(=O)N2CC(CO)C2)CCC1)C(Cc1c[nH]c2ccccc12)C(=O)O
best_candidate,105,411,105,0,4,-4.532,Nc1cccc(-c2cccc(Nc3ccccc3CCNc3ncccc3C=O)c2)c1O
best_candidate,106,415,106,0,4,-4.5305,Cc1ccccc1-c1ccc(NC(=O)Nc2c(F)cccc2CNC(C)c2ccccc2)cc1
best_candidate,107,419,107,0,4,-4.5298,Cc1cccc(Cn2nnc(-c3cccc(Cn4cc(CNC(=O)NCc5c[nH]c6ccccc56)c5ccccc54)c3)n2)c1C
best_candidate,108,423,108,0,4,-4.5285,CC(C)C(NCC(Cc1cccs1)NC(=O)N(CCc1ccccc1)c1ccc(C=O)cc1C(F)(F)F)C(=O)O
best_candidate,109,427,109,0,4,-4.5269,Cc1cccc(COC(=O)C2CC(OC(=O)c3cc(Br)cc(-c4cccc(N)c4C(=O)O)c3)CN2)c1C
best_candidate,110,431,110,0,4,-4.5244,Cc1cc(-c2ccccc2CN(CCc2ccccc2Br)C(=O)Nc2cc(C#N)ccc2O)cnc1F
best_candidate,111,435,111,0,4,-4.5234,O=C(NC1CC1)c1cccc(F)c1NC(=O)N1CCc2ccccc2C1c1cc(C(F)(F)F)ccc1Br
best_candidate,112,439,112,0,4,-4.5202,CC(CNS(=O)(=O)C1CCN(C(=O)NCc2c[nH]c3ccccc23)CC1)OC(=O)c1ccc(C(F)(F)F)cn1
best_candidate,113,443,113,0,4,-4.5176,NC(CCCNc1cccc(NC(=O)N(c2c(C(=O)O)ccc(F)c2F)C2CC2)c1O)C(=O)O
best_candidate,114,447,114,0,4,-4.517,COc1ccccc1CCNCc1cccc(CNCCc2c[nH]c3ccc(OC(=O)c4cncs4)cc23)c1
best_candidate,115,451,115,0,4,-4.5161,COc1ccc2nc(-c3cccc(F)c3N(C(=O)Nc3c(O)cccc3C(=O)O)c3cncc(O)c3)[nH]c2c1
best_candidate,116,455,116,0,4,-4.5153,O=C(O)C(Cc1ccccc1)NC(=O)N(c1cccc(S(=O)(=O)Nc2ccnc3ccccc23)n1)c1ccnc2ccccc12
best_candidate,117,459,117,0,4,-4.5096,NC(=O)CCC(NC(=O)C1CCNCC1)C(=O)N1c2ccccc2-n2cccc2C1c1ncc[nH]1
best_candidate,118,463,118,0,4,-4.5087,O=Cc1ccccc1C(=O)NCC(=O)Nc1cccc(-c2ccccc2Cl)c1O
best_candidate,119,467,119,0,4,-4.505,Nc1ccc(CNc2nc(F)nc3[nH]cnc23)cc1NCC(NC(=O)Nc1ccc(B(O)O)cc1)c1ccccc1
best_candidate,120,471,120,0,4,-4.504,NC(=O)CCC(N)C(=O)OCC(=O)Oc1ccc2[nH]c3c(c2c1)CCN=C3c1ccncc1
best_candidate,121,475,121,0,4,-4.499,Cc1cccc(COC(=O)C(NC(=O)c2nc(NC(Cc3ccccc3)C(=O)O)sc2C)C(C)C)c1C
best_candidate,122,479,122,0,4,-4.4928,COc1cc(C(F)(F)F)ccc1C1NC(CNC(C)C(=O)Nc2nc(F)nc3[nH]cnc23)Cc2c1[nH]c1ccccc21
best_candidate,123,483,123,0,4,-4.489,COc1ccc(N)c(N(C(=O)NC(C(=O)O)c2ccccc2)c2cccc(NCc3ccc(C(F)(F)F)cc3)c2O)c1
best_candidate,124,487,124,0,4,-4.4882,N#Cc1cc(NC(=O)c2ccccc2CNCc2ccc(O)cc2)cc(-c2ccc(S)cc2)c1
best_candidate,125,491,125,0,4,-4.4823,Cc1ccc(S(=O)(=O)F)cc1NC(=O)N(c1cncc(C(F)(F)F)c1)C(CC(N)=O)C(=O)Nc1cccc2cc[nH]c12
best_candidate,126,495,126,0,4,-4.4787,COc1ccccc1CCNC(=O)N1CCc2c([nH]c3ccccc23)C1c1c[nH]c2ccc(-c3nnnn3CC(=O)c3ccccc3)cc12
best_candidate,127,499,127,0,4,-4.4747,CC(CCl)N(CC(N)CC(=O)Nc1cccc2cc[nH]c12)c1cc(F)c(F)cc1O
best_candidate,128,503,128,0,4,-4.4742,O=C(Oc1cccc(C(=O)O)c1N(C(=O)Nc1cccc(B(O)O)c1)c1nc2ccccc2[nH]1)c1cccc(N=C=S)c1
best_candidate,129,507,129,0,4,-4.4729,COc1ccc(Nc2ccccn2)c(NC(=O)N2CCC(CNCCCCN)CC2)c1
best_candidate,130,511,130,0,4,-4.4724,Nc1cccc(-c2cccc(S(=O)(=O)N3CC(C(=O)OCc4ccccc4)C3)c2)c1N
best_candidate,131,515,131,0,4,-4.4698,Cc1nc(Nc2ccc(Br)cc2O)sc1C(=O)Nc1cccc(-c2ccc(S)cc2)c1O
best_candidate,132,519,132,0,4,-4.4678,CC(C)CNC(=O)Nc1ccc(-c2ccccc2N)cc1
best_candidate,133,523,133,0,4,-4.4664,NCC(=O)Nc1c(N)cccc1-c1ccc(NC(=O)C(N)Cc2ccc(O)cc2)cc1
best_candidate,134,527,134,0,4,-4.4634,O=C(O)C(Cc1c[nH]cn1)NC(=O)N(c1cc(Br)ccn1)C1(C(=O)OCC2CCC(F)(F)CC2)CCC1
