strategy,step,cum_reactions,cum_modes,cum_reward_gen_calls,reactions_added,reward,source_hub
hub_batching,1,4,1,824,4,-5.9293,N#Cc1ccc(N(C(=O)c2cccc(F)c2N)c2cc(-c3ccc(F)cc3)n[nH]2)c(C(F)(F)F)c1
hub_batching,2,5,2,824,1,-4.6161,N#Cc1ccc(N(C(=O)c2cccc(F)c2N)c2cc(-c3ccc(F)cc3)n[nH]2)c(C(F)(F)F)c1
hub_batching,3,9,3,3366,4,-5.0339,Nc1cccc(-c2ccc(NC(=O)N(c3csc(C=O)n3)c3c(O)cccc3C(=O)O)cc2)c1N
hub_batching,4,10,4,3366,1,-4.9329,Nc1cccc(-c2ccc(NC(=O)N(c3csc(C=O)n3)c3c(O)cccc3C(=O)O)cc2)c1N
hub_batching,5,11,5,3366,1,-4.6074,Nc1cccc(-c2ccc(NC(=O)N(c3csc(C=O)n3)c3c(O)cccc3C(=O)O)cc2)c1N
hub_batching,6,12,6,3366,1,-4.4407,Nc1cccc(-c2ccc(NC(=O)N(c3csc(C=O)n3)c3c(O)cccc3C(=O)O)cc2)c1N
hub_batching,7,13,7,3366,1,-4.3407,Nc1cccc(-c2ccc(NC(=O)N(c3csc(C=O)n3)c3c(O)cccc3C(=O)O)cc2)c1N
hub_batching,8,14,8,3366,1,-4.1348,Nc1cccc(-c2ccc(NC(=O)N(c3csc(C=O)n3)c3c(O)cccc3C(=O)O)cc2)c1N
hub_batching,9,15,9,3366,1,-3.9618,Nc1cccc(-c2ccc(NC(=O)N(c3csc(C=O)n3)c3c(O)cccc3C(=O)O)cc2)c1N
hub_batching,10,16,10,3366,1,-3.8571,Nc1cccc(-c2ccc(NC(=O)N(c3csc(C=O)n3)c3c(O)cccc3C(=O)O)cc2)c1N
hub_batching,11,17,11,3366,1,-3.753,Nc1cccc(-c2ccc(NC(=O)N(c3csc(C=O)n3)c3c(O)cccc3C(=O)O)cc2)c1N
hub_batching,12,18,12,3366,1,-3.4837,Nc1cccc(-c2ccc(NC(=O)N(c3csc(C=O)n3)c3c(O)cccc3C(=O)O)cc2)c1N
hub_batching,13,19,13,3366,1,-2.6566,Nc1cccc(-c2ccc(NC(=O)N(c3csc(C=O)n3)c3c(O)cccc3C(=O)O)cc2)c1N
hub_batching,14,23,14,5091,4,-5.3741,Cc1cc(F)ccc1-c1cc(C2=NC(C(=O)O)Cc3c2[nH]c2ccccc32)cc(-c2cccc(N)c2C(=O)O)c1
hub_batching,15,24,15,5091,1,-5.2057,Cc1cc(F)ccc1-c1cc(C2=NC(C(=O)O)Cc3c2[nH]c2ccccc32)cc(-c2cccc(N)c2C(=O)O)c1
