strategy,step,cum_reactions,cum_modes,cum_reward_gen_calls,reactions_added,reward,source_hub
best_candidate,1,3,1,0,3,-12.7,O=C(O)C1Cc2c([nH]c3ccccc23)C(C2Cc3c([nH]c4ccccc34)C(c3cccnc3F)N2)=N1
best_candidate,2,6,2,0,3,-12.0,O=C(O)C1Cc2c([nH]c3ccccc23)C(C2Cc3c([nH]c4ccccc34)C(c3ccccc3)N2)=N1
best_candidate,3,10,3,0,4,-12.0,Nc1ccc(-c2cccc(C3NC(C(=O)Nc4ccc(Br)cc4N)Cc4c3[nH]c3ccccc43)c2)cc1N
best_candidate,4,14,4,0,4,-11.9,COc1ccc(CNC(=O)C2Cc3c([nH]c4ccccc34)C(C3Cc4c([nH]c5ccccc45)C(c4ccccc4)N3)=N2)cc1
best_candidate,5,17,5,0,3,-11.9,O=C(O)C1Cc2c([nH]c3ccccc23)C(c2cc(C(F)(F)F)ccc2-c2cccc(F)c2F)N1
best_candidate,6,21,6,0,4,-11.9,O=C(O)C1Cc2c([nH]c3ccccc23)C(c2cccc(-c3ccc(C(F)(F)F)cc3C3NCCc4c3[nH]c3ccccc43)c2)N1
best_candidate,7,25,7,0,4,-11.8,Fc1cncc(-c2cccc(C3NC(c4nc5cc(C(F)(F)F)ccc5[nH]4)Cc4c3[nH]c3ccccc43)c2)c1
best_candidate,8,28,8,0,3,-11.7,O=C(O)C(Cc1ccc(O)cc1)NCC1Cc2c([nH]c3ccccc23)C(c2ccccc2)N1
best_candidate,9,32,9,0,4,-11.6,N#Cc1cccc(-c2cc(-c3c[nH]cn3)cc(-c3nc4cc(F)ccc4o3)c2)c1
best_candidate,10,36,10,0,4,-11.6,N#Cc1ccc2[nH]c(C3Cc4c([nH]c5ccccc45)C(c4ccnc(-c5cccc(F)c5F)c4)N3)nc2c1
best_candidate,11,40,11,0,4,-11.6,c1ccc(C2NC(C3=NC(C4=NCCc5c4[nH]c4ccccc54)Cc4c3[nH]c3ccccc43)Cc3c2[nH]c2ccccc32)cc1
best_candidate,12,44,12,0,4,-11.6,O=C(N1CCc2c([nH]c3ccccc23)C1c1ccccc1)n1c(C2CCCCC2)nc2ccc(Br)cc21
best_candidate,13,48,13,0,4,-11.6,O=C(O)c1cccc2oc(C3Cc4c([nH]c5ccccc45)C(C4Cc5c([nH]c6ccccc56)C(c5ccccc5CCl)=N4)=N3)nc12
best_candidate,14,49,14,0,1,-11.5,O=C(O)C1Cc2c([nH]c3ccccc23)C(C2Cc3c([nH]c4ccccc34)C(c3ccccc3)N2)=N1
best_candidate,15,53,15,0,4,-11.4,CC(c1cccc(B(O)O)c1)N1CCc2c([nH]c3ccc(O)cc23)C1c1cc(C(F)(F)F)ccc1-c1cccc(F)c1F
best_candidate,16,57,16,0,4,-11.4,N#Cc1cccc(-c2ccc(C(F)(F)F)cc2C2c3ccccc3CCN2c2cnc3cccnn23)c1
best_candidate,17,61,17,0,4,-11.4,CC(=O)c1cccc(-c2cccc3nc(C4Cc5c([nH]c6ccccc56)C(c5ccccc5)N4)[nH]c23)c1
best_candidate,18,65,18,0,4,-11.4,c1ccc(C2NC(C3=NC(c4nc5ccccc5o4)Cc4c3[nH]c3ccccc43)Cc3c2[nH]c2ccccc32)cc1
best_candidate,19,68,19,0,3,-11.4,Oc1ccc2[nH]c3c(c2c1)CCN=C3C1Cc2c([nH]c3ccccc23)C(c2ccc(CCl)cc2)=N1
best_candidate,20,72,20,0,4,-11.4,N#Cc1cccc(-c2cccc3nc(C4Cc5c([nH]c6ccccc56)C(c5cccnc5F)N4)[nH]c23)c1
best_candidate,21,76,21,0,4,-11.4,Oc1ccc(CC(NCC2Cc3c([nH]c4ccccc34)C(c3ccccc3)N2)c2nc3cc(F)ccc3o2)cc1
best_candidate,22,80,22,0,4,-11.3,Nc1ccccc1CNc1cc(CN2C(C(=O)O)Cc3c([nH]c4ccccc34)C2c2ccccc2)ccc1N
best_candidate,23,83,23,0,3,-11.3,c1ccc(C2NC(C3=NCCc4c3[nH]c3ccccc43)Cc3c2[nH]c2ccccc32)cc1
best_candidate,24,87,24,0,4,-11.3,Fc1ccc2oc(C3Cc4ccccc4C(C4Cc5c([nH]c6ccccc56)C(c5ccccc5)N4)=N3)nc2c1
best_candidate,25,91,25,0,4,-11.3,Cc1cc(-c2cccc(C#N)c2)cnc1N(c1cc(Br)n[nH]1)c1nc2ccccc2[nH]1
best_candidate,26,95,26,0,4,-11.3,Fc1ccc2oc(C3Cc4c([nH]c5ccccc45)C(C4Cc5c([nH]c6ccccc56)C(c5ccc(CCl)cc5)=N4)=N3)nc2c1
best_candidate,27,98,27,0,3,-11.3,N#Cc1cccc(-c2ccc3[nH]cc(C4NCCc5c4[nH]c4ccc(O)cc54)c3c2)c1
best_candidate,28,102,28,0,4,-11.3,O=C(O)C1Cc2c([nH]c3ccccc23)C(c2ccccc2Cn2cnc(-c3cncc(F)c3)c2)=N1
best_candidate,29,106,29,0,4,-11.2,Nc1ccc(C(F)(F)F)cc1C1c2[nH]c3ccccc3c2CCN1c1nc2ccccc2[nH]1
best_candidate,30,110,30,0,4,-11.2,O=C(O)C1Cc2c([nH]c3ccccc23)C(c2cc(C(F)(F)F)ccc2-c2cn(CC3CCCCC3)nn2)N1
