strategy,step,cum_reactions,cum_modes,cum_reward_gen_calls,reactions_added,reward,source_hub
best_candidate,1,4,1,0,4,1.0,Brc1cccc(CN(CCCN2CCNCC2)C2CCC2)c1
best_candidate,2,8,2,0,4,1.0,CCCN1CCC(N2CCN(c3cccc(C=O)c3)CC2)CC1
best_candidate,3,12,3,0,4,1.0,CCCN1CCN(c2ccc(O)c(NCc3cccc(Br)c3)c2)CC1
best_candidate,4,16,4,0,4,1.0,CCCN1C(CN2CCNCC2)Cc2ccccc2C1CC
best_candidate,5,20,5,0,4,1.0,CCCN1CCN(c2cccc(CNCCc3ccccc3)c2)CC1
best_candidate,6,24,6,0,4,0.9967,CCCN1CCN(c2ccc(O)c(NC(C)CCl)c2)CC1
best_candidate,7,28,7,0,4,0.9966,CCCN1CCN(c2ncccc2NCc2cccc(O)c2)CC1
best_candidate,8,32,8,0,4,0.9965,CCCN1CCN(c2cc(F)ccc2C(CCl)N2CCC(C(=O)O)CC2)CC1
best_candidate,9,36,9,0,4,0.9964,CCC1NC(CN2CCN(c3ncccc3I)CC2)Cc2ccc(O)cc21
best_candidate,10,40,10,0,4,0.9958,CCC1c2ccccc2CC(CN2CCC(C(=O)O)CC2)N1C1CCC1
best_candidate,11,44,11,0,4,0.9946,CCCN1CC(N(Cc2c[nH]c3ccc(F)cc23)c2cc(Br)ccc2O)C1
best_candidate,12,47,12,0,3,0.9945,CCC1c2ccccc2CC(C(=O)O)N1C1CNC1
best_candidate,13,51,13,0,4,0.9942,c1ccc(CC(CN2CCN(c3c[nH]cn3)CC2)NC2CCC2)cc1
best_candidate,14,55,14,0,4,0.9942,NCCCN1CCC(N(CCO)CCc2c[nH]c3ccccc23)CC1
best_candidate,15,58,15,0,3,0.9942,CCC1c2ccccc2CCN1CCCN
best_candidate,16,62,16,0,4,0.994,CCC1NC(CN2CCC(CNc3cc(Br)ccc3O)CC2)Cc2ccccc21
best_candidate,17,66,17,0,4,0.994,CCCN1CCN(c2ncccc2Nc2cc(Br)ccc2O)CC1
best_candidate,18,70,18,0,4,0.9937,CCC1NC(CN2CCN(c3c[nH]cn3)CC2)Cc2ccccc21
best_candidate,19,74,19,0,4,0.9936,CCCN1CCCC1CN1CCN(c2cc(C(F)(F)F)ccc2C=O)CC1
best_candidate,20,77,20,0,3,0.9931,CCCN1C(C(=O)O)Cc2ccccc2C1CC
best_candidate,21,81,21,0,4,0.9928,Nc1cc(N2CCN(CC3CCCN3CCO)CC2)ccc1O
best_candidate,22,85,22,0,4,0.9927,CC(c1cccc(B(O)O)c1)N1CCC(N2CCN(c3ccc(O)c(N)c3)CC2)CC1
best_candidate,23,89,23,0,4,0.9923,CCCN1CCCC1CN1CCN(c2nccc(C=O)c2F)CC1
best_candidate,24,93,24,0,4,0.9921,CCCN1CCN(c2cccc(CN3CCNCC3)c2)CC1
best_candidate,25,97,25,0,4,0.9916,CCC1NC(CN2CCN(c3cnc(F)c(B(O)O)c3)CC2)Cc2ccccc21
best_candidate,26,101,26,0,4,0.9911,CCC1c2ccccc2CC(CN2CCNCC2)N1C1CCC1
best_candidate,27,105,27,0,4,0.9907,CCCNC(CS)CN1CCN(c2ccc(C#N)c(CBr)c2)CC1
best_candidate,28,109,28,0,4,0.9905,CC(C)C(CN1CCNCC1)N(Cc1cccc(Br)c1)C1CCC1
best_candidate,29,112,29,0,3,0.9902,CCCN(CC(N)Cc1ccccc1)C1CCCCC1O
best_candidate,30,116,30,0,4,0.99,O=Cc1cccc(N2CCN(CC3CCCN3CCO)CC2)c1
best_candidate,31,120,31,0,4,0.9899,CCCNc1cc(N2CCN(CCC)CC2)ccc1O
best_candidate,32,124,32,0,4,0.9899,OB(O)c1cc(CN2CCN(c3cccc(CN4CCNCC4)c3)CC2)ccc1F
best_candidate,33,128,33,0,4,0.9896,CCCN(C1CCC1)C(Cc1ccc(O)cc1)CN1CCNCC1
best_candidate,34,131,34,0,3,0.9893,CCC1NC(CNCc2cccc(O)c2)Cc2ccccc21
best_candidate,35,134,35,0,3,0.9888,NC(Cc1ccccc1)CN1CCN(c2cccc(C=O)c2)CC1
best_candidate,36,138,36,0,4,0.9887,CCC1NC(CN2CCN(c3cccnc3OC)CC2)Cc2ccccc21
best_candidate,37,142,37,0,4,0.9884,NC(CC1CCCCC1)CN1CCN(c2cccc(-c3nc4cc(Br)ccc4o3)c2)CC1
best_candidate,38,146,38,0,4,0.9884,CCCN1CCCC1CNC(CS)CNc1cc(Br)ccc1O
best_candidate,39,150,39,0,4,0.9882,CCC1c2ccccc2CC(CN2CCNCC2)N1C1CCNCC1
best_candidate,40,154,40,0,4,0.9876,CCCN1C(CN2CC(C(=O)O)C2)Cc2ccccc2C1CC
best_candidate,41,157,41,0,3,0.9874,O=C(O)C1CCCN1c1cc(F)ccc1C(CCl)NCc1cccc(O)c1
best_candidate,42,161,42,0,4,0.9873,CCC1NC(CN2CCN(c3cccnc3F)CC2)Cc2ccccc21
best_candidate,43,165,43,0,4,0.9871,CCCNC(CN1CCN(c2ccc(O)c(N)c2)CC1)C(C)C
best_candidate,44,169,44,0,4,0.9868,CCCN(C(CCC(N)=O)CN1CCNCC1)C(CCl)c1ccc(F)cc1F
best_candidate,45,173,45,0,4,0.9867,CCCN1CCC(N(Cc2cccc(Br)c2)c2ccccc2B(O)O)CC1
best_candidate,46,177,46,0,4,0.9866,Clc1ccccc1-c1cccc(CN2CCCC2CN2CCNCC2)c1
best_candidate,47,180,47,0,3,0.9866,Brc1cccc(CNC(CC2CCCCC2)CN2CCNCC2)c1
best_candidate,48,184,48,0,4,0.9865,CCCN1CCN(c2nccc(C3NC(C(=O)O)Cc4ccccc43)c2F)CC1
best_candidate,49,187,49,0,3,0.9864,Oc1ccc(Br)cc1NC1CCN(Cc2cccc(Br)c2)CC1
best_candidate,50,191,50,0,4,0.9864,CCCN1CCN(c2ccc(CNc3cc(Br)ccc3O)cc2B(O)O)CC1
best_candidate,51,195,51,0,4,0.9863,C=CCNC(CCl)c1ccc(F)cc1N1CCN(CCC)CC1
best_candidate,52,199,52,0,4,0.9861,Oc1ccc(Br)cc1N(CCCN1CCNCC1)CC1CCNCC1
best_candidate,53,203,53,0,4,0.9858,CCC1c2cc(O)ccc2CC(CN2CC(C(=O)O)C2)N1C1CCC1
best_candidate,54,207,54,0,4,0.9857,O=Cc1cccc(N2CCN(C3CCN(Cc4cc[nH]n4)CC3)CC2)c1
best_candidate,55,211,55,0,4,0.9853,CCCN1CCN(c2ccc3oc(C(N)CCCCN)nc3c2)CC1
best_candidate,56,215,56,0,4,0.9852,CCCN1CCN(c2cccc(N)c2NCc2ccc(C(=O)O)cc2)CC1
best_candidate,57,219,57,0,4,0.9851,CCCN1CCN(c2c(-c3nc4cc(Br)ccc4o3)ccc(F)c2F)CC1
best_candidate,58,223,58,0,4,0.9847,CCC1NC(CN2CCN(c3nc(Br)cs3)CC2)Cc2ccccc21
best_candidate,59,227,59,0,4,0.9846,NC(Cc1ccccc1)CN1CCC(N(Cc2cc[nH]n2)c2cc(Br)ccc2O)CC1
best_candidate,60,231,60,0,4,0.9842,C=CCN(CCC)CC1Cc2ccccc2C(CC)N1
best_candidate,61,235,61,0,4,0.9841,NC(CS)CNc1cc(N2CCN(Cc3cccc(Br)c3)CC2)ccc1O
best_candidate,62,239,62,0,4,0.984,CCCN(c1cc(Br)ccc1O)C1CCN(CC(N)CS)CC1
best_candidate,63,243,63,0,4,0.9833,C=CCN(Cc1cccc(Br)c1)CC1Cc2ccccc2C(CC)N1
best_candidate,64,247,64,0,4,0.983,CCCNc1cc(N2CCN(Cc3cc[nH]n3)CC2)ccc1O
best_candidate,65,251,65,0,4,0.9823,CN1CCCC(Cn2cnc(-c3cc(CN4CCNCC4)ccc3F)c2)C1
best_candidate,66,255,66,0,4,0.9822,C=CCN(CCC)Cc1cccc(N2CCNCC2)c1
best_candidate,67,259,67,0,4,0.982,CCCN1CCC(N2CCN(c3ncc(Br)cc3B(O)O)CC2)CC1
best_candidate,68,263,68,0,4,0.9814,NC(=O)CC(CN1CCN(c2ccc(O)c(N)c2)CC1)NC1CCNCC1
best_candidate,69,267,69,0,4,0.9814,Oc1ccc(Br)cc1N(C1CCNCC1)C(CBr)CN1CCNCC1
best_candidate,70,268,70,0,1,0.981,CCCN1C(CN2CC(C(=O)O)C2)Cc2ccccc2C1CC
best_candidate,71,271,71,0,3,0.9801,CCC1c2ccccc2CC(C(=O)O)N1C(CCl)c1ccc(F)cc1F
best_candidate,72,275,72,0,4,0.98,CCC1NC(CN2CCN(c3ncc(Br)cc3B(O)O)CC2)Cc2ccccc21
best_candidate,73,279,73,0,4,0.9797,C=CCN(C1CCN(CCC=O)CC1)C(CCl)c1ccc(F)cc1F
best_candidate,74,283,74,0,4,0.9792,O=C(CCl)c1ccc(F)cc1N1CCN(Cc2cccc(-c3ccccc3Cl)c2)CC1
best_candidate,75,287,75,0,4,0.9774,CCCN1CCN(c2nccc(C3NC(C(=O)O)Cc4ccc(O)cc43)c2F)CC1
best_candidate,76,290,76,0,3,0.9766,Oc1cccc(CNCc2ccc(F)c(F)c2N2CCNCC2)c1
best_candidate,77,294,77,0,4,0.9766,CCCN1CCN(c2ccccc2CNc2cc(S(=O)(=O)F)ccc2C)CC1
best_candidate,78,297,78,0,3,0.9766,O=C1CCN(CC2Cc3ccccc3C(c3c[nH]c4ccc(F)cc34)N2)CC1
best_candidate,79,300,79,0,3,0.9764,c1ccc(CC(CN2CCNCC2)NC2CCNCC2)cc1
best_candidate,80,303,80,0,3,0.9763,Ic1cccnc1N1CCN(C2CCNCC2)CC1
best_candidate,81,306,81,0,3,0.9756,NC(CS)CN1CCC(NCc2cccc(O)c2)CC1
best_candidate,82,310,82,0,4,0.9756,CCCNC(CC(N)=O)CN1CCC(c2nc3cc(Br)ccc3o2)CC1
best_candidate,83,313,83,0,3,0.9755,CCc1ccccc1Cn1cnc(N2CCNCC2)c1
best_candidate,84,317,84,0,4,0.9746,O=C(O)CCN1CC(N(Cc2cccc(Br)c2)C2CCCCC2)C1
best_candidate,85,321,85,0,4,0.9744,N#Cc1ccc(N(C2CCNCC2)C(CS)CN2CCC(C(=O)O)CC2)cc1
best_candidate,86,325,86,0,4,0.9743,OB(O)c1ccccc1NC1CN(C2CCN(Cc3cccc(Br)c3)CC2)C1
best_candidate,87,329,87,0,4,0.9742,Nc1cc(N2CCN(CC3CN(CCC(N)C(=O)O)C3)CC2)ccc1O
best_candidate,88,333,88,0,4,0.9741,CCCNc1cc(N2CCN(CC(N)CS)CC2)ccc1O
best_candidate,89,337,89,0,4,0.9739,CCCN(CC1Cc2ccccc2C(c2cccc(Br)c2)N1)C1CCCCC1
best_candidate,90,341,90,0,4,0.9738,CCCN(Cc1ccc(C(F)(F)F)c(F)c1)C(CS)CN1CCNCC1
best_candidate,91,345,91,0,4,0.9735,CCCNCc1cccc(OC(=O)C2CCN2CCO)c1
best_candidate,92,349,92,0,4,0.9734,O=C(O)c1ccc(CN2CCC(N3CCN(c4c[nH]cn4)CC3)CC2)cc1
best_candidate,93,352,93,0,3,0.9733,NC(CC1CCCCC1)CN1CCN(c2ccc3[nH]cc(C=O)c3c2)CC1
best_candidate,94,356,94,0,4,0.9732,C=CCNCC1Cc2ccccc2C(CC)N1CCC
best_candidate,95,360,95,0,4,0.973,CCCN(C1CCN(Cc2cccc(Br)c2)CC1)C(CC(N)=O)C(=O)O
best_candidate,96,364,96,0,4,0.9726,C=CCN(CCC)C1CCN(c2ccc(O)c(N)c2)CC1
best_candidate,97,368,97,0,4,0.9725,CCCN(CCCNCc1ccc(C(=O)O)cc1)C1CCCCC1O
best_candidate,98,372,98,0,4,0.9725,CCCNC(CCCCN)CN(CCC)c1cc(Br)ccc1O
best_candidate,99,376,99,0,4,0.9722,CCCNC(CCCN1CC(C(=O)O)C1)CNc1cc(Br)ccc1O
best_candidate,100,380,100,0,4,0.9718,OCCN(CCCNC1CCCCC1O)CCc1c[nH]c2ccccc12
best_candidate,101,384,101,0,4,0.9715,CCCN1CCCC1CN(CCCCC(N)C(=O)O)c1cccc(C=O)c1
best_candidate,102,388,102,0,4,0.971,C=CCNC1CCN(Cc2cccc(-c3ccc(N)cc3)c2)CC1
best_candidate,103,392,103,0,4,0.9709,CCCN1CCC(N(CC(N)CS)c2cc(Br)ccc2O)CC1
best_candidate,104,396,104,0,4,0.9709,CCCNC(CCC(N)=O)CN1CCN(c2ncccc2I)CC1
best_candidate,105,400,105,0,4,0.9706,C=CCN(CCNc1cc(Br)ccc1O)CC(N)Cc1ccccc1
best_candidate,106,404,106,0,4,0.9705,O=C(O)CCN1C(CN2CCNCC2)Cc2ccccc2C1c1c[nH]c2ccc(F)cc12
best_candidate,107,408,107,0,4,0.9704,CCCN(CC1CCCN1)c1ccccc1-c1cc(N)cc(C#N)c1
best_candidate,108,412,108,0,4,0.9694,CCCN1CCN(c2cc(CN3CC(C(=O)O)C3)cc(B(O)O)c2)CC1
best_candidate,109,416,109,0,4,0.9694,O=Cc1ccnc(N2CCN(CC(CS)NC3CCNCC3)CC2)c1
best_candidate,110,420,110,0,4,0.9685,CCCN(CC1CCCN1CCC)c1ccccc1B(O)O
best_candidate,111,424,111,0,4,0.9685,Oc1cccc(CNCCCNC2CCN(c3nc(Br)cs3)CC2)c1
best_candidate,112,428,112,0,4,0.9685,CCCN1CCN(c2cn(CC(=O)c3ccc(F)cc3F)cn2)CC1
best_candidate,113,432,113,0,4,0.9683,O=C(O)c1ccc(CNCCCN2CCN(c3ncccc3I)CC2)cc1
best_candidate,114,436,114,0,4,0.9677,CCCN1CCN(c2cnc(F)c(-c3cccc(C=O)c3)c2)CC1
best_candidate,115,440,115,0,4,0.9676,CCCNC(CN1CCN(c2c[nH]cn2)CC1)C(C)C
best_candidate,116,444,116,0,4,0.9673,Cc1c[nH]c(-c2cc(CN3CCN(c4cc(F)ccc4C(=O)CCl)CC3)ccc2F)n1
best_candidate,117,448,117,0,4,0.9669,CCC1c2ccccc2CC(C(=O)O)N1C1CCN(CC(N)CS)CC1
best_candidate,118,452,118,0,4,0.9669,OCCN1CCCC1CN1CCN(c2csc(Br)n2)CC1
