strategy,step,cum_reactions,cum_modes,cum_reward_gen_calls,reactions_added,reward,source_hub
best_candidate,1,4,1,0,4,7.3586,O=Cc1c[nH]c2ccc(-c3nnn(CC(=O)c4ccc(N5CCC5C5=NCCc6ccccc65)cc4)n3)cc12
best_candidate,2,8,2,0,4,7.2929,C#CCNC(=O)c1ccc2oc(-c3ccc4oc(-c5cccc(F)c5F)nc4c3)nc2c1
best_candidate,3,12,3,0,4,7.2484,Nc1cc(-c2nnn(CC3CC3)n2)ccc1NC(Cn1nnc(-c2ccc3[nH]cc(C=O)c3c2)n1)c1ccc(F)cc1
best_candidate,4,16,4,0,4,7.2123,C#CCNC(=O)c1ccc2oc(-c3ccc4nc(-c5ncccc5C(F)(F)F)oc4c3)nc2c1
best_candidate,5,20,5,0,4,7.2088,N#Cc1cccc(C(=O)Cn2nnc(-c3ccc(-c4cc(NC(=O)C5CCN5)[nH]n4)cc3F)n2)c1
best_candidate,6,24,6,0,4,7.0863,O=C1Cc2ccc(C(=O)Cn3cc(CCNC(=O)c4ccc5oc(-c6ccccn6)nc5c4)c4ccccc43)cc2N1
best_candidate,7,28,7,0,4,7.065,O=C(Nc1cc(Br)n[nH]1)c1ccc2oc(-c3ccc4oc(-c5ccncc5)nc4c3)nc2c1
best_candidate,8,32,8,0,4,7.0646,Nc1ccc(-c2cccc(-c3nc4cc(-c5cccnc5)ccc4[nH]3)c2)cc1N
best_candidate,9,36,9,0,4,7.0637,N#Cc1ccc(COCC2CCCN(C(=O)Nc3cc(-c4cccnc4)n[nH]3)C2)c(F)c1
best_candidate,10,40,10,0,4,6.9736,CCC(Nc1nnnn1-c1cccc(C(=O)O)c1)c1nc2cc(C(=O)NCCc3ccccc3OC)ccc2o1
best_candidate,11,44,11,0,4,6.9558,C#CCNC(=O)c1ccc2oc(-c3ccc4nc(-c5cccnc5)oc4c3)nc2c1
best_candidate,12,47,12,0,3,6.9451,O=C(O)c1ccc2oc(-c3ccc4oc(-c5cc(C(F)(F)F)ccn5)nc4c3)nc2c1
best_candidate,13,51,13,0,4,6.9442,Nc1ccc(-c2ccc(-c3nnn(CC(=O)O)n3)c(F)c2)cc1NCc1cccc(Br)c1
best_candidate,14,55,14,0,4,6.9342,O=C(O)c1ccc2oc(-c3ccc(-c4nc5ccc(-c6cccnc6)cc5[nH]4)cc3)nc2c1
best_candidate,15,59,15,0,4,6.9235,CC1(C)OB(c2ccc(NCc3ccc4oc(-c5ccc6oc(-c7ccncc7F)nc6c5)nc4c3)nc2)OC1(C)C
best_candidate,16,63,16,0,4,6.8875,Nc1ccc(-c2ccc(F)c(C(=O)Nc3cc(-c4cccnc4)n[nH]3)c2)cc1N
best_candidate,17,67,17,0,4,6.8764,O=C(O)c1ccc2oc(-c3nc(-c4ccc(NCc5ccccn5)nc4)cs3)nc2c1
best_candidate,18,71,18,0,4,6.8564,O=C(Nc1cc(-c2cccnc2)n[nH]1)c1cccc(-c2c[nH]cn2)c1
best_candidate,19,75,19,0,4,6.7985,O=c1cc(Cn2nnnc2-c2ccc(-c3ccc4[nH]c(-c5cccc(B(O)O)c5)nc4c3)cc2F)c2ccccc2[nH]1
best_candidate,20,79,20,0,4,6.797,Nc1ccc(-c2cccnc2)cc1NCc1ccccc1-c1nc2cc(C(=O)O)ccc2o1
best_candidate,21,83,21,0,4,6.782,COc1ccc(Cn2nnc(-c3ccc(NCCc4c[nH]c5ccccc45)cc3COCC3CNC3)n2)cc1
best_candidate,22,87,22,0,4,6.764,N#Cc1ccc(-c2csc(-c3cc(-c4cccnc4)cnc3F)n2)cc1F
best_candidate,23,91,23,0,4,6.7601,Fc1cc(-c2c[nH]cn2)ccc1-c1nnn(CC(NCCc2c[nH]c3ccccc23)c2ccccc2)n1
best_candidate,24,95,24,0,4,6.7584,Nc1ccc(Br)cc1NC(=O)C1CCN1C(=O)c1ccc2oc(-c3ccncc3F)nc2c1
best_candidate,25,99,25,0,4,6.757,O=C(c1cccc(B(O)O)c1)N1CC(c2nc3cc(-c4cccnc4)ccc3o2)C1
best_candidate,26,103,26,0,4,6.7287,O=C(O)c1ccc2nc(-c3nc(-c4cc(-c5cccnc5)cnc4F)cs3)oc2c1
best_candidate,27,107,27,0,4,6.7152,O=C(NCCc1c[nH]c2ccccc12)c1cccc(-c2c[nH]nc2NC(=O)c2ccc(S(=O)(=O)F)cc2)c1
best_candidate,28,111,28,0,4,6.7015,COc1ccc(Cn2nnc(-c3ccc(-c4nc(C)c(C(=O)NCCc5c[nH]c6ccccc56)s4)cn3)n2)cc1
best_candidate,29,115,29,0,4,6.6894,C#CCNC(=O)c1sc(-c2ccc(-c3nnn(CC(=O)c4ccc5c(c4)NC(=O)C5)n3)c(F)c2)nc1C
best_candidate,30,119,30,0,4,6.684,O=C(c1ccc2oc(-c3ccccc3-c3cccnc3)nc2c1)N1CCCC(O)C1
best_candidate,31,123,31,0,4,6.6817,CCC(NCc1ccc2oc(-c3ccc4oc(-c5cccc(N=C=S)c5)nc4c3)nc2c1)C(=O)O
best_candidate,32,127,32,0,4,6.6785,O=C(NCCc1c[nH]c2ccccc12)c1cc(-c2ccc3[nH]c(-c4ccccn4)nc3c2)ccc1F
best_candidate,33,131,33,0,4,6.6601,N#Cc1ccc(F)cc1COCC1CCCN(C(=O)c2ccc3oc(-c4cccnc4)nc3c2)C1
best_candidate,34,135,34,0,4,6.6549,Cc1cc(-c2ccc(N)nc2)cnc1NCc1nc(-c2cccnc2)cs1
best_candidate,35,139,35,0,4,6.6523,N#Cc1ccc2[nH]c(-c3ccc4oc(C5CCN5c5ccccn5)nc4c3)nc2c1
best_candidate,36,143,36,0,4,6.6505,N#Cc1cccc(C(=O)Cn2nnnc2-c2ccc(NC(=O)C3CCN3)c(NCc3cc(C(F)(F)F)ccn3)c2)c1
best_candidate,37,147,37,0,4,6.6503,N#Cc1ccc(F)cc1Cn1nnc(-c2ccc(-c3ccc4nc(-c5ccc(S(=O)(=O)F)cc5)[nH]c4c3)cc2F)n1
best_candidate,38,151,38,0,4,6.6495,O=C(O)c1ccc2oc(-c3ccc(-c4cccc(CNCCc5c[nH]c6ccccc56)c4)cc3)nc2c1
best_candidate,39,155,39,0,4,6.6453,CC(c1cccc(-c2cc(NC(=O)c3ccccn3)[nH]n2)c1)N1CCCC(O)C1
best_candidate,40,159,40,0,4,6.6172,COc1ccc(Cn2nnc(-c3ccc4nc(-c5ccc6oc(-c7c[nH]c8ccc(C#N)cc78)nc6c5)[nH]c4c3)n2)cc1
best_candidate,41,163,41,0,4,6.6129,C#CCNC(=O)c1ccc2oc(-c3ccc4oc(-c5cc(C(F)(F)F)ccn5)nc4c3)nc2c1
best_candidate,42,167,42,0,4,6.5998,Nc1cc(-c2nc3cc(CNc4cc(-c5cccnc5)n[nH]4)ccc3o2)ccc1O
best_candidate,43,171,43,0,4,6.5961,O=C(Nc1ccc(-c2c[nH]cn2)cn1)c1ccc2nc(-c3cc(C(F)(F)F)ccn3)oc2c1
best_candidate,44,175,44,0,4,6.5957,Nc1ccc(-c2ccc(F)c(-c3nc4cc(-c5ccc(O)cc5)ccc4o3)c2)cc1N
best_candidate,45,179,45,0,4,6.5873,COc1cncc(-c2ccc(N)c(NCc3cccc(-c4ccc(C#N)nc4)c3)c2)c1
best_candidate,46,183,46,0,4,6.5863,COc1ccc(Cn2nnc(-c3ccc(-c4cnc(F)c(-c5ccc(N)c(N)c5)c4)cc3F)n2)cc1
best_candidate,47,187,47,0,4,6.5821,Nc1ccc(Br)cc1NC(=O)Nc1ccc(-c2csc(NC3CC3)n2)cn1
best_candidate,48,191,48,0,4,6.5717,CCn1cc(CCNc2ccc(C(=O)Cn3nnc(-c4ccc5[nH]cc(C=O)c5c4)n3)c(F)c2)c2ccccc21
