strategy,step,cum_reactions,cum_modes,cum_reward_gen_calls,reactions_added,reward,source_hub
hub_batching,1,4,1,157,4,7.4306,C#CCNC(=O)c1ccc2oc(-c3ccc4nc(-c5ncccc5C(F)(F)F)oc4c3)nc2c1
hub_batching,2,8,2,314,4,7.1388,C#CCNC(=O)c1ccc2oc(-c3ccc4oc(-c5cccc(F)c5F)nc4c3)nc2c1
hub_batching,3,12,3,1410,4,7.5382,O=C(O)c1ccc2oc(-c3nc(-c4ccc(NCc5ccccn5)nc4)cs3)nc2c1
hub_batching,4,15,4,1884,3,7.1854,O=C(O)c1ccc2oc(-c3ccc4oc(-c5cc(C(F)(F)F)ccn5)nc4c3)nc2c1
hub_batching,5,19,5,5893,4,7.3143,O=C1Cc2ccc(C(=O)Cn3cc(CCNC(=O)c4ccc5oc(-c6ccccn6)nc5c4)c4ccccc43)cc2N1
hub_batching,6,23,6,6306,4,7.5238,O=Cc1c[nH]c2ccc(-c3nnn(CC(=O)c4ccc(N5CCC5C5=NCCc6ccccc65)cc4)n3)cc12
hub_batching,7,26,7,7293,3,7.708,Nc1cc(C(=O)Nc2cc(-c3cccnc3)n[nH]2)ccc1O
hub_batching,8,27,8,7293,1,7.4602,Nc1cc(C(=O)Nc2cc(-c3cccnc3)n[nH]2)ccc1O
hub_batching,9,31,9,9268,4,7.2858,Nc1ccc(-c2cccnc2)cc1NCc1ccccc1-c1nc2cc(C(=O)O)ccc2o1
hub_batching,10,35,10,10031,4,7.3121,Fc1cc(-c2c[nH]cn2)ccc1-c1nnn(CC(NCCc2c[nH]c3ccccc23)c2ccccc2)n1
hub_batching,11,39,11,10505,4,7.3298,O=C(O)c1ccc2oc(-c3ccc4oc(-c5ccccc5-c5cccnc5)nc4c3)nc2c1
hub_batching,12,43,12,11600,4,7.2273,Nc1ccc(Br)cc1NC(=O)C1CCN1C(=O)c1ccc2oc(-c3ccncc3F)nc2c1
hub_batching,13,47,13,13881,4,7.8441,Nc1ccc(-c2cccc(-c3nc4cc(-c5cccnc5)ccc4[nH]3)c2)cc1N
hub_batching,14,48,14,13881,1,7.7995,Nc1ccc(-c2cccc(-c3nc4cc(-c5cccnc5)ccc4[nH]3)c2)cc1N
hub_batching,15,49,15,13881,1,7.2595,Nc1ccc(-c2cccc(-c3nc4cc(-c5cccnc5)ccc4[nH]3)c2)cc1N
