strategy,step,cum_reactions,cum_modes,cum_reward_gen_calls,reactions_added,reward,source_hub
best_candidate,1,3,1,0,3,-6.2988,NC(Cc1ccc(O)cc1)C(=O)NC1(C2=NC(C(=O)O)Cc3ccccc32)CCC1
best_candidate,2,6,2,0,3,-6.1197,Cc1cc(Nc2c(O)cccc2C(=O)NC(C(=O)O)C(C)O)cnc1N
best_candidate,3,9,3,0,3,-5.744,NC1(C2=NC(c3nc4ccc(C(=O)O)cc4[nH]3)Cc3ccc([N+](=O)[O-])cc32)CCC1
best_candidate,4,12,4,0,3,-5.6338,Nc1cc(CNC2(C3=NC(C(=O)O)Cc4c3[nH]c3ccccc43)CCC2)ccc1O
best_candidate,5,15,5,0,3,-5.6226,Nc1c(F)cccc1C(=O)NC1(C(=O)NC(Cc2ccccc2)C(=O)O)CCC1
best_candidate,6,18,6,0,3,-5.5338,COc1ccccc1CNc1cc(C(=O)N2CC(C(=O)O)C2)ccc1N
best_candidate,7,21,7,0,3,-5.3786,Nc1cc(C(=O)Oc2cccc(C(=O)O)c2N)ccc1NCc1ccncc1
best_candidate,8,24,8,0,3,-5.3636,CC(O)C(NCc1ccc(N)c(Nc2cc(F)ccc2O)c1)C(=O)O
best_candidate,9,27,9,0,3,-5.3627,NC(=O)CCC(CNC(C(=O)O)c1ccccc1)NC(=O)c1ccc(N)c(N)c1
best_candidate,10,29,10,0,2,-5.2864,O=C(O)c1ccccc1NCC1CCNCC1
best_candidate,11,32,11,0,3,-5.2818,Nc1ccc(C(=O)NC(C(=O)Nc2cc(C(=O)O)ccc2O)c2ccccc2)cc1N
best_candidate,12,35,12,0,3,-5.2776,Nc1ccccc1CNC(Cc1ccccc1)C(=O)Nc1ccccc1C(=O)O
best_candidate,13,38,13,0,3,-5.2694,Nc1ccc(CNc2cccc(Nc3c(F)cccc3C(=O)O)c2O)cc1O
best_candidate,14,41,14,0,3,-5.2693,Nc1cc(CNc2ccc(C(=O)O)cc2O)ccc1Nc1ccc(C(F)(F)F)cn1
best_candidate,15,44,15,0,3,-5.2415,Nc1cc(C(=O)OCc2ccc([N+](=O)[O-])c(F)c2)ccc1NCc1c[nH]c2ccc(F)cc12
best_candidate,16,47,16,0,3,-5.2267,Cc1cc(N(C(=O)Nc2ccc(C(=O)O)cc2N)c2ccncc2C=O)cnc1N
best_candidate,17,50,17,0,3,-5.1975,CCC(C)C(NCC(N)Cc1ccc(O)cc1)c1nc2ccc(C(=O)O)cc2[nH]1
best_candidate,18,53,18,0,3,-5.1856,Nc1cc(C(F)(F)F)ccc1NC(=O)NC1(c2nc3ccc(C(=O)O)cc3o2)CCC1
best_candidate,19,56,19,0,3,-5.1509,Nc1ccc(CNc2c(F)cccc2C(=O)O)cc1NC1(C(=O)O)CCC1
best_candidate,20,59,20,0,3,-5.1411,NC(CNc1cc(C(=O)NC(CS)C(=O)O)ccc1O)Cc1c[nH]c2ccccc12
best_candidate,21,62,21,0,3,-5.1405,Nc1cc(C(=O)O)ccc1NCc1ccc(Nc2cncc(C=O)c2)c(N)c1
best_candidate,22,65,22,0,3,-5.1305,Nc1c(F)cccc1C(=O)NCCc1nc2c(C(=O)O)cccc2o1
best_candidate,23,68,23,0,3,-5.1291,NC(Cc1ccc(O)cc1)C(=O)NC(Cc1ccc([N+](=O)[O-])cc1)c1nc2ccc(C(=O)O)cc2o1
best_candidate,24,69,24,0,1,-5.1255,Nc1c(F)cccc1C(=O)NC1(C(=O)NC(Cc2ccccc2)C(=O)O)CCC1
best_candidate,25,72,25,0,3,-5.125,Nc1cc(C(=O)O)ccc1NC(=O)N(c1cc(F)ccc1O)c1nc(F)ccc1N
best_candidate,26,75,26,0,3,-5.1212,NC(=O)CC(N)CNc1cccc(Nc2ccccc2C(=O)O)c1O
best_candidate,27,78,27,0,3,-5.1029,CCC(NC(=O)C(CC(C)C)NC(=O)c1cccc(O)c1N)C(=O)O
best_candidate,28,81,28,0,3,-5.0891,Nc1cc(-c2nc3cc(F)c(F)cc3o2)ccc1NC(=O)C(N)Cc1ccccc1
best_candidate,29,84,29,0,3,-5.0886,NC(Cc1ccc(OC(=O)c2ccc3nc(C4(N)CCC4)oc3c2)cc1)C(=O)O
best_candidate,30,87,30,0,3,-5.0575,Nc1ccc(C(=O)N2CCCC(O)C2)cc1NCCc1ccccc1
best_candidate,31,90,31,0,3,-5.0545,Nc1cc(NC(CNC(Cc2ccc(O)cc2)C(=O)O)Cc2ccc(O)cc2)n[nH]1
best_candidate,32,93,32,0,3,-5.0535,Nc1ccc(C(=O)Oc2ccc(C(=O)O)cc2N)cc1Nc1ccncc1C=O
best_candidate,33,96,33,0,3,-5.046,NC(CS)C1=NC(C2=NC(C(=O)O)Cc3ccccc32)Cc2ccccc21
best_candidate,34,99,34,0,3,-5.0377,Nc1ccc(CNC(CO)C(=O)O)cc1NC1(C(=O)O)CCC1
best_candidate,35,102,35,0,3,-5.035,Nc1cc(C(=O)NCc2c[nH]c3ccccc23)ccc1NCc1ccccc1
best_candidate,36,105,36,0,3,-5.0289,Nc1cc(C(=O)Oc2ccc(C(=O)CCl)cc2O)ccc1Nc1cc(C=O)ccn1
best_candidate,37,108,37,0,3,-5.0105,Cc1cc(NC(Cc2c[nH]cn2)C(=O)Nc2ccc(C(F)(F)F)cc2N)cnc1N
best_candidate,38,111,38,0,3,-5.0048,NC(CNc1cc(C(=O)O)ccc1NC(=O)N1CC(=O)C1)c1ccccc1
best_candidate,39,114,39,0,3,-4.9954,Nc1ccc(C(=O)NC2(CNc3c(F)cccc3C(=O)O)CCC2)cc1N
best_candidate,40,117,40,0,3,-4.9864,CC(C)CNc1cc(CNc2cc(C(=O)O)ccc2O)ccc1N
best_candidate,41,120,41,0,3,-4.9802,CC(C)CC(NCC(N)Cc1ccccc1)C(=O)NC(C(=O)O)c1ccccc1
best_candidate,42,123,42,0,3,-4.979,Nc1ccc(CNC(C(=O)O)c2ccccc2)cc1Nc1cc(F)ccc1O
best_candidate,43,126,43,0,3,-4.9789,Nc1ccc(C(=O)NC2(C3=NC(C(=O)O)Cc4ccccc43)CCC2)cc1N
best_candidate,44,129,44,0,3,-4.978,Nc1cc(CNc2cc(C(=O)O)ccc2O)ccc1Nc1nccc(C=O)c1F
best_candidate,45,132,45,0,3,-4.9734,NC(Cc1c[nH]cn1)C(=O)NC(CNc1c(F)cccc1C(=O)O)c1ccccc1
best_candidate,46,135,46,0,3,-4.9723,Nc1cc(C(=O)NC(Cc2c[nH]c3ccccc23)C(=O)O)ccc1Nc1ccc(C(=O)O)c(F)c1F
best_candidate,47,138,47,0,3,-4.9688,Nc1cc(C(=O)Oc2cccc(C(=O)O)c2N)ccc1Nc1ccccn1
best_candidate,48,141,48,0,3,-4.9665,Nc1cc(C(=O)O)ccc1NCc1ccc(N)c(Nc2cc(F)ccc2O)c1
best_candidate,49,144,49,0,3,-4.9587,NC1(C(=O)Nc2ccc(C(=O)O)cc2NC(=O)Nc2ccc(C(F)(F)F)cc2)CCC1
best_candidate,50,147,50,0,3,-4.9418,NC(=O)CC(NC(=O)c1ccc(O)c(N)c1)C(=O)Nc1cc(C(=O)O)ccc1O
best_candidate,51,150,51,0,3,-4.9361,NC(=O)CC(CNC(C(=O)O)c1ccccc1)NC(=O)c1ccc(O)c(N)c1
best_candidate,52,153,52,0,3,-4.9218,Nc1cc(C(=O)Nc2c(F)cccc2C(=O)O)ccc1Nc1ccc([N+](=O)[O-])c2ncccc12
best_candidate,53,156,53,0,3,-4.9193,O=Cc1c[nH]c2ccc(Nc3ccc(C(=O)O)cc3Nc3nc4ccccc4[nH]3)cc12
best_candidate,54,159,54,0,3,-4.9058,Nc1cc(C(=O)NC(Cc2c[nH]c3ccccc23)C(=O)O)ccc1Nc1ccc2[nH]cc(C=O)c2c1
best_candidate,55,162,55,0,3,-4.9047,O=C(Nc1cc(F)c(F)cc1O)Nc1cc(C(=O)O)ccc1NC(=O)N1CCCCC1
