strategy,step,cum_reactions,cum_modes,cum_reward_gen_calls,reactions_added,reward,source_hub
best_candidate,1,3,1,0,3,-10.5,N=C(N)NCCCC(NCc1ccc(C(F)(F)F)cc1F)C1=NC(C(=O)O)Cc2ccc([N+](=O)[O-])cc21
best_candidate,2,6,2,0,3,-10.4,Nc1nc(N(C(=O)NCCc2c[nH]c3ccc(O)cc23)C(C(=O)O)c2ccccc2)nc2[nH]cnc12
best_candidate,3,9,3,0,3,-10.3,N=C(N)NCCCC(CN1Cc2ccccc2CC1C(=O)O)Nc1ccc(C(F)(F)F)cc1C=O
best_candidate,4,12,4,0,3,-10.2,Nc1nc(N(C(=O)Nc2cccc(C(F)(F)F)c2)c2ccccc2C(=O)O)nc2[nH]cnc12
best_candidate,5,15,5,0,3,-10.2,CC(NC(=O)NCCCNC(Cc1ccc(O)cc1)C(=O)O)c1ccccc1
best_candidate,6,18,6,0,3,-10.2,O=C(O)C(CO)N(Cc1ccc(C(F)(F)F)cc1)C(=O)Nc1cccc(C(F)(F)F)c1
best_candidate,7,21,7,0,3,-10.1,Nc1ccc(F)nc1N(C(=O)Nc1ccc(C(F)(F)F)cc1)C(CC1CCCCC1)C(=O)O
best_candidate,8,24,8,0,3,-10.1,Nc1nc(NC(C(=O)NC(C(=O)O)c2ccccc2)c2ccccc2)cs1
best_candidate,9,27,9,0,3,-10.1,NC(=O)CCC(Nc1nc(NC(=O)NCc2ccc(C(F)(F)F)cc2)c2nc[nH]c2n1)C(=O)O
best_candidate,10,30,10,0,3,-10.0,Nc1nc(N(C(=O)NCCc2c[nH]c3ccccc23)C(Cc2cccs2)C(=O)O)nc2[nH]cnc12
best_candidate,11,33,11,0,3,-10.0,Nc1nc(NC(C(=O)NC(Cc2c[nH]c3ccccc23)C(=O)O)c2ccccc2)nc2[nH]cnc12
best_candidate,12,36,12,0,3,-10.0,Nc1nc(N(C(=O)NCc2c[nH]c3ccccc23)C(C(=O)O)c2ccccc2)nc2[nH]cnc12
best_candidate,13,39,13,0,3,-9.9,O=C(O)C(Cc1c[nH]c2ccccc12)N(C(=O)NCCc1ccccc1)c1nnnn1C1CC1
best_candidate,14,42,14,0,3,-9.9,Nc1cc(CNc2c(O)cccc2CN2Cc3ccccc3CC2C(=O)O)ccc1O
best_candidate,15,45,15,0,3,-9.9,O=C(O)CCC(Nc1nc(F)ccc1NC(=O)Nc1ccnc2ccccc12)C(=O)O
best_candidate,16,48,16,0,3,-9.9,Nc1ccc(CNC2(C3=NC(C(=O)O)Cc4ccc(O)cc43)CCC2)cc1N
best_candidate,17,51,17,0,3,-9.9,Nc1nc(Nc2c(O)cccc2C2=NC(C(=O)O)Cc3ccccc32)nc2[nH]cnc12
best_candidate,18,54,18,0,3,-9.9,NC(CS)CN(C(=O)Nc1cccc(C(F)(F)F)c1)c1c(O)cccc1C(=O)O
best_candidate,19,57,19,0,3,-9.8,NC(CC1CCCCC1)CN(C(=O)Nc1cccc(C(F)(F)F)c1)C1(C(=O)O)CCC1
best_candidate,20,60,20,0,3,-9.8,Nc1ccc(F)nc1N(C(=O)Nc1ccccc1C(=O)O)C1(C(=O)O)CCC1
best_candidate,21,63,21,0,3,-9.8,NC(=O)CCC(NCC(N)Cc1ccc(O)cc1)C1=NC(C(=O)O)Cc2ccc([N+](=O)[O-])cc21
best_candidate,22,66,22,0,3,-9.7,Nc1nc(NC(Cc2c[nH]c3ccccc23)C(=O)N2CC(=O)C2)nc2[nH]cnc12
best_candidate,23,69,23,0,3,-9.7,Nc1nc(Nc2ccccc2C(=O)N2CCCC(C(=O)O)C2)nc2[nH]cnc12
best_candidate,24,72,24,0,3,-9.7,NC(CO)CNC(Cc1c[nH]c2ccccc12)C1=NC(C(=O)O)Cc2ccccc21
best_candidate,25,75,25,0,3,-9.7,NC(=O)CC(NCC(N)Cc1ccc(O)cc1)C1=NC(C(=O)O)Cc2ccccc21
best_candidate,26,78,26,0,3,-9.7,Nc1cccc(NC2(C3=NC(C(=O)O)Cc4ccccc43)CCC2)c1C(=O)O
best_candidate,27,81,27,0,3,-9.7,N=C(N)NCCCC(N)CN(C(=O)Nc1cccc(C(F)(F)F)c1)C(Cc1c[nH]c2ccccc12)C(=O)O
best_candidate,28,84,28,0,3,-9.7,O=C(O)C(Cc1ccccc1)Nc1nc(Nc2ccc3ccccc3n2)c2nc[nH]c2n1
best_candidate,29,87,29,0,3,-9.7,CC(O)C(N)CNC(Cc1c[nH]c2ccccc12)C1=NC(C(=O)O)Cc2ccccc21
best_candidate,30,90,30,0,3,-9.7,N=C(N)NCCCC(C(=O)O)N(C(=O)Nc1cccc(C(F)(F)F)c1)c1nc(N)c2nc[nH]c2n1
best_candidate,31,93,31,0,3,-9.7,NC(CCCN(C(=O)NCCc1ccccc1)c1ccc([N+](=O)[O-])c2ncccc12)C(=O)O
best_candidate,32,96,32,0,3,-9.6,CCC(C)C(C(=O)O)N(C(=O)Nc1ccc(C(F)(F)F)cc1)c1nc(N)c2nc[nH]c2n1
best_candidate,33,99,33,0,3,-9.6,Nc1cc(C(F)(F)F)ccc1NC(=O)N(Cc1cccc(O)c1N)C(Cc1c[nH]c2ccccc12)C(=O)O
best_candidate,34,102,34,0,3,-9.6,NC(Cc1c[nH]c2ccccc12)C(=O)Nc1nc(NC2(C(=O)O)CCC2)cs1
best_candidate,35,105,35,0,3,-9.6,CC(C)C(C(=O)O)N(C(=O)NCc1c[nH]c2ccccc12)c1nc(N)c2nc[nH]c2n1
best_candidate,36,108,36,0,3,-9.6,CCC(N)CNC(Cc1c[nH]c2ccccc12)C(=O)NCc1ccc(C(F)(F)F)cc1
best_candidate,37,111,37,0,3,-9.6,COC(=O)c1cccc(CN(C(=O)NCCc2ccc(O)cc2)C2(C(=O)O)CCC2)c1
best_candidate,38,114,38,0,3,-9.6,O=C(O)C(CCCNC(C(=O)O)c1ccccc1)Nc1ccc2ccccc2n1
best_candidate,39,117,39,0,3,-9.6,N=C(N)NCCCC(NCc1ccc(O)c(N)c1)C(=O)N1Cc2ccccc2CC1C(=O)O
best_candidate,40,120,40,0,3,-9.5,O=C(O)C(CCNC(Cc1c[nH]c2ccccc12)C(=O)O)NCc1ccc(F)c(C(F)(F)F)c1
best_candidate,41,123,41,0,3,-9.5,N=C(N)NCCCC(C(=O)O)N(c1ccc2ccccc2n1)c1nc(N)c2nc[nH]c2n1
best_candidate,42,126,42,0,3,-9.5,CSCCC(NCC(Cc1ccc(O)cc1)NC(=O)c1ccc(F)c(C(F)(F)F)c1)C(=O)O
best_candidate,43,129,43,0,3,-9.5,N=C(N)NCCCC(C(=O)O)N(Cc1cccc(F)c1F)CC(N)Cc1c[nH]c2ccccc12
best_candidate,44,132,44,0,3,-9.5,Nc1nc(NC(Cc2ccccc2)C(=O)NC(Cc2c[nH]c3ccccc23)C(=O)O)nc2[nH]cnc12
best_candidate,45,135,45,0,3,-9.5,CC(O)C(C(=O)O)N(C(=O)NC(Cc1ccc(O)cc1)C(=O)O)c1nc(N)c2nc[nH]c2n1
best_candidate,46,138,46,0,3,-9.5,Nc1ccc(CN(C(=O)Nc2ccc(C(F)(F)F)cc2)C(CCC(=O)O)C(=O)O)cc1O
best_candidate,47,141,47,0,3,-9.5,CCC(C)C(NCc1cccc(O)c1Nc1ccc(C(F)(F)F)cn1)C(=O)O
best_candidate,48,144,48,0,3,-9.5,N=C(N)NCCCC(N)CNC(Cc1c[nH]c2ccccc12)C(=O)Nc1cccnc1Br
best_candidate,49,147,49,0,3,-9.5,Nc1c(F)cccc1CN(C(=O)Nc1ccc(C(F)(F)F)cc1)C(Cc1ccc(O)cc1)C(=O)O
best_candidate,50,150,50,0,3,-9.5,Nc1nc(NC(Cc2ccccc2)C(=O)N2Cc3ccccc3CC2C(=O)O)nc2[nH]cnc12
best_candidate,51,153,51,0,3,-9.5,Nc1nc(NC(c2ccccc2)c2nc3ccc(C(=O)O)cc3o2)nc2[nH]cnc12
best_candidate,52,156,52,0,3,-9.5,NC(CO)CN(C(=O)Nc1cccc(C(F)(F)F)c1)C(Cc1ccc(O)cc1)C(=O)O
best_candidate,53,159,53,0,3,-9.5,CC(O)C(Nc1nc(F)ccc1N)C1=NC(C(=O)O)Cc2ccccc21
best_candidate,54,162,54,0,3,-9.5,N=C(N)NCCCC(N)CNC(Cc1c[nH]c2ccccc12)CN1Cc2ccccc2CC1C(=O)O
best_candidate,55,165,55,0,3,-9.5,NC(CNC(C1=NC(C(=O)O)Cc2ccccc21)c1ccccc1)c1ccccc1
best_candidate,56,168,56,0,3,-9.5,Nc1cc(CNC(CC2CCCCC2)C(=O)O)ccc1NCC(N)c1ccccc1
best_candidate,57,171,57,0,3,-9.5,Nc1nc(NC(C(=O)Nc2cc(C(=O)O)ccc2O)c2ccccc2)nc2[nH]cnc12
best_candidate,58,174,58,0,3,-9.4,Cc1cc(N(C(=O)Nc2cc(F)c(F)cc2O)C(Cc2c[nH]c3ccccc23)C(=O)O)cnc1N
best_candidate,59,177,59,0,3,-9.4,N=C(N)NCCCC(NCc1ccc(O)c(N)c1)C1=NC(C(=O)O)Cc2ccccc21
best_candidate,60,180,60,0,3,-9.4,Nc1c(O)cccc1CNC(CCCNCc1ccc(C(F)(F)F)cc1)C(=O)O
best_candidate,61,183,61,0,3,-9.4,NC(=O)CC(Nc1ccc(C(=O)NC(C(=O)O)c2ccccc2)cc1)C(=O)O
best_candidate,62,186,62,0,3,-9.4,Nc1nc(N(C(=O)NCc2cccc(O)c2)C(Cc2ccccc2)C(=O)O)nc2[nH]cnc12
best_candidate,63,189,63,0,3,-9.4,O=C(O)C(Cc1c[nH]c2ccccc12)N(C(=O)NCCc1ccccc1)c1ncc2[nH]ccc2n1
best_candidate,64,192,64,0,3,-9.4,Cc1cc(NC(CCCNC(=N)N)C2=NC(C(=O)O)Cc3ccc(O)cc32)cnc1F
best_candidate,65,195,65,0,3,-9.4,O=Cc1cncc(NC(Cc2ccccc2)C2=NC(C(=O)O)Cc3ccc(O)cc32)c1
best_candidate,66,198,66,0,3,-9.4,O=C(O)C(CCCNC1(C(=O)O)CCC1)NCc1ccc(C(F)(F)F)c(F)c1
best_candidate,67,201,67,0,3,-9.4,NC(CO)CN(CC1Cc2ccccc2CN1)C(C(=O)O)c1ccccc1
best_candidate,68,204,68,0,3,-9.4,CCC(C)C(N)CNC(Cc1c[nH]c2ccccc12)CN1CCCC1C(=O)O
best_candidate,69,207,69,0,3,-9.4,CC(O)C(CNc1ccc(C(=O)O)cc1O)NC(=O)Nc1ccc(C(F)(F)F)cc1
best_candidate,70,210,70,0,3,-9.4,Nc1ccc(CNC2(c3nc4c(C(=O)O)cccc4o3)CCC2)cc1O
best_candidate,71,213,71,0,3,-9.4,Nc1nc(NC(Cc2ccccc2)C2=NC(C(=O)O)Cc3ccc(O)cc32)cs1
best_candidate,72,216,72,0,3,-9.4,NC(=O)CC(CNC(Cc1c[nH]c2ccccc12)C(=O)O)NCc1ccc(F)c(C(F)(F)F)c1
best_candidate,73,219,73,0,3,-9.4,O=C(O)C1Cc2c([nH]c3ccccc23)C(C(Cc2cccs2)Nc2ccc([N+](=O)[O-])c3ccccc23)=N1
best_candidate,74,222,74,0,3,-9.4,Nc1nc(N(C(=O)NCCc2c[nH]c3ccccc23)c2c(F)cccc2C(=O)O)nc2[nH]cnc12
best_candidate,75,224,75,0,2,-9.4,Nc1c(F)cccc1CNc1ccccc1C(=O)O
best_candidate,76,227,76,0,3,-9.4,CCC(C)C(Nc1nc(Nc2cncc(C(F)(F)F)c2)c2nc[nH]c2n1)C(=O)O
best_candidate,77,230,77,0,3,-9.4,CCC(N)CNc1ccc(C(=O)OCC2CCC(F)(F)CC2)cc1N
best_candidate,78,233,78,0,3,-9.3,Nc1nc(N(C(=O)NCCc2c[nH]c3ccccc23)C(C(=O)O)c2ccccc2)nc2[nH]cnc12
best_candidate,79,236,79,0,3,-9.3,N=C(N)NCCCC(NCc1ccc(C(F)(F)F)cc1)C(=O)NCc1ccc(C(F)(F)F)cc1
best_candidate,80,239,80,0,3,-9.3,Nc1c(O)cccc1CNC(CNC(Cc1ccccc1)C(=O)O)Cc1c[nH]c2ccccc12
best_candidate,81,242,81,0,3,-9.3,CCC(C(=O)O)N(Cc1cccc(F)c1N)C(=O)c1ccc(C(F)(F)F)cn1
best_candidate,82,245,82,0,3,-9.3,CCC(C)C(N)CN(C(=O)c1ccc(C(F)(F)F)cn1)C(Cc1c[nH]c2ccccc12)C(=O)O
best_candidate,83,248,83,0,3,-9.3,Nc1nc(N(C(=O)NCc2ccc(C(F)(F)F)cc2)c2c(F)cccc2C(=O)O)nc2[nH]cnc12
best_candidate,84,251,84,0,3,-9.3,NC(=O)CCC(N)CN(C(=O)Nc1ccc(C(F)(F)F)cc1)C(Cc1ccc(O)cc1)C(=O)O
best_candidate,85,254,85,0,3,-9.3,Nc1nc(NC2(C3=NC(C(=O)O)Cc4ccccc43)CCC2)nc2[nH]cnc12
best_candidate,86,257,86,0,3,-9.3,N=C(N)NCCCC(C(=O)O)N(C(=O)c1ncccc1C(F)(F)F)c1ccc(C(F)(F)F)cn1
best_candidate,87,260,87,0,3,-9.3,CCC(C)C(NCC1(NC(=O)NC(C)c2ccccc2)CCC1)C(=O)O
best_candidate,88,263,88,0,3,-9.3,N=C(N)NCCCC(NCc1cccc(C=O)c1)C(=O)NC(Cc1cccs1)C(=O)O
best_candidate,89,266,89,0,3,-9.3,O=C(O)c1cccc(F)c1Nc1nc(Nc2ccc([N+](=O)[O-])c3ccccc23)c2nc[nH]c2n1
best_candidate,90,269,90,0,3,-9.3,O=C(Nc1ccccc1F)NC(CO)CNC(Cc1c[nH]c2ccccc12)C(=O)O
best_candidate,91,272,91,0,3,-9.3,Nc1ccc(F)nc1NC(Cc1ccc(O)cc1)C1=NC(C(=O)O)Cc2ccc(O)cc21
best_candidate,92,275,92,0,3,-9.3,CCC(NCC1(Nc2ccc(C(F)(F)F)cn2)CCC1)C(=O)O
best_candidate,93,278,93,0,3,-9.3,O=C(O)C(Cc1c[nH]c2ccccc12)N(Cc1ccncc1F)C(=O)NCc1cccc(O)c1
best_candidate,94,281,94,0,3,-9.2,N=C(N)NCCCC(Nc1ncc2[nH]ccc2n1)C1=NC(C(=O)O)Cc2ccc(O)cc21
best_candidate,95,284,95,0,3,-9.2,Nc1cc(C(F)(F)F)ccc1NC(=O)N(c1nc(N)c2nc[nH]c2n1)C(Cc1cccs1)C(=O)O
best_candidate,96,287,96,0,3,-9.2,NC(Cc1c[nH]cn1)CN(C(=O)NC1CCCCC1)c1cc(C(=O)O)ccc1O
best_candidate,97,290,97,0,3,-9.2,Nc1nc(NC(CCC(=O)O)C2=NC(C(=O)O)Cc3ccccc32)nc2[nH]cnc12
best_candidate,98,293,98,0,3,-9.2,N=C(N)NCCCC(NCc1ccc(CNc2ccc(C(=O)O)cc2N)cc1)C(=O)O
best_candidate,99,296,99,0,3,-9.2,NC(CNc1c(F)cccc1C1=NC(C(=O)O)Cc2ccc(O)cc21)Cc1ccc(O)cc1
best_candidate,100,299,100,0,3,-9.2,CC(NC(=O)N(c1nc(N)c2nc[nH]c2n1)C(C(=O)O)c1ccccc1)c1ccccc1
best_candidate,101,302,101,0,3,-9.2,Cc1cc(Nc2nc(NC(C(=O)O)c3ccccc3)nc3[nH]cnc23)cnc1F
best_candidate,102,305,102,0,3,-9.2,NC(CCCNC(Cc1c[nH]c2ccccc12)C(=O)O)c1nc2ccccc2o1
best_candidate,103,308,103,0,3,-9.2,Nc1ccc(CNc2c(F)cccc2C(=O)NC(Cc2ccc(O)cc2)C(=O)O)cc1O
best_candidate,104,311,104,0,3,-9.2,Nc1ccc(Nc2nc(NC(C(=O)O)c3ccccc3)nc3[nH]cnc23)cc1O
best_candidate,105,314,105,0,3,-9.2,NC(Cc1c[nH]cn1)CN(C(=O)Nc1ccc(C(F)(F)F)cc1)c1c(O)cccc1C(=O)O
best_candidate,106,317,106,0,3,-9.2,CCC(C)C(CNc1ccc(C(=O)O)cc1O)Nc1ccc2ccccc2n1
best_candidate,107,320,107,0,3,-9.2,Nc1nc(NC(CCC(=O)NCc2ccc(C(F)(F)F)cc2)C(=O)O)nc2[nH]cnc12
best_candidate,108,323,108,0,3,-9.2,N=C(N)NCCCC(NCC(N)CC1CCCCC1)C1=NC(C(=O)O)Cc2ccc([N+](=O)[O-])cc21
best_candidate,109,326,109,0,3,-9.2,N=C(N)NCCCC(C(=O)O)N(Cc1ccc(C(F)(F)F)c(F)c1)CC(N)Cc1ccc(O)cc1
best_candidate,110,329,110,0,3,-9.2,NC(CNC(CCC(=O)O)C1=NC(C(=O)O)Cc2ccc(O)cc21)CC1CCCCC1
best_candidate,111,332,111,0,3,-9.2,NC(CNC(CCC(=O)NCCc1c[nH]c2ccccc12)C(=O)O)Cc1ccc(O)cc1
best_candidate,112,335,112,0,3,-9.2,CCC(C)C(N)CNC(Cc1ccccc1)C1=NC(C(=O)O)Cc2c1[nH]c1ccccc21
best_candidate,113,338,113,0,3,-9.2,NC(CCCNC(Cc1c[nH]c2ccccc12)C(=O)NCc1ccccc1O)C(=O)O
best_candidate,114,341,114,0,3,-9.2,Nc1cc(CNC(CNC(C(=O)O)c2ccccc2)Cc2c[nH]c3ccccc23)ccc1O
best_candidate,115,344,115,0,3,-9.2,Nc1cccnc1NC(Cc1ccc(O)cc1)c1nc2c(C(=O)O)cccc2o1
best_candidate,116,347,116,0,3,-9.2,NC(Cc1c[nH]cn1)CN(CC1Cc2ccccc2CN1)C(Cc1c[nH]c2ccccc12)C(=O)O
best_candidate,117,350,117,0,3,-9.2,O=C(O)C(CCCNC(C(=O)O)c1ccccc1)Nc1ccc([N+](=O)[O-])c2ncccc12
best_candidate,118,353,118,0,3,-9.2,NC(=O)CC(NCCCC(N)CNCCc1c[nH]c2ccc(O)cc12)C(=O)O
best_candidate,119,356,119,0,3,-9.1,NC(=O)CC(N)CNC(Cc1c[nH]c2ccccc12)C(=O)NC(C(=O)O)c1ccccc1
best_candidate,120,359,120,0,3,-9.1,NC(CCNC(Cc1ccc(O)cc1)C(=O)NCCc1ccc(O)cc1)C(=O)O
best_candidate,121,362,121,0,3,-9.1,CC(NC(=O)NC(CCCNC(=N)N)CNC1(C(=O)O)CCC1)c1ccccc1
best_candidate,122,365,122,0,3,-9.1,CCC(C)C(NCc1ccnc(F)c1)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O
best_candidate,123,368,123,0,3,-9.1,NC(=O)CCC(N)c1nc2ccc(C3=NC(C(=O)O)Cc4c3[nH]c3ccccc43)cc2o1
best_candidate,124,371,124,0,3,-9.1,Nc1nc(NC(CCC(=O)N2CCCC(C(=O)O)C2)C(=O)O)nc2[nH]cnc12
best_candidate,125,373,125,0,2,-9.1,Nc1cccnc1NC(Cc1c[nH]c2ccccc12)C(=O)O
best_candidate,126,376,126,0,3,-9.1,CCC(C)C(C(=O)O)N(C(=O)NCCc1c[nH]c2ccccc12)c1ncc2[nH]ccc2n1
best_candidate,127,379,127,0,3,-9.1,Nc1ccc(F)nc1NC(C(=O)NC(CC1CCCCC1)C(=O)O)c1ccccc1
best_candidate,128,382,128,0,3,-9.1,CC(O)C(NCC(Cc1c[nH]cn1)Nc1ccc2ccccc2n1)C(=O)O
best_candidate,129,385,129,0,3,-9.1,O=C(Nc1ccc(Br)cc1)Nc1c(O)cccc1CNC(C(=O)O)c1ccccc1
best_candidate,130,388,130,0,3,-9.1,Nc1nc(Nc2c(F)cccc2C(=O)NC(Cc2ccccc2)C(=O)O)nc2[nH]cnc12
best_candidate,131,391,131,0,3,-9.1,O=Cc1cccc(C(=O)Nc2nc(NC(Cc3ccccc3)C(=O)O)nc3[nH]cnc23)c1
best_candidate,132,394,132,0,3,-9.1,Nc1nc(N(C(=O)Nc2c(O)cccc2C(=O)O)C(Cc2c[nH]c3ccccc23)C(=O)O)cs1
best_candidate,133,397,133,0,3,-9.1,NC(Cc1ccccc1)CN(C(=O)Nc1cc(F)ccc1O)C(Cc1c[nH]c2ccccc12)C(=O)O
best_candidate,134,400,134,0,3,-9.1,Cc1cc(NC(Cc2ccccc2)C(=O)NC(Cc2ccccc2)C(=O)O)cnc1N
best_candidate,135,403,135,0,3,-9.1,COc1ccc(CNC(=O)c2c(N)cccc2NC(CC(N)=O)C(=O)O)cc1
