strategy,step,cum_reactions,cum_modes,cum_reward_gen_calls,reactions_added,reward,source_hub
best_candidate,1,3,1,0,3,1.0,CCCN(Cc1c[nH]c2ccc(F)cc12)C(C(=O)O)c1ccccc1
best_candidate,2,6,2,0,3,1.0,CC(C(=O)O)N(Cc1c[nH]c2ccc(F)cc12)c1ccccc1CCN
best_candidate,3,8,3,0,2,1.0,O=C(O)C1Cc2ccccc2CN1Cc1c[nH]c2ccc(F)cc12
best_candidate,4,11,4,0,3,1.0,CCC(C(=O)O)N(Cc1c[nH]c2ccc(F)cc12)c1cccc(C=O)c1
best_candidate,5,14,5,0,3,1.0,COc1cccc(C(C)N(CCC(=O)O)Cc2c[nH]c3ccc(F)cc23)c1
best_candidate,6,17,6,0,3,1.0,O=C(O)CCN(Cc1c[nH]c2ccc(Br)cc12)C(CCl)c1ccccc1
best_candidate,7,20,7,0,3,1.0,CC(C(=O)O)N(Cc1c[nH]c2ccc(F)cc12)C(CBr)c1cccc(C#N)c1
best_candidate,8,23,8,0,3,1.0,O=C(O)C(CBr)N(CCc1ccc(O)cc1)Cc1c[nH]c2ccc(F)cc12
best_candidate,9,26,9,0,3,1.0,O=C(O)CN(Cc1c[nH]c2ccc(F)cc12)c1ccc(C(=O)CCl)cc1
best_candidate,10,29,10,0,3,1.0,CCC(C(=O)O)N(Cc1c[nH]c2ccccc12)C(CCl)c1ccc(F)cc1
best_candidate,11,32,11,0,3,1.0,NCCc1ccccc1N(CCC(=O)O)Cc1c[nH]c2ccccc12
best_candidate,12,35,12,0,3,1.0,Nc1ccccc1CN(CCC(=O)O)Cc1c[nH]c2ccc(F)cc12
best_candidate,13,38,13,0,3,1.0,O=Cc1cccc(N(CC(=O)O)Cc2c[nH]c3ccccc23)c1
best_candidate,14,41,14,0,3,1.0,O=C(O)C1(N(Cc2ccccc2)Cc2c[nH]c3ccc(F)cc23)CCC1
best_candidate,15,44,15,0,3,1.0,O=C(O)C(Cc1ccccc1)N(Cc1c[nH]c2ccc(F)cc12)C1CCNC1
best_candidate,16,47,16,0,3,1.0,NC(CN(Cc1c[nH]c2ccc(F)cc12)C(CC(=O)O)C(=O)O)c1ccccc1
best_candidate,17,50,17,0,3,1.0,CC(C)(C(=O)O)N(Cc1c[nH]c2ccc(F)cc12)C(CCl)c1ccc(F)cc1
best_candidate,18,53,18,0,3,0.997,O=C(O)C(c1ccccc1)N(Cc1c[nH]c2ccccc12)C1CCC1
best_candidate,19,56,19,0,3,0.9966,CCC(C(=O)O)N(Cc1c[nH]c2ccc(C#N)cc12)C(CCl)c1ccc(F)cc1F
best_candidate,20,59,20,0,3,0.9965,O=Cc1cccc(N(CCC(=O)O)Cc2c[nH]c3ccc(F)cc23)c1
best_candidate,21,62,21,0,3,0.9961,O=C(O)C(Cc1cccs1)N(Cc1c[nH]c2ccc(F)cc12)CC1CCN1
best_candidate,22,65,22,0,3,0.996,CSCCC(C(=O)O)N(Cc1c[nH]c2ccc(F)cc12)c1cccc(N)c1O
best_candidate,23,68,23,0,3,0.9958,O=C(O)c1ccccc1N(Cc1c[nH]c2ccc(F)cc12)C1CNC1
best_candidate,24,71,24,0,3,0.9955,CC(C)(C(=O)O)N(Cc1cccc(C=O)c1)Cc1c[nH]c2ccc(F)cc12
best_candidate,25,74,25,0,3,0.9951,O=C(O)C(Cc1c[nH]cn1)N(Cc1c[nH]c2cc(Br)ccc12)C(CCl)c1ccccc1
best_candidate,26,77,26,0,3,0.9951,Cc1cc(N(Cc2c[nH]c3ccccc23)C(Cc2ccccc2)C(=O)O)cnc1F
best_candidate,27,80,27,0,3,0.995,O=C(O)C1(N(Cc2c[nH]c3ccc(F)cc23)C(CCl)c2ccccc2)CCC1
best_candidate,28,83,28,0,3,0.9945,N#Cc1cccc(C(CBr)N(CCC(=O)O)Cc2c[nH]c3ccccc23)c1
best_candidate,29,86,29,0,3,0.9941,CC(C)(C(=O)O)N(Cc1c[nH]c2ccc(F)cc12)c1ccc(O)c(N)c1
best_candidate,30,89,30,0,3,0.9941,NC(CN(Cc1c[nH]c2ccccc12)C(Cc1cccs1)C(=O)O)c1ccccc1
best_candidate,31,92,31,0,3,0.9941,CC(C)C(C(=O)O)N(Cc1c[nH]c2ccc(F)cc12)c1cc(N)cc(C#N)c1
best_candidate,32,95,32,0,3,0.993,CC(O)C(C(=O)O)N(Cc1ccccc1C=O)Cc1c[nH]c2ccc(F)cc12
best_candidate,33,98,33,0,3,0.9929,N#Cc1ccc2[nH]cc(CN(CCC(=O)O)c3ccnc(F)c3)c2c1
best_candidate,34,101,34,0,3,0.9925,O=C(O)C1(N(Cc2cccc(F)c2F)Cc2c[nH]c3ccccc23)CCC1
best_candidate,35,104,35,0,3,0.9922,NC(CCCN(Cc1c[nH]c2ccc(F)cc12)c1cccc(S(=O)(=O)F)c1)C(=O)O
best_candidate,36,107,36,0,3,0.9921,O=C(O)C1(N(Cc2c[nH]c3ccccc23)C(CBr)c2ccc(O)cc2)CCC1
best_candidate,37,110,37,0,3,0.9913,O=C(O)C(Cc1ccccc1)N(Cc1c[nH]c2ccccc12)C(CBr)c1cccs1
best_candidate,38,113,38,0,3,0.9912,CC(C(=O)O)N(Cc1ccnc(F)c1)Cc1c[nH]c2ccc(F)cc12
best_candidate,39,116,39,0,3,0.9906,Nc1c(F)cccc1CN(Cc1c[nH]c2ccc(F)cc12)C(CS)C(=O)O
best_candidate,40,119,40,0,3,0.9905,COc1cccc(C(C)N(Cc2c[nH]c3ccccc23)C(C)C(=O)O)c1
best_candidate,41,122,41,0,3,0.9904,O=C(O)c1cccc(F)c1N(Cc1c[nH]c2ccc(F)cc12)CC1CCN1
best_candidate,42,125,42,0,3,0.9904,CC(O)C(C(=O)O)N(Cc1c[nH]c2cc(Br)ccc12)c1cccc(S(=O)(=O)F)c1
best_candidate,43,128,43,0,3,0.9904,O=C(O)CCC(C(=O)O)N(Cc1c[nH]c2ccc(F)cc12)C(CBr)c1ccc(O)cc1
best_candidate,44,131,44,0,3,0.9903,O=C(O)c1ccc(N(CCN2CCNCC2)Cc2c[nH]c3ccccc23)c(F)c1F
best_candidate,45,134,45,0,3,0.9891,Nc1cc(C(=O)O)ccc1N(CCBr)Cc1c[nH]c2ccc(F)cc12
best_candidate,46,137,46,0,3,0.9891,CCC(C(=O)O)N(Cc1c[nH]c2ccc(C#N)cc12)c1ccc(O)c(N)c1
best_candidate,47,140,47,0,3,0.9884,CCC(C(=O)O)N(Cc1c[nH]c2ccc(F)cc12)C(CCl)c1ccccc1
best_candidate,48,143,48,0,3,0.9881,O=C(O)CCN(Cc1ccnc(F)c1)Cc1c[nH]c2ccc(F)cc12
best_candidate,49,146,49,0,3,0.9878,O=C(CCl)c1ccc(N(Cc2c[nH]c3ccccc23)C2(C(=O)O)CCC2)cc1F
best_candidate,50,149,50,0,3,0.9874,CC(C)(C(=O)O)N(Cc1cccc(F)c1N)Cc1c[nH]c2ccccc12
best_candidate,51,152,51,0,3,0.9871,O=C(O)C1Cc2ccccc2C(c2ccncc2)N1Cc1c[nH]c2cc(Br)ccc12
best_candidate,52,155,52,0,3,0.9869,CC(CCl)N(Cc1c[nH]c2ccc(F)cc12)C(Cc1ccc([N+](=O)[O-])cc1)C(=O)O
best_candidate,53,158,53,0,3,0.9867,CC(C)C(C(=O)O)N(Cc1cccc(F)c1F)Cc1c[nH]c2ccc(C#N)cc12
best_candidate,54,161,54,0,3,0.9861,CC(C)(C(=O)O)N(Cc1c[nH]c2cc(Br)ccc12)C(CBr)c1cccs1
best_candidate,55,164,55,0,3,0.9854,CC(C)CC(C(=O)O)N(Cc1c[nH]c2ccc(F)cc12)c1ccc2ccccc2n1
best_candidate,56,167,56,0,3,0.9848,Nc1cc(C(=O)O)ccc1N(Cc1c[nH]c2ccccc12)C1CCNC1
best_candidate,57,170,57,0,3,0.9846,CC(C)C(C(=O)O)N(Cc1c[nH]c2ccccc12)c1ccnc(F)c1
best_candidate,58,173,58,0,3,0.9839,CSCCC(C(=O)O)N(Cc1c[nH]c2ccccc12)c1ccc(N)cc1
best_candidate,59,176,59,0,3,0.9839,N#Cc1ccc2[nH]cc(CN(CCCN)C(Cc3ccc(O)cc3)C(=O)O)c2c1
best_candidate,60,179,60,0,3,0.9834,N=C(N)NCCCC(C(=O)O)N(Cc1c[nH]c2ccc(F)cc12)c1ccnc(F)c1
best_candidate,61,182,61,0,3,0.9824,O=C(O)CC(C(=O)O)N(Cc1c[nH]c2ccccc12)C(CCl)c1ccccc1
best_candidate,62,185,62,0,3,0.9824,N#Cc1ccc2[nH]cc(CN(Cc3cccc(F)n3)C3(C(=O)O)CCC3)c2c1
best_candidate,63,188,63,0,3,0.9801,CC(C(=O)O)N(Cc1c[nH]c2ccccc12)c1ccc(C(=O)CCl)cc1
best_candidate,64,191,64,0,3,0.9799,CCC(C)C(C(=O)O)N(Cc1c[nH]c2ccc(F)cc12)c1ncccc1C(F)(F)F
best_candidate,65,194,65,0,3,0.9799,O=C(O)C(Cc1ccc(O)cc1)N(Cc1c[nH]c2ccccc12)C1CCNCC1
best_candidate,66,197,66,0,3,0.9794,CC(C(=O)O)N(Cc1c[nH]c2ccc(F)cc12)c1cccc(S(=O)(=O)F)c1
best_candidate,67,200,67,0,3,0.9775,CC(c1ccc(S(=O)(=O)F)cc1)N(Cc1c[nH]c2ccc(F)cc12)C(CS)C(=O)O
best_candidate,68,203,68,0,3,0.9773,O=C(O)CCN(Cc1cccc(N=C=S)c1)Cc1c[nH]c2ccccc12
best_candidate,69,206,69,0,3,0.9769,CCC(C(=O)O)N(Cc1c[nH]c2ccc(F)cc12)C(CBr)c1cccs1
best_candidate,70,209,70,0,3,0.9767,O=C(O)C(Cc1c[nH]cn1)N(Cc1ccccc1)Cc1c[nH]c2ccccc12
best_candidate,71,212,71,0,3,0.9766,O=C(O)c1cccc(F)c1N(Cc1c[nH]c2ccccc12)C1CNC1
best_candidate,72,215,72,0,3,0.9764,NC(Cc1cccs1)CN(Cc1c[nH]c2ccccc12)c1cc(C(=O)O)ccc1O
best_candidate,73,218,73,0,3,0.9763,CCC(C(=O)O)N(Cc1ccc(C(F)(F)F)cc1OC)Cc1c[nH]c2ccc(F)cc12
best_candidate,74,221,74,0,3,0.9758,Nc1ccc(C(=O)O)cc1N(CCc1ccccc1)Cc1c[nH]c2ccccc12
best_candidate,75,224,75,0,3,0.9757,O=C(O)C1Cc2ccc(O)cc2C(c2ccnc(F)c2)N1Cc1c[nH]c2ccccc12
best_candidate,76,227,76,0,3,0.9746,NC(CCCN(Cc1ccccc1)Cc1c[nH]c2ccccc12)C(=O)O
best_candidate,77,230,77,0,3,0.9739,CCC(C)C(C(=O)O)N(Cc1ccnc(F)c1)Cc1c[nH]c2cc(Br)ccc12
best_candidate,78,233,78,0,3,0.9738,O=C(O)C(Cc1c[nH]cn1)N(Cc1c[nH]c2ccc(F)cc12)c1ccccn1
best_candidate,79,236,79,0,3,0.9727,CC(C)(C(=O)O)N(Cc1c[nH]c2ccccc12)c1cc(N)cc(C#N)c1
best_candidate,80,239,80,0,3,0.9723,O=C(O)C1(N(Cc2ccnc(F)c2)Cc2c[nH]c3ccccc23)CCC1
best_candidate,81,242,81,0,3,0.9722,O=C(O)c1cccnc1N(CCN1CCNCC1)Cc1c[nH]c2ccc(F)cc12
best_candidate,82,245,82,0,3,0.9721,O=C(O)c1ccc(N(Cc2c[nH]c3ccccc23)C23CC(C2)C3)cc1
best_candidate,83,248,83,0,3,0.9715,CC(C)CC(C(=O)O)N(Cc1c[nH]c2ccccc12)c1nc(F)ccc1N
best_candidate,84,251,84,0,3,0.9706,O=C(O)c1ccc(N(Cc2c[nH]c3ccc(F)cc23)C2CCC2)c(B(O)O)c1
best_candidate,85,254,85,0,3,0.9703,COc1ncccc1N(Cc1c[nH]c2ccc(F)cc12)C1(C(=O)O)CCC1
best_candidate,86,257,86,0,3,0.9703,CCC(C(=O)O)N(Cc1c[nH]c2ccccc12)c1ncccc1C=O
best_candidate,87,260,87,0,3,0.9698,CCC(C)C(C(=O)O)N(Cc1cccc(N=C=S)c1)Cc1c[nH]c2ccc(F)cc12
best_candidate,88,263,88,0,3,0.9698,CC(O)C(C(=O)O)N(Cc1c[nH]c2ccc(F)cc12)C(CCl)c1ccc(O)c(O)c1
best_candidate,89,266,89,0,3,0.9676,CC(C)(C(=O)O)N(Cc1c[nH]c2ccc(C#N)cc12)c1cccc(C=O)c1
best_candidate,90,269,90,0,3,0.9667,O=C(O)c1ccc(N(Cc2c[nH]c3ccc(F)cc23)C2CC2)c(F)c1F
best_candidate,91,272,91,0,3,0.9653,N#Cc1ccc2[nH]cc(CN(C(CBr)c3cccs3)C(C(=O)O)c3ccccc3)c2c1
best_candidate,92,275,92,0,3,0.9649,O=C1Cc2ccc(C(CCl)N(Cc3c[nH]c4ccc(F)cc34)C(CO)C(=O)O)cc2N1
best_candidate,93,278,93,0,3,0.9647,COC(=O)c1cccc(CN(Cc2c[nH]c3ccc(F)cc23)C(CO)C(=O)O)c1
best_candidate,94,281,94,0,3,0.9641,CC(O)C(C(=O)O)N(Cc1c[nH]c2ccccc12)C(CBr)c1ccc(C#N)cc1
best_candidate,95,284,95,0,3,0.9633,CCC(C)C(C(=O)O)N(Cc1c[nH]c2ccc(F)cc12)c1ccc(N)c(O)c1
best_candidate,96,287,96,0,3,0.9628,O=C(O)c1ccc(N(Cc2c[nH]c3ccc(F)cc23)C2CC2)cc1
best_candidate,97,290,97,0,3,0.9625,O=C(O)C1Cc2ccc([N+](=O)[O-])cc2C(c2ccccc2)N1Cc1c[nH]c2ccc(F)cc12
best_candidate,98,293,98,0,3,0.9613,O=C(O)c1ccccc1N(Cc1c[nH]c2ccccc12)CC1CCN1
best_candidate,99,296,99,0,3,0.9613,O=C(O)c1ccc(N(Cc2c[nH]c3ccc(F)cc23)c2ccccc2O)cc1
best_candidate,100,299,100,0,3,0.9609,CC(c1ccc(S(=O)(=O)F)cc1)N(CC(=O)O)Cc1c[nH]c2ccccc12
best_candidate,101,302,101,0,3,0.9605,NC(Cc1cccs1)CN(Cc1c[nH]c2ccc(F)cc12)c1c(O)cccc1C(=O)O
best_candidate,102,305,102,0,3,0.9605,N#Cc1ccc(N(Cc2c[nH]c3ccccc23)C2(C(=O)O)CCC2)nc1
best_candidate,103,308,103,0,3,0.9596,CC(C)(C(=O)O)N(Cc1c[nH]c2ccc(F)cc12)C(CBr)c1ccc(C#N)cc1
best_candidate,104,311,104,0,3,0.9589,CSCCC(C(=O)O)N(Cc1c[nH]c2ccc(F)cc12)c1cnc(F)c(C)c1
best_candidate,105,314,105,0,3,0.9576,O=C(O)C1Cc2c([nH]c3ccccc23)C(C(NCc2ccnc(F)c2)c2ccccc2)=N1
best_candidate,106,317,106,0,3,0.9566,O=C(O)c1c(Br)cccc1N(Cc1c[nH]c2ccc(F)cc12)CC1CCCNC1
best_candidate,107,320,107,0,3,0.9564,CC(C)(C(=O)O)N(Cc1cccc(F)n1)Cc1c[nH]c2ccc(F)cc12
best_candidate,108,323,108,0,3,0.9558,N#Cc1ccc2[nH]cc(CN(CCCC(N)C(=O)O)c3ccc(C(=O)O)c(F)c3F)c2c1
best_candidate,109,326,109,0,3,0.9558,NC(CCCCN(Cc1c[nH]c2ccccc12)c1ncccc1C(F)(F)F)C(=O)O
best_candidate,110,329,110,0,3,0.9552,O=C(O)C(CS)N(Cc1ccc(F)c(F)c1F)Cc1c[nH]c2ccccc12
best_candidate,111,331,111,0,2,0.9543,COc1ncccc1NC(Cc1c[nH]c2ccccc12)C(=O)O
best_candidate,112,334,112,0,3,0.9542,N#Cc1ccc(C(CBr)N(Cc2c[nH]c3ccc(F)cc23)C(CS)C(=O)O)cc1
best_candidate,113,337,113,0,3,0.9535,CCC(C)C(C(=O)O)N(Cc1cccc(F)n1)Cc1c[nH]c2ccccc12
best_candidate,114,340,114,0,3,0.9529,CC(C(=O)O)N(Cc1c[nH]c2ccccc12)c1cccc(C=O)c1
best_candidate,115,343,115,0,3,0.952,O=Cc1ccnc(N(Cc2c[nH]c3ccc(F)cc23)C2(C(=O)O)CCC2)c1F
best_candidate,116,346,116,0,3,0.9515,NC(=O)CCC(C(=O)O)N(Cc1ccnc(F)c1)Cc1c[nH]c2ccccc12
best_candidate,117,349,117,0,3,0.9508,O=C(O)c1cccc(F)c1N(Cc1c[nH]c2ccc(F)cc12)C1CNC1
best_candidate,118,352,118,0,3,0.9504,O=C(O)CC(C(=O)O)N(Cc1cccc(F)n1)Cc1c[nH]c2ccc(F)cc12
best_candidate,119,355,119,0,3,0.9499,N#Cc1ccc2[nH]cc(CN(Cc3ccccc3CCl)C(CC(=O)O)C(=O)O)c2c1
best_candidate,120,358,120,0,3,0.9499,Nc1ccc(N(Cc2c[nH]c3ccccc23)C(CCC(=O)O)C(=O)O)cc1O
best_candidate,121,361,121,0,3,0.9495,Nc1ccccc1CN(Cc1c[nH]c2ccc(Br)cc12)C(Cc1ccc([N+](=O)[O-])cc1)C(=O)O
best_candidate,122,364,122,0,3,0.9491,N#Cc1ccc2[nH]cc(CN(CC3CCCN3)c3ccccc3C(=O)O)c2c1
best_candidate,123,367,123,0,3,0.9464,CCC(C(=O)O)N(Cc1c[nH]c2ccc(F)cc12)c1cccnc1OC
best_candidate,124,370,124,0,3,0.9448,O=C(O)C(CS)N(Cc1c[nH]c2ccc(F)cc12)c1c(C(F)(F)F)nc2ccccc2c1O
best_candidate,125,373,125,0,3,0.9445,CC(C)CC(C(=O)O)N(Cc1c[nH]c2ccc(C#N)cc12)c1ccc(C(F)(F)F)cn1
best_candidate,126,376,126,0,3,0.9437,CC(O)C(C(=O)O)N(Cc1c[nH]c2ccccc12)c1cccc(N)c1O
best_candidate,127,379,127,0,3,0.9435,COc1ccccc1CCN(Cc1c[nH]c2ccc(F)cc12)c1ccc(C(=O)O)c(F)c1F
best_candidate,128,382,128,0,3,0.943,COc1cccc(C(C)N(Cc2c[nH]c3ccc(C#N)cc23)C(Cc2cccs2)C(=O)O)c1
best_candidate,129,385,129,0,3,0.9429,Cc1nc(N(CCc2ccccc2)Cc2c[nH]c3ccc(F)cc23)sc1C(=O)O
best_candidate,130,388,130,0,3,0.9428,CC(C)(C(=O)O)N(Cc1c[nH]c2ccc(F)cc12)c1cccc(S(=O)(=O)F)c1
best_candidate,131,391,131,0,3,0.942,N#Cc1ccc2[nH]cc(CN(CC(=O)O)Cc3ccc(C(F)(F)F)c(F)c3)c2c1
best_candidate,132,394,132,0,3,0.9418,CCC(C)C(C(=O)O)N(Cc1c[nH]c2ccc(C#N)cc12)c1ccccc1C=O
best_candidate,133,397,133,0,3,0.9415,CCC(C(=O)O)N(Cc1nc2ccccc2[nH]1)C(CBr)c1cccc(C#N)c1
best_candidate,134,400,134,0,3,0.9378,N#Cc1ccc2[nH]cc(CN(c3c(O)cccc3C(=O)O)C3CCCNC3)c2c1
best_candidate,135,403,135,0,3,0.9323,N=C(N)NCCCC(C(=O)O)N(Cc1c[nH]c2ccccc12)c1ccc(C(F)(F)F)cn1
best_candidate,136,406,136,0,3,0.9311,O=C(O)CCN(Cc1c[nH]c2ccccc12)c1ccc(C(=O)O)c(F)c1F
best_candidate,137,409,137,0,3,0.9279,O=C(O)C(CS)N(Cc1c[nH]c2ccc(F)cc12)c1ccc(O)nc1
best_candidate,138,412,138,0,3,0.9263,Nc1cccc(N(Cc2c[nH]c3ccc(F)cc23)c2ccccc2S)c1C(=O)O
best_candidate,139,414,139,0,2,0.9247,NC(Cc1ccc(O)cc1)CN1CCCC(C(=O)O)C1
best_candidate,140,417,140,0,3,0.9195,CC(C)CC(C(=O)O)N(Cc1ncccc1C(F)(F)F)Cc1c[nH]c2ccccc12
best_candidate,141,420,141,0,3,0.9192,O=C(O)C(Cc1ccc([N+](=O)[O-])cc1)N(Cc1c[nH]c2ccccc12)CC1CCCNC1
best_candidate,142,423,142,0,3,0.9151,N#Cc1ccc2[nH]cc(CN(C3CNC3)C(Cc3c[nH]cn3)C(=O)O)c2c1
best_candidate,143,426,143,0,3,0.9137,CSCCC(C(=O)O)N(Cc1cccc(C=O)c1)Cc1c[nH]c2ccc(F)cc12
best_candidate,144,429,144,0,3,0.9084,CC(C)C(C(=O)O)N(Cc1c[nH]c2ccccc12)c1ccc(O)nc1
best_candidate,145,432,145,0,3,0.9077,N#Cc1ccc2[nH]cc(CN(c3ccc(C(=O)CCl)cc3)C3(C(=O)O)CCC3)c2c1
best_candidate,146,435,146,0,3,0.906,O=C(O)C(Cc1ccccc1)N(Cc1c[nH]c2ccccc12)CC1CCN1
best_candidate,147,438,147,0,3,0.9039,Nc1n[nH]cc1N(CCc1ccc(O)cc1)Cc1cccc(C(=O)O)c1
best_candidate,148,441,148,0,3,0.8994,O=C(O)c1ccccc1CN(CCN1CCNCC1)c1ccc(O)nc1
best_candidate,149,444,149,0,3,0.8969,N#Cc1ccc2[nH]cc(CN(Cc3cccc(C=O)c3)C(CS)C(=O)O)c2c1
best_candidate,150,447,150,0,3,0.8941,N#Cc1ccc2[nH]cc(CN(CCc3ccccc3)c3cccc(N)c3C(=O)O)c2c1
best_candidate,151,450,151,0,3,0.889,N#Cc1ccc2[nH]cc(CN(CC(N)Cc3ccccc3)c3c(F)cccc3C(=O)O)c2c1
best_candidate,152,453,152,0,3,0.8886,COc1cc(C(F)(F)F)ccc1CN(Cc1c[nH]c2ccccc12)C(CC(=O)O)C(=O)O
best_candidate,153,456,153,0,3,0.885,CCC(C)C(C(=O)O)N(Cc1c[nH]c2ccc(F)cc12)c1cnc(OC)c(C)c1
best_candidate,154,459,154,0,3,0.8846,CSCCC(C(=O)O)N(Cc1cscn1)Cc1c[nH]c2ccc(C#N)cc12
best_candidate,155,462,155,0,3,0.8818,O=C(O)c1cc(B(O)O)ccc1N(Cc1c[nH]c2ccc(F)cc12)C12CC(C1)C2
best_candidate,156,465,156,0,3,0.8801,O=C(O)C(Cc1cccs1)N(Cc1ccc(C(F)(F)F)cc1F)Cc1c[nH]c2ccccc12
best_candidate,157,468,157,0,3,0.8764,O=C(O)c1cccnc1N(CCc1ccc(O)cc1)Cc1c[nH]c2ccccc12
best_candidate,158,470,158,0,2,0.8736,COc1cc(C(F)(F)F)ccc1CNC(Cc1ccccc1)C(=O)O
best_candidate,159,472,159,0,2,0.8684,O=C(CCl)c1ccc(F)cc1N1CCCC(C(=O)O)C1
