strategy,step,cum_reactions,cum_modes,cum_reward_gen_calls,reactions_added,reward,source_hub
hub_batching,1,3,1,1049,3,0.9882,O=C(O)c1cccc(F)c1N(Cc1c[nH]c2ccc(F)cc12)CC1CCCNC1
hub_batching,2,4,2,1049,1,0.985,O=C(O)c1cccc(F)c1N(Cc1c[nH]c2ccc(F)cc12)CC1CCCNC1
hub_batching,3,5,3,1049,1,0.5848,O=C(O)c1cccc(F)c1N(Cc1c[nH]c2ccc(F)cc12)CC1CCCNC1
hub_batching,4,8,4,1695,3,0.9881,O=C(O)CCN(Cc1ccnc(F)c1)Cc1c[nH]c2ccc(F)cc12
hub_batching,5,9,5,1695,1,0.9365,O=C(O)CCN(Cc1ccnc(F)c1)Cc1c[nH]c2ccc(F)cc12
hub_batching,6,10,6,1695,1,0.845,O=C(O)CCN(Cc1ccnc(F)c1)Cc1c[nH]c2ccc(F)cc12
hub_batching,7,11,7,1695,1,0.5749,O=C(O)CCN(Cc1ccnc(F)c1)Cc1c[nH]c2ccc(F)cc12
hub_batching,8,14,8,2398,3,1.0,O=C(O)C1(N(Cc2c[nH]c3ccc(F)cc23)C(CCl)c2ccccc2)CCC1
hub_batching,9,15,9,2398,1,0.9775,O=C(O)C1(N(Cc2c[nH]c3ccc(F)cc23)C(CCl)c2ccccc2)CCC1
hub_batching,10,16,10,2398,1,0.8099,O=C(O)C1(N(Cc2c[nH]c3ccc(F)cc23)C(CCl)c2ccccc2)CCC1
hub_batching,11,17,11,2398,1,0.6769,O=C(O)C1(N(Cc2c[nH]c3ccc(F)cc23)C(CCl)c2ccccc2)CCC1
hub_batching,12,18,12,2398,1,0.6585,O=C(O)C1(N(Cc2c[nH]c3ccc(F)cc23)C(CCl)c2ccccc2)CCC1
hub_batching,13,21,13,3254,3,1.0,O=C(O)CCN(Cc1c[nH]c2ccc(F)cc12)c1ccc(C(=O)CCl)cc1
hub_batching,14,22,14,3254,1,0.9574,O=C(O)CCN(Cc1c[nH]c2ccc(F)cc12)c1ccc(C(=O)CCl)cc1
hub_batching,15,25,15,4450,3,1.0,NCCc1ccccc1N(Cc1c[nH]c2ccc(F)cc12)C(CS)C(=O)O
hub_batching,16,26,16,4450,1,0.935,NCCc1ccccc1N(Cc1c[nH]c2ccc(F)cc12)C(CS)C(=O)O
hub_batching,17,27,17,4450,1,0.6254,NCCc1ccccc1N(Cc1c[nH]c2ccc(F)cc12)C(CS)C(=O)O
hub_batching,18,28,18,4450,1,0.6065,NCCc1ccccc1N(Cc1c[nH]c2ccc(F)cc12)C(CS)C(=O)O
hub_batching,19,31,19,5130,3,0.9849,O=Cc1ccc(CN(Cc2c[nH]c3ccc(F)cc23)C2(C(=O)O)CCC2)cc1
hub_batching,20,32,20,5130,1,0.9322,O=Cc1ccc(CN(Cc2c[nH]c3ccc(F)cc23)C2(C(=O)O)CCC2)cc1
hub_batching,21,35,21,5919,3,1.0,O=Cc1cccc(N(Cc2c[nH]c3ccc(F)cc23)C(CO)C(=O)O)c1
hub_batching,22,36,22,5919,1,0.9576,O=Cc1cccc(N(Cc2c[nH]c3ccc(F)cc23)C(CO)C(=O)O)c1
hub_batching,23,39,23,6718,3,1.0,N#Cc1cccc(C(CBr)N(CCC(=O)O)Cc2c[nH]c3ccc(F)cc23)c1
hub_batching,24,40,24,6718,1,0.9058,N#Cc1cccc(C(CBr)N(CCC(=O)O)Cc2c[nH]c3ccc(F)cc23)c1
hub_batching,25,41,25,6718,1,0.6613,N#Cc1cccc(C(CBr)N(CCC(=O)O)Cc2c[nH]c3ccc(F)cc23)c1
