strategy,step,cum_reactions,cum_modes,cum_reward_gen_calls,reactions_added,reward,source_hub
best_candidate,1,3,1,0,3,7.6181,O=C(O)c1ccc2nc(C3(NC(=O)C4Cc5ccccc5CN4)CCC3)oc2c1
best_candidate,2,6,2,0,3,7.4863,Nc1cc(C(=O)O)ccc1NC(=O)c1cccc(C2NCCc3ccccc32)c1
best_candidate,3,9,3,0,3,7.4723,Nc1cc(C(=O)O)ccc1NC(=O)c1ccc(O)c(NCC2Cc3ccccc3CN2)c1
best_candidate,4,12,4,0,3,7.461,O=C(O)c1ccc2oc(-c3ccc(NCC4Cc5ccccc5CN4)c(O)c3)nc2c1
best_candidate,5,15,5,0,3,7.4105,O=C(O)C1CCCN(Cc2cccc(CNc3ccnc4ccccc34)c2)C1
best_candidate,6,18,6,0,3,7.4017,Nc1cc(-c2nc3ccc(C(=O)O)cc3o2)ccc1NC(=O)C1Cc2ccccc2CN1
best_candidate,7,21,7,0,3,7.3997,Nc1cc(C(=O)Nc2cc(C(=O)O)ccc2O)ccc1NC(=O)C1Cc2ccccc2CN1
best_candidate,8,24,8,0,3,7.3854,Nc1cc(C(=O)O)ccc1NC(=O)C1(NC(=O)C2Cc3ccccc3CN2)CCC1
best_candidate,9,27,9,0,3,7.3734,O=C(O)c1ccc2nc(-c3ccc4oc(-c5cncc(F)c5)nc4c3)oc2c1
best_candidate,10,30,10,0,3,7.3731,O=C(O)C1CCN1Cc1ccc(NCC2Cc3ccccc3CN2)c(O)c1
best_candidate,11,33,11,0,3,7.3674,O=C(O)c1ccc(O)c(NCc2ccc(NC(=O)C3Cc4ccccc4CN3)c(O)c2)c1
best_candidate,12,36,12,0,3,7.356,Nc1cc(CN2CCCC2C(=O)O)ccc1NC(=O)C1Cc2ccccc2CN1
best_candidate,13,39,13,0,3,7.3504,O=C(NC1(C(=O)O)CCC1)c1ccc(O)c(NCC2Cc3ccccc3CN2)c1
best_candidate,14,42,14,0,3,7.341,Nc1cc(CNc2ccc(C(=O)O)cc2O)ccc1NCC1Cc2ccccc2CN1
best_candidate,15,45,15,0,3,7.3377,O=C(O)c1ccc(NC(=O)c2ccc(C3NCCc4ccccc43)cc2)c(O)c1
best_candidate,16,48,16,0,3,7.3337,O=C(O)c1ccc(NC(=O)C2CCN(CC3Cc4ccccc4CN3)CC2)c(O)c1
best_candidate,17,51,17,0,3,7.3323,O=C(O)C1(NCc2ccc3nc(-c4cccnc4)oc3c2)CCC1
best_candidate,18,54,18,0,3,7.3264,Nc1cc(C(=O)O)ccc1NCc1ccc(C2NCCc3ccccc32)cc1
best_candidate,19,57,19,0,3,7.2772,O=C(O)C1CCN(C(=O)c2ccc(CNc3ccnc4ccccc34)cc2)CC1
best_candidate,20,60,20,0,3,7.2744,O=C(O)c1ccc(NCC2CCN(C(=O)C3CNC3)CC2)c(O)c1
best_candidate,21,63,21,0,3,7.2669,O=C(O)c1ccc(O)c(NC(=O)c2cccc(C3NCCc4ccccc43)c2)c1
best_candidate,22,66,22,0,3,7.2502,Nc1cc(C(=O)O)ccc1NC(=O)c1ccc(-c2nnn(CC(=O)c3ccc4c(c3)NC(=O)C4)n2)nc1
best_candidate,23,69,23,0,3,7.2488,O=C(O)c1ccc2nc(-c3ccc4oc(-c5ccncc5)nc4c3)[nH]c2c1
best_candidate,24,72,24,0,3,7.2452,O=C(O)C1CCCN(Cc2ccc(NC(=O)C3Cc4ccccc4CN3)c(O)c2)C1
best_candidate,25,75,25,0,3,7.2404,O=C(Nc1ccc(CN2CCC(C(=O)O)CC2)cc1O)Nc1cccc2ccccc12
best_candidate,26,78,26,0,3,7.2354,O=C1Cc2ccc(C(=O)Cn3nnc(-c4ccc(CN5Cc6ccccc6CC5C(=O)O)cn4)n3)cc2N1
best_candidate,27,81,27,0,3,7.2341,CC(NCc1ccc(C(=O)Nc2cc(C(=O)O)ccc2O)cc1)c1ccccc1
best_candidate,28,84,28,0,3,7.2307,O=C(O)C1Cc2ccccc2CN1Cc1cccc(CNc2ccnc3ccccc23)c1
best_candidate,29,87,29,0,3,7.2265,Nc1cc(C(=O)O)ccc1NC(=O)c1ccccc1NCC1Cc2ccccc2CN1
best_candidate,30,90,30,0,3,7.2238,Nc1cc(CN2CCC2C(=O)O)ccc1NCC1Cc2ccccc2CN1
best_candidate,31,93,31,0,3,7.2207,O=C(O)c1ccc2oc(-c3ccc(CNCc4ccc(C(F)(F)F)cc4)cc3)nc2c1
best_candidate,32,96,32,0,3,7.2146,O=C(Nc1cc(CN2CCCC2C(=O)O)ccc1O)C1Cc2ccccc2CN1
best_candidate,33,99,33,0,3,7.2146,Nc1cc(CN2Cc3ccccc3CC2C(=O)O)ccc1NC(=O)C1Cc2ccccc2CN1
best_candidate,34,102,34,0,3,7.2144,O=C(O)C1(NCc2ccc(Cn3nnc(-c4ccc(N=C=S)cc4)n3)cc2)CCC1
best_candidate,35,105,35,0,3,7.2103,O=C(O)c1ccc2nc(-c3cccnc3NC34CC(C3)C4)[nH]c2c1
best_candidate,36,108,36,0,3,7.2053,Nc1cc(C(=O)Nc2ccc(C(=O)O)cc2O)ccc1NC(=O)C1Cc2ccccc2CN1
best_candidate,37,111,37,0,3,7.203,O=C(O)c1ccc2nc(-c3cccc(CNCc4ccc(C(F)(F)F)cc4)c3)oc2c1
best_candidate,38,114,38,0,3,7.2022,O=C(O)c1ccc(O)c(NC(=O)c2ccc(CNCc3ccccc3)cc2)c1
best_candidate,39,117,39,0,3,7.1892,O=C(O)C1CCCN(C(=O)C2CCN(c3ccc(C(F)(F)F)cn3)CC2)C1
best_candidate,40,120,40,0,3,7.1869,Nc1cc(C(=O)O)ccc1NC(=O)c1ccc(CNCCc2c[nH]c3ccccc23)cc1
best_candidate,41,123,41,0,3,7.183,O=C(O)c1ccc(O)c(NC(=O)c2ccccc2NC(=O)C2Cc3ccccc3CN2)c1
best_candidate,42,126,42,0,3,7.1794,O=C(O)C1CCN(C(=O)c2ccc(Cn3nnc(-c4ccc(F)nc4)n3)cc2)CC1
best_candidate,43,129,43,0,3,7.1788,O=C1Cc2ccc(C(=O)Cn3nnc(-c4ccc(CNc5c(F)cccc5C(=O)O)cn4)n3)cc2N1
best_candidate,44,132,44,0,3,7.178,Nc1cc(C(=O)O)ccc1NC(=O)c1ccccc1NC(=O)C1Cc2ccccc2CN1
best_candidate,45,135,45,0,3,7.1515,O=C(O)c1ccc(O)c(NCc2cccc(CNCc3ccccc3)c2)c1
best_candidate,46,138,46,0,3,7.1428,O=C(O)c1ccc2nc(-c3cccc(CNCc4ccc(C(F)(F)F)cc4)c3)[nH]c2c1
best_candidate,47,141,47,0,3,7.1381,O=C(NC1(C(=O)O)CCC1)c1ccc(CNCc2ccc(C(F)(F)F)cc2)cc1
best_candidate,48,144,48,0,3,7.1304,Nc1cc(-c2nc3cc(C(=O)O)ccc3o2)ccc1NCC1Cc2ccccc2CN1
