strategy,step,cum_reactions,cum_modes,cum_reward_gen_calls,reactions_added,reward,source_hub
hub_batching,1,3,1,1104,3,7.4423,O=C(O)c1ccc(O)c(NCc2ccc(NC(=O)C3Cc4ccccc4CN3)c(O)c2)c1
hub_batching,2,4,2,1104,1,7.1841,O=C(O)c1ccc(O)c(NCc2ccc(NC(=O)C3Cc4ccccc4CN3)c(O)c2)c1
hub_batching,3,6,3,2799,2,7.323,Nc1cc(C(=O)O)ccc1NC(=O)C1Cc2ccccc2CN1
hub_batching,4,7,4,2799,1,7.0985,Nc1cc(C(=O)O)ccc1NC(=O)C1Cc2ccccc2CN1
hub_batching,5,8,5,2799,1,7.0143,Nc1cc(C(=O)O)ccc1NC(=O)C1Cc2ccccc2CN1
hub_batching,6,11,6,3903,3,7.543,O=C(O)c1ccc(NC(=O)C2CCN(CC3Cc4ccccc4CN3)CC2)c(O)c1
hub_batching,7,14,7,5702,3,7.4723,Nc1cc(C(=O)O)ccc1NC(=O)c1ccc(O)c(NCC2Cc3ccccc3CN2)c1
hub_batching,8,17,8,6702,3,7.7172,O=C(O)c1ccc2nc(C3(NC(=O)C4Cc5ccccc5CN4)CCC3)oc2c1
hub_batching,9,20,9,7806,3,7.6017,O=C(NC1(C(=O)O)CCC1)c1ccc(O)c(NC(=O)C2Cc3ccccc3CN2)c1
hub_batching,10,21,10,7806,1,7.1339,O=C(NC1(C(=O)O)CCC1)c1ccc(O)c(NC(=O)C2Cc3ccccc3CN2)c1
hub_batching,11,24,11,9501,3,7.2317,Nc1cc(C(=O)O)ccc1NC(=O)c1ccccc1NCC1Cc2ccccc2CN1
hub_batching,12,27,12,10550,3,7.5356,O=C(O)c1ccc2nc(C3(NC(=O)C4Cc5ccccc5CN4)CCC3)[nH]c2c1
hub_batching,13,28,13,10550,1,7.3409,O=C(O)c1ccc2nc(C3(NC(=O)C4Cc5ccccc5CN4)CCC3)[nH]c2c1
hub_batching,14,29,14,10550,1,7.1452,O=C(O)c1ccc2nc(C3(NC(=O)C4Cc5ccccc5CN4)CCC3)[nH]c2c1
hub_batching,15,32,15,13453,3,7.5798,O=C(O)c1ccc2oc(-c3ccc(O)c(NC(=O)C4Cc5ccccc5CN4)c3)nc2c1
hub_batching,16,35,16,14499,3,7.2144,O=C(O)C1(NCc2ccc(Cn3nnc(-c4ccc(N=C=S)cc4)n3)cc2)CCC1
