strategy,step,cum_reactions,cum_modes,cum_reward_gen_calls,reactions_added,reward,source_hub
best_candidate,1,3,1,0,3,-8.1375,
best_candidate,2,7,2,0,4,-8.0595,Oc1cccc2nc(C3Cc4ccccc4CN3)oc12
best_candidate,3,11,3,0,4,-7.9734,Brc1ccc2nc(C3Nc4ccccc4-n4cccc43)oc2c1
best_candidate,4,13,4,0,2,-7.9498,c1ccc2nc(Nc3ccnc4ccccc34)ccc2c1
best_candidate,5,17,5,0,4,-7.9475,O=Cc1cncc(I)c1
best_candidate,6,21,6,0,4,-7.9134,Cc1cnc(Nc2cc(C(=O)Nc3ccccc3-n3cccc3)ccc2O)cc1I
best_candidate,7,25,7,0,4,-7.7709,CCn1c(Nc2cc(C(=O)Nc3ccccc3-n3cccc3)ccc2N)nc2ccccc21
best_candidate,8,29,8,0,4,-7.6361,Nc1ccc(C(=O)N2c3ccccc3-n3cccc3C2c2cccnc2Br)cc1Nc1nc(N)c2nc[nH]c2n1
best_candidate,9,33,9,0,4,-7.6322,Nc1cc(C(=O)N2c3ccccc3-n3cccc3C2c2nc3cc(F)c(F)cc3o2)ccc1O
best_candidate,10,37,10,0,4,-7.6183,Nc1ccc(C(=O)N2c3ccccc3-n3cccc3C2c2cccnc2-c2ccccc2Cl)cc1N
best_candidate,11,41,11,0,4,-7.61,Nc1cnc(Nc2ccnc3ccccc23)nc1
best_candidate,12,43,12,0,2,-7.588,Cc1cc(Nc2cc(Br)ccc2O)cnc1N
best_candidate,13,46,13,0,3,-7.5224,Nc1nc(F)nc2[nH]cnc12
best_candidate,14,50,14,0,4,-7.522,Nc1ccc(C(=O)N(c2ccc(O)c(Nc3nc(N)c4nc[nH]c4n3)c2)c2cc(Br)ccc2O)cc1N
best_candidate,15,54,15,0,4,-7.4887,Cc1cc(Cl)cnc1N(C(=O)c1ccc(O)c(N)c1)c1ncc2[nH]ccc2n1
best_candidate,16,56,16,0,2,-7.4834,Fc1nc(Nc2nc3ccccc3[nH]2)c2nc[nH]c2n1
best_candidate,17,60,17,0,4,-7.4751,Cc1cc(Br)cnc1Nc1cc(C(=O)O)ccc1N
best_candidate,18,64,18,0,4,-7.4548,Nc1ccc(C(=O)N(c2ncc3[nH]ccc3n2)c2ccnc3ccccc23)cc1Nc1nc2ccccc2[nH]1
best_candidate,19,68,19,0,4,-7.4486,O=[N+]([O-])c1ccc(Nc2ccnc3ccccc23)c2ccccc12
best_candidate,20,71,20,0,3,-7.4248,Oc1cc(F)c(F)cc1Nc1cc(Cl)ccn1
best_candidate,21,75,21,0,4,-7.4147,Nc1ccc(C(=O)N2c3ccccc3-n3cccc3C2C(=O)N2CCCCC2)cc1N
best_candidate,22,77,22,0,2,-7.3795,Fc1nc(Nc2ncc(Br)cn2)c2nc[nH]c2n1
best_candidate,23,81,23,0,4,-7.3655,Cc1cc(O)cnc1Nc1cc(C(=O)Nc2ccccc2-n2cccc2)ccc1O
best_candidate,24,84,24,0,3,-7.3637,Cc1cc(Br)cnc1N(C(=O)c1ccc(N)c(N)c1)c1cccc2cc[nH]c12
best_candidate,25,87,25,0,3,-7.3563,Nc1cc(N(C(=O)c2ccc(O)c(Nc3nc4ccccc4[nH]3)c2)c2cccc3cc[nH]c23)ccc1O
best_candidate,26,90,26,0,3,-7.3477,Nc1ccc(C(=O)O)cc1Nc1nc(N)c2nc[nH]c2n1
best_candidate,27,94,27,0,4,-7.3239,O=C(c1ccc(O)c(Nc2ccc([N+](=O)[O-])c3ccccc23)c1)N1c2ccccc2-n2cccc2C1c1c[nH]c2ccc(Br)cc12
best_candidate,28,98,28,0,4,-7.3081,O=CC(=O)N1CCCC(=O)C1
best_candidate,29,101,29,0,3,-7.2823,Oc1ccc(Nc2cc(N3CCCC(O)C3)ccc2O)cn1
best_candidate,30,104,30,0,3,-7.2588,O=[N+]([O-])c1ccc(Nc2ccc(O)cc2O)c2ccccc12
best_candidate,31,107,31,0,3,-7.255,Nc1ccc(C(=O)N(c2ncc(Br)cn2)c2ccnc3ccccc23)cc1N
best_candidate,32,111,32,0,4,-7.2433,Nc1ccc(C(=O)N(c2ccc(O)c(N)c2)c2ccc(Cl)cc2O)cc1N
best_candidate,33,115,33,0,4,-7.2343,Cc1cnc(Nc2cc(C(=O)N3c4ccccc4-n4cccc4C3c3cccnc3Br)ccc2O)cc1I
best_candidate,34,117,34,0,2,-7.2322,Brc1ccc(Nc2ccc3ccccc3n2)cc1
best_candidate,35,121,35,0,4,-7.2314,Nc1ccc(C(=O)N(c2ncc3[nH]ccc3n2)c2cccc3cc[nH]c23)cc1N
best_candidate,36,123,36,0,2,-7.2312,Cc1cnc(Nc2cccc3cc[nH]c23)cc1I
best_candidate,37,126,37,0,3,-7.2243,Nc1ccc(Nc2cccc(I)c2O)cc1
best_candidate,38,129,38,0,3,-7.2058,Nc1ccc(C(=O)N(c2cccc(Br)c2O)c2ccc([N+](=O)[O-])c3ncccc23)cc1Nc1nc(N)c2nc[nH]c2n1
best_candidate,39,132,39,0,3,-7.1962,O=C(Nc1ccccc1-n1cccc1)c1ccc(O)c(Nc2ncc(Br)cn2)c1
best_candidate,40,135,40,0,3,-7.1753,Cc1cc(C)cc(-c2ccc(Nc3nc4ccccc4[nH]3)c(O)c2)c1
best_candidate,41,138,41,0,3,-7.1742,O=C(Nc1ccccc1-n1cccc1)c1ccc(O)c(Nc2ccc3ccccc3n2)c1
best_candidate,42,142,42,0,4,-7.1721,O=C(c1ccc(O)c(Nc2ncc3[nH]ccc3n2)c1)N1c2ccccc2-n2cccc2C1c1cncc(Br)c1
best_candidate,43,145,43,0,3,-7.1642,Cc1cnc(N(C(=O)c2ccc(N)c(Nc3nc(N)c4nc[nH]c4n3)c2)c2cc(Br)ccc2O)cc1I
best_candidate,44,148,44,0,3,-7.1482,O=C(c1ccc(O)c(Nc2nc3ccccc3[nH]2)c1)N(c1ccc([N+](=O)[O-])c2ncccc12)c1nc(F)nc2[nH]cnc12
best_candidate,45,151,45,0,3,-7.1428,Nc1ccc(C(=O)N(c2ccnc(F)c2)c2ccc(Br)cc2N)cc1Nc1nc(N)c2nc[nH]c2n1
best_candidate,46,155,46,0,4,-7.1368,Nc1cc(C(=O)N2c3ccccc3-n3cccc3C2C(=O)N2CC(=O)C2)ccc1O
best_candidate,47,157,47,0,2,-7.1353,Cc1cc(Br)cnc1Nc1nc(F)nc2[nH]cnc12
best_candidate,48,160,48,0,3,-7.1304,Oc1c(Cl)cccc1Nc1ccnc(F)c1
best_candidate,49,163,49,0,3,-7.1228,Nc1nc(Nc2cc(C(=O)N(c3cc(Br)ccc3O)c3ccc(CBr)cc3[N+](=O)[O-])ccc2O)nc2[nH]cnc12
best_candidate,50,166,50,0,3,-7.1116,Nc1ccc2nc(C3Cc4ccccc4CN3)oc2c1
best_candidate,51,168,51,0,2,-7.1039,Cc1cnc(Nc2cc(C(=O)Nc3ccccc3-n3cccc3)ccc2O)cc1I
best_candidate,52,170,52,0,2,-7.097,c1ccc(Nc2ncc3[nH]ccc3n2)nc1
best_candidate,53,174,53,0,4,-7.091,Cc1cnc(Nc2cccc(C3Nc4ccccc4-n4cccc43)c2)cc1I
best_candidate,54,178,54,0,4,-7.0876,Cc1cnc(N(C(=O)c2ccc(O)c(Nc3nc4ccccc4[nH]3)c2)c2cc(Br)ccc2O)cc1I
best_candidate,55,181,55,0,3,-7.0814,Nc1cc(-c2ccccc2F)ccc1Nc1ccc([N+](=O)[O-])c2ncccc12
best_candidate,56,183,56,0,2,-7.0777,
best_candidate,57,185,57,0,2,-7.0731,Oc1ccc(Br)cc1Nc1ccc2ccccc2n1
best_candidate,58,188,58,0,3,-7.0636,Nc1ccc(C(=O)N(c2nc3ccccc3[nH]2)c2ccccc2-n2cccc2)cc1N
best_candidate,59,191,59,0,3,-7.0546,Oc1cccc(-c2cccc(Nc3ncc(Br)cn3)c2O)c1
best_candidate,60,194,60,0,3,-7.0424,Nc1ccc(C(=O)N(c2cccc(Br)c2N)c2ccc([N+](=O)[O-])c3ccccc23)cc1Nc1nc2ccccc2[nH]1
best_candidate,61,197,61,0,3,-7.0297,Nc1ccc(C(=O)N(c2nc(N)c3nc[nH]c3n2)c2cc(Br)ccc2O)cc1Nc1nc2ccccc2[nH]1
best_candidate,62,201,62,0,4,-7.0285,Nc1cc(C(=O)Nc2ccccc2-n2cccc2)ccc1Nc1ncc(Br)cn1
best_candidate,63,205,63,0,4,-7.0027,
best_candidate,64,209,64,0,4,-6.9854,O=C(c1cccc(C2Nc3ccccc3-n3cccc32)c1)N1CCCCC1
best_candidate,65,212,65,0,3,-6.9725,Cc1cc(Br)cnc1N(C(=O)c1ccc(N)c(Nc2nc3ccccc3[nH]2)c1)c1ccc(N)c(Br)n1
best_candidate,66,216,66,0,4,-6.9725,Cc1cnc(Nc2nc(Nc3cc(C(=O)Nc4ccccc4-n4cccc4)ccc3O)nc3[nH]cnc23)cc1I
best_candidate,67,219,67,0,3,-6.9563,Nc1nc(Nc2cc(C(=O)N(c3nc4ccccc4[nH]3)c3ccccc3-n3cccc3)ccc2O)nc2[nH]cnc12
best_candidate,68,223,68,0,4,-6.9035,Nc1cccc(Nc2cc(C(=O)Nc3ccccc3-n3cccc3)ccc2O)c1N
best_candidate,69,227,69,0,4,-6.8966,Nc1ccc(C(=O)N2c3ccccc3-n3cccc3C2c2cncc(Br)c2)cc1Nc1ncc(Br)cn1
best_candidate,70,231,70,0,4,-6.891,Cc1cc(Br)cnc1Nc1ccnc2ccccc12
best_candidate,71,234,71,0,3,-6.8895,Nc1cc(C(=O)N(c2cncc(F)c2)c2nc(F)nc3[nH]cnc23)ccc1O
best_candidate,72,237,72,0,3,-6.8801,Oc1c(Br)cccc1Nc1cc(-c2cccc(F)c2)ccn1
best_candidate,73,241,73,0,4,-6.8643,Cc1cnc(N(C(=O)c2ccc(O)c(Nc3nc4ccccc4[nH]3)c2)c2nc(F)nc3[nH]cnc23)cc1I
best_candidate,74,245,74,0,4,-6.864,Nc1ccc(C(=O)N(c2cccc(N)c2O)c2cccc(N)c2O)cc1N
best_candidate,75,248,75,0,3,-6.8552,Cc1cc(N(C(=O)c2ccc(N)c(Nc3nc4ccccc4[nH]3)c2)c2nc(F)nc3[nH]cnc23)cnc1F
best_candidate,76,252,76,0,4,-6.8498,Nc1nc(Nc2cc(C(=O)N3Cc4ccccc4CC3c3nc4cc(Br)ccc4o3)ccc2O)nc2[nH]cnc12
best_candidate,77,255,77,0,3,-6.8421,Cc1cc(N(C(=O)c2ccc(N)c(Nc3nc(N)c4nc[nH]c4n3)c2)c2ccnc3ccccc23)cnc1F
best_candidate,78,257,78,0,2,-6.8387,CCn1cnc2c(N)nc(Nc3cc(C(=O)O)ccc3N)nc21
best_candidate,79,259,79,0,2,-6.8231,Oc1ccc(F)cc1Nc1ncc2[nH]ccc2n1
best_candidate,80,262,80,0,3,-6.822,Nc1ccc(C(=O)N(c2nc3ccccc3[nH]2)c2cc(C(=O)O)ccc2N)cc1Nc1nc2ccccc2[nH]1
best_candidate,81,265,81,0,3,-6.8121,Nc1nc(Nc2cc(C(=O)N3c4ccccc4-n4cccc4C3c3ccc(C(=O)O)cc3)ccc2O)nc2[nH]cnc12
best_candidate,82,268,82,0,3,-6.8097,COc1cccc2c1CCNC2c1nc2cc(F)ccc2o1
best_candidate,83,271,83,0,3,-6.8085,Nc1nc(Nc2cc(C(=O)N3c4ccccc4-n4cccc4C3C(=O)O)ccc2O)nc2[nH]cnc12
best_candidate,84,274,84,0,3,-6.7579,Nc1nc(Nc2cc(C(=O)N3Cc4ccccc4CC3C(=O)N3CCC(C(=O)O)CC3)ccc2O)nc2[nH]cnc12
best_candidate,85,278,85,0,4,-6.7577,Nc1cc(C(=O)N(c2cc(Br)ccn2)c2cc(F)ccc2O)ccc1O
best_candidate,86,282,86,0,4,-6.7415,Nc1ccc2[nH]cc(C=O)c2c1
best_candidate,87,286,87,0,4,-6.7392,Cc1cc(N(C(=O)c2ccc(N)c(Nc3nc4ccccc4[nH]3)c2)c2ccnc3ccccc23)cnc1F
best_candidate,88,289,88,0,3,-6.7329,O=C(c1ccc(O)c(Nc2nc3ccccc3[nH]2)c1)N(c1ccccn1)c1cc(Br)ccn1
best_candidate,89,292,89,0,3,-6.7316,c1ccc2[nH]c(NC(Cc3c[nH]c4ccccc34)C3=NCCc4c3[nH]c3ccccc43)nc2c1
best_candidate,90,296,90,0,4,-6.7245,Nc1ccc(C(=O)Nc2ccccc2-n2cccc2)cc1Nc1ncc2[nH]ccc2n1
best_candidate,91,300,91,0,4,-6.7235,Nc1ccc(Nc2cc(C(=O)N3c4ccccc4-n4cccc4C3c3ccnc(Br)c3)ccc2O)nc1Br
best_candidate,92,303,92,0,3,-6.7203,Nc1cccc(N(C(=O)c2ccc(O)c(Nc3nc(N)c4nc[nH]c4n3)c2)C(C(=O)O)c2ccccc2)c1O
best_candidate,93,306,93,0,3,-6.7152,Nc1ccc(C(=O)N(Cc2c(N)cccc2Br)c2ccc(F)nc2Br)cc1N
best_candidate,94,309,94,0,3,-6.7084,Cc1cnc(Nc2cccc(-c3cc(F)ncc3C)c2)cc1I
best_candidate,95,312,95,0,3,-6.7043,Cc1cnc(Nc2cc(C(=O)N(c3ccccn3)c3cccc(Br)c3O)ccc2O)cc1I
best_candidate,96,314,96,0,2,-6.7013,Cc1cc(Br)cnc1Nc1ccc(O)c(N)c1
