strategy,step,cum_reactions,cum_modes,cum_reward_gen_calls,reactions_added,reward,source_hub
best_candidate,1,4,1,0,4,-14.4,O=Cc1cccc(-c2ccc(F)cc2)c1
best_candidate,2,8,2,0,4,-14.4,Fc1cccc(-c2cccc(C3NC(c4nc5cc(C(F)(F)F)ccc5[nH]4)Cc4c3[nH]c3ccccc43)c2)c1F
best_candidate,3,11,3,0,3,-14.3,Nc1ccc(C(F)(F)F)cc1N
best_candidate,4,15,4,0,4,-14.3,Cc1cc(-c2cc(C3NC(c4nc5cc(C(F)(F)F)ccc5[nH]4)Cc4c3[nH]c3ccccc43)ccn2)ccc1F
best_candidate,5,19,5,0,4,-14.2,CC(Nc1ccc2[nH]cc(C=O)c2c1)c1ccccc1
best_candidate,6,23,6,0,4,-14.2,Cc1cc(-c2cccc(C=O)c2)ccc1F
best_candidate,7,26,7,0,3,-14.1,Nc1ccc(C(F)(F)F)cc1N
best_candidate,8,30,8,0,4,-14.1,Brc1ccc2nc(C(Cc3c[nH]c4ccccc34)NCc3c[nH]c4ccc(Br)cc34)[nH]c2c1
best_candidate,9,34,9,0,4,-14.1,FC(F)(F)c1ccc2[nH]c(C(Cc3c[nH]c4ccccc34)NCc3nc4ccccc4[nH]3)nc2c1
best_candidate,10,38,10,0,4,-14.1,
best_candidate,11,42,11,0,4,-13.8,FC(F)(F)c1ccc2nc(C(Cc3c[nH]c4ccccc34)NC3CCC3)[nH]c2c1
best_candidate,12,46,12,0,4,-13.8,Cc1cc(C)cc(-c2cccc(C=O)c2)c1
best_candidate,13,50,13,0,4,-13.8,
best_candidate,14,54,14,0,4,-13.7,O=C(O)C1Cc2c([nH]c3ccccc23)C(c2c[nH]c3cc(-c4cccc(F)c4F)ccc23)N1Cc1nc2ccccc2[nH]1
best_candidate,15,58,15,0,4,-13.7,FC(F)(F)c1ccc2[nH]c(C(Cc3c[nH]c4ccccc34)NCc3c[nH]c4ccccc34)nc2c1
best_candidate,16,62,16,0,4,-13.7,
best_candidate,17,66,17,0,4,-13.7,Nc1ccc(Cl)cc1O
best_candidate,18,69,18,0,3,-13.6,Nc1ccc(Br)cc1N
best_candidate,19,72,19,0,3,-13.6,Nc1ccc(C(F)(F)F)cc1N
best_candidate,20,75,20,0,3,-13.6,OB(O)c1cccc(C2=NC(c3nc4cc(F)ccc4o3)Cc3c2[nH]c2ccccc32)c1
best_candidate,21,78,21,0,3,-13.5,Nc1ccc(C(F)(F)F)cc1N
best_candidate,22,82,22,0,4,-13.5,Fc1cc2nc(C(Cc3c[nH]c4ccccc34)NC3CCNC3)oc2cc1F
best_candidate,23,85,23,0,3,-13.4,O=C(C1Cc2ccccc2CN1)N1C(c2nc3cc(F)c(F)cc3o2)Cc2c([nH]c3ccccc23)C1c1c[nH]c2ccc(Br)cc12
best_candidate,24,88,24,0,3,-13.4,CC(Nc1cccc(C2=NC(C(=O)O)Cc3c2[nH]c2ccccc32)n1)c1ccccc1
best_candidate,25,91,25,0,3,-13.4,Nc1ccc(C(F)(F)F)cc1N
best_candidate,26,95,26,0,4,-13.4,O=C(NC(Cc1c[nH]c2ccccc12)c1nc2cc(F)ccc2o1)C1Cc2ccccc2CN1
best_candidate,27,98,27,0,3,-13.4,O=Cc1nc2ccccc2[nH]1
best_candidate,28,102,28,0,4,-13.3,NC(Cc1c[nH]c2ccccc12)C1=NC(c2nc3cc(F)ccc3o2)Cc2c1[nH]c1ccccc21
best_candidate,29,105,29,0,3,-13.3,Nc1ccc(C(F)(F)F)cc1N
best_candidate,30,109,30,0,4,-13.3,O=C(O)C1Cc2c([nH]c3ccccc23)C(c2c[nH]c3cc(Nc4cc(F)c(F)cc4O)ccc23)N1C1CCC1
best_candidate,31,113,31,0,4,-13.3,O=C1CCN(c2ccc(-c3cccnc3F)cc2C2=NC(C(=O)O)Cc3c2[nH]c2ccccc32)C1
best_candidate,32,117,32,0,4,-13.3,NC(Cc1c[nH]c2ccccc12)c1nc2cc(Cl)ccc2[nH]1
best_candidate,33,120,33,0,3,-13.3,NC(Cc1c[nH]c2ccccc12)C1=NCCc2c1[nH]c1ccccc21
best_candidate,34,123,34,0,3,-13.2,Cc1cc(B(O)O)ccc1F
best_candidate,35,127,35,0,4,-13.2,Cc1cc(-c2cncc(C3c4[nH]c5ccccc5c4CC(C(=O)O)N3C3CCC3)c2)ccc1F
best_candidate,36,131,36,0,4,-13.2,Nc1ccc(-c2ccc(N3CCCC(=O)C3)c(C(=O)O)c2)cc1O
best_candidate,37,135,37,0,4,-13.2,O=C(O)C1Cc2c([nH]c3ccccc23)C(C2Cc3c([nH]c4ccccc34)C(c3ccnc(Br)c3)N2C2CCNCC2)=N1
best_candidate,38,139,38,0,4,-13.2,Fc1cccc(-c2cccc(C3NC(c4nc5cc(Br)ccc5o4)Cc4c3[nH]c3ccccc43)c2)c1F
best_candidate,39,143,39,0,4,-13.2,
best_candidate,40,147,40,0,4,-13.1,
best_candidate,41,151,41,0,4,-13.1,Cc1cc(-c2ccc(N3CCCC3C(F)(F)F)c(C(=O)O)c2)cnc1F
best_candidate,42,155,42,0,4,-13.1,FC(F)(F)c1ccc2[nH]c(C3Cc4c([nH]c5ccccc45)C(c4cncc(Br)c4)N3Cc3ncc[nH]3)nc2c1
best_candidate,43,158,43,0,3,-13.1,O=Cc1cccc(-c2cccc(C3=NC(c4nc5ccc(Br)cc5o4)Cc4c3[nH]c3ccccc43)c2)c1
best_candidate,44,162,44,0,4,-13.1,O=C(O)C1Cc2c([nH]c3ccccc23)C(C2Cc3c([nH]c4ccccc34)C(c3cccc(-c4cccc(Cl)c4)c3)N2)=N1
best_candidate,45,166,45,0,4,-13.0,Fc1cccc(Cn2c3c(c4ccccc42)CC(c2nc4ccc(C(F)(F)F)cc4[nH]2)NC3c2cccc(Br)c2)c1
best_candidate,46,169,46,0,3,-12.9,CC(=O)c1cccc(-c2cccc(C3NC(C(=O)O)Cc4c3[nH]c3ccccc43)c2)c1
best_candidate,47,173,47,0,4,-12.9,CC(Nc1cccc(C2c3[nH]c4ccccc4c3CC(C(=O)O)N2Cc2ccc(F)c(F)c2F)c1)c1ccccc1
best_candidate,48,176,48,0,3,-12.9,N#Cc1cc(B(O)O)ccc1F
best_candidate,49,180,49,0,4,-12.9,Nc1cc(Cl)ccc1O
best_candidate,50,184,50,0,4,-12.8,Fc1cccc(-c2cncc(C3NC(c4nc5ccccc5o4)Cc4c3[nH]c3ccccc43)c2)c1
best_candidate,51,187,51,0,3,-12.8,CC(Nc1cccc(C2NC(C(=O)O)Cc3ccccc32)c1)c1ccccc1
best_candidate,52,188,52,0,1,-12.8,Cc1cc(-c2cc(C3NC(C(=O)O)Cc4c3[nH]c3ccccc43)ccn2)ccc1F
best_candidate,53,192,53,0,4,-12.8,FC(F)(F)c1ccc2[nH]c(C(Cc3c[nH]c4ccccc34)NC3CCC3)nc2c1
best_candidate,54,196,54,0,4,-12.8,O=C(O)C1Cc2c([nH]c3ccccc23)C(c2cc(-c3ccnc(F)c3)ccc2N2CCNCC2)=N1
best_candidate,55,200,55,0,4,-12.8,OC1CNC(CNC(Cc2c[nH]c3ccccc23)c2nc3cc(C(F)(F)F)ccc3[nH]2)C1
best_candidate,56,204,56,0,4,-12.7,O=Cc1nc(-c2ccccc2F)cs1
best_candidate,57,208,57,0,4,-12.7,Cc1cc(-c2cccc(C3c4[nH]c5ccccc5c4CC(C(=O)O)N3c3nc4ccccc4[nH]3)c2)cnc1F
best_candidate,58,212,58,0,4,-12.7,O=Cc1cccc(-c2cccc(C=O)c2)c1
best_candidate,59,216,59,0,4,-12.7,
